date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,21,0.0,11.6,7,1,97,05:30 PM,05:27 AM,06:34 AM,06:08 PM,19,23,25,23,7,17,78,0.0,1010,22,10,336,4
2018-01-01 06:00:00,31,21,0.0,11.6,7,1,97,05:30 PM,05:27 AM,06:34 AM,06:08 PM,19,27,27,25,8,18,70,0.0,1011,25,10,329,7
2018-01-01 12:00:00,31,21,0.0,11.6,7,8,97,05:30 PM,05:27 AM,06:34 AM,06:08 PM,18,33,33,32,4,34,43,0.0,1008,31,10,22,3
2018-01-01 18:00:00,31,21,0.0,11.6,7,7,97,05:30 PM,05:27 AM,06:34 AM,06:08 PM,19,29,29,27,8,49,62,0.0,1009,27,10,135,5
2018-01-02 00:00:00,31,22,0.0,8.7,7,1,100,06:33 PM,06:30 AM,06:34 AM,06:08 PM,21,26,26,24,4,51,83,0.1,1009,23,10,150,3
2018-01-02 06:00:00,31,22,0.0,8.7,7,1,100,06:33 PM,06:30 AM,06:34 AM,06:08 PM,21,27,27,26,7,32,74,0.1,1011,25,10,57,6
2018-01-02 12:00:00,31,22,0.0,8.7,7,8,100,06:33 PM,06:30 AM,06:34 AM,06:08 PM,19,33,33,31,6,36,47,0.0,1008,31,10,28,5
2018-01-02 18:00:00,31,22,0.0,8.7,7,6,100,06:33 PM,06:30 AM,06:34 AM,06:08 PM,20,28,28,27,15,78,67,0.2,1010,26,10,132,10
2018-01-03 00:00:00,31,22,0.0,11.6,6,1,89,07:38 PM,07:34 AM,06:35 AM,06:09 PM,21,26,26,24,1,40,84,0.3,1010,23,9,43,1
2018-01-03 06:00:00,31,22,0.0,11.6,6,1,89,07:38 PM,07:34 AM,06:35 AM,06:09 PM,20,27,27,25,13,35,74,0.0,1012,25,10,16,11
2018-01-03 12:00:00,31,22,0.0,11.6,6,8,89,07:38 PM,07:34 AM,06:35 AM,06:09 PM,18,32,32,31,10,60,45,0.0,1009,31,10,41,9
2018-01-03 18:00:00,31,22,0.0,11.6,6,7,89,07:38 PM,07:34 AM,06:35 AM,06:09 PM,19,28,28,27,16,46,61,0.0,1011,26,10,71,11
2018-01-04 00:00:00,30,22,0.0,11.6,7,1,81,08:39 PM,08:33 AM,06:35 AM,06:09 PM,20,25,25,23,14,24,82,0.0,1012,22,10,24,10
2018-01-04 06:00:00,30,22,0.0,11.6,7,1,81,08:39 PM,08:33 AM,06:35 AM,06:09 PM,19,26,26,24,16,25,74,0.0,1014,24,10,13,13
2018-01-04 12:00:00,30,22,0.0,11.6,7,8,81,08:39 PM,08:33 AM,06:35 AM,06:09 PM,17,31,31,30,18,42,44,0.0,1011,30,10,28,15
2018-01-04 18:00:00,30,22,0.0,11.6,7,7,81,08:39 PM,08:33 AM,06:35 AM,06:09 PM,17,27,27,25,24,28,61,0.0,1011,25,10,59,14
2018-01-05 00:00:00,28,20,0.0,10.2,6,1,74,09:38 PM,09:28 AM,06:36 AM,06:10 PM,17,22,25,22,12,5,71,0.0,1011,21,10,11,8
2018-01-05 06:00:00,28,20,0.0,10.2,6,1,74,09:38 PM,09:28 AM,06:36 AM,06:10 PM,18,25,25,24,13,14,68,0.0,1013,23,10,25,12
2018-01-05 12:00:00,28,20,0.0,10.2,6,7,74,09:38 PM,09:28 AM,06:36 AM,06:10 PM,16,29,29,29,19,11,46,0.0,1010,28,10,28,16
2018-01-05 18:00:00,28,20,0.0,10.2,6,6,74,09:38 PM,09:28 AM,06:36 AM,06:10 PM,16,26,26,25,20,2,61,0.0,1010,23,10,57,12
2018-01-06 00:00:00,29,19,0.0,10.2,6,1,67,10:33 PM,10:18 AM,06:36 AM,06:10 PM,18,22,24,22,10,3,78,0.0,1010,20,10,12,8
2018-01-06 06:00:00,29,19,0.0,10.2,6,1,67,10:33 PM,10:18 AM,06:36 AM,06:10 PM,18,25,25,24,10,6,70,0.0,1013,22,10,6,8
2018-01-06 12:00:00,29,19,0.0,10.2,6,7,67,10:33 PM,10:18 AM,06:36 AM,06:10 PM,15,30,30,30,11,20,41,0.0,1009,29,10,25,10
2018-01-06 18:00:00,29,19,0.0,10.2,6,6,67,10:33 PM,10:18 AM,06:36 AM,06:10 PM,15,26,26,25,18,17,54,0.0,1011,24,10,51,9
2018-01-07 00:00:00,30,19,0.0,11.6,6,1,59,11:26 PM,11:05 AM,06:36 AM,06:11 PM,16,21,24,21,11,13,70,0.0,1011,20,10,18,7
2018-01-07 06:00:00,30,19,0.0,11.6,6,1,59,11:26 PM,11:05 AM,06:36 AM,06:11 PM,16,26,26,24,12,3,62,0.0,1013,23,10,16,10
2018-01-07 12:00:00,30,19,0.0,11.6,6,7,59,11:26 PM,11:05 AM,06:36 AM,06:11 PM,15,30,30,30,13,18,39,0.0,1010,30,10,26,12
2018-01-07 18:00:00,30,19,0.0,11.6,6,6,59,11:26 PM,11:05 AM,06:36 AM,06:11 PM,15,25,25,24,24,21,56,0.0,1011,24,10,62,13
2018-01-08 00:00:00,30,19,0.0,11.6,6,1,52,No moonrise,11:49 AM,06:37 AM,06:11 PM,16,21,21,21,13,7,72,0.0,1012,20,10,2,9
2018-01-08 06:00:00,30,19,0.0,11.6,6,1,52,No moonrise,11:49 AM,06:37 AM,06:11 PM,15,25,25,23,14,10,59,0.0,1013,22,10,9,12
2018-01-08 12:00:00,30,19,0.0,11.6,6,8,52,No moonrise,11:49 AM,06:37 AM,06:11 PM,10,29,29,30,21,8,29,0.0,1011,30,10,34,18
2018-01-08 18:00:00,30,19,0.0,11.6,6,6,52,No moonrise,11:49 AM,06:37 AM,06:11 PM,15,25,25,24,27,7,57,0.0,1012,23,10,55,14
2018-01-09 00:00:00,30,20,0.0,8.7,6,1,45,12:15 AM,12:31 PM,06:37 AM,06:12 PM,17,21,24,21,15,9,79,0.0,1013,20,10,3,10
2018-01-09 06:00:00,30,20,0.0,8.7,6,1,45,12:15 AM,12:31 PM,06:37 AM,06:12 PM,17,25,25,23,16,10,69,0.0,1015,23,10,7,14
2018-01-09 12:00:00,30,20,0.0,8.7,6,8,45,12:15 AM,12:31 PM,06:37 AM,06:12 PM,16,31,31,30,18,28,44,0.0,1012,30,10,36,15
2018-01-09 18:00:00,30,20,0.0,8.7,6,5,45,12:15 AM,12:31 PM,06:37 AM,06:12 PM,19,26,26,24,21,100,76,0.3,1013,24,2,32,14
2018-01-10 00:00:00,30,22,0.0,10.2,7,1,38,01:03 AM,01:14 PM,06:37 AM,06:12 PM,20,25,25,23,18,56,86,0.0,1013,22,10,3,11
2018-01-10 06:00:00,30,22,0.0,10.2,7,1,38,01:03 AM,01:14 PM,06:37 AM,06:12 PM,21,27,27,25,23,42,78,0.0,1015,25,10,18,18
2018-01-10 12:00:00,30,22,0.0,10.2,7,7,38,01:03 AM,01:14 PM,06:37 AM,06:12 PM,20,33,33,30,22,83,54,0.0,1012,30,10,51,19
2018-01-10 18:00:00,30,22,0.0,10.2,7,5,38,01:03 AM,01:14 PM,06:37 AM,06:12 PM,21,27,27,25,21,26,80,0.3,1014,25,9,42,13
2018-01-11 00:00:00,31,22,0.0,10.2,7,1,30,01:51 AM,01:56 PM,06:38 AM,06:13 PM,21,25,25,23,18,42,90,0.0,1014,22,10,9,12
2018-01-11 06:00:00,31,22,0.0,10.2,7,1,30,01:51 AM,01:56 PM,06:38 AM,06:13 PM,21,27,27,25,15,28,76,0.0,1016,25,10,8,13
2018-01-11 12:00:00,31,22,0.0,10.2,7,7,30,01:51 AM,01:56 PM,06:38 AM,06:13 PM,19,33,33,31,16,63,50,0.0,1012,31,10,43,14
2018-01-11 18:00:00,31,22,0.0,10.2,7,6,30,01:51 AM,01:56 PM,06:38 AM,06:13 PM,22,28,28,26,21,21,76,0.4,1013,26,9,62,13
2018-01-12 00:00:00,31,22,0.0,10.2,7,1,23,02:38 AM,02:38 PM,06:38 AM,06:13 PM,22,26,26,23,15,29,92,0.1,1013,23,10,37,10
2018-01-12 06:00:00,31,22,0.0,10.2,7,1,23,02:38 AM,02:38 PM,06:38 AM,06:13 PM,21,27,27,25,14,51,77,0.0,1014,25,10,15,12
2018-01-12 12:00:00,31,22,0.0,10.2,7,8,23,02:38 AM,02:38 PM,06:38 AM,06:13 PM,19,33,33,31,16,57,48,0.1,1011,31,10,45,14
2018-01-12 18:00:00,31,22,0.0,10.2,7,7,23,02:38 AM,02:38 PM,06:38 AM,06:13 PM,20,28,28,26,20,29,68,0.1,1013,26,10,70,12
2018-01-13 00:00:00,32,22,0.0,11.6,7,1,16,03:27 AM,03:23 PM,06:38 AM,06:14 PM,20,26,26,24,9,15,79,0.0,1013,23,10,20,6
2018-01-13 06:00:00,32,22,0.0,11.6,7,1,16,03:27 AM,03:23 PM,06:38 AM,06:14 PM,20,27,27,25,12,12,71,0.0,1014,25,10,21,10
2018-01-13 12:00:00,32,22,0.0,11.6,7,8,16,03:27 AM,03:23 PM,06:38 AM,06:14 PM,17,33,33,32,20,6,41,0.0,1011,32,10,59,17
2018-01-13 18:00:00,32,22,0.0,11.6,7,7,16,03:27 AM,03:23 PM,06:38 AM,06:14 PM,20,28,28,26,20,0,67,0.0,1013,25,10,69,13
2018-01-14 00:00:00,32,20,0.0,11.6,7,1,9,04:15 AM,04:08 PM,06:38 AM,06:14 PM,21,23,25,23,11,3,90,0.0,1013,21,10,23,8
2018-01-14 06:00:00,32,20,0.0,11.6,7,1,9,04:15 AM,04:08 PM,06:38 AM,06:14 PM,19,27,27,25,14,0,70,0.0,1015,23,10,4,12
2018-01-14 12:00:00,32,20,0.0,11.6,7,8,9,04:15 AM,04:08 PM,06:38 AM,06:14 PM,14,32,32,32,19,4,33,0.0,1011,32,10,47,17
2018-01-14 18:00:00,32,20,0.0,11.6,7,6,9,04:15 AM,04:08 PM,06:38 AM,06:14 PM,18,28,28,27,17,0,60,0.0,1013,25,10,68,11
