date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,12,2,0.0,9.5,3,1,97,05:46 PM,07:50 AM,08:56 AM,06:07 PM,-3,3,3,3,5,8,67,0.0,1020,2,10,164,2
2018-01-01 06:00:00,12,2,0.0,9.5,3,1,97,05:46 PM,07:50 AM,08:56 AM,06:07 PM,-2,2,4,2,11,8,66,0.0,1018,3,10,153,5
2018-01-01 12:00:00,12,2,0.0,9.5,3,4,97,05:46 PM,07:50 AM,08:56 AM,06:07 PM,-1,11,12,11,8,32,42,0.0,1014,12,10,218,6
2018-01-01 18:00:00,12,2,0.0,9.5,3,2,97,05:46 PM,07:50 AM,08:56 AM,06:07 PM,-3,3,5,3,17,39,60,0.0,1013,4,10,150,8
2018-01-02 00:00:00,8,3,0.0,9.5,2,1,100,06:50 PM,08:55 AM,08:56 AM,06:08 PM,-3,1,4,1,19,6,64,0.0,1011,4,10,151,9
2018-01-02 06:00:00,8,3,0.0,9.5,2,1,100,06:50 PM,08:55 AM,08:56 AM,06:08 PM,0,2,4,2,20,17,75,0.0,1008,4,10,170,10
2018-01-02 12:00:00,8,3,0.0,9.5,2,3,100,06:50 PM,08:55 AM,08:56 AM,06:08 PM,-0,7,8,7,8,11,57,0.0,1007,8,10,216,7
2018-01-02 18:00:00,8,3,0.0,9.5,2,2,100,06:50 PM,08:55 AM,08:56 AM,06:08 PM,-1,4,4,4,5,26,73,0.0,1009,3,10,142,3
2018-01-03 00:00:00,5,-0,0.0,9.5,2,1,89,08:01 PM,09:53 AM,08:56 AM,06:09 PM,-0,-1,2,-1,17,46,87,0.0,1011,1,10,5,10
2018-01-03 06:00:00,5,-0,0.0,9.5,2,1,89,08:01 PM,09:53 AM,08:56 AM,06:09 PM,-3,-4,-0,-4,21,24,80,0.0,1013,-0,10,342,12
2018-01-03 12:00:00,5,-0,0.0,9.5,2,2,89,08:01 PM,09:53 AM,08:56 AM,06:09 PM,-3,2,5,2,13,6,57,0.0,1011,5,10,314,12
2018-01-03 18:00:00,5,-0,0.0,9.5,2,2,89,08:01 PM,09:53 AM,08:56 AM,06:09 PM,-4,0,0,0,4,7,74,0.0,1009,-0,10,174,2
2018-01-04 00:00:00,3,-1,0.0,9.5,1,1,81,09:13 PM,10:43 AM,08:56 AM,06:10 PM,-6,2,2,2,3,83,56,0.0,1007,1,10,320,2
2018-01-04 06:00:00,3,-1,0.0,9.5,1,1,81,09:13 PM,10:43 AM,08:56 AM,06:10 PM,-4,-3,0,-3,14,36,77,0.0,1007,-0,10,356,8
2018-01-04 12:00:00,3,-1,0.0,9.5,1,1,81,09:13 PM,10:43 AM,08:56 AM,06:10 PM,-2,-1,3,-1,21,70,66,0.0,1008,3,10,337,18
2018-01-04 18:00:00,3,-1,0.0,9.5,1,2,81,09:13 PM,10:43 AM,08:56 AM,06:10 PM,-3,-3,-0,-3,14,9,83,0.0,1011,-0,10,325,8
2018-01-05 00:00:00,7,-1,0.0,9.6,2,1,74,10:24 PM,11:25 AM,08:56 AM,06:11 PM,-5,-2,0,-2,11,2,70,0.0,1012,-1,10,101,6
2018-01-05 06:00:00,7,-1,0.0,9.6,2,1,74,10:24 PM,11:25 AM,08:56 AM,06:11 PM,-9,1,1,1,6,28,47,0.0,1013,1,10,128,3
2018-01-05 12:00:00,7,-1,0.0,9.6,2,3,74,10:24 PM,11:25 AM,08:56 AM,06:11 PM,-5,7,8,7,7,20,40,0.0,1013,7,10,271,6
