date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,04:37 PM,05:32 AM,06:45 AM,05:13 PM,0,14,14,14,11,5,39,0.0,1014,12,10,357,5
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,04:37 PM,05:32 AM,06:45 AM,05:13 PM,3,17,17,17,2,0,38,0.0,1016,13,10,88,1
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,04:37 PM,05:32 AM,06:45 AM,05:13 PM,4,23,24,23,8,0,30,0.0,1013,21,10,177,7
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,04:37 PM,05:32 AM,06:45 AM,05:13 PM,5,15,15,15,13,0,51,0.0,1015,13,10,353,7
2018-01-02 00:00:00,19,9,0.0,8.7,4,1,100,05:41 PM,06:37 AM,06:45 AM,05:14 PM,-3,14,14,14,12,0,30,0.0,1015,11,10,358,7
2018-01-02 06:00:00,19,9,0.0,8.7,4,4,100,05:41 PM,06:37 AM,06:45 AM,05:14 PM,2,17,17,17,3,0,36,0.0,1016,13,10,79,3
2018-01-02 12:00:00,19,9,0.0,8.7,4,5,100,05:41 PM,06:37 AM,06:45 AM,05:14 PM,6,21,24,21,9,0,36,0.0,1013,19,10,226,8
2018-01-02 18:00:00,19,9,0.0,8.7,4,4,100,05:41 PM,06:37 AM,06:45 AM,05:14 PM,6,14,15,14,13,0,57,0.0,1016,13,10,355,7
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,06:48 PM,07:39 AM,06:46 AM,05:15 PM,1,14,14,14,8,0,41,0.0,1015,10,10,1,5
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,06:48 PM,07:39 AM,06:46 AM,05:15 PM,2,16,16,16,1,0,37,0.0,1015,13,10,209,1
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,06:48 PM,07:39 AM,06:46 AM,05:15 PM,2,21,23,21,14,0,29,0.0,1013,21,10,249,12
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,06:48 PM,07:39 AM,06:46 AM,05:15 PM,4,15,15,15,12,0,47,0.0,1015,13,10,315,6
2018-01-04 00:00:00,19,8,0.0,8.7,4,1,81,07:54 PM,08:34 AM,06:46 AM,05:16 PM,4,15,14,15,5,0,49,0.0,1014,10,10,345,4
2018-01-04 06:00:00,19,8,0.0,8.7,4,4,81,07:54 PM,08:34 AM,06:46 AM,05:16 PM,3,16,16,16,4,0,42,0.0,1016,12,10,122,4
2018-01-04 12:00:00,19,8,0.0,8.7,4,5,81,07:54 PM,08:34 AM,06:46 AM,05:16 PM,5,22,24,22,8,0,35,0.0,1015,19,10,187,7
2018-01-04 18:00:00,19,8,0.0,8.7,4,4,81,07:54 PM,08:34 AM,06:46 AM,05:16 PM,6,15,15,15,10,0,56,0.0,1017,12,10,17,5
2018-01-05 00:00:00,18,8,0.0,8.7,4,1,74,08:59 PM,09:25 AM,06:46 AM,05:16 PM,4,14,14,14,8,0,52,0.0,1016,10,10,1,5
2018-01-05 06:00:00,18,8,0.0,8.7,4,4,74,08:59 PM,09:25 AM,06:46 AM,05:16 PM,1,15,15,15,2,0,38,0.0,1016,11,10,202,2
2018-01-05 12:00:00,18,8,0.0,8.7,4,5,74,08:59 PM,09:25 AM,06:46 AM,05:16 PM,4,21,21,21,8,0,33,0.0,1014,18,10,198,7
2018-01-05 18:00:00,18,8,0.0,8.7,4,4,74,08:59 PM,09:25 AM,06:46 AM,05:16 PM,4,14,14,14,9,0,51,0.0,1016,11,10,341,5
