date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,14,0.0,10.8,5,1,97,05:31 PM,06:12 AM,07:23 AM,06:05 PM,4,17,17,17,22,0,42,0.0,1013,15,10,26,11
2018-01-01 06:00:00,26,14,0.0,10.8,5,1,97,05:31 PM,06:12 AM,07:23 AM,06:05 PM,4,18,18,18,12,0,39,0.0,1014,15,10,40,8
2018-01-01 12:00:00,26,14,0.0,10.8,5,7,97,05:31 PM,06:12 AM,07:23 AM,06:05 PM,7,28,28,30,7,0,23,0.0,1011,26,10,12,6
2018-01-01 18:00:00,26,14,0.0,10.8,5,5,97,05:31 PM,06:12 AM,07:23 AM,06:05 PM,4,20,20,20,24,0,34,0.0,1012,19,10,349,12
2018-01-02 00:00:00,27,14,0.0,10.8,5,1,100,06:34 PM,07:18 AM,07:23 AM,06:06 PM,0,17,17,17,24,0,32,0.0,1013,15,10,49,12
2018-01-02 06:00:00,27,14,0.0,10.8,5,1,100,06:34 PM,07:18 AM,07:23 AM,06:06 PM,3,16,16,16,31,0,41,0.0,1014,15,10,78,15
2018-01-02 12:00:00,27,14,0.0,10.8,5,7,100,06:34 PM,07:18 AM,07:23 AM,06:06 PM,1,27,27,29,13,0,17,0.0,1012,27,10,90,12
2018-01-02 18:00:00,27,14,0.0,10.8,5,5,100,06:34 PM,07:18 AM,07:23 AM,06:06 PM,-4,20,20,20,20,0,19,0.0,1013,18,10,54,9
2018-01-03 00:00:00,26,12,0.0,10.8,5,1,89,07:41 PM,08:19 AM,07:23 AM,06:06 PM,-3,15,15,15,29,0,28,0.0,1013,14,10,66,14
2018-01-03 06:00:00,26,12,0.0,10.8,5,1,89,07:41 PM,08:19 AM,07:23 AM,06:06 PM,1,14,14,14,26,0,41,0.0,1015,13,10,72,13
2018-01-03 12:00:00,26,12,0.0,10.8,5,7,89,07:41 PM,08:19 AM,07:23 AM,06:06 PM,5,27,27,29,8,0,21,0.0,1013,26,10,103,7
2018-01-03 18:00:00,26,12,0.0,10.8,5,5,89,07:41 PM,08:19 AM,07:23 AM,06:06 PM,3,20,20,20,18,0,31,0.0,1013,18,10,360,9
2018-01-04 00:00:00,27,14,0.0,10.8,5,1,81,08:46 PM,09:16 AM,07:24 AM,06:07 PM,-3,18,18,18,20,0,25,0.0,1014,15,10,55,10
2018-01-04 06:00:00,27,14,0.0,10.8,5,1,81,08:46 PM,09:16 AM,07:24 AM,06:07 PM,1,18,18,18,12,0,32,0.0,1015,15,10,73,8
2018-01-04 12:00:00,27,14,0.0,10.8,5,7,81,08:46 PM,09:16 AM,07:24 AM,06:07 PM,5,27,27,29,10,0,21,0.0,1013,27,10,263,9
