date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,19,0.0,11.6,6,1,97,05:36 PM,05:37 AM,06:44 AM,06:14 PM,18,22,24,22,6,8,79,0.0,1011,20,10,53,4
2018-01-01 06:00:00,31,19,0.0,11.6,6,1,97,05:36 PM,05:37 AM,06:44 AM,06:14 PM,18,27,27,25,4,10,66,0.0,1012,24,10,63,3
2018-01-01 12:00:00,31,19,0.0,11.6,6,8,97,05:36 PM,05:37 AM,06:44 AM,06:14 PM,17,34,34,33,9,2,40,0.0,1008,31,10,256,8
2018-01-01 18:00:00,31,19,0.0,11.6,6,6,97,05:36 PM,05:37 AM,06:44 AM,06:14 PM,22,25,28,25,4,0,83,0.0,1010,22,10,327,4
2018-01-02 00:00:00,31,19,0.0,11.6,6,1,100,06:40 PM,06:41 AM,06:45 AM,06:14 PM,23,25,27,25,4,0,88,0.0,1010,19,10,47,4
2018-01-02 06:00:00,31,19,0.0,11.6,6,1,100,06:40 PM,06:41 AM,06:45 AM,06:14 PM,19,27,27,26,3,6,68,0.0,1011,24,10,40,3
2018-01-02 12:00:00,31,19,0.0,11.6,6,8,100,06:40 PM,06:41 AM,06:45 AM,06:14 PM,17,33,33,32,9,11,41,0.0,1009,31,10,252,8
2018-01-02 18:00:00,31,19,0.0,11.6,6,6,100,06:40 PM,06:41 AM,06:45 AM,06:14 PM,21,24,26,24,5,3,85,0.0,1010,22,10,347,3
2018-01-03 00:00:00,32,20,0.0,11.6,6,1,89,07:44 PM,07:44 AM,06:45 AM,06:15 PM,20,23,25,23,4,5,88,0.0,1010,20,10,63,3
2018-01-03 06:00:00,32,20,0.0,11.6,6,1,89,07:44 PM,07:44 AM,06:45 AM,06:15 PM,20,28,28,26,4,5,69,0.0,1013,24,10,63,3
2018-01-03 12:00:00,32,20,0.0,11.6,6,8,89,07:44 PM,07:44 AM,06:45 AM,06:15 PM,18,34,34,33,8,7,41,0.0,1010,31,10,251,7
2018-01-03 18:00:00,32,20,0.0,11.6,6,6,89,07:44 PM,07:44 AM,06:45 AM,06:15 PM,21,26,26,24,6,7,84,0.0,1012,22,10,333,4
2018-01-04 00:00:00,32,20,0.0,11.6,6,1,81,08:46 PM,08:43 AM,06:45 AM,06:15 PM,19,22,24,22,7,15,84,0.0,1012,20,10,66,4
2018-01-04 06:00:00,32,20,0.0,11.6,6,1,81,08:46 PM,08:43 AM,06:45 AM,06:15 PM,19,27,27,26,4,10,66,0.0,1014,24,10,58,4
2018-01-04 12:00:00,32,20,0.0,11.6,6,8,81,08:46 PM,08:43 AM,06:45 AM,06:15 PM,17,34,34,33,5,12,39,0.0,1010,32,10,258,5
2018-01-04 18:00:00,32,20,0.0,11.6,6,6,81,08:46 PM,08:43 AM,06:45 AM,06:15 PM,20,26,26,24,7,11,79,0.0,1011,23,10,349,4
2018-01-05 00:00:00,31,20,0.0,11.6,6,1,74,09:46 PM,09:38 AM,06:46 AM,06:16 PM,19,22,25,22,6,7,84,0.0,1011,20,10,76,4
2018-01-05 06:00:00,31,20,0.0,11.6,6,1,74,09:46 PM,09:38 AM,06:46 AM,06:16 PM,18,26,26,25,7,10,65,0.0,1013,24,10,86,6
