date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,9,0.0,8.7,4,1,97,05:06 PM,06:12 AM,07:25 AM,05:40 PM,2,15,15,15,4,0,43,0.0,1014,10,10,173,3
2018-01-01 06:00:00,21,9,0.0,8.7,4,4,97,05:06 PM,06:12 AM,07:25 AM,05:40 PM,4,15,15,15,2,0,48,0.0,1015,11,10,143,1
2018-01-01 12:00:00,21,9,0.0,8.7,4,6,97,05:06 PM,06:12 AM,07:25 AM,05:40 PM,4,25,24,25,2,0,27,0.0,1013,21,10,347,2
2018-01-01 18:00:00,21,9,0.0,8.7,4,4,97,05:06 PM,06:12 AM,07:25 AM,05:40 PM,2,16,16,16,2,0,38,0.0,1014,13,10,319,1
2018-01-02 00:00:00,21,9,0.0,8.7,4,1,100,06:10 PM,07:18 AM,07:25 AM,05:41 PM,1,14,14,14,3,0,42,0.0,1014,10,10,145,2
2018-01-02 06:00:00,21,9,0.0,8.7,4,4,100,06:10 PM,07:18 AM,07:25 AM,05:41 PM,1,14,14,14,2,0,39,0.0,1015,11,10,160,1
2018-01-02 12:00:00,21,9,0.0,8.7,4,6,100,06:10 PM,07:18 AM,07:25 AM,05:41 PM,-0,24,23,24,7,1,20,0.0,1014,21,10,281,6
2018-01-02 18:00:00,21,9,0.0,8.7,4,4,100,06:10 PM,07:18 AM,07:25 AM,05:41 PM,-1,16,16,16,5,0,32,0.0,1015,13,10,67,2
2018-01-03 00:00:00,22,9,0.0,8.7,4,1,89,07:17 PM,08:18 AM,07:25 AM,05:41 PM,2,14,14,14,4,0,44,0.0,1015,10,10,117,2
2018-01-03 06:00:00,22,9,0.0,8.7,4,4,89,07:17 PM,08:18 AM,07:25 AM,05:41 PM,4,14,14,14,4,0,51,0.0,1016,10,10,226,3
2018-01-03 12:00:00,22,9,0.0,8.7,4,6,89,07:17 PM,08:18 AM,07:25 AM,05:41 PM,-2,24,23,24,9,0,17,0.0,1015,22,10,316,8
2018-01-03 18:00:00,22,9,0.0,8.7,4,4,89,07:17 PM,08:18 AM,07:25 AM,05:41 PM,0,15,15,15,6,0,36,0.0,1015,12,10,65,3
2018-01-04 00:00:00,22,8,0.0,8.7,4,1,81,08:24 PM,09:13 AM,07:25 AM,05:42 PM,2,14,14,14,6,0,45,0.0,1015,9,10,44,3
2018-01-04 06:00:00,22,8,0.0,8.7,4,4,81,08:24 PM,09:13 AM,07:25 AM,05:42 PM,3,14,14,14,3,0,49,0.0,1016,10,10,103,2
2018-01-04 12:00:00,22,8,0.0,8.7,4,6,81,08:24 PM,09:13 AM,07:25 AM,05:42 PM,-1,25,24,25,5,0,19,0.0,1014,22,10,159,4
2018-01-04 18:00:00,22,8,0.0,8.7,4,4,81,08:24 PM,09:13 AM,07:25 AM,05:42 PM,-1,14,14,14,19,0,35,0.0,1014,13,10,57,9
2018-01-05 00:00:00,21,8,0.0,8.7,4,1,74,09:30 PM,10:02 AM,07:25 AM,05:43 PM,-1,10,11,10,16,5,44,0.0,1015,9,10,110,8
2018-01-05 06:00:00,21,8,0.0,8.7,4,3,74,09:30 PM,10:02 AM,07:25 AM,05:43 PM,1,11,11,11,8,4,47,0.0,1016,10,10,99,5
2018-01-05 12:00:00,21,8,0.0,8.7,4,6,74,09:30 PM,10:02 AM,07:25 AM,05:43 PM,-0,22,23,22,10,0,23,0.0,1014,21,10,8,8
2018-01-05 18:00:00,21,8,0.0,8.7,4,4,74,09:30 PM,10:02 AM,07:25 AM,05:43 PM,2,14,14,14,15,0,43,0.0,1014,12,10,35,7
2018-01-06 00:00:00,21,8,0.0,8.7,4,1,67,10:33 PM,10:45 AM,07:25 AM,05:44 PM,3,12,12,12,10,0,51,0.0,1014,9,10,358,6
2018-01-06 06:00:00,21,8,0.0,8.7,4,3,67,10:33 PM,10:45 AM,07:25 AM,05:44 PM,4,14,14,14,5,0,52,0.0,1014,10,10,318,4
2018-01-06 12:00:00,21,8,0.0,8.7,4,6,67,10:33 PM,10:45 AM,07:25 AM,05:44 PM,-1,22,22,22,12,0,22,0.0,1013,21,10,317,11
2018-01-06 18:00:00,21,8,0.0,8.7,4,4,67,10:33 PM,10:45 AM,07:25 AM,05:44 PM,2,15,14,15,11,0,42,0.0,1014,12,10,358,5
2018-01-07 00:00:00,22,8,0.0,8.7,4,1,59,11:33 PM,11:24 AM,07:26 AM,05:44 PM,2,12,12,12,10,0,49,0.0,1014,9,10,321,6
2018-01-07 06:00:00,22,8,0.0,8.7,4,3,59,11:33 PM,11:24 AM,07:26 AM,05:44 PM,-0,10,11,10,14,0,45,0.0,1015,9,10,315,8
2018-01-07 12:00:00,22,8,0.0,8.7,4,6,59,11:33 PM,11:24 AM,07:26 AM,05:44 PM,-2,22,22,22,15,0,20,0.0,1014,22,10,309,13
2018-01-07 18:00:00,22,8,0.0,8.7,4,4,59,11:33 PM,11:24 AM,07:26 AM,05:44 PM,-1,15,15,15,12,0,34,0.0,1014,12,10,332,6
2018-01-08 00:00:00,22,8,0.0,8.7,4,1,52,No moonrise,12:00 PM,07:26 AM,05:45 PM,-1,12,12,12,12,0,40,0.0,1014,9,10,281,6
2018-01-08 06:00:00,22,8,0.0,8.7,4,3,52,No moonrise,12:00 PM,07:26 AM,05:45 PM,-1,12,12,12,9,0,40,0.0,1017,9,10,310,6
2018-01-08 12:00:00,22,8,0.0,8.7,4,6,52,No moonrise,12:00 PM,07:26 AM,05:45 PM,-3,23,23,23,11,0,18,0.0,1016,22,10,314,9
2018-01-08 18:00:00,22,8,0.0,8.7,4,4,52,No moonrise,12:00 PM,07:26 AM,05:45 PM,-2,15,15,15,6,0,31,0.0,1017,12,10,18,3
2018-01-09 00:00:00,23,8,0.0,8.7,4,1,45,12:30 AM,12:35 PM,07:26 AM,05:46 PM,-0,13,13,13,5,0,39,0.0,1018,9,10,314,3
2018-01-09 06:00:00,23,8,0.0,8.7,4,3,45,12:30 AM,12:35 PM,07:26 AM,05:46 PM,-1,11,12,11,11,0,41,0.0,1019,9,10,324,7
2018-01-09 12:00:00,23,8,0.0,8.7,4,6,45,12:30 AM,12:35 PM,07:26 AM,05:46 PM,-4,23,23,23,14,0,16,0.0,1018,23,10,331,12
2018-01-09 18:00:00,23,8,0.0,8.7,4,4,45,12:30 AM,12:35 PM,07:26 AM,05:46 PM,-2,15,15,15,10,0,30,0.0,1018,13,10,351,5
2018-01-10 00:00:00,24,8,0.0,8.7,4,1,38,01:26 AM,01:10 PM,07:26 AM,05:47 PM,-8,11,12,11,17,0,25,0.0,1019,9,10,314,8
2018-01-10 06:00:00,24,8,0.0,8.7,4,3,38,01:26 AM,01:10 PM,07:26 AM,05:47 PM,-7,10,11,10,19,0,28,0.0,1020,9,10,300,9
2018-01-10 12:00:00,24,8,0.0,8.7,4,6,38,01:26 AM,01:10 PM,07:26 AM,05:47 PM,-5,23,23,24,17,6,14,0.0,1017,24,10,300,14
2018-01-10 18:00:00,24,8,0.0,8.7,4,4,38,01:26 AM,01:10 PM,07:26 AM,05:47 PM,-7,14,14,14,18,8,22,0.0,1018,14,10,301,9
2018-01-11 00:00:00,24,8,0.0,7.1,4,1,30,02:20 AM,01:46 PM,07:26 AM,05:48 PM,-8,9,11,9,23,6,27,0.0,1017,10,10,305,11
2018-01-11 06:00:00,24,8,0.0,7.1,4,3,30,02:20 AM,01:46 PM,07:26 AM,05:48 PM,-4,10,11,10,20,2,34,0.0,1018,10,10,289,10
2018-01-11 12:00:00,24,8,0.0,7.1,4,6,30,02:20 AM,01:46 PM,07:26 AM,05:48 PM,-3,23,23,24,16,33,17,0.0,1015,24,10,300,14
2018-01-11 18:00:00,24,8,0.0,7.1,4,3,30,02:20 AM,01:46 PM,07:26 AM,05:48 PM,-3,15,15,15,12,98,28,0.0,1015,15,10,287,6
2018-01-12 00:00:00,24,11,0.0,8.7,4,1,23,03:14 AM,02:23 PM,07:26 AM,05:48 PM,-6,13,14,13,20,100,24,0.0,1015,13,10,286,9
2018-01-12 06:00:00,24,11,0.0,8.7,4,4,23,03:14 AM,02:23 PM,07:26 AM,05:48 PM,-4,12,13,12,14,18,32,0.0,1016,12,10,293,7
2018-01-12 12:00:00,24,11,0.0,8.7,4,6,23,03:14 AM,02:23 PM,07:26 AM,05:48 PM,-2,23,23,25,11,11,17,0.0,1015,24,10,288,10
2018-01-12 18:00:00,24,11,0.0,8.7,4,4,23,03:14 AM,02:23 PM,07:26 AM,05:48 PM,1,17,17,17,3,0,33,0.0,1015,14,10,312,1
2018-01-13 00:00:00,24,9,0.0,8.7,4,1,16,04:07 AM,03:03 PM,07:26 AM,05:49 PM,2,15,15,15,4,0,40,0.0,1016,11,10,128,2
2018-01-13 06:00:00,24,9,0.0,8.7,4,4,16,04:07 AM,03:03 PM,07:26 AM,05:49 PM,3,15,15,15,3,0,46,0.0,1017,11,10,24,3
2018-01-13 12:00:00,24,9,0.0,8.7,4,6,16,04:07 AM,03:03 PM,07:26 AM,05:49 PM,-1,24,24,25,12,0,18,0.0,1015,24,10,308,10
2018-01-13 18:00:00,24,9,0.0,8.7,4,4,16,04:07 AM,03:03 PM,07:26 AM,05:49 PM,1,16,16,16,10,0,35,0.0,1015,13,10,1,5
2018-01-14 00:00:00,25,9,0.0,8.7,4,1,9,04:59 AM,03:46 PM,07:26 AM,05:50 PM,-0,14,14,14,12,0,38,0.0,1015,10,10,278,6
2018-01-14 06:00:00,25,9,0.0,8.7,4,4,9,04:59 AM,03:46 PM,07:26 AM,05:50 PM,1,14,14,14,6,0,42,0.0,1016,10,10,334,4
2018-01-14 12:00:00,25,9,0.0,8.7,4,6,9,04:59 AM,03:46 PM,07:26 AM,05:50 PM,-1,24,24,25,14,0,17,0.0,1015,25,10,309,12
2018-01-14 18:00:00,25,9,0.0,8.7,4,4,9,04:59 AM,03:46 PM,07:26 AM,05:50 PM,1,16,16,16,17,0,37,0.0,1016,14,10,11,8
2018-01-15 00:00:00,24,9,0.0,8.7,4,1,1,05:49 AM,04:32 PM,07:25 AM,05:51 PM,1,14,14,14,11,0,42,0.0,1016,10,10,313,5
2018-01-15 06:00:00,24,9,0.0,8.7,4,4,1,05:49 AM,04:32 PM,07:25 AM,05:51 PM,-1,12,13,12,15,0,39,0.0,1018,10,10,311,8
2018-01-15 12:00:00,24,9,0.0,8.7,4,6,1,05:49 AM,04:32 PM,07:25 AM,05:51 PM,-5,23,23,24,15,0,14,0.0,1016,24,10,315,13
2018-01-15 18:00:00,24,9,0.0,8.7,4,4,1,05:49 AM,04:32 PM,07:25 AM,05:51 PM,-6,15,15,15,16,0,22,0.0,1015,13,10,301,8
2018-01-16 00:00:00,25,8,0.0,8.7,4,1,0,06:37 AM,05:21 PM,07:25 AM,05:52 PM,-10,10,12,10,20,0,22,0.0,1014,10,10,311,10
2018-01-16 06:00:00,25,8,0.0,8.7,4,3,0,06:37 AM,05:21 PM,07:25 AM,05:52 PM,-9,10,11,10,18,0,23,0.0,1015,9,10,302,9
2018-01-16 12:00:00,25,8,0.0,8.7,4,6,0,06:37 AM,05:21 PM,07:25 AM,05:52 PM,-5,25,25,26,10,0,13,0.0,1012,25,10,290,9
2018-01-16 18:00:00,25,8,0.0,8.7,4,4,0,06:37 AM,05:21 PM,07:25 AM,05:52 PM,-4,16,16,16,14,0,25,0.0,1012,14,10,127,6
2018-01-17 00:00:00,25,9,0.0,8.7,5,1,0,07:24 AM,06:12 PM,07:25 AM,05:53 PM,0,9,11,9,29,0,47,0.0,1012,11,10,123,14
2018-01-17 06:00:00,25,9,0.0,8.7,5,4,0,07:24 AM,06:12 PM,07:25 AM,05:53 PM,-1,10,11,10,26,2,43,0.0,1014,11,10,128,13
2018-01-17 12:00:00,25,9,0.0,8.7,5,6,0,07:24 AM,06:12 PM,07:25 AM,05:53 PM,4,24,24,25,18,5,25,0.0,1013,25,10,137,16
2018-01-17 18:00:00,25,9,0.0,8.7,5,5,0,07:24 AM,06:12 PM,07:25 AM,05:53 PM,7,16,16,16,23,5,54,0.0,1013,15,10,106,11
2018-01-18 00:00:00,26,11,0.0,8.7,5,1,6,08:06 AM,07:05 PM,07:25 AM,05:53 PM,5,12,13,12,18,5,60,0.0,1014,12,10,106,9
2018-01-18 06:00:00,26,11,0.0,8.7,5,4,6,08:06 AM,07:05 PM,07:25 AM,05:53 PM,7,16,15,16,7,5,59,0.0,1016,13,10,12,4
2018-01-18 12:00:00,26,11,0.0,8.7,5,7,6,08:06 AM,07:05 PM,07:25 AM,05:53 PM,7,26,26,26,12,0,28,0.0,1014,26,10,357,11
2018-01-18 18:00:00,26,11,0.0,8.7,5,5,6,08:06 AM,07:05 PM,07:25 AM,05:53 PM,7,18,18,18,13,0,49,0.0,1014,16,10,13,6
2018-01-19 00:00:00,25,11,0.0,8.7,5,1,13,08:46 AM,07:58 PM,07:25 AM,05:54 PM,8,16,16,16,11,0,58,0.0,1015,13,10,340,6
2018-01-19 06:00:00,25,11,0.0,8.7,5,4,13,08:46 AM,07:58 PM,07:25 AM,05:54 PM,8,17,17,17,4,0,55,0.0,1016,13,10,303,4
2018-01-19 12:00:00,25,11,0.0,8.7,5,6,13,08:46 AM,07:58 PM,07:25 AM,05:54 PM,1,24,24,25,13,0,20,0.0,1016,25,10,303,11
2018-01-19 18:00:00,25,11,0.0,8.7,5,4,13,08:46 AM,07:58 PM,07:25 AM,05:54 PM,-7,15,15,15,19,0,22,0.0,1016,14,10,293,9
2018-01-20 00:00:00,25,8,0.0,8.7,4,1,20,09:24 AM,08:53 PM,07:24 AM,05:55 PM,-6,11,12,11,18,0,28,0.0,1016,9,10,311,9
2018-01-20 06:00:00,25,8,0.0,8.7,4,3,20,09:24 AM,08:53 PM,07:24 AM,05:55 PM,-5,10,11,10,16,0,31,0.0,1016,9,10,292,8
2018-01-20 12:00:00,25,8,0.0,8.7,4,6,20,09:24 AM,08:53 PM,07:24 AM,05:55 PM,-3,24,24,25,13,0,15,0.0,1013,25,10,286,12
2018-01-20 18:00:00,25,8,0.0,8.7,4,4,20,09:24 AM,08:53 PM,07:24 AM,05:55 PM,-6,16,16,16,16,0,21,0.0,1014,14,10,257,8
2018-01-21 00:00:00,25,8,0.0,8.7,4,1,28,10:00 AM,09:48 PM,07:24 AM,05:56 PM,-8,13,13,13,12,0,22,0.0,1013,10,10,278,6
2018-01-21 06:00:00,25,8,0.0,8.7,4,3,28,10:00 AM,09:48 PM,07:24 AM,05:56 PM,-6,13,13,13,10,0,26,0.0,1014,10,10,245,6
2018-01-21 12:00:00,25,8,0.0,8.7,4,6,28,10:00 AM,09:48 PM,07:24 AM,05:56 PM,-5,25,25,27,10,0,12,0.0,1013,25,10,282,8
