date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,05:01 PM,05:58 AM,07:10 AM,05:36 PM,4,15,15,15,3,3,48,0.0,1014,12,10,312,2
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,05:01 PM,05:58 AM,07:10 AM,05:36 PM,6,16,15,16,5,3,56,0.0,1015,13,10,338,4
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,05:01 PM,05:58 AM,07:10 AM,05:36 PM,7,23,24,23,2,6,35,0.0,1013,21,10,119,2
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,05:01 PM,05:58 AM,07:10 AM,05:36 PM,5,15,15,15,18,10,51,0.0,1013,15,10,29,9
2018-01-02 00:00:00,19,9,0.0,8.7,4,1,100,06:05 PM,07:03 AM,07:10 AM,05:37 PM,1,13,13,13,10,6,46,0.0,1014,11,10,6,5
2018-01-02 06:00:00,19,9,0.0,8.7,4,4,100,06:05 PM,07:03 AM,07:10 AM,05:37 PM,3,12,13,12,9,0,51,0.0,1016,10,10,325,8
2018-01-02 12:00:00,19,9,0.0,8.7,4,5,100,06:05 PM,07:03 AM,07:10 AM,05:37 PM,1,21,23,21,7,0,26,0.0,1014,19,10,356,6
2018-01-02 18:00:00,19,9,0.0,8.7,4,4,100,06:05 PM,07:03 AM,07:10 AM,05:37 PM,1,15,15,15,5,0,37,0.0,1015,12,10,21,3
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:12 PM,08:04 AM,07:10 AM,05:38 PM,3,13,13,13,9,0,48,0.0,1015,10,10,320,6
2018-01-03 06:00:00,20,8,0.0,8.7,4,4,89,07:12 PM,08:04 AM,07:10 AM,05:38 PM,5,13,13,13,7,0,58,0.0,1017,10,10,259,6
2018-01-03 12:00:00,20,8,0.0,8.7,4,6,89,07:12 PM,08:04 AM,07:10 AM,05:38 PM,6,23,24,23,7,0,32,0.0,1014,20,10,324,6
2018-01-03 18:00:00,20,8,0.0,8.7,4,4,89,07:12 PM,08:04 AM,07:10 AM,05:38 PM,6,15,15,15,9,0,52,0.0,1015,12,10,302,5
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:18 PM,09:00 AM,07:10 AM,05:38 PM,4,13,13,13,9,0,54,0.0,1015,9,10,320,6
2018-01-04 06:00:00,21,8,0.0,8.7,4,4,81,08:18 PM,09:00 AM,07:10 AM,05:38 PM,7,16,15,16,5,0,57,0.0,1017,11,10,252,4
2018-01-04 12:00:00,21,8,0.0,8.7,4,6,81,08:18 PM,09:00 AM,07:10 AM,05:38 PM,5,24,24,24,7,0,28,0.0,1014,21,10,210,6
2018-01-04 18:00:00,21,8,0.0,8.7,4,4,81,08:18 PM,09:00 AM,07:10 AM,05:38 PM,3,16,16,16,12,0,43,0.0,1014,13,10,109,6
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:23 PM,09:49 AM,07:11 AM,05:39 PM,5,15,15,15,3,0,51,0.0,1016,10,10,87,3
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:23 PM,09:49 AM,07:11 AM,05:39 PM,5,14,14,14,5,1,55,0.0,1017,10,10,162,5
2018-01-05 12:00:00,20,8,0.0,8.7,4,6,74,09:23 PM,09:49 AM,07:11 AM,05:39 PM,7,24,24,24,2,0,35,0.0,1014,20,10,221,1
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:23 PM,09:49 AM,07:11 AM,05:39 PM,6,16,16,16,6,0,52,0.0,1014,13,10,82,4
2018-01-06 00:00:00,21,9,0.0,8.7,4,1,67,10:25 PM,10:33 AM,07:11 AM,05:40 PM,7,15,15,15,4,0,59,0.0,1014,10,10,353,3
2018-01-06 06:00:00,21,9,0.0,8.7,4,4,67,10:25 PM,10:33 AM,07:11 AM,05:40 PM,7,15,15,15,5,0,59,0.0,1015,11,10,302,4
2018-01-06 12:00:00,21,9,0.0,8.7,4,6,67,10:25 PM,10:33 AM,07:11 AM,05:40 PM,8,24,25,24,7,0,35,0.0,1012,21,10,294,6
2018-01-06 18:00:00,21,9,0.0,8.7,4,4,67,10:25 PM,10:33 AM,07:11 AM,05:40 PM,5,15,15,15,14,3,52,0.0,1014,14,10,28,6
2018-01-07 00:00:00,21,9,0.0,8.7,4,1,59,11:24 PM,11:14 AM,07:11 AM,05:41 PM,3,12,13,12,13,3,54,0.0,1015,10,10,346,7
2018-01-07 06:00:00,21,9,0.0,8.7,4,4,59,11:24 PM,11:14 AM,07:11 AM,05:41 PM,6,13,13,13,12,0,61,0.0,1017,11,10,302,9
2018-01-07 12:00:00,21,9,0.0,8.7,4,6,59,11:24 PM,11:14 AM,07:11 AM,05:41 PM,5,22,24,22,13,0,32,0.0,1014,21,10,308,11
2018-01-07 18:00:00,21,9,0.0,8.7,4,4,59,11:24 PM,11:14 AM,07:11 AM,05:41 PM,4,15,15,15,11,0,48,0.0,1015,13,10,332,6
2018-01-08 00:00:00,20,8,0.0,8.7,4,1,52,No moonrise,11:51 AM,07:11 AM,05:41 PM,2,12,12,12,13,0,47,0.0,1016,9,10,281,8
2018-01-08 06:00:00,20,8,0.0,8.7,4,3,52,No moonrise,11:51 AM,07:11 AM,05:41 PM,2,12,12,12,12,0,48,0.0,1018,10,10,284,8
2018-01-08 12:00:00,20,8,0.0,8.7,4,6,52,No moonrise,11:51 AM,07:11 AM,05:41 PM,4,23,24,23,10,0,30,0.0,1017,20,10,299,8
2018-01-08 18:00:00,20,8,0.0,8.7,4,4,52,No moonrise,11:51 AM,07:11 AM,05:41 PM,4,16,16,16,2,0,47,0.0,1018,12,10,317,1
2018-01-09 00:00:00,21,8,0.0,8.7,4,1,45,12:20 AM,12:27 PM,07:11 AM,05:42 PM,2,13,13,13,8,0,47,0.0,1019,9,10,306,5
2018-01-09 06:00:00,21,8,0.0,8.7,4,3,45,12:20 AM,12:27 PM,07:11 AM,05:42 PM,3,13,13,13,7,0,50,0.0,1021,10,10,293,6
2018-01-09 12:00:00,21,8,0.0,8.7,4,6,45,12:20 AM,12:27 PM,07:11 AM,05:42 PM,5,23,24,23,10,0,32,0.0,1019,21,10,330,9
2018-01-09 18:00:00,21,8,0.0,8.7,4,4,45,12:20 AM,12:27 PM,07:11 AM,05:42 PM,5,16,16,16,7,0,48,0.0,1018,12,10,331,4
2018-01-10 00:00:00,23,8,0.0,8.7,4,1,38,01:15 AM,01:03 PM,07:11 AM,05:43 PM,1,11,12,11,16,0,46,0.0,1020,9,10,290,9
2018-01-10 06:00:00,23,8,0.0,8.7,4,4,38,01:15 AM,01:03 PM,07:11 AM,05:43 PM,1,10,11,10,22,0,49,0.0,1021,10,10,271,12
2018-01-10 12:00:00,23,8,0.0,8.7,4,6,38,01:15 AM,01:03 PM,07:11 AM,05:43 PM,5,25,25,25,12,1,28,0.0,1017,23,10,283,11
2018-01-10 18:00:00,23,8,0.0,8.7,4,4,38,01:15 AM,01:03 PM,07:11 AM,05:43 PM,3,15,15,15,20,0,42,0.0,1018,14,10,303,9
2018-01-11 00:00:00,23,9,0.0,8.7,4,1,30,02:08 AM,01:40 PM,07:11 AM,05:44 PM,-7,12,13,12,21,0,25,0.0,1018,10,10,284,10
2018-01-11 06:00:00,23,9,0.0,8.7,4,4,30,02:08 AM,01:40 PM,07:11 AM,05:44 PM,-3,9,11,9,28,2,37,0.0,1019,10,10,279,13
2018-01-11 12:00:00,23,9,0.0,8.7,4,6,30,02:08 AM,01:40 PM,07:11 AM,05:44 PM,3,24,24,24,13,2,26,0.0,1016,23,10,294,12
2018-01-11 18:00:00,23,9,0.0,8.7,4,4,30,02:08 AM,01:40 PM,07:11 AM,05:44 PM,2,15,15,15,16,6,42,0.0,1016,14,10,314,8
2018-01-12 00:00:00,23,9,0.0,8.7,4,1,23,03:01 AM,02:17 PM,07:11 AM,05:44 PM,-3,12,12,12,17,8,33,0.0,1016,11,10,291,8
2018-01-12 06:00:00,23,9,0.0,8.7,4,4,23,03:01 AM,02:17 PM,07:11 AM,05:44 PM,-1,11,12,11,18,10,40,0.0,1017,11,10,268,9
2018-01-12 12:00:00,23,9,0.0,8.7,4,6,23,03:01 AM,02:17 PM,07:11 AM,05:44 PM,4,24,24,24,10,10,27,0.0,1015,23,10,290,9
2018-01-12 18:00:00,23,9,0.0,8.7,4,4,23,03:01 AM,02:17 PM,07:11 AM,05:44 PM,4,16,16,16,2,5,43,0.0,1016,15,10,236,1
2018-01-13 00:00:00,23,12,0.0,8.7,5,1,16,03:53 AM,02:58 PM,07:11 AM,05:45 PM,2,14,14,14,13,10,43,0.0,1016,13,10,286,6
2018-01-13 06:00:00,23,12,0.0,8.7,5,4,16,03:53 AM,02:58 PM,07:11 AM,05:45 PM,8,18,18,18,5,2,52,0.0,1017,14,10,280,4
2018-01-13 12:00:00,23,12,0.0,8.7,5,6,16,03:53 AM,02:58 PM,07:11 AM,05:45 PM,9,26,26,26,8,0,34,0.0,1014,23,10,291,7
2018-01-13 18:00:00,23,12,0.0,8.7,5,4,16,03:53 AM,02:58 PM,07:11 AM,05:45 PM,7,17,17,17,12,0,50,0.0,1016,15,10,12,6
2018-01-14 00:00:00,23,10,0.0,8.7,4,1,9,04:45 AM,03:42 PM,07:11 AM,05:46 PM,5,15,15,15,12,0,51,0.0,1016,12,10,268,7
2018-01-14 06:00:00,23,10,0.0,8.7,4,4,9,04:45 AM,03:42 PM,07:11 AM,05:46 PM,7,15,15,15,7,0,59,0.0,1017,12,10,311,6
2018-01-14 12:00:00,23,10,0.0,8.7,4,6,9,04:45 AM,03:42 PM,07:11 AM,05:46 PM,6,25,25,25,12,0,30,0.0,1015,23,10,303,10
2018-01-14 18:00:00,23,10,0.0,8.7,4,4,9,04:45 AM,03:42 PM,07:11 AM,05:46 PM,6,17,17,17,9,0,47,0.0,1016,14,10,5,4
2018-01-15 00:00:00,22,10,0.0,8.7,4,1,1,05:35 AM,04:27 PM,07:11 AM,05:47 PM,4,15,15,15,11,0,47,0.0,1017,11,10,298,6
2018-01-15 06:00:00,22,10,0.0,8.7,4,4,1,05:35 AM,04:27 PM,07:11 AM,05:47 PM,3,13,14,13,15,0,47,0.0,1018,11,10,303,9
2018-01-15 12:00:00,22,10,0.0,8.7,4,6,1,05:35 AM,04:27 PM,07:11 AM,05:47 PM,7,24,24,23,14,0,35,0.0,1015,22,10,309,12
2018-01-15 18:00:00,22,10,0.0,8.7,4,4,1,05:35 AM,04:27 PM,07:11 AM,05:47 PM,6,15,15,15,20,0,53,0.0,1015,14,10,298,9
2018-01-16 00:00:00,22,8,0.0,8.7,4,1,0,06:23 AM,05:16 PM,07:11 AM,05:48 PM,-1,11,12,11,22,0,42,0.0,1014,10,10,298,10
2018-01-16 06:00:00,22,8,0.0,8.7,4,4,0,06:23 AM,05:16 PM,07:11 AM,05:48 PM,1,12,13,12,12,0,46,0.0,1016,10,10,278,8
2018-01-16 12:00:00,22,8,0.0,8.7,4,6,0,06:23 AM,05:16 PM,07:11 AM,05:48 PM,6,25,25,26,3,0,28,0.0,1013,22,10,318,3
2018-01-16 18:00:00,22,8,0.0,8.7,4,4,0,06:23 AM,05:16 PM,07:11 AM,05:48 PM,4,16,16,16,18,0,45,0.0,1013,14,10,81,9
2018-01-17 00:00:00,23,9,0.0,8.7,4,1,0,07:09 AM,06:07 PM,07:11 AM,05:48 PM,5,15,15,15,9,0,52,0.0,1014,11,10,112,5
2018-01-17 06:00:00,23,9,0.0,8.7,4,4,0,07:09 AM,06:07 PM,07:11 AM,05:48 PM,6,14,14,14,7,0,57,0.0,1017,11,10,144,6
2018-01-17 12:00:00,23,9,0.0,8.7,4,6,0,07:09 AM,06:07 PM,07:11 AM,05:48 PM,8,25,25,24,11,2,37,0.0,1014,23,10,118,9
2018-01-17 18:00:00,23,9,0.0,8.7,4,4,0,07:09 AM,06:07 PM,07:11 AM,05:48 PM,7,16,16,16,12,4,53,0.0,1015,15,10,116,6
2018-01-18 00:00:00,25,10,0.0,8.7,5,1,6,07:53 AM,06:59 PM,07:11 AM,05:49 PM,8,17,17,17,3,0,55,0.0,1015,12,10,38,2
2018-01-18 06:00:00,25,10,0.0,8.7,5,4,6,07:53 AM,06:59 PM,07:11 AM,05:49 PM,9,17,17,17,6,0,60,0.0,1017,14,10,244,5
2018-01-18 12:00:00,25,10,0.0,8.7,5,7,6,07:53 AM,06:59 PM,07:11 AM,05:49 PM,13,29,29,29,5,0,38,0.0,1014,25,10,267,4
2018-01-18 18:00:00,25,10,0.0,8.7,5,5,6,07:53 AM,06:59 PM,07:11 AM,05:49 PM,12,20,20,20,12,1,61,0.0,1014,17,10,33,6
2018-01-19 00:00:00,25,12,0.0,8.7,5,1,13,08:33 AM,07:52 PM,07:11 AM,05:50 PM,10,19,19,19,7,0,59,0.0,1015,14,10,330,4
2018-01-19 06:00:00,25,12,0.0,8.7,5,4,13,08:33 AM,07:52 PM,07:11 AM,05:50 PM,11,18,18,18,7,0,64,0.0,1017,15,10,302,6
