date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,28,0.0,13.1,7,1,97,06:43 PM,05:18 AM,05:40 AM,06:45 PM,24,32,32,28,27,28,77,0.0,1012,28,10,80,20
2018-01-01 06:00:00,29,28,0.0,13.1,7,1,97,06:43 PM,05:18 AM,05:40 AM,06:45 PM,24,33,33,28,28,46,78,0.0,1014,28,10,79,21
2018-01-01 12:00:00,29,28,0.0,13.1,7,7,97,06:43 PM,05:18 AM,05:40 AM,06:45 PM,23,32,32,28,26,15,76,0.0,1012,28,10,79,19
2018-01-01 18:00:00,29,28,0.0,13.1,7,1,97,06:43 PM,05:18 AM,05:40 AM,06:45 PM,24,33,33,29,30,32,77,0.0,1013,29,10,98,22
2018-01-02 00:00:00,29,28,0.0,13.1,7,1,100,07:45 PM,06:22 AM,05:41 AM,06:46 PM,24,32,32,28,26,37,77,0.0,1013,28,10,95,19
2018-01-02 06:00:00,29,28,0.0,13.1,7,1,100,07:45 PM,06:22 AM,05:41 AM,06:46 PM,24,33,33,28,28,54,77,0.0,1014,28,10,105,21
2018-01-02 12:00:00,29,28,0.0,13.1,7,7,100,07:45 PM,06:22 AM,05:41 AM,06:46 PM,24,33,33,29,22,58,75,0.0,1012,29,10,108,17
2018-01-02 18:00:00,29,28,0.0,13.1,7,1,100,07:45 PM,06:22 AM,05:41 AM,06:46 PM,24,33,33,29,25,39,75,0.0,1013,29,10,108,18
2018-01-03 00:00:00,28,27,0.0,12.0,6,1,89,08:42 PM,07:27 AM,05:42 AM,06:46 PM,23,32,32,28,21,75,75,0.0,1011,28,10,98,15
2018-01-03 06:00:00,28,27,0.0,12.0,6,1,89,08:42 PM,07:27 AM,05:42 AM,06:46 PM,23,32,32,28,20,76,76,0.0,1012,28,10,85,15
2018-01-03 12:00:00,28,27,0.0,12.0,6,7,89,08:42 PM,07:27 AM,05:42 AM,06:46 PM,23,31,31,28,8,23,74,0.0,1010,28,10,42,6
2018-01-03 18:00:00,28,27,0.0,12.0,6,1,89,08:42 PM,07:27 AM,05:42 AM,06:46 PM,23,31,31,27,18,67,76,0.0,1011,27,10,130,13
2018-01-04 00:00:00,29,27,0.0,12.0,6,1,81,09:34 PM,08:30 AM,05:42 AM,06:46 PM,23,30,30,27,17,81,78,0.0,1009,27,10,113,13
