date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,8.7,6,1,97,05:16 PM,05:39 AM,06:48 AM,05:53 PM,9,19,19,19,6,7,52,0.0,1012,18,10,86,3
2018-01-01 06:00:00,29,17,0.0,8.7,6,6,97,05:16 PM,05:39 AM,06:48 AM,05:53 PM,14,23,25,23,7,2,58,0.0,1012,21,10,151,6
2018-01-01 12:00:00,29,17,0.0,8.7,6,7,97,05:16 PM,05:39 AM,06:48 AM,05:53 PM,8,28,28,29,8,4,26,0.0,1008,29,10,302,7
2018-01-01 18:00:00,29,17,0.0,8.7,6,6,97,05:16 PM,05:39 AM,06:48 AM,05:53 PM,6,22,24,22,20,3,36,0.0,1010,22,10,17,9
2018-01-02 00:00:00,29,17,0.0,8.7,6,1,100,06:19 PM,06:43 AM,06:48 AM,05:53 PM,7,19,19,19,17,4,45,0.0,1010,18,10,81,8
2018-01-02 06:00:00,29,17,0.0,8.7,6,6,100,06:19 PM,06:43 AM,06:48 AM,05:53 PM,10,21,21,21,11,3,48,0.0,1013,20,10,115,9
2018-01-02 12:00:00,29,17,0.0,8.7,6,7,100,06:19 PM,06:43 AM,06:48 AM,05:53 PM,8,29,29,30,5,4,26,0.0,1009,29,10,352,4
2018-01-02 18:00:00,29,17,0.0,8.7,6,6,100,06:19 PM,06:43 AM,06:48 AM,05:53 PM,6,22,24,22,20,3,34,0.0,1011,22,10,11,9
2018-01-03 00:00:00,28,17,0.0,8.7,6,1,89,07:25 PM,07:46 AM,06:49 AM,05:54 PM,7,18,18,18,22,3,47,0.0,1012,18,10,83,10
2018-01-03 06:00:00,28,17,0.0,8.7,6,6,89,07:25 PM,07:46 AM,06:49 AM,05:54 PM,9,21,21,21,12,4,47,0.0,1014,20,10,116,9
2018-01-03 12:00:00,28,17,0.0,8.7,6,7,89,07:25 PM,07:46 AM,06:49 AM,05:54 PM,8,28,28,30,5,4,25,0.0,1011,28,10,21,5
2018-01-03 18:00:00,28,17,0.0,8.7,6,6,89,07:25 PM,07:46 AM,06:49 AM,05:54 PM,6,22,24,22,21,3,35,0.0,1013,21,10,32,10
2018-01-04 00:00:00,28,17,0.0,8.7,6,1,81,08:29 PM,08:43 AM,06:49 AM,05:55 PM,7,18,18,18,16,5,49,0.0,1013,17,10,99,8
2018-01-04 06:00:00,28,17,0.0,8.7,6,6,81,08:29 PM,08:43 AM,06:49 AM,05:55 PM,8,21,21,21,12,7,45,0.0,1016,20,10,100,9
2018-01-04 12:00:00,28,17,0.0,8.7,6,7,81,08:29 PM,08:43 AM,06:49 AM,05:55 PM,7,27,27,28,10,4,26,0.0,1012,28,10,20,8
2018-01-04 18:00:00,28,17,0.0,8.7,6,6,81,08:29 PM,08:43 AM,06:49 AM,05:55 PM,6,21,24,21,17,4,38,0.0,1013,21,10,48,8
2018-01-05 00:00:00,28,17,0.0,8.7,6,1,74,09:30 PM,09:36 AM,06:49 AM,05:55 PM,6,18,18,18,20,5,45,0.0,1013,18,10,107,10
2018-01-05 06:00:00,28,17,0.0,8.7,6,5,74,09:30 PM,09:36 AM,06:49 AM,05:55 PM,6,20,20,20,16,4,40,0.0,1014,20,10,137,10
2018-01-05 12:00:00,28,17,0.0,8.7,6,7,74,09:30 PM,09:36 AM,06:49 AM,05:55 PM,6,27,27,29,9,3,23,0.0,1011,28,10,14,8
2018-01-05 18:00:00,28,17,0.0,8.7,6,6,74,09:30 PM,09:36 AM,06:49 AM,05:55 PM,6,22,24,22,16,2,34,0.0,1012,21,10,57,8
2018-01-06 00:00:00,28,16,0.0,8.7,6,1,67,10:28 PM,10:23 AM,06:50 AM,05:56 PM,6,19,19,19,14,5,42,0.0,1011,18,10,115,7
2018-01-06 06:00:00,28,16,0.0,8.7,6,5,67,10:28 PM,10:23 AM,06:50 AM,05:56 PM,7,21,21,21,10,4,41,0.0,1014,20,10,121,8
2018-01-06 12:00:00,28,16,0.0,8.7,6,7,67,10:28 PM,10:23 AM,06:50 AM,05:56 PM,6,27,27,29,7,3,23,0.0,1011,28,10,39,6
2018-01-06 18:00:00,28,16,0.0,8.7,6,6,67,10:28 PM,10:23 AM,06:50 AM,05:56 PM,6,22,24,22,17,3,35,0.0,1012,21,10,54,8
2018-01-07 00:00:00,29,17,0.0,8.7,6,1,59,11:23 PM,11:08 AM,06:50 AM,05:56 PM,8,19,19,19,13,4,48,0.0,1012,18,10,135,7
2018-01-07 06:00:00,29,17,0.0,8.7,6,6,59,11:23 PM,11:08 AM,06:50 AM,05:56 PM,11,21,24,21,9,5,52,0.0,1014,20,10,158,7
2018-01-07 12:00:00,29,17,0.0,8.7,6,7,59,11:23 PM,11:08 AM,06:50 AM,05:56 PM,8,28,28,30,3,4,25,0.0,1011,29,10,174,3
2018-01-07 18:00:00,29,17,0.0,8.7,6,6,59,11:23 PM,11:08 AM,06:50 AM,05:56 PM,7,23,24,23,12,4,36,0.0,1012,22,10,53,6
2018-01-08 00:00:00,27,17,0.0,8.7,6,1,52,No moonrise,11:49 AM,06:50 AM,05:57 PM,7,19,19,19,17,5,47,0.0,1013,18,10,128,8
2018-01-08 06:00:00,27,17,0.0,8.7,6,5,52,No moonrise,11:49 AM,06:50 AM,05:57 PM,7,20,20,20,16,6,44,0.0,1015,20,10,111,11
2018-01-08 12:00:00,27,17,0.0,8.7,6,7,52,No moonrise,11:49 AM,06:50 AM,05:57 PM,7,26,26,27,12,5,26,0.0,1013,27,10,88,11
2018-01-08 18:00:00,27,17,0.0,8.7,6,6,52,No moonrise,11:49 AM,06:50 AM,05:57 PM,7,21,24,21,22,5,40,0.0,1014,21,10,71,10
2018-01-09 00:00:00,27,16,0.0,8.7,6,1,45,12:16 AM,12:28 PM,06:50 AM,05:58 PM,8,18,18,18,14,4,51,0.0,1015,17,10,96,7
2018-01-09 06:00:00,27,16,0.0,8.7,6,5,45,12:16 AM,12:28 PM,06:50 AM,05:58 PM,7,19,19,19,12,0,44,0.0,1018,19,10,97,9
2018-01-09 12:00:00,27,16,0.0,8.7,6,7,45,12:16 AM,12:28 PM,06:50 AM,05:58 PM,7,26,26,27,13,6,28,0.0,1015,27,10,75,12
2018-01-09 18:00:00,27,16,0.0,8.7,6,6,45,12:16 AM,12:28 PM,06:50 AM,05:58 PM,9,22,24,22,18,7,43,0.0,1016,21,10,75,9
2018-01-10 00:00:00,28,17,0.0,8.7,6,1,38,01:07 AM,01:08 PM,06:51 AM,05:58 PM,8,19,19,19,12,8,47,0.0,1017,19,10,78,6
2018-01-10 06:00:00,28,17,0.0,8.7,6,6,38,01:07 AM,01:08 PM,06:51 AM,05:58 PM,8,21,21,21,8,6,43,0.0,1018,20,10,74,6
