date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,16,0.0,8.7,6,1,97,04:30 PM,05:08 AM,06:20 AM,05:08 PM,6,20,20,20,12,3,40,0.0,1013,18,10,319,7
2018-01-01 06:00:00,27,16,0.0,8.7,6,5,97,04:30 PM,05:08 AM,06:20 AM,05:08 PM,10,20,20,20,17,7,52,0.0,1015,19,10,2,13
2018-01-01 12:00:00,27,16,0.0,8.7,6,7,97,04:30 PM,05:08 AM,06:20 AM,05:08 PM,8,28,28,29,11,0,27,0.0,1011,27,10,3,9
2018-01-01 18:00:00,27,16,0.0,8.7,6,6,97,04:30 PM,05:08 AM,06:20 AM,05:08 PM,10,24,25,24,3,1,41,0.0,1013,20,10,64,3
2018-01-02 00:00:00,26,15,0.0,8.7,5,1,100,05:34 PM,06:13 AM,06:21 AM,05:09 PM,6,19,19,19,16,0,42,0.0,1012,17,10,345,11
2018-01-02 06:00:00,26,15,0.0,8.7,5,5,100,05:34 PM,06:13 AM,06:21 AM,05:09 PM,8,20,20,20,16,0,47,0.0,1014,18,10,338,14
2018-01-02 12:00:00,26,15,0.0,8.7,5,7,100,05:34 PM,06:13 AM,06:21 AM,05:09 PM,6,26,26,28,14,0,25,0.0,1011,26,10,343,12
2018-01-02 18:00:00,26,15,0.0,8.7,5,5,100,05:34 PM,06:13 AM,06:21 AM,05:09 PM,8,23,24,23,11,0,39,0.0,1013,20,10,5,8
2018-01-03 00:00:00,26,14,0.0,8.7,5,1,89,06:40 PM,07:15 AM,06:21 AM,05:09 PM,6,18,18,18,20,2,45,0.0,1014,16,10,348,12
2018-01-03 06:00:00,26,14,0.0,8.7,5,5,89,06:40 PM,07:15 AM,06:21 AM,05:09 PM,7,19,19,19,13,4,43,0.0,1015,18,10,336,11
2018-01-03 12:00:00,26,14,0.0,8.7,5,7,89,06:40 PM,07:15 AM,06:21 AM,05:09 PM,8,26,26,27,10,4,29,0.0,1012,26,10,309,9
2018-01-03 18:00:00,26,14,0.0,8.7,5,5,89,06:40 PM,07:15 AM,06:21 AM,05:09 PM,9,23,24,23,6,0,39,0.0,1014,20,10,239,5
2018-01-04 00:00:00,24,13,0.0,8.7,5,1,81,07:45 PM,08:12 AM,06:21 AM,05:10 PM,3,17,17,17,16,0,40,0.0,1015,15,10,2,12
2018-01-04 06:00:00,24,13,0.0,8.7,5,5,81,07:45 PM,08:12 AM,06:21 AM,05:10 PM,6,19,19,19,13,0,42,0.0,1017,17,10,359,11
2018-01-04 12:00:00,24,13,0.0,8.7,5,6,81,07:45 PM,08:12 AM,06:21 AM,05:10 PM,2,24,24,25,15,0,22,0.0,1014,24,10,349,13
2018-01-04 18:00:00,24,13,0.0,8.7,5,5,81,07:45 PM,08:12 AM,06:21 AM,05:10 PM,5,20,20,20,8,0,37,0.0,1015,17,10,43,6
2018-01-05 00:00:00,25,12,0.0,8.7,5,1,74,08:48 PM,09:03 AM,06:21 AM,05:11 PM,6,18,18,18,10,0,43,0.0,1015,14,10,356,8
2018-01-05 06:00:00,25,12,0.0,8.7,5,5,74,08:48 PM,09:03 AM,06:21 AM,05:11 PM,5,19,19,19,11,0,41,0.0,1016,16,10,340,10
2018-01-05 12:00:00,25,12,0.0,8.7,5,6,74,08:48 PM,09:03 AM,06:21 AM,05:11 PM,2,25,25,27,12,0,20,0.0,1012,25,10,342,11
