date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,04:58 PM,06:00 AM,07:13 AM,05:33 PM,5,16,16,16,6,0,48,0.0,1014,12,10,291,5
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,04:58 PM,06:00 AM,07:13 AM,05:33 PM,6,16,16,16,5,0,52,0.0,1015,12,10,335,5
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,04:58 PM,06:00 AM,07:13 AM,05:33 PM,1,24,23,24,7,0,22,0.0,1013,21,10,289,6
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,04:58 PM,06:00 AM,07:13 AM,05:33 PM,1,16,16,16,10,0,35,0.0,1014,14,10,323,6
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,06:02 PM,07:06 AM,07:13 AM,05:34 PM,4,14,14,14,7,0,51,0.0,1015,10,10,346,5
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,06:02 PM,07:06 AM,07:13 AM,05:34 PM,5,14,14,14,7,0,55,0.0,1015,10,10,310,6
2018-01-02 12:00:00,20,9,0.0,8.7,4,6,100,06:02 PM,07:06 AM,07:13 AM,05:34 PM,2,24,23,24,5,0,25,0.0,1014,20,10,339,5
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,06:02 PM,07:06 AM,07:13 AM,05:34 PM,4,16,16,16,9,0,43,0.0,1016,13,10,306,5
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:09 PM,08:07 AM,07:13 AM,05:34 PM,5,13,14,13,11,0,55,0.0,1015,10,10,307,8
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:09 PM,08:07 AM,07:13 AM,05:34 PM,6,13,13,13,10,0,60,0.0,1016,10,10,292,8
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:09 PM,08:07 AM,07:13 AM,05:34 PM,3,22,23,22,13,0,28,0.0,1014,21,10,306,11
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:09 PM,08:07 AM,07:13 AM,05:34 PM,4,14,14,14,17,0,49,0.0,1015,13,10,294,9
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:16 PM,09:02 AM,07:14 AM,05:35 PM,3,11,12,11,16,0,56,0.0,1015,10,10,312,9
2018-01-04 06:00:00,21,8,0.0,8.7,4,4,81,08:16 PM,09:02 AM,07:14 AM,05:35 PM,5,13,13,13,8,0,58,0.0,1016,10,10,292,7
2018-01-04 12:00:00,21,8,0.0,8.7,4,6,81,08:16 PM,09:02 AM,07:14 AM,05:35 PM,1,23,23,23,10,0,24,0.0,1014,21,10,281,8
2018-01-04 18:00:00,21,8,0.0,8.7,4,4,81,08:16 PM,09:02 AM,07:14 AM,05:35 PM,2,16,16,16,8,0,38,0.0,1015,13,10,356,4
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:22 PM,09:51 AM,07:14 AM,05:36 PM,3,14,14,14,7,0,48,0.0,1016,10,10,41,5
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:22 PM,09:51 AM,07:14 AM,05:36 PM,3,13,13,13,3,3,49,0.0,1016,11,10,199,3
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:22 PM,09:51 AM,07:14 AM,05:36 PM,3,22,23,22,6,4,29,0.0,1014,20,10,288,5
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:22 PM,09:51 AM,07:14 AM,05:36 PM,3,15,15,15,11,0,44,0.0,1014,13,10,337,6
2018-01-06 00:00:00,20,9,0.0,8.7,4,1,67,10:24 PM,10:34 AM,07:14 AM,05:37 PM,3,13,13,13,10,0,50,0.0,1014,10,10,309,7
2018-01-06 06:00:00,20,9,0.0,8.7,4,3,67,10:24 PM,10:34 AM,07:14 AM,05:37 PM,4,12,13,12,8,0,55,0.0,1014,10,10,306,7
2018-01-06 12:00:00,20,9,0.0,8.7,4,6,67,10:24 PM,10:34 AM,07:14 AM,05:37 PM,3,21,23,21,15,0,30,0.0,1013,20,10,299,13
2018-01-06 18:00:00,20,9,0.0,8.7,4,4,67,10:24 PM,10:34 AM,07:14 AM,05:37 PM,5,14,15,14,16,0,51,0.0,1014,13,10,323,8
2018-01-07 00:00:00,20,8,0.0,8.7,4,1,59,11:24 PM,11:14 AM,07:14 AM,05:37 PM,4,11,12,11,17,0,59,0.0,1014,9,10,315,10
2018-01-07 06:00:00,20,8,0.0,8.7,4,3,59,11:24 PM,11:14 AM,07:14 AM,05:37 PM,3,9,10,9,22,0,59,0.0,1015,10,10,284,13
2018-01-07 12:00:00,20,8,0.0,8.7,4,6,59,11:24 PM,11:14 AM,07:14 AM,05:37 PM,3,20,20,20,19,0,31,0.0,1013,20,10,288,16
2018-01-07 18:00:00,20,8,0.0,8.7,4,4,59,11:24 PM,11:14 AM,07:14 AM,05:37 PM,2,14,14,14,19,0,45,0.0,1014,13,10,294,9
2018-01-08 00:00:00,20,8,0.0,8.7,4,1,52,No moonrise,11:51 AM,07:14 AM,05:38 PM,1,10,12,10,18,0,48,0.0,1014,9,10,282,10
2018-01-08 06:00:00,20,8,0.0,8.7,4,3,52,No moonrise,11:51 AM,07:14 AM,05:38 PM,1,9,11,9,16,0,52,0.0,1016,9,10,294,11
2018-01-08 12:00:00,20,8,0.0,8.7,4,6,52,No moonrise,11:51 AM,07:14 AM,05:38 PM,1,21,21,21,15,0,26,0.0,1016,20,10,295,13
2018-01-08 18:00:00,20,8,0.0,8.7,4,4,52,No moonrise,11:51 AM,07:14 AM,05:38 PM,2,14,14,14,17,0,44,0.0,1017,12,10,324,8
2018-01-09 00:00:00,20,8,0.0,8.7,4,1,45,12:20 AM,12:26 PM,07:14 AM,05:39 PM,1,12,12,12,12,0,47,0.0,1018,9,10,301,8
2018-01-09 06:00:00,20,8,0.0,8.7,4,3,45,12:20 AM,12:26 PM,07:14 AM,05:39 PM,1,11,12,11,11,0,47,0.0,1019,9,10,291,9
2018-01-09 12:00:00,20,8,0.0,8.7,4,6,45,12:20 AM,12:26 PM,07:14 AM,05:39 PM,2,21,23,21,14,0,28,0.0,1018,20,10,298,12
