date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,10,0.0,8.7,5,1,97,04:45 PM,05:33 AM,06:45 AM,05:22 PM,9,16,16,16,4,3,64,0.0,1014,13,10,263,3
2018-01-01 06:00:00,22,10,0.0,8.7,5,4,97,04:45 PM,05:33 AM,06:45 AM,05:22 PM,11,19,19,19,4,0,59,0.0,1016,13,10,279,4
2018-01-01 12:00:00,22,10,0.0,8.7,5,6,97,04:45 PM,05:33 AM,06:45 AM,05:22 PM,5,24,24,24,10,3,29,0.0,1013,22,10,335,9
2018-01-01 18:00:00,22,10,0.0,8.7,5,4,97,04:45 PM,05:33 AM,06:45 AM,05:22 PM,5,17,17,17,10,2,46,0.0,1015,14,10,290,6
2018-01-02 00:00:00,22,10,0.0,8.7,4,1,100,05:49 PM,06:38 AM,06:45 AM,05:22 PM,9,17,17,17,3,0,57,0.0,1014,11,10,314,3
2018-01-02 06:00:00,22,10,0.0,8.7,4,4,100,05:49 PM,06:38 AM,06:45 AM,05:22 PM,6,17,17,17,1,2,49,0.0,1017,13,10,255,1
2018-01-02 12:00:00,22,10,0.0,8.7,4,6,100,05:49 PM,06:38 AM,06:45 AM,05:22 PM,4,23,24,23,12,4,29,0.0,1013,22,10,325,10
2018-01-02 18:00:00,22,10,0.0,8.7,4,4,100,05:49 PM,06:38 AM,06:45 AM,05:22 PM,5,16,16,16,15,3,49,0.0,1015,14,10,354,8
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,06:55 PM,07:40 AM,06:45 AM,05:23 PM,6,15,15,15,5,3,53,0.0,1015,12,10,218,3
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,06:55 PM,07:40 AM,06:45 AM,05:23 PM,8,18,18,18,8,0,52,0.0,1017,13,10,266,7
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,06:55 PM,07:40 AM,06:45 AM,05:23 PM,5,23,24,23,15,0,30,0.0,1014,21,10,310,13
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,06:55 PM,07:40 AM,06:45 AM,05:23 PM,6,17,17,17,7,0,47,0.0,1015,13,10,300,5
2018-01-04 00:00:00,22,10,0.0,8.7,4,1,81,08:01 PM,08:35 AM,06:46 AM,05:24 PM,8,17,17,17,6,0,57,0.0,1016,11,10,252,5
2018-01-04 06:00:00,22,10,0.0,8.7,4,4,81,08:01 PM,08:35 AM,06:46 AM,05:24 PM,8,18,18,18,9,0,55,0.0,1018,14,10,217,8
2018-01-04 12:00:00,22,10,0.0,8.7,4,6,81,08:01 PM,08:35 AM,06:46 AM,05:24 PM,6,26,26,27,6,0,26,0.0,1014,22,10,343,5
2018-01-04 18:00:00,22,10,0.0,8.7,4,4,81,08:01 PM,08:35 AM,06:46 AM,05:24 PM,6,17,17,17,8,0,47,0.0,1016,14,10,28,5
2018-01-05 00:00:00,21,8,0.0,8.7,4,1,74,09:05 PM,09:26 AM,06:46 AM,05:24 PM,9,17,17,17,3,0,58,0.0,1016,10,10,108,3
2018-01-05 06:00:00,21,8,0.0,8.7,4,4,74,09:05 PM,09:26 AM,06:46 AM,05:24 PM,8,17,17,17,7,0,57,0.0,1017,12,10,236,6
