date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,23,0.0,11.6,7,1,97,05:29 PM,05:02 AM,06:02 AM,06:02 PM,21,27,27,25,45,0,78,0.0,1011,25,10,66,30
2018-01-01 06:00:00,29,23,0.0,11.6,7,6,97,05:29 PM,05:02 AM,06:02 AM,06:02 PM,20,26,26,24,41,0,83,0.0,1011,23,10,58,27
2018-01-01 12:00:00,29,23,0.0,11.6,7,7,97,05:29 PM,05:02 AM,06:02 AM,06:02 PM,19,30,30,29,36,0,56,0.0,1010,29,10,62,30
2018-01-01 18:00:00,29,23,0.0,11.6,7,7,97,05:29 PM,05:02 AM,06:02 AM,06:02 PM,20,28,28,26,50,0,68,0.0,1007,26,10,79,33
2018-01-02 00:00:00,29,24,0.0,11.6,7,1,100,06:32 PM,06:05 AM,06:02 AM,06:03 PM,20,26,26,25,48,0,77,0.0,1009,25,10,73,33
2018-01-02 06:00:00,29,24,0.0,11.6,7,6,100,06:32 PM,06:05 AM,06:02 AM,06:03 PM,21,26,26,24,43,7,84,0.0,1010,24,10,67,28
2018-01-02 12:00:00,29,24,0.0,11.6,7,7,100,06:32 PM,06:05 AM,06:02 AM,06:03 PM,19,31,31,29,34,0,56,0.0,1009,29,10,65,28
2018-01-02 18:00:00,29,24,0.0,11.6,7,7,100,06:32 PM,06:05 AM,06:02 AM,06:03 PM,21,27,27,25,48,3,78,0.0,1008,25,10,83,32
2018-01-03 00:00:00,29,24,0.0,11.6,7,1,89,07:35 PM,07:09 AM,06:03 AM,06:03 PM,20,26,26,25,43,0,74,0.0,1010,25,10,77,30
2018-01-03 06:00:00,29,24,0.0,11.6,7,6,89,07:35 PM,07:09 AM,06:03 AM,06:03 PM,20,26,26,24,43,0,80,0.0,1010,24,10,66,28
2018-01-03 12:00:00,29,24,0.0,11.6,7,7,89,07:35 PM,07:09 AM,06:03 AM,06:03 PM,20,31,31,29,36,0,57,0.0,1010,29,10,63,30
2018-01-03 18:00:00,29,24,0.0,11.6,7,7,89,07:35 PM,07:09 AM,06:03 AM,06:03 PM,21,28,28,26,54,3,74,0.0,1008,26,10,78,37
