date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,35,23,0.0,12.5,7,1,97,05:36 PM,05:04 AM,05:58 AM,06:05 PM,18,26,26,24,6,28,71,0.0,1012,24,10,256,3
2018-01-01 06:00:00,35,23,0.0,12.5,7,6,97,05:36 PM,05:04 AM,05:58 AM,06:05 PM,19,26,26,25,5,9,72,0.0,1012,25,10,257,4
2018-01-01 12:00:00,35,23,0.0,12.5,7,8,97,05:36 PM,05:04 AM,05:58 AM,06:05 PM,16,36,36,35,6,20,33,0.0,1009,35,10,43,5
2018-01-01 18:00:00,35,23,0.0,12.5,7,1,97,05:36 PM,05:04 AM,05:58 AM,06:05 PM,16,28,28,28,7,16,50,0.0,1009,28,10,29,3
2018-01-02 00:00:00,33,23,0.0,12.5,7,1,100,06:39 PM,06:07 AM,05:59 AM,06:05 PM,18,25,25,24,9,46,72,0.0,1011,24,10,234,5
2018-01-02 06:00:00,33,23,0.0,12.5,7,6,100,06:39 PM,06:07 AM,05:59 AM,06:05 PM,20,26,26,24,4,37,76,0.0,1012,24,10,282,4
2018-01-02 12:00:00,33,23,0.0,12.5,7,8,100,06:39 PM,06:07 AM,05:59 AM,06:05 PM,17,34,34,33,5,26,37,0.0,1008,33,10,18,4
2018-01-02 18:00:00,33,23,0.0,12.5,7,1,100,06:39 PM,06:07 AM,05:59 AM,06:05 PM,17,28,28,28,5,23,51,0.0,1008,27,10,15,3
2018-01-03 00:00:00,35,23,0.0,12.5,7,1,89,07:42 PM,07:11 AM,05:59 AM,06:06 PM,18,26,26,24,8,16,66,0.0,1010,24,10,237,4
2018-01-03 06:00:00,35,23,0.0,12.5,7,6,89,07:42 PM,07:11 AM,05:59 AM,06:06 PM,18,26,26,24,6,26,70,0.0,1012,24,10,327,4
2018-01-03 12:00:00,35,23,0.0,12.5,7,8,89,07:42 PM,07:11 AM,05:59 AM,06:06 PM,13,34,34,35,9,17,28,0.0,1008,34,10,356,8
2018-01-03 18:00:00,35,23,0.0,12.5,7,1,89,07:42 PM,07:11 AM,05:59 AM,06:06 PM,12,28,28,29,16,68,35,0.0,1009,29,10,348,8
2018-01-04 00:00:00,36,21,0.0,12.1,7,1,81,08:41 PM,08:11 AM,06:00 AM,06:06 PM,3,23,23,23,8,12,28,0.0,1011,23,10,319,4
2018-01-04 06:00:00,36,21,0.0,12.1,7,6,81,08:41 PM,08:11 AM,06:00 AM,06:06 PM,7,24,24,22,6,47,36,0.0,1013,22,10,312,4
