date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,04:54 PM,05:55 AM,07:08 AM,05:29 PM,3,17,17,17,5,0,39,0.0,1014,12,10,333,4
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,04:54 PM,05:55 AM,07:08 AM,05:29 PM,5,17,17,17,5,0,45,0.0,1016,12,10,322,5
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,04:54 PM,05:55 AM,07:08 AM,05:29 PM,3,24,24,24,8,0,24,0.0,1013,21,10,303,7
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,04:54 PM,05:55 AM,07:08 AM,05:29 PM,2,17,17,17,9,0,36,0.0,1014,13,10,5,6
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,05:58 PM,07:01 AM,07:08 AM,05:30 PM,1,15,15,15,9,0,39,0.0,1015,10,10,356,7
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,05:58 PM,07:01 AM,07:08 AM,05:30 PM,4,14,14,14,8,0,50,0.0,1015,10,10,294,7
2018-01-02 12:00:00,20,9,0.0,8.7,4,6,100,05:58 PM,07:01 AM,07:08 AM,05:30 PM,1,24,24,24,5,0,23,0.0,1014,20,10,288,5
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,05:58 PM,07:01 AM,07:08 AM,05:30 PM,3,16,16,16,12,0,41,0.0,1016,13,10,301,7
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:05 PM,08:02 AM,07:09 AM,05:30 PM,3,12,13,12,15,0,49,0.0,1016,10,10,300,10
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:05 PM,08:02 AM,07:09 AM,05:30 PM,4,13,14,13,10,0,52,0.0,1016,10,10,289,9
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:05 PM,08:02 AM,07:09 AM,05:30 PM,2,22,23,22,16,0,26,0.0,1014,21,10,295,14
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:05 PM,08:02 AM,07:09 AM,05:30 PM,3,14,14,14,21,0,46,0.0,1015,13,10,286,11
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:12 PM,08:57 AM,07:09 AM,05:31 PM,4,10,12,10,18,0,59,0.0,1015,9,10,304,11
2018-01-04 06:00:00,21,8,0.0,8.7,4,3,81,08:12 PM,08:57 AM,07:09 AM,05:31 PM,5,12,13,12,10,0,58,0.0,1016,10,10,286,8
2018-01-04 12:00:00,21,8,0.0,8.7,4,6,81,08:12 PM,08:57 AM,07:09 AM,05:31 PM,2,23,23,23,12,0,25,0.0,1014,21,10,287,10
2018-01-04 18:00:00,21,8,0.0,8.7,4,4,81,08:12 PM,08:57 AM,07:09 AM,05:31 PM,3,16,16,16,3,0,42,0.0,1016,13,10,306,2
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:17 PM,09:46 AM,07:09 AM,05:32 PM,4,15,15,15,5,0,50,0.0,1017,9,10,27,4
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:17 PM,09:46 AM,07:09 AM,05:32 PM,4,15,15,15,3,0,46,0.0,1017,10,10,294,3
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:17 PM,09:46 AM,07:09 AM,05:32 PM,2,22,23,22,12,1,27,0.0,1014,20,10,286,10
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:17 PM,09:46 AM,07:09 AM,05:32 PM,3,15,15,15,13,0,44,0.0,1015,12,10,301,8
2018-01-06 00:00:00,20,8,0.0,8.7,4,1,67,10:19 PM,10:30 AM,07:09 AM,05:33 PM,3,13,13,13,11,0,49,0.0,1014,9,10,305,8
2018-01-06 06:00:00,20,8,0.0,8.7,4,3,67,10:19 PM,10:30 AM,07:09 AM,05:33 PM,2,12,12,12,10,0,50,0.0,1015,9,10,292,9
2018-01-06 12:00:00,20,8,0.0,8.7,4,6,67,10:19 PM,10:30 AM,07:09 AM,05:33 PM,3,21,23,21,18,0,30,0.0,1012,20,10,290,15
2018-01-06 18:00:00,20,8,0.0,8.7,4,4,67,10:19 PM,10:30 AM,07:09 AM,05:33 PM,4,14,14,14,20,0,48,0.0,1015,12,10,305,10
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,11:19 PM,11:10 AM,07:09 AM,05:33 PM,4,10,12,10,18,0,59,0.0,1014,9,10,307,11
2018-01-07 06:00:00,20,7,0.0,8.7,4,3,59,11:19 PM,11:10 AM,07:09 AM,05:33 PM,3,8,10,8,22,0,61,0.0,1015,9,10,286,15
2018-01-07 12:00:00,20,7,0.0,8.7,4,6,59,11:19 PM,11:10 AM,07:09 AM,05:33 PM,3,20,20,20,22,0,31,0.0,1013,20,10,289,19
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,11:19 PM,11:10 AM,07:09 AM,05:33 PM,3,13,14,13,23,0,49,0.0,1015,12,10,286,12
2018-01-08 00:00:00,20,7,0.0,8.7,4,1,52,No moonrise,11:47 AM,07:09 AM,05:34 PM,3,10,11,10,20,0,57,0.0,1014,9,10,286,12
2018-01-08 06:00:00,20,7,0.0,8.7,4,3,52,No moonrise,11:47 AM,07:09 AM,05:34 PM,3,9,11,9,19,0,59,0.0,1016,9,10,291,13
2018-01-08 12:00:00,20,7,0.0,8.7,4,6,52,No moonrise,11:47 AM,07:09 AM,05:34 PM,3,22,23,22,17,0,29,0.0,1015,20,10,290,14
2018-01-08 18:00:00,20,7,0.0,8.7,4,4,52,No moonrise,11:47 AM,07:09 AM,05:34 PM,3,14,14,14,20,0,45,0.0,1017,12,10,298,10
2018-01-09 00:00:00,20,7,0.0,8.7,4,1,45,12:16 AM,12:22 PM,07:09 AM,05:35 PM,3,11,12,11,13,0,53,0.0,1018,9,10,295,9
2018-01-09 06:00:00,20,7,0.0,8.7,4,3,45,12:16 AM,12:22 PM,07:09 AM,05:35 PM,4,12,12,12,9,0,55,0.0,1019,9,10,285,8
2018-01-09 12:00:00,20,7,0.0,8.7,4,6,45,12:16 AM,12:22 PM,07:09 AM,05:35 PM,4,22,23,22,14,0,30,0.0,1017,20,10,287,12
2018-01-09 18:00:00,20,7,0.0,8.7,4,4,45,12:16 AM,12:22 PM,07:09 AM,05:35 PM,3,14,15,14,20,0,46,0.0,1017,13,10,295,10
2018-01-10 00:00:00,22,7,0.0,8.7,4,1,38,01:11 AM,12:57 PM,07:10 AM,05:36 PM,2,9,11,9,25,0,55,0.0,1018,9,10,290,13
2018-01-10 06:00:00,22,7,0.0,8.7,4,3,38,01:11 AM,12:57 PM,07:10 AM,05:36 PM,2,8,10,8,24,0,56,0.0,1019,9,10,286,15
2018-01-10 12:00:00,22,7,0.0,8.7,4,6,38,01:11 AM,12:57 PM,07:10 AM,05:36 PM,3,23,23,22,21,9,28,0.0,1016,22,10,292,18
2018-01-10 18:00:00,22,7,0.0,8.7,4,4,38,01:11 AM,12:57 PM,07:10 AM,05:36 PM,3,13,14,13,29,0,47,0.0,1017,13,10,292,14
2018-01-11 00:00:00,23,9,0.0,8.7,4,1,30,02:05 AM,01:34 PM,07:10 AM,05:36 PM,3,10,11,10,25,0,54,0.0,1016,10,10,285,13
2018-01-11 06:00:00,23,9,0.0,8.7,4,4,30,02:05 AM,01:34 PM,07:10 AM,05:36 PM,1,8,10,8,35,2,52,0.0,1016,10,10,289,19
2018-01-11 12:00:00,23,9,0.0,8.7,4,6,30,02:05 AM,01:34 PM,07:10 AM,05:36 PM,1,23,23,23,24,2,25,0.0,1014,23,10,289,21
2018-01-11 18:00:00,23,9,0.0,8.7,4,4,30,02:05 AM,01:34 PM,07:10 AM,05:36 PM,3,13,14,13,26,6,46,0.0,1015,13,10,291,13
2018-01-12 00:00:00,22,10,0.0,7.1,5,1,23,02:58 AM,02:11 PM,07:10 AM,05:37 PM,1,10,11,10,27,10,51,0.0,1014,10,10,287,13
2018-01-12 06:00:00,22,10,0.0,7.1,5,4,23,02:58 AM,02:11 PM,07:10 AM,05:37 PM,1,11,13,11,21,9,44,0.0,1016,12,10,282,12
2018-01-12 12:00:00,22,10,0.0,7.1,5,6,23,02:58 AM,02:11 PM,07:10 AM,05:37 PM,3,23,23,22,17,7,27,0.0,1015,22,10,290,14
2018-01-12 18:00:00,22,10,0.0,7.1,5,5,23,02:58 AM,02:11 PM,07:10 AM,05:37 PM,3,16,16,16,23,61,40,0.0,1015,16,10,282,11
