date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,17,0.0,10.9,6,1,97,05:39 PM,06:17 AM,07:28 AM,06:13 PM,5,19,19,19,29,0,40,0.0,1012,19,10,34,14
2018-01-01 06:00:00,26,17,0.0,10.9,6,1,97,05:39 PM,06:17 AM,07:28 AM,06:13 PM,3,18,18,18,25,0,36,0.0,1014,18,10,28,14
2018-01-01 12:00:00,26,17,0.0,10.9,6,7,97,05:39 PM,06:17 AM,07:28 AM,06:13 PM,-2,25,25,26,20,0,16,0.0,1011,26,10,20,18
2018-01-01 18:00:00,26,17,0.0,10.9,6,6,97,05:39 PM,06:17 AM,07:28 AM,06:13 PM,-1,21,21,21,26,0,23,0.0,1012,21,10,1,12
2018-01-02 00:00:00,28,17,0.0,10.9,6,1,100,06:42 PM,07:23 AM,07:28 AM,06:14 PM,4,18,18,18,29,0,39,0.0,1012,18,10,31,14
2018-01-02 06:00:00,28,17,0.0,10.9,6,1,100,06:42 PM,07:23 AM,07:28 AM,06:14 PM,3,17,17,17,28,0,37,0.0,1013,17,10,78,15
2018-01-02 12:00:00,28,17,0.0,10.9,6,7,100,06:42 PM,07:23 AM,07:28 AM,06:14 PM,2,26,26,28,17,0,20,0.0,1011,28,10,73,15
2018-01-02 18:00:00,28,17,0.0,10.9,6,6,100,06:42 PM,07:23 AM,07:28 AM,06:14 PM,2,23,23,22,33,0,27,0.0,1012,22,10,29,17
2018-01-03 00:00:00,26,16,0.0,10.9,6,1,89,07:49 PM,08:24 AM,07:28 AM,06:14 PM,1,19,19,19,31,0,29,0.0,1012,19,10,70,15
2018-01-03 06:00:00,26,16,0.0,10.9,6,1,89,07:49 PM,08:24 AM,07:28 AM,06:14 PM,-1,17,17,17,28,0,30,0.0,1014,17,10,80,15
2018-01-03 12:00:00,26,16,0.0,10.9,6,7,89,07:49 PM,08:24 AM,07:28 AM,06:14 PM,1,25,25,26,12,0,19,0.0,1012,26,10,53,10
2018-01-03 18:00:00,26,16,0.0,10.9,6,6,89,07:49 PM,08:24 AM,07:28 AM,06:14 PM,2,21,23,21,27,0,29,0.0,1013,21,10,22,14
2018-01-04 00:00:00,27,17,0.0,10.9,6,1,81,08:54 PM,09:21 AM,07:28 AM,06:15 PM,4,19,19,19,20,0,37,0.0,1013,19,10,37,10
2018-01-04 06:00:00,27,17,0.0,10.9,6,1,81,08:54 PM,09:21 AM,07:28 AM,06:15 PM,5,21,21,21,10,0,37,0.0,1015,19,10,59,6
2018-01-04 12:00:00,27,17,0.0,10.9,6,7,81,08:54 PM,09:21 AM,07:28 AM,06:15 PM,1,26,26,28,9,0,17,0.0,1013,27,10,321,8
2018-01-04 18:00:00,27,17,0.0,10.9,6,6,81,08:54 PM,09:21 AM,07:28 AM,06:15 PM,4,22,23,22,15,0,31,0.0,1013,22,10,350,8
2018-01-05 00:00:00,26,17,0.0,10.9,6,1,74,09:57 PM,10:12 AM,07:29 AM,06:16 PM,10,21,21,21,6,0,51,0.0,1013,17,10,356,4
2018-01-05 06:00:00,26,17,0.0,10.9,6,1,74,09:57 PM,10:12 AM,07:29 AM,06:16 PM,13,20,20,20,11,0,64,0.0,1015,19,10,341,8
2018-01-05 12:00:00,26,17,0.0,10.9,6,7,74,09:57 PM,10:12 AM,07:29 AM,06:16 PM,12,28,28,28,6,0,35,0.0,1012,26,10,19,5
2018-01-05 18:00:00,26,17,0.0,10.9,6,6,74,09:57 PM,10:12 AM,07:29 AM,06:16 PM,12,25,25,22,21,0,50,0.0,1012,22,10,3,12
2018-01-06 00:00:00,26,19,0.0,10.9,6,1,67,10:56 PM,10:58 AM,07:29 AM,06:16 PM,13,21,21,21,11,0,60,0.0,1012,19,10,332,7
2018-01-06 06:00:00,26,19,0.0,10.9,6,1,67,10:56 PM,10:58 AM,07:29 AM,06:16 PM,11,20,20,20,19,0,58,0.0,1014,20,10,31,11
2018-01-06 12:00:00,26,19,0.0,10.9,6,7,67,10:56 PM,10:58 AM,07:29 AM,06:16 PM,3,25,25,26,15,2,23,0.0,1012,26,10,30,13
2018-01-06 18:00:00,26,19,0.0,10.9,6,6,67,10:56 PM,10:58 AM,07:29 AM,06:16 PM,3,22,23,22,25,0,29,0.0,1013,22,10,22,13
