date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,11,0.0,8.7,5,1,97,04:28 PM,05:17 AM,06:30 AM,05:05 PM,9,18,18,18,10,0,55,0.0,1013,14,10,267,8
2018-01-01 06:00:00,23,11,0.0,8.7,5,4,97,04:28 PM,05:17 AM,06:30 AM,05:05 PM,7,15,15,15,11,11,56,0.0,1015,14,10,277,10
2018-01-01 12:00:00,23,11,0.0,8.7,5,6,97,04:28 PM,05:17 AM,06:30 AM,05:05 PM,9,25,25,25,10,2,36,0.0,1012,23,10,300,9
2018-01-01 18:00:00,23,11,0.0,8.7,5,5,97,04:28 PM,05:17 AM,06:30 AM,05:05 PM,8,18,18,18,16,0,52,0.0,1013,16,10,272,10
2018-01-02 00:00:00,23,11,0.0,8.7,5,1,100,05:33 PM,06:22 AM,06:30 AM,05:06 PM,9,16,16,16,13,0,63,0.0,1012,13,10,282,10
2018-01-02 06:00:00,23,11,0.0,8.7,5,4,100,05:33 PM,06:22 AM,06:30 AM,05:06 PM,8,16,16,16,15,0,60,0.0,1015,14,10,283,13
2018-01-02 12:00:00,23,11,0.0,8.7,5,6,100,05:33 PM,06:22 AM,06:30 AM,05:06 PM,7,24,24,24,18,0,33,0.0,1011,23,10,289,15
2018-01-02 18:00:00,23,11,0.0,8.7,5,4,100,05:33 PM,06:22 AM,06:30 AM,05:06 PM,5,16,16,16,24,0,46,0.0,1013,15,10,297,13
2018-01-03 00:00:00,20,10,0.0,8.7,4,1,89,06:38 PM,07:24 AM,06:30 AM,05:07 PM,6,16,16,16,13,0,52,0.0,1013,12,10,273,10
2018-01-03 06:00:00,20,10,0.0,8.7,4,4,89,06:38 PM,07:24 AM,06:30 AM,05:07 PM,5,12,14,12,23,0,55,0.0,1015,13,10,274,18
2018-01-03 12:00:00,20,10,0.0,8.7,4,6,89,06:38 PM,07:24 AM,06:30 AM,05:07 PM,3,21,21,21,20,0,32,0.0,1012,20,10,282,18
2018-01-03 18:00:00,20,10,0.0,8.7,4,4,89,06:38 PM,07:24 AM,06:30 AM,05:07 PM,6,16,16,16,19,0,51,0.0,1014,14,10,260,10
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,07:45 PM,08:20 AM,06:30 AM,05:07 PM,6,14,15,14,14,0,57,0.0,1015,11,10,258,10
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,07:45 PM,08:20 AM,06:30 AM,05:07 PM,9,18,18,18,8,0,56,0.0,1018,13,10,287,7
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,07:45 PM,08:20 AM,06:30 AM,05:07 PM,6,25,25,25,11,0,31,0.0,1015,22,10,302,9
2018-01-04 18:00:00,22,9,0.0,8.7,4,4,81,07:45 PM,08:20 AM,06:30 AM,05:07 PM,6,17,17,17,12,0,47,0.0,1015,14,10,302,8
2018-01-05 00:00:00,21,9,0.0,8.7,4,1,74,08:49 PM,09:10 AM,06:31 AM,05:08 PM,7,17,17,17,6,0,52,0.0,1014,12,10,284,5
2018-01-05 06:00:00,21,9,0.0,8.7,4,4,74,08:49 PM,09:10 AM,06:31 AM,05:08 PM,6,17,17,17,8,0,48,0.0,1016,13,10,269,7
2018-01-05 12:00:00,21,9,0.0,8.7,4,6,74,08:49 PM,09:10 AM,06:31 AM,05:08 PM,5,24,24,24,11,0,29,0.0,1013,21,10,292,10
2018-01-05 18:00:00,21,9,0.0,8.7,4,4,74,08:49 PM,09:10 AM,06:31 AM,05:08 PM,5,16,16,16,16,0,49,0.0,1013,13,10,287,9
2018-01-06 00:00:00,20,8,0.0,8.7,4,1,67,09:50 PM,09:55 AM,06:31 AM,05:09 PM,6,14,14,14,11,0,58,0.0,1013,10,10,255,9
2018-01-06 06:00:00,20,8,0.0,8.7,4,4,67,09:50 PM,09:55 AM,06:31 AM,05:09 PM,6,13,14,13,15,0,60,0.0,1015,12,10,268,13
2018-01-06 12:00:00,20,8,0.0,8.7,4,6,67,09:50 PM,09:55 AM,06:31 AM,05:09 PM,5,22,24,22,16,0,34,0.0,1012,20,10,276,14
2018-01-06 18:00:00,20,8,0.0,8.7,4,4,67,09:50 PM,09:55 AM,06:31 AM,05:09 PM,6,15,15,15,13,0,53,0.0,1014,12,10,275,8
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,10:48 PM,10:36 AM,06:31 AM,05:10 PM,6,13,13,13,13,0,59,0.0,1013,10,10,259,10
2018-01-07 06:00:00,20,7,0.0,8.7,4,4,59,10:48 PM,10:36 AM,06:31 AM,05:10 PM,6,13,13,13,11,0,60,0.0,1017,10,10,262,10
2018-01-07 12:00:00,20,7,0.0,8.7,4,5,59,10:48 PM,10:36 AM,06:31 AM,05:10 PM,5,21,21,21,18,0,37,0.0,1014,20,10,277,16
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,10:48 PM,10:36 AM,06:31 AM,05:10 PM,7,15,15,15,11,0,59,0.0,1016,12,10,268,7
2018-01-08 00:00:00,20,8,0.0,8.7,4,1,52,11:44 PM,11:15 AM,06:31 AM,05:10 PM,9,16,16,16,3,0,65,0.0,1016,10,10,268,3
2018-01-08 06:00:00,20,8,0.0,8.7,4,4,52,11:44 PM,11:15 AM,06:31 AM,05:10 PM,9,17,17,17,6,0,60,0.0,1019,12,10,264,5
2018-01-08 12:00:00,20,8,0.0,8.7,4,5,52,11:44 PM,11:15 AM,06:31 AM,05:10 PM,7,22,24,22,14,0,37,0.0,1017,20,10,296,12
2018-01-08 18:00:00,20,8,0.0,8.7,4,4,52,11:44 PM,11:15 AM,06:31 AM,05:10 PM,7,16,16,16,10,0,55,0.0,1018,13,10,281,6
2018-01-09 00:00:00,20,8,0.0,8.7,4,1,45,No moonrise,11:52 AM,06:31 AM,05:11 PM,8,15,15,15,8,0,62,0.0,1018,10,10,274,7
2018-01-09 06:00:00,20,8,0.0,8.7,4,4,45,No moonrise,11:52 AM,06:31 AM,05:11 PM,6,12,13,12,16,0,62,0.0,1020,12,10,257,14
2018-01-09 12:00:00,20,8,0.0,8.7,4,6,45,No moonrise,11:52 AM,06:31 AM,05:11 PM,7,22,24,22,16,0,37,0.0,1017,20,10,283,14
2018-01-09 18:00:00,20,8,0.0,8.7,4,4,45,No moonrise,11:52 AM,06:31 AM,05:11 PM,7,15,15,15,16,0,59,0.0,1018,13,10,274,10
2018-01-10 00:00:00,20,8,0.0,8.7,4,1,38,12:37 AM,12:28 PM,06:31 AM,05:12 PM,8,13,14,13,12,0,67,0.0,1018,10,10,269,9
2018-01-10 06:00:00,20,8,0.0,8.7,4,4,38,12:37 AM,12:28 PM,06:31 AM,05:12 PM,7,12,13,12,16,0,65,0.0,1020,11,10,271,14
2018-01-10 12:00:00,20,8,0.0,8.7,4,6,38,12:37 AM,12:28 PM,06:31 AM,05:12 PM,6,22,24,22,16,0,37,0.0,1017,20,10,281,14
2018-01-10 18:00:00,20,8,0.0,8.7,4,4,38,12:37 AM,12:28 PM,06:31 AM,05:12 PM,7,16,16,16,10,0,56,0.0,1017,13,10,297,6
2018-01-11 00:00:00,20,8,0.0,8.7,4,1,30,01:30 AM,01:06 PM,06:31 AM,05:13 PM,7,14,14,14,11,0,63,0.0,1017,10,10,257,9
2018-01-11 06:00:00,20,8,0.0,8.7,4,4,30,01:30 AM,01:06 PM,06:31 AM,05:13 PM,8,14,15,14,11,0,64,0.0,1018,12,10,247,10
2018-01-11 12:00:00,20,8,0.0,8.7,4,6,30,01:30 AM,01:06 PM,06:31 AM,05:13 PM,6,21,24,21,17,0,38,0.0,1015,20,10,277,15
2018-01-11 18:00:00,20,8,0.0,8.7,4,4,30,01:30 AM,01:06 PM,06:31 AM,05:13 PM,8,17,17,17,5,0,57,0.0,1016,13,10,292,4
2018-01-12 00:00:00,20,9,0.0,8.7,4,1,23,02:22 AM,01:45 PM,06:32 AM,05:13 PM,8,16,16,16,6,0,61,0.0,1014,11,10,240,5
2018-01-12 06:00:00,20,9,0.0,8.7,4,4,23,02:22 AM,01:45 PM,06:32 AM,05:13 PM,6,16,16,16,9,0,53,0.0,1018,12,10,280,8
2018-01-12 12:00:00,20,9,0.0,8.7,4,5,23,02:22 AM,01:45 PM,06:32 AM,05:13 PM,8,24,24,24,7,0,36,0.0,1014,20,10,255,6
2018-01-12 18:00:00,20,9,0.0,8.7,4,4,23,02:22 AM,01:45 PM,06:32 AM,05:13 PM,7,17,17,17,8,0,52,0.0,1016,14,10,292,6
2018-01-13 00:00:00,21,8,0.0,8.7,4,1,16,03:14 AM,02:25 PM,06:32 AM,05:14 PM,8,15,15,15,10,2,61,0.0,1015,11,10,265,8
2018-01-13 06:00:00,21,8,0.0,8.7,4,4,16,03:14 AM,02:25 PM,06:32 AM,05:14 PM,6,13,14,13,11,4,60,0.0,1018,12,10,281,9
2018-01-13 12:00:00,21,8,0.0,8.7,4,6,16,03:14 AM,02:25 PM,06:32 AM,05:14 PM,6,22,24,22,10,7,36,0.0,1015,21,10,272,9
2018-01-13 18:00:00,21,8,0.0,8.7,4,4,16,03:14 AM,02:25 PM,06:32 AM,05:14 PM,9,17,17,17,8,0,57,0.0,1015,14,10,270,5
2018-01-14 00:00:00,21,8,0.0,8.7,4,1,9,04:04 AM,03:09 PM,06:32 AM,05:15 PM,9,15,15,15,9,0,67,0.0,1016,11,10,257,8
2018-01-14 06:00:00,21,8,0.0,8.7,4,4,9,04:04 AM,03:09 PM,06:32 AM,05:15 PM,10,17,17,17,7,0,64,0.0,1018,13,10,229,6
