date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,10,0.0,8.7,4,1,97,04:57 PM,06:01 AM,07:14 AM,05:32 PM,5,16,16,16,5,0,49,0.0,1015,11,10,324,4
2018-01-01 06:00:00,20,10,0.0,8.7,4,4,97,04:57 PM,06:01 AM,07:14 AM,05:32 PM,6,16,16,16,3,0,52,0.0,1016,12,10,306,3
2018-01-01 12:00:00,20,10,0.0,8.7,4,6,97,04:57 PM,06:01 AM,07:14 AM,05:32 PM,3,23,23,23,7,0,27,0.0,1013,20,10,268,6
2018-01-01 18:00:00,20,10,0.0,8.7,4,4,97,04:57 PM,06:01 AM,07:14 AM,05:32 PM,4,16,16,16,9,0,45,0.0,1015,13,10,351,5
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:01 PM,07:07 AM,07:14 AM,05:33 PM,3,13,13,13,9,0,50,0.0,1016,10,10,9,6
2018-01-02 06:00:00,20,8,0.0,8.7,4,4,100,06:01 PM,07:07 AM,07:14 AM,05:33 PM,2,14,14,14,6,0,47,0.0,1016,10,10,320,5
2018-01-02 12:00:00,20,8,0.0,8.7,4,6,100,06:01 PM,07:07 AM,07:14 AM,05:33 PM,0,22,23,22,8,0,23,0.0,1014,20,10,302,7
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:01 PM,07:07 AM,07:14 AM,05:33 PM,4,15,15,15,7,1,46,0.0,1017,13,10,317,4
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:08 PM,08:08 AM,07:15 AM,05:33 PM,5,12,13,12,12,0,59,0.0,1016,10,10,310,7
2018-01-03 06:00:00,21,8,0.0,8.7,4,4,89,07:08 PM,08:08 AM,07:15 AM,05:33 PM,4,12,12,12,11,0,57,0.0,1016,10,10,293,8
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:08 PM,08:08 AM,07:15 AM,05:33 PM,2,21,21,21,15,0,28,0.0,1015,21,10,302,13
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:08 PM,08:08 AM,07:15 AM,05:33 PM,4,13,13,13,20,0,52,0.0,1016,12,10,293,9
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:15 PM,09:03 AM,07:15 AM,05:34 PM,3,9,11,9,18,0,61,0.0,1016,9,10,312,9
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:15 PM,09:03 AM,07:15 AM,05:34 PM,4,12,12,12,10,0,58,0.0,1016,10,10,302,7
2018-01-04 12:00:00,20,8,0.0,8.7,4,6,81,08:15 PM,09:03 AM,07:15 AM,05:34 PM,1,22,23,22,11,0,25,0.0,1015,20,10,291,9
2018-01-04 18:00:00,20,8,0.0,8.7,4,4,81,08:15 PM,09:03 AM,07:15 AM,05:34 PM,2,15,15,15,10,0,44,0.0,1016,12,10,329,5
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:21 PM,09:52 AM,07:15 AM,05:35 PM,3,13,13,13,6,0,51,0.0,1017,9,10,66,4
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:21 PM,09:52 AM,07:15 AM,05:35 PM,4,14,14,14,2,1,52,0.0,1017,10,10,37,1
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:21 PM,09:52 AM,07:15 AM,05:35 PM,1,21,21,21,9,3,27,0.0,1014,20,10,291,8
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:21 PM,09:52 AM,07:15 AM,05:35 PM,2,14,14,14,13,0,45,0.0,1015,12,10,327,7
2018-01-06 00:00:00,20,8,0.0,8.7,4,1,67,10:23 PM,10:35 AM,07:15 AM,05:36 PM,2,11,12,11,13,0,53,0.0,1015,9,10,315,8
2018-01-06 06:00:00,20,8,0.0,8.7,4,3,67,10:23 PM,10:35 AM,07:15 AM,05:36 PM,3,12,12,12,8,0,54,0.0,1015,9,10,306,7
2018-01-06 12:00:00,20,8,0.0,8.7,4,5,67,10:23 PM,10:35 AM,07:15 AM,05:36 PM,1,20,20,20,17,0,29,0.0,1013,20,10,299,14
2018-01-06 18:00:00,20,8,0.0,8.7,4,4,67,10:23 PM,10:35 AM,07:15 AM,05:36 PM,4,13,13,13,18,0,53,0.0,1015,12,10,309,9
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,11:24 PM,11:14 AM,07:15 AM,05:36 PM,4,9,10,9,17,0,63,0.0,1015,9,10,313,9
2018-01-07 06:00:00,20,7,0.0,8.7,4,3,59,11:24 PM,11:14 AM,07:15 AM,05:36 PM,2,8,10,8,23,0,61,0.0,1015,9,10,293,13
2018-01-07 12:00:00,20,7,0.0,8.7,4,5,59,11:24 PM,11:14 AM,07:15 AM,05:36 PM,2,20,20,20,19,0,31,0.0,1014,20,10,292,17
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,11:24 PM,11:14 AM,07:15 AM,05:36 PM,2,12,13,12,21,0,49,0.0,1016,12,10,286,10
2018-01-08 00:00:00,20,7,0.0,8.7,4,1,52,No moonrise,11:51 AM,07:15 AM,05:37 PM,2,9,10,9,19,0,57,0.0,1015,8,10,288,10
2018-01-08 06:00:00,20,7,0.0,8.7,4,3,52,No moonrise,11:51 AM,07:15 AM,05:37 PM,2,8,9,8,18,0,60,0.0,1017,8,10,296,11
2018-01-08 12:00:00,20,7,0.0,8.7,4,5,52,No moonrise,11:51 AM,07:15 AM,05:37 PM,1,20,20,20,15,0,28,0.0,1016,20,10,298,13
2018-01-08 18:00:00,20,7,0.0,8.7,4,4,52,No moonrise,11:51 AM,07:15 AM,05:37 PM,2,13,13,13,17,0,47,0.0,1018,12,10,311,8
2018-01-09 00:00:00,20,7,0.0,8.7,4,1,45,12:20 AM,12:26 PM,07:15 AM,05:38 PM,2,10,11,10,14,0,53,0.0,1019,8,10,299,8
2018-01-09 06:00:00,20,7,0.0,8.7,4,3,45,12:20 AM,12:26 PM,07:15 AM,05:38 PM,1,10,11,10,12,0,53,0.0,1019,8,10,292,8
2018-01-09 12:00:00,20,7,0.0,8.7,4,6,45,12:20 AM,12:26 PM,07:15 AM,05:38 PM,2,21,23,21,12,0,27,0.0,1018,20,10,300,11
2018-01-09 18:00:00,20,7,0.0,8.7,4,4,45,12:20 AM,12:26 PM,07:15 AM,05:38 PM,3,13,14,13,17,0,47,0.0,1018,12,10,305,8
2018-01-10 00:00:00,22,7,0.0,8.7,4,1,38,01:16 AM,01:01 PM,07:15 AM,05:39 PM,1,8,10,8,23,0,54,0.0,1018,9,10,296,11
2018-01-10 06:00:00,22,7,0.0,8.7,4,3,38,01:16 AM,01:01 PM,07:15 AM,05:39 PM,-1,7,9,7,28,29,50,0.0,1019,9,10,289,14
2018-01-10 12:00:00,22,7,0.0,8.7,4,6,38,01:16 AM,01:01 PM,07:15 AM,05:39 PM,2,22,23,22,18,15,27,0.0,1016,22,10,292,15
2018-01-10 18:00:00,22,7,0.0,8.7,4,4,38,01:16 AM,01:01 PM,07:15 AM,05:39 PM,2,12,13,12,22,3,47,0.0,1018,13,10,301,10
2018-01-11 00:00:00,22,8,0.0,8.7,4,1,30,02:10 AM,01:37 PM,07:15 AM,05:40 PM,1,9,11,9,23,1,51,0.0,1016,9,10,291,11
2018-01-11 06:00:00,22,8,0.0,8.7,4,3,30,02:10 AM,01:37 PM,07:15 AM,05:40 PM,-1,7,10,7,31,4,47,0.0,1017,10,10,289,16
2018-01-11 12:00:00,22,8,0.0,8.7,4,6,30,02:10 AM,01:37 PM,07:15 AM,05:40 PM,2,22,23,22,22,14,26,0.0,1015,22,10,291,19
2018-01-11 18:00:00,22,8,0.0,8.7,4,4,30,02:10 AM,01:37 PM,07:15 AM,05:40 PM,3,13,13,13,22,8,50,0.0,1015,13,10,292,10
2018-01-12 00:00:00,22,11,0.0,7.1,5,1,23,03:04 AM,02:15 PM,07:15 AM,05:40 PM,-0,12,13,12,23,8,41,0.0,1014,12,10,281,11
2018-01-12 06:00:00,22,11,0.0,7.1,5,3,23,03:04 AM,02:15 PM,07:15 AM,05:40 PM,-1,10,12,10,23,86,41,0.0,1016,12,10,284,11
2018-01-12 12:00:00,22,11,0.0,7.1,5,6,23,03:04 AM,02:15 PM,07:15 AM,05:40 PM,2,23,23,23,19,32,26,0.0,1015,22,10,293,16
2018-01-12 18:00:00,22,11,0.0,7.1,5,4,23,03:04 AM,02:15 PM,07:15 AM,05:40 PM,3,16,16,16,20,90,42,0.0,1016,16,10,295,9
2018-01-13 00:00:00,22,9,0.0,8.7,4,1,16,03:57 AM,02:55 PM,07:15 AM,05:41 PM,3,13,13,13,16,0,48,0.0,1016,11,10,309,8
2018-01-13 06:00:00,22,9,0.0,8.7,4,4,16,03:57 AM,02:55 PM,07:15 AM,05:41 PM,3,12,13,12,14,0,53,0.0,1017,11,10,312,9
2018-01-13 12:00:00,22,9,0.0,8.7,4,6,16,03:57 AM,02:55 PM,07:15 AM,05:41 PM,2,23,23,22,22,0,27,0.0,1015,22,10,296,19
2018-01-13 18:00:00,22,9,0.0,8.7,4,4,16,03:57 AM,02:55 PM,07:15 AM,05:41 PM,4,14,14,14,20,0,49,0.0,1016,13,10,283,10
2018-01-14 00:00:00,22,8,0.0,8.7,4,1,9,04:48 AM,03:38 PM,07:15 AM,05:42 PM,3,11,12,11,14,0,53,0.0,1016,9,10,291,8
2018-01-14 06:00:00,22,8,0.0,8.7,4,4,9,04:48 AM,03:38 PM,07:15 AM,05:42 PM,4,11,12,11,13,0,56,0.0,1017,10,10,298,9
2018-01-14 12:00:00,22,8,0.0,8.7,4,6,9,04:48 AM,03:38 PM,07:15 AM,05:42 PM,3,22,23,22,17,0,28,0.0,1015,22,10,291,15
2018-01-14 18:00:00,22,8,0.0,8.7,4,4,9,04:48 AM,03:38 PM,07:15 AM,05:42 PM,4,14,15,14,20,0,49,0.0,1017,14,10,298,9
2018-01-15 00:00:00,21,8,0.0,8.7,4,1,1,05:39 AM,04:23 PM,07:15 AM,05:43 PM,4,13,13,13,12,0,55,0.0,1017,10,10,293,7
2018-01-15 06:00:00,21,8,0.0,8.7,4,3,1,05:39 AM,04:23 PM,07:15 AM,05:43 PM,3,9,11,9,17,0,59,0.0,1018,9,10,291,10
2018-01-15 12:00:00,21,8,0.0,8.7,4,6,1,05:39 AM,04:23 PM,07:15 AM,05:43 PM,3,21,21,21,18,0,31,0.0,1015,21,10,294,15
2018-01-15 18:00:00,21,8,0.0,8.7,4,4,1,05:39 AM,04:23 PM,07:15 AM,05:43 PM,5,13,14,13,20,0,54,0.0,1015,13,10,293,9
2018-01-16 00:00:00,21,7,0.0,8.7,4,1,0,06:27 AM,05:12 PM,07:15 AM,05:44 PM,-1,7,9,7,25,0,49,0.0,1014,8,10,293,12
2018-01-16 06:00:00,21,7,0.0,8.7,4,3,0,06:27 AM,05:12 PM,07:15 AM,05:44 PM,0,8,9,8,20,0,53,0.0,1015,9,10,284,11
2018-01-16 12:00:00,21,7,0.0,8.7,4,6,0,06:27 AM,05:12 PM,07:15 AM,05:44 PM,6,24,24,24,4,0,30,0.0,1013,21,10,192,4
2018-01-16 18:00:00,21,7,0.0,8.7,4,4,0,06:27 AM,05:12 PM,07:15 AM,05:44 PM,4,16,16,16,14,0,46,0.0,1014,14,10,84,6
2018-01-17 00:00:00,22,9,0.0,8.7,4,1,0,07:13 AM,06:03 PM,07:15 AM,05:44 PM,8,13,13,13,14,0,70,0.0,1015,10,10,99,8
2018-01-17 06:00:00,22,9,0.0,8.7,4,4,0,07:13 AM,06:03 PM,07:15 AM,05:44 PM,7,12,13,12,12,0,68,0.0,1016,11,10,148,8
2018-01-17 12:00:00,22,9,0.0,8.7,4,6,0,07:13 AM,06:03 PM,07:15 AM,05:44 PM,6,24,24,24,9,0,31,0.0,1015,22,10,144,8
