date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,11,0.0,8.7,5,1,97,05:18 PM,06:13 AM,07:25 AM,05:53 PM,-9,12,13,12,19,0,21,0.0,1015,13,10,69,9
2018-01-01 06:00:00,22,11,0.0,8.7,5,1,97,05:18 PM,06:13 AM,07:25 AM,05:53 PM,-6,15,15,15,8,0,24,0.0,1015,13,10,69,4
2018-01-01 12:00:00,22,11,0.0,8.7,5,6,97,05:18 PM,06:13 AM,07:25 AM,05:53 PM,-10,22,22,22,12,0,11,0.0,1013,22,10,352,10
2018-01-01 18:00:00,22,11,0.0,8.7,5,5,97,05:18 PM,06:13 AM,07:25 AM,05:53 PM,-8,16,16,16,22,0,18,0.0,1014,16,10,20,10
2018-01-02 00:00:00,22,11,0.0,8.7,5,1,100,06:22 PM,07:19 AM,07:25 AM,05:53 PM,-8,12,13,12,20,0,23,0.0,1015,12,10,65,9
2018-01-02 06:00:00,22,11,0.0,8.7,5,1,100,06:22 PM,07:19 AM,07:25 AM,05:53 PM,-8,12,13,12,20,0,23,0.0,1016,12,10,107,10
2018-01-02 12:00:00,22,11,0.0,8.7,5,6,100,06:22 PM,07:19 AM,07:25 AM,05:53 PM,-9,23,23,23,7,0,11,0.0,1014,22,10,42,6
2018-01-02 18:00:00,22,11,0.0,8.7,5,5,100,06:22 PM,07:19 AM,07:25 AM,05:53 PM,-10,17,17,17,22,0,15,0.0,1015,16,10,40,10
2018-01-03 00:00:00,23,11,0.0,8.7,5,1,89,07:29 PM,08:20 AM,07:25 AM,05:54 PM,-8,12,13,12,26,0,23,0.0,1015,13,10,92,12
2018-01-03 06:00:00,23,11,0.0,8.7,5,1,89,07:29 PM,08:20 AM,07:25 AM,05:54 PM,-7,12,13,12,23,0,26,0.0,1016,13,10,133,11
2018-01-03 12:00:00,23,11,0.0,8.7,5,6,89,07:29 PM,08:20 AM,07:25 AM,05:54 PM,-10,24,24,25,3,0,9,0.0,1014,23,10,88,3
2018-01-03 18:00:00,23,11,0.0,8.7,5,5,89,07:29 PM,08:20 AM,07:25 AM,05:54 PM,-10,17,17,17,17,0,15,0.0,1015,17,10,65,8
2018-01-04 00:00:00,24,12,0.0,8.7,5,1,81,08:35 PM,09:16 AM,07:26 AM,05:55 PM,-7,12,13,12,22,0,24,0.0,1015,13,10,93,10
2018-01-04 06:00:00,24,12,0.0,8.7,5,1,81,08:35 PM,09:16 AM,07:26 AM,05:55 PM,-4,13,14,13,24,0,29,0.0,1015,14,10,153,12
2018-01-04 12:00:00,24,12,0.0,8.7,5,6,81,08:35 PM,09:16 AM,07:26 AM,05:55 PM,-9,23,23,24,15,0,11,0.0,1013,24,10,230,13
2018-01-04 18:00:00,24,12,0.0,8.7,5,5,81,08:35 PM,09:16 AM,07:26 AM,05:55 PM,-11,17,17,17,18,0,14,0.0,1014,17,10,264,9
