date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,15,0.0,8.7,6,1,97,05:07 PM,05:40 AM,06:51 AM,05:44 PM,6,19,19,19,13,0,45,0.0,1013,16,10,26,8
2018-01-01 06:00:00,27,15,0.0,8.7,6,5,97,05:07 PM,05:40 AM,06:51 AM,05:44 PM,7,20,20,20,10,0,45,0.0,1014,18,10,69,8
2018-01-01 12:00:00,27,15,0.0,8.7,6,7,97,05:07 PM,05:40 AM,06:51 AM,05:44 PM,8,28,28,29,3,3,26,0.0,1010,27,10,85,3
2018-01-01 18:00:00,27,15,0.0,8.7,6,6,97,05:07 PM,05:40 AM,06:51 AM,05:44 PM,6,22,24,22,11,3,37,0.0,1012,20,10,98,5
2018-01-02 00:00:00,27,15,0.0,8.7,6,1,100,06:11 PM,06:45 AM,06:51 AM,05:44 PM,6,17,17,17,14,4,47,0.0,1012,16,10,43,7
2018-01-02 06:00:00,27,15,0.0,8.7,6,5,100,06:11 PM,06:45 AM,06:51 AM,05:44 PM,7,18,18,18,12,5,48,0.0,1014,17,10,42,9
2018-01-02 12:00:00,27,15,0.0,8.7,6,7,100,06:11 PM,06:45 AM,06:51 AM,05:44 PM,8,27,27,28,2,6,27,0.0,1010,27,10,157,1
2018-01-02 18:00:00,27,15,0.0,8.7,6,6,100,06:11 PM,06:45 AM,06:51 AM,05:44 PM,7,21,24,21,10,5,40,0.0,1013,20,10,73,5
2018-01-03 00:00:00,27,15,0.0,8.7,5,1,89,07:17 PM,07:47 AM,06:51 AM,05:45 PM,5,17,17,17,21,5,44,0.0,1013,16,10,29,10
2018-01-03 06:00:00,27,15,0.0,8.7,5,5,89,07:17 PM,07:47 AM,06:51 AM,05:45 PM,7,19,19,19,11,0,44,0.0,1015,18,10,22,9
2018-01-03 12:00:00,27,15,0.0,8.7,5,7,89,07:17 PM,07:47 AM,06:51 AM,05:45 PM,4,26,26,28,10,0,22,0.0,1012,27,10,322,8
2018-01-03 18:00:00,27,15,0.0,8.7,5,5,89,07:17 PM,07:47 AM,06:51 AM,05:45 PM,4,22,23,22,3,0,31,0.0,1014,19,10,316,2
2018-01-04 00:00:00,26,13,0.0,8.7,5,1,81,08:21 PM,08:44 AM,06:52 AM,05:45 PM,1,17,17,17,18,0,34,0.0,1015,15,10,25,9
2018-01-04 06:00:00,26,13,0.0,8.7,5,5,81,08:21 PM,08:44 AM,06:52 AM,05:45 PM,3,18,18,18,11,0,37,0.0,1017,16,10,42,9
2018-01-04 12:00:00,26,13,0.0,8.7,5,7,81,08:21 PM,08:44 AM,06:52 AM,05:45 PM,3,26,26,28,7,0,19,0.0,1013,26,10,2,6
2018-01-04 18:00:00,26,13,0.0,8.7,5,5,81,08:21 PM,08:44 AM,06:52 AM,05:45 PM,2,20,20,20,10,3,31,0.0,1015,19,10,122,5
2018-01-05 00:00:00,27,14,0.0,8.7,5,1,74,09:24 PM,09:36 AM,06:52 AM,05:46 PM,0,17,17,17,19,3,33,0.0,1014,16,10,39,9
2018-01-05 06:00:00,27,14,0.0,8.7,5,5,74,09:24 PM,09:36 AM,06:52 AM,05:46 PM,3,19,19,19,9,0,35,0.0,1015,17,10,56,8
2018-01-05 12:00:00,27,14,0.0,8.7,5,7,74,09:24 PM,09:36 AM,06:52 AM,05:46 PM,7,27,27,29,4,3,25,0.0,1012,27,10,215,3
2018-01-05 18:00:00,27,14,0.0,8.7,5,6,74,09:24 PM,09:36 AM,06:52 AM,05:46 PM,6,21,21,21,15,4,38,0.0,1013,20,10,144,7
2018-01-06 00:00:00,27,14,0.0,8.7,5,1,67,10:23 PM,10:22 AM,06:52 AM,05:47 PM,5,17,17,17,17,4,47,0.0,1013,16,10,47,9
2018-01-06 06:00:00,27,14,0.0,8.7,5,5,67,10:23 PM,10:22 AM,06:52 AM,05:47 PM,5,18,18,18,9,4,42,0.0,1014,17,10,58,7
2018-01-06 12:00:00,27,14,0.0,8.7,5,7,67,10:23 PM,10:22 AM,06:52 AM,05:47 PM,8,27,27,28,5,6,28,0.0,1011,27,10,245,4
2018-01-06 18:00:00,27,14,0.0,8.7,5,6,67,10:23 PM,10:22 AM,06:52 AM,05:47 PM,7,21,24,21,7,5,39,0.0,1013,20,10,109,4
2018-01-07 00:00:00,27,15,0.0,8.7,6,1,59,11:19 PM,11:05 AM,06:52 AM,05:47 PM,6,17,17,17,19,6,47,0.0,1013,16,10,27,9
2018-01-07 06:00:00,27,15,0.0,8.7,6,5,59,11:19 PM,11:05 AM,06:52 AM,05:47 PM,6,18,18,18,11,7,46,0.0,1015,18,10,56,8
2018-01-07 12:00:00,27,15,0.0,8.7,6,7,59,11:19 PM,11:05 AM,06:52 AM,05:47 PM,9,27,27,28,2,9,30,0.0,1012,27,10,243,2
2018-01-07 18:00:00,27,15,0.0,8.7,6,6,59,11:19 PM,11:05 AM,06:52 AM,05:47 PM,8,21,21,21,14,6,44,0.0,1014,20,10,117,7
2018-01-08 00:00:00,26,15,0.0,8.7,5,1,52,No moonrise,11:45 AM,06:53 AM,05:48 PM,5,17,17,17,25,6,46,0.0,1014,17,10,36,12
2018-01-08 06:00:00,26,15,0.0,8.7,5,5,52,No moonrise,11:45 AM,06:53 AM,05:48 PM,4,18,18,18,12,6,40,0.0,1017,17,10,67,9
2018-01-08 12:00:00,26,15,0.0,8.7,5,7,52,No moonrise,11:45 AM,06:53 AM,05:48 PM,7,26,26,27,8,5,29,0.0,1014,26,10,84,7
2018-01-08 18:00:00,26,15,0.0,8.7,5,5,52,No moonrise,11:45 AM,06:53 AM,05:48 PM,7,22,24,22,8,2,39,0.0,1016,20,10,96,4
2018-01-09 00:00:00,26,14,0.0,8.7,5,1,45,12:13 AM,12:23 PM,06:53 AM,05:49 PM,4,17,17,17,17,0,42,0.0,1017,15,10,31,9
2018-01-09 06:00:00,26,14,0.0,8.7,5,5,45,12:13 AM,12:23 PM,06:53 AM,05:49 PM,4,18,18,18,13,0,39,0.0,1019,17,10,53,10
2018-01-09 12:00:00,26,14,0.0,8.7,5,7,45,12:13 AM,12:23 PM,06:53 AM,05:49 PM,7,27,27,29,8,0,25,0.0,1016,26,10,42,7
2018-01-09 18:00:00,26,14,0.0,8.7,5,5,45,12:13 AM,12:23 PM,06:53 AM,05:49 PM,7,22,24,22,9,0,38,0.0,1018,19,10,106,5
2018-01-10 00:00:00,27,14,0.0,8.7,5,1,38,01:05 AM,01:02 PM,06:53 AM,05:49 PM,4,18,18,18,15,0,39,0.0,1018,16,10,18,8
2018-01-10 06:00:00,27,14,0.0,8.7,5,5,38,01:05 AM,01:02 PM,06:53 AM,05:49 PM,4,19,19,19,12,0,39,0.0,1020,17,10,33,9
2018-01-10 12:00:00,27,14,0.0,8.7,5,7,38,01:05 AM,01:02 PM,06:53 AM,05:49 PM,5,27,27,29,7,0,21,0.0,1016,27,10,22,6
2018-01-10 18:00:00,27,14,0.0,8.7,5,6,38,01:05 AM,01:02 PM,06:53 AM,05:49 PM,6,23,24,23,6,1,33,0.0,1018,20,10,104,4
2018-01-11 00:00:00,27,15,0.0,8.7,6,1,30,01:56 AM,01:41 PM,06:53 AM,05:50 PM,-2,18,18,18,20,3,27,0.0,1017,17,10,18,10
2018-01-11 06:00:00,27,15,0.0,8.7,6,5,30,01:56 AM,01:41 PM,06:53 AM,05:50 PM,1,20,20,20,9,0,28,0.0,1019,18,10,44,8
2018-01-11 12:00:00,27,15,0.0,8.7,6,7,30,01:56 AM,01:41 PM,06:53 AM,05:50 PM,4,28,28,30,7,0,19,0.0,1015,27,10,331,6
2018-01-11 18:00:00,27,15,0.0,8.7,6,6,30,01:56 AM,01:41 PM,06:53 AM,05:50 PM,7,25,25,25,5,1,32,0.0,1015,22,10,309,3
2018-01-12 00:00:00,29,17,0.0,8.7,6,1,23,02:47 AM,02:20 PM,06:53 AM,05:51 PM,2,20,20,20,15,2,30,0.0,1015,18,10,11,8
2018-01-12 06:00:00,29,17,0.0,8.7,6,5,23,02:47 AM,02:20 PM,06:53 AM,05:51 PM,2,21,21,21,8,3,29,0.0,1017,19,10,32,7
2018-01-12 12:00:00,29,17,0.0,8.7,6,7,23,02:47 AM,02:20 PM,06:53 AM,05:51 PM,4,28,28,30,5,5,18,0.0,1013,29,10,1,5
2018-01-12 18:00:00,29,17,0.0,8.7,6,6,23,02:47 AM,02:20 PM,06:53 AM,05:51 PM,4,24,24,24,9,3,27,0.0,1015,22,10,14,5
2018-01-13 00:00:00,29,17,0.0,8.7,6,1,16,03:38 AM,03:03 PM,06:53 AM,05:51 PM,-1,19,19,19,20,5,26,0.0,1015,18,10,8,9
2018-01-13 06:00:00,29,17,0.0,8.7,6,5,16,03:38 AM,03:03 PM,06:53 AM,05:51 PM,1,20,20,20,18,9,28,0.0,1017,20,10,36,12
2018-01-13 12:00:00,29,17,0.0,8.7,6,7,16,03:38 AM,03:03 PM,06:53 AM,05:51 PM,5,27,27,30,13,11,20,0.0,1014,29,10,72,12
2018-01-13 18:00:00,29,17,0.0,8.7,6,6,16,03:38 AM,03:03 PM,06:53 AM,05:51 PM,6,24,24,24,10,5,31,0.0,1015,23,10,67,5
2018-01-14 00:00:00,30,18,0.0,8.7,6,1,9,04:28 AM,03:47 PM,06:53 AM,05:52 PM,5,20,20,20,18,14,36,0.0,1015,20,10,24,9
2018-01-14 06:00:00,30,18,0.0,8.7,6,6,9,04:28 AM,03:47 PM,06:53 AM,05:52 PM,7,21,24,21,12,14,38,0.0,1017,21,10,58,8
2018-01-14 12:00:00,30,18,0.0,8.7,6,7,9,04:28 AM,03:47 PM,06:53 AM,05:52 PM,8,29,29,30,7,17,25,0.0,1014,30,10,104,6
2018-01-14 18:00:00,30,18,0.0,8.7,6,6,9,04:28 AM,03:47 PM,06:53 AM,05:52 PM,8,25,25,24,7,19,36,0.0,1015,24,10,93,4
2018-01-15 00:00:00,30,19,0.0,8.7,6,1,1,05:18 AM,04:33 PM,06:53 AM,05:53 PM,8,21,24,21,16,10,43,0.0,1016,21,10,31,8
2018-01-15 06:00:00,30,19,0.0,8.7,6,6,1,05:18 AM,04:33 PM,06:53 AM,05:53 PM,9,22,24,22,13,7,45,0.0,1017,21,10,56,9
2018-01-15 12:00:00,30,19,0.0,8.7,6,8,1,05:18 AM,04:33 PM,06:53 AM,05:53 PM,11,30,30,31,4,7,28,0.0,1014,30,10,358,4
2018-01-15 18:00:00,30,19,0.0,8.7,6,6,1,05:18 AM,04:33 PM,06:53 AM,05:53 PM,8,25,25,24,14,3,36,0.0,1015,23,10,349,7
2018-01-16 00:00:00,29,16,0.0,8.7,6,1,0,06:06 AM,05:22 PM,06:53 AM,05:53 PM,8,21,24,21,12,2,41,0.0,1014,19,10,39,7
2018-01-16 06:00:00,29,16,0.0,8.7,6,5,0,06:06 AM,05:22 PM,06:53 AM,05:53 PM,5,22,23,22,8,0,34,0.0,1016,19,10,31,7
2018-01-16 12:00:00,29,16,0.0,8.7,6,7,0,06:06 AM,05:22 PM,06:53 AM,05:53 PM,2,28,28,31,9,0,15,0.0,1012,29,10,2,8
2018-01-16 18:00:00,29,16,0.0,8.7,6,6,0,06:06 AM,05:22 PM,06:53 AM,05:53 PM,1,23,23,23,10,0,24,0.0,1013,21,10,48,5
