date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,20,0.0,11.6,6,1,97,05:23 PM,05:13 AM,06:20 AM,06:02 PM,20,22,24,22,3,19,92,0.0,1009,21,10,104,2
2018-01-01 06:00:00,31,20,0.0,11.6,6,7,97,05:23 PM,05:13 AM,06:20 AM,06:02 PM,20,29,29,27,3,9,67,0.0,1010,26,10,5,3
2018-01-01 12:00:00,31,20,0.0,11.6,6,8,97,05:23 PM,05:13 AM,06:20 AM,06:02 PM,18,32,32,31,9,30,46,0.0,1008,31,10,336,8
2018-01-01 18:00:00,31,20,0.0,11.6,6,6,97,05:23 PM,05:13 AM,06:20 AM,06:02 PM,20,25,25,23,5,15,82,0.0,1010,22,10,84,3
2018-01-02 00:00:00,30,20,0.0,8.8,6,1,100,06:26 PM,06:16 AM,06:20 AM,06:02 PM,20,22,25,22,5,9,89,0.0,1009,21,10,114,3
2018-01-02 06:00:00,30,20,0.0,8.8,6,7,100,06:26 PM,06:16 AM,06:20 AM,06:02 PM,19,28,28,27,1,19,63,0.0,1010,26,10,106,1
2018-01-02 12:00:00,30,20,0.0,8.8,6,6,100,06:26 PM,06:16 AM,06:20 AM,06:02 PM,19,31,31,30,8,63,51,0.0,1008,29,10,336,7
2018-01-02 18:00:00,30,20,0.0,8.8,6,6,100,06:26 PM,06:16 AM,06:20 AM,06:02 PM,20,25,25,23,7,23,81,0.0,1010,23,10,76,4
2018-01-03 00:00:00,30,20,0.0,11.6,6,1,89,07:30 PM,07:20 AM,06:21 AM,06:03 PM,19,22,24,22,6,20,83,0.0,1009,21,10,109,3
2018-01-03 06:00:00,30,20,0.0,11.6,6,7,89,07:30 PM,07:20 AM,06:21 AM,06:03 PM,18,28,28,27,2,18,61,0.0,1011,26,10,89,2
2018-01-03 12:00:00,30,20,0.0,11.6,6,7,89,07:30 PM,07:20 AM,06:21 AM,06:03 PM,18,32,32,30,10,55,49,0.0,1009,30,10,4,9
2018-01-03 18:00:00,30,20,0.0,11.6,6,6,89,07:30 PM,07:20 AM,06:21 AM,06:03 PM,19,23,25,23,9,13,81,0.0,1011,22,10,73,5
2018-01-04 00:00:00,30,19,0.0,11.6,6,1,81,08:31 PM,08:19 AM,06:21 AM,06:03 PM,19,21,24,21,7,8,85,0.0,1011,20,10,93,4
2018-01-04 06:00:00,30,19,0.0,11.6,6,6,81,08:31 PM,08:19 AM,06:21 AM,06:03 PM,18,27,27,26,6,4,63,0.0,1013,24,10,77,5
2018-01-04 12:00:00,30,19,0.0,11.6,6,7,81,08:31 PM,08:19 AM,06:21 AM,06:03 PM,17,31,31,31,13,0,44,0.0,1010,30,10,30,12
2018-01-04 18:00:00,30,19,0.0,11.6,6,6,81,08:31 PM,08:19 AM,06:21 AM,06:03 PM,20,23,25,23,8,0,81,0.0,1011,21,10,63,6
2018-01-05 00:00:00,28,18,0.0,11.6,6,1,74,09:30 PM,09:15 AM,06:22 AM,06:04 PM,22,23,25,23,4,2,93,0.0,1011,19,10,92,3
2018-01-05 06:00:00,28,18,0.0,11.6,6,6,74,09:30 PM,09:15 AM,06:22 AM,06:04 PM,20,28,28,26,7,0,70,0.0,1012,23,10,43,6
2018-01-05 12:00:00,28,18,0.0,11.6,6,7,74,09:30 PM,09:15 AM,06:22 AM,06:04 PM,17,30,30,29,14,8,50,0.0,1009,28,10,27,12
2018-01-05 18:00:00,28,18,0.0,11.6,6,6,74,09:30 PM,09:15 AM,06:22 AM,06:04 PM,20,23,25,23,6,0,82,0.0,1010,20,10,57,5
2018-01-06 00:00:00,28,17,0.0,11.6,6,1,67,10:24 PM,10:06 AM,06:22 AM,06:04 PM,21,22,25,22,3,0,92,0.0,1010,18,10,87,3
2018-01-06 06:00:00,28,17,0.0,11.6,6,6,67,10:24 PM,10:06 AM,06:22 AM,06:04 PM,20,28,28,26,5,0,68,0.0,1012,23,10,41,4
2018-01-06 12:00:00,28,17,0.0,11.6,6,7,67,10:24 PM,10:06 AM,06:22 AM,06:04 PM,17,29,29,29,12,8,49,0.0,1009,28,10,11,10
2018-01-06 18:00:00,28,17,0.0,11.6,6,5,67,10:24 PM,10:06 AM,06:22 AM,06:04 PM,20,23,25,23,5,0,85,0.0,1011,20,10,64,4
2018-01-07 00:00:00,28,17,0.0,11.6,6,1,59,11:15 PM,10:54 AM,06:22 AM,06:05 PM,19,22,24,22,3,0,86,0.0,1011,17,10,99,3
2018-01-07 06:00:00,28,17,0.0,11.6,6,6,59,11:15 PM,10:54 AM,06:22 AM,06:05 PM,17,28,28,27,3,0,57,0.0,1012,23,10,63,3
2018-01-07 12:00:00,28,17,0.0,11.6,6,7,59,11:15 PM,10:54 AM,06:22 AM,06:05 PM,15,30,30,30,11,2,42,0.0,1009,28,10,0,10
2018-01-07 18:00:00,28,17,0.0,11.6,6,5,59,11:15 PM,10:54 AM,06:22 AM,06:05 PM,18,22,25,22,7,0,78,0.0,1011,20,10,61,5
2018-01-08 00:00:00,29,17,0.0,11.6,6,1,52,No moonrise,11:39 AM,06:23 AM,06:05 PM,18,19,19,19,5,4,92,0.0,1011,17,10,95,3
2018-01-08 06:00:00,29,17,0.0,11.6,6,6,52,No moonrise,11:39 AM,06:23 AM,06:05 PM,18,26,26,24,5,3,67,0.0,1012,22,10,61,5
2018-01-08 12:00:00,29,17,0.0,11.6,6,7,52,No moonrise,11:39 AM,06:23 AM,06:05 PM,17,30,30,29,13,10,47,0.0,1010,29,10,34,11
2018-01-08 18:00:00,29,17,0.0,11.6,6,6,52,No moonrise,11:39 AM,06:23 AM,06:05 PM,19,22,24,22,10,15,84,0.0,1012,21,10,45,6
