date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,25,14,0.0,8.7,5,1,97,04:06 PM,04:58 AM,06:12 AM,04:43 PM,15,20,20,20,3,0,71,0.0,1014,15,10,100,3
2018-01-01 06:00:00,25,14,0.0,8.7,5,5,97,04:06 PM,04:58 AM,06:12 AM,04:43 PM,15,23,25,23,8,2,59,0.0,1015,20,10,46,7
2018-01-01 12:00:00,25,14,0.0,8.7,5,7,97,04:06 PM,04:58 AM,06:12 AM,04:43 PM,15,27,27,27,10,4,49,0.0,1012,25,10,42,8
2018-01-01 18:00:00,25,14,0.0,8.7,5,1,97,04:06 PM,04:58 AM,06:12 AM,04:43 PM,13,19,19,19,7,10,67,0.0,1015,18,10,124,4
2018-01-02 00:00:00,25,15,0.0,8.7,5,1,100,05:10 PM,06:03 AM,06:12 AM,04:44 PM,11,18,18,18,4,12,65,0.0,1013,16,10,55,3
2018-01-02 06:00:00,25,15,0.0,8.7,5,5,100,05:10 PM,06:03 AM,06:12 AM,04:44 PM,12,21,24,21,7,9,56,0.0,1014,20,10,46,6
2018-01-02 12:00:00,25,15,0.0,8.7,5,5,100,05:10 PM,06:03 AM,06:12 AM,04:44 PM,15,26,26,26,11,10,52,1.2,1010,25,9,63,8
2018-01-02 18:00:00,25,15,0.0,8.7,5,1,100,05:10 PM,06:03 AM,06:12 AM,04:44 PM,14,18,18,18,6,12,76,0.4,1013,17,10,155,3
2018-01-03 00:00:00,24,14,0.0,8.7,5,1,89,06:16 PM,07:05 AM,06:13 AM,04:45 PM,13,16,16,16,3,11,81,0.0,1013,15,10,233,2
2018-01-03 06:00:00,24,14,0.0,8.7,5,4,89,06:16 PM,07:05 AM,06:13 AM,04:45 PM,14,20,20,20,6,13,68,0.8,1013,18,9,356,4
2018-01-03 12:00:00,24,14,0.0,8.7,5,6,89,06:16 PM,07:05 AM,06:13 AM,04:45 PM,12,25,25,24,12,8,49,0.0,1010,23,10,253,10
2018-01-03 18:00:00,24,14,0.0,8.7,5,1,89,06:16 PM,07:05 AM,06:13 AM,04:45 PM,13,17,17,17,12,6,76,0.0,1014,16,10,194,6
2018-01-04 00:00:00,23,13,0.0,8.7,5,1,81,07:23 PM,08:01 AM,06:13 AM,04:45 PM,11,16,16,16,5,12,75,0.0,1016,14,10,156,3
2018-01-04 06:00:00,23,13,0.0,8.7,5,5,81,07:23 PM,08:01 AM,06:13 AM,04:45 PM,12,19,19,19,6,6,62,0.0,1018,18,10,50,5
2018-01-04 12:00:00,23,13,0.0,8.7,5,6,81,07:23 PM,08:01 AM,06:13 AM,04:45 PM,12,25,25,24,5,6,47,0.0,1013,23,10,37,5
2018-01-04 18:00:00,23,13,0.0,8.7,5,1,81,07:23 PM,08:01 AM,06:13 AM,04:45 PM,13,16,16,16,3,13,79,0.0,1016,15,10,115,2
2018-01-05 00:00:00,23,13,0.0,8.7,5,1,74,08:27 PM,08:51 AM,06:13 AM,04:46 PM,12,15,15,15,4,47,83,0.0,1015,15,10,102,3
