date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,19,0.0,10.9,6,1,97,05:27 PM,06:01 AM,07:11 AM,06:02 PM,8,22,24,22,8,3,39,0.0,1012,20,10,45,4
2018-01-01 06:00:00,29,19,0.0,10.9,6,1,97,05:27 PM,06:01 AM,07:11 AM,06:02 PM,9,24,25,24,7,2,39,0.0,1013,21,10,61,6
2018-01-01 12:00:00,29,19,0.0,10.9,6,7,97,05:27 PM,06:01 AM,07:11 AM,06:02 PM,6,29,29,31,2,3,22,0.0,1010,29,10,174,2
2018-01-01 18:00:00,29,19,0.0,10.9,6,6,97,05:27 PM,06:01 AM,07:11 AM,06:02 PM,6,25,25,25,14,2,30,0.0,1011,24,10,352,8
2018-01-02 00:00:00,28,18,0.0,10.9,6,1,100,06:31 PM,07:06 AM,07:11 AM,06:03 PM,9,24,25,24,5,0,41,0.0,1011,19,10,1,4
2018-01-02 06:00:00,28,18,0.0,10.9,6,1,100,06:31 PM,07:06 AM,07:11 AM,06:03 PM,7,22,24,22,16,0,40,0.0,1013,20,10,71,11
2018-01-02 12:00:00,28,18,0.0,10.9,6,7,100,06:31 PM,07:06 AM,07:11 AM,06:03 PM,6,28,28,30,9,2,22,0.0,1011,28,10,103,8
2018-01-02 18:00:00,28,18,0.0,10.9,6,6,100,06:31 PM,07:06 AM,07:11 AM,06:03 PM,5,24,24,24,24,0,30,0.0,1012,23,10,36,13
2018-01-03 00:00:00,28,18,0.0,10.9,6,1,89,07:37 PM,08:07 AM,07:11 AM,06:04 PM,6,21,24,21,15,0,37,0.0,1013,19,10,71,10
2018-01-03 06:00:00,28,18,0.0,10.9,6,1,89,07:37 PM,08:07 AM,07:11 AM,06:04 PM,4,20,20,20,22,0,35,0.0,1015,20,10,90,14
2018-01-03 12:00:00,28,18,0.0,10.9,6,7,89,07:37 PM,08:07 AM,07:11 AM,06:04 PM,8,29,29,31,7,0,24,0.0,1012,28,10,141,6
2018-01-03 18:00:00,28,18,0.0,10.9,6,6,89,07:37 PM,08:07 AM,07:11 AM,06:04 PM,6,24,24,24,13,3,32,0.0,1013,23,10,59,7
2018-01-04 00:00:00,29,18,0.0,10.9,6,1,81,08:41 PM,09:05 AM,07:12 AM,06:04 PM,6,23,24,23,10,0,34,0.0,1014,19,10,80,7
2018-01-04 06:00:00,29,18,0.0,10.9,6,1,81,08:41 PM,09:05 AM,07:12 AM,06:04 PM,6,22,24,22,13,0,36,0.0,1015,21,10,96,10
2018-01-04 12:00:00,29,18,0.0,10.9,6,7,81,08:41 PM,09:05 AM,07:12 AM,06:04 PM,6,29,29,31,6,2,21,0.0,1012,29,10,229,5
2018-01-04 18:00:00,29,18,0.0,10.9,6,6,81,08:41 PM,09:05 AM,07:12 AM,06:04 PM,8,25,25,25,14,0,33,0.0,1013,23,10,309,9
2018-01-05 00:00:00,29,18,0.0,10.9,6,1,74,09:44 PM,09:56 AM,07:12 AM,06:05 PM,10,24,25,24,4,0,41,0.0,1013,19,10,324,3
2018-01-05 06:00:00,29,18,0.0,10.9,6,1,74,09:44 PM,09:56 AM,07:12 AM,06:05 PM,9,24,25,24,6,0,38,0.0,1014,21,10,13,5
2018-01-05 12:00:00,29,18,0.0,10.9,6,7,74,09:44 PM,09:56 AM,07:12 AM,06:05 PM,4,28,28,30,10,0,19,0.0,1011,29,10,261,9
2018-01-05 18:00:00,29,18,0.0,10.9,6,6,74,09:44 PM,09:56 AM,07:12 AM,06:05 PM,4,24,24,25,15,0,27,0.0,1012,23,10,335,9
2018-01-06 00:00:00,28,18,0.0,10.9,6,1,67,10:43 PM,10:42 AM,07:12 AM,06:05 PM,6,23,24,23,5,0,33,0.0,1012,19,10,3,4
2018-01-06 06:00:00,28,18,0.0,10.9,6,1,67,10:43 PM,10:42 AM,07:12 AM,06:05 PM,5,23,24,23,5,3,32,0.0,1014,21,10,38,5
2018-01-06 12:00:00,28,18,0.0,10.9,6,7,67,10:43 PM,10:42 AM,07:12 AM,06:05 PM,5,27,27,29,11,3,22,0.0,1011,28,10,250,10
2018-01-06 18:00:00,28,18,0.0,10.9,6,6,67,10:43 PM,10:42 AM,07:12 AM,06:05 PM,3,24,24,24,15,0,27,0.0,1013,22,10,323,9
2018-01-07 00:00:00,27,16,0.0,10.9,6,1,59,11:40 PM,11:25 AM,07:12 AM,06:06 PM,6,22,24,22,6,0,35,0.0,1013,18,10,326,5
2018-01-07 06:00:00,27,16,0.0,10.9,6,1,59,11:40 PM,11:25 AM,07:12 AM,06:06 PM,5,23,24,23,5,0,32,0.0,1015,19,10,19,5
2018-01-07 12:00:00,27,16,0.0,10.9,6,7,59,11:40 PM,11:25 AM,07:12 AM,06:06 PM,3,28,28,30,4,0,18,0.0,1012,27,10,268,3
2018-01-07 18:00:00,27,16,0.0,10.9,6,6,59,11:40 PM,11:25 AM,07:12 AM,06:06 PM,1,24,23,24,12,0,23,0.0,1014,22,10,358,7
