date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,20,0.0,8.7,6,1,97,05:25 PM,05:26 AM,06:22 AM,05:52 PM,-3,22,22,22,28,4,18,0.0,1015,22,10,2,16
2018-01-01 06:00:00,31,20,0.0,8.7,6,5,97,05:25 PM,05:26 AM,06:22 AM,05:52 PM,-4,20,20,20,20,4,20,0.0,1016,20,10,5,14
2018-01-01 12:00:00,31,20,0.0,8.7,6,7,97,05:25 PM,05:26 AM,06:22 AM,05:52 PM,-2,27,27,29,24,2,12,0.0,1014,29,10,45,21
2018-01-01 18:00:00,31,20,0.0,8.7,6,7,97,05:25 PM,05:26 AM,06:22 AM,05:52 PM,-2,24,24,26,25,0,16,0.0,1013,25,10,14,13
2018-01-02 00:00:00,30,18,0.0,8.7,6,1,100,06:29 PM,06:30 AM,06:23 AM,05:53 PM,-6,21,21,21,25,0,17,0.0,1015,20,10,7,14
2018-01-02 06:00:00,30,18,0.0,8.7,6,5,100,06:29 PM,06:30 AM,06:23 AM,05:53 PM,-6,18,18,18,20,0,19,0.0,1016,18,10,1,13
2018-01-02 12:00:00,30,18,0.0,8.7,6,7,100,06:29 PM,06:30 AM,06:23 AM,05:53 PM,-4,26,26,28,20,0,11,0.0,1013,28,10,41,17
2018-01-02 18:00:00,30,18,0.0,8.7,6,6,100,06:29 PM,06:30 AM,06:23 AM,05:53 PM,-5,23,23,24,25,0,14,0.0,1012,24,10,10,13
2018-01-03 00:00:00,29,17,0.0,8.7,6,1,89,07:33 PM,07:32 AM,06:23 AM,05:53 PM,-4,19,19,19,19,0,21,0.0,1015,18,10,359,11
2018-01-03 06:00:00,29,17,0.0,8.7,6,5,89,07:33 PM,07:32 AM,06:23 AM,05:53 PM,-2,17,17,17,17,0,27,0.0,1016,17,10,356,11
2018-01-03 12:00:00,29,17,0.0,8.7,6,7,89,07:33 PM,07:32 AM,06:23 AM,05:53 PM,-5,26,26,28,19,0,11,0.0,1014,28,10,32,16
2018-01-03 18:00:00,29,17,0.0,8.7,6,6,89,07:33 PM,07:32 AM,06:23 AM,05:53 PM,-9,23,23,24,26,0,10,0.0,1014,24,10,6,13
2018-01-04 00:00:00,29,16,0.0,8.7,6,1,81,08:35 PM,08:30 AM,06:23 AM,05:54 PM,-9,19,19,19,26,0,14,0.0,1016,19,10,3,13
2018-01-04 06:00:00,29,16,0.0,8.7,6,5,81,08:35 PM,08:30 AM,06:23 AM,05:54 PM,-9,17,17,17,20,0,17,0.0,1018,16,10,356,11
2018-01-04 12:00:00,29,16,0.0,8.7,6,7,81,08:35 PM,08:30 AM,06:23 AM,05:54 PM,-10,26,26,28,23,0,7,0.0,1016,28,10,34,20
2018-01-04 18:00:00,29,16,0.0,8.7,6,6,81,08:35 PM,08:30 AM,06:23 AM,05:54 PM,-11,22,22,23,28,0,10,0.0,1015,23,10,14,13
2018-01-05 00:00:00,28,15,0.0,8.7,6,1,74,09:34 PM,09:25 AM,06:24 AM,05:54 PM,-10,17,17,17,24,0,15,0.0,1017,17,10,3,12
2018-01-05 06:00:00,28,15,0.0,8.7,6,5,74,09:34 PM,09:25 AM,06:24 AM,05:54 PM,-5,16,16,16,17,0,24,0.0,1018,15,10,359,11
2018-01-05 12:00:00,28,15,0.0,8.7,6,7,74,09:34 PM,09:25 AM,06:24 AM,05:54 PM,-7,24,24,26,15,0,11,0.0,1015,26,10,41,13
2018-01-05 18:00:00,28,15,0.0,8.7,6,6,74,09:34 PM,09:25 AM,06:24 AM,05:54 PM,-8,23,23,23,17,0,12,0.0,1013,22,10,355,9
2018-01-06 00:00:00,29,16,0.0,8.7,6,1,67,10:28 PM,10:14 AM,06:24 AM,05:55 PM,-8,19,19,19,20,0,15,0.0,1015,18,10,344,10
2018-01-06 06:00:00,29,16,0.0,8.7,6,5,67,10:28 PM,10:14 AM,06:24 AM,05:55 PM,-5,18,18,18,13,0,21,0.0,1016,16,10,354,9
2018-01-06 12:00:00,29,16,0.0,8.7,6,7,67,10:28 PM,10:14 AM,06:24 AM,05:55 PM,-6,28,28,30,7,0,9,0.0,1013,28,10,52,6
2018-01-06 18:00:00,29,16,0.0,8.7,6,6,67,10:28 PM,10:14 AM,06:24 AM,05:55 PM,-8,24,24,25,17,0,11,0.0,1012,24,10,2,8
2018-01-07 00:00:00,31,18,0.0,8.7,6,1,59,11:21 PM,11:00 AM,06:24 AM,05:56 PM,-7,20,20,20,20,0,16,0.0,1014,19,10,336,10
2018-01-07 06:00:00,31,18,0.0,8.7,6,5,59,11:21 PM,11:00 AM,06:24 AM,05:56 PM,-4,20,20,20,12,0,18,0.0,1015,18,10,3,8
2018-01-07 12:00:00,31,18,0.0,8.7,6,7,59,11:21 PM,11:00 AM,06:24 AM,05:56 PM,-7,28,28,30,12,0,8,0.0,1013,30,10,70,10
2018-01-07 18:00:00,31,18,0.0,8.7,6,6,59,11:21 PM,11:00 AM,06:24 AM,05:56 PM,-4,25,25,27,9,0,13,0.0,1011,25,10,340,4
2018-01-08 00:00:00,32,20,0.0,8.7,7,1,52,No moonrise,11:43 AM,06:25 AM,05:56 PM,-6,22,22,22,20,0,15,0.0,1014,22,10,355,10
2018-01-08 06:00:00,32,20,0.0,8.7,7,6,52,No moonrise,11:43 AM,06:25 AM,05:56 PM,-5,22,22,22,16,0,16,0.0,1015,20,10,359,9
