date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,8.7,6,1,97,05:16 PM,05:40 AM,06:50 AM,05:52 PM,8,20,20,20,7,4,47,0.0,1012,18,10,107,4
2018-01-01 06:00:00,29,17,0.0,8.7,6,6,97,05:16 PM,05:40 AM,06:50 AM,05:52 PM,11,22,25,22,8,3,49,0.0,1013,21,10,138,7
2018-01-01 12:00:00,29,17,0.0,8.7,6,7,97,05:16 PM,05:40 AM,06:50 AM,05:52 PM,8,29,29,31,7,4,25,0.0,1009,29,10,305,6
2018-01-01 18:00:00,29,17,0.0,8.7,6,6,97,05:16 PM,05:40 AM,06:50 AM,05:52 PM,6,23,24,23,16,3,34,0.0,1010,22,10,29,8
2018-01-02 00:00:00,29,17,0.0,8.7,6,1,100,06:19 PM,06:45 AM,06:50 AM,05:53 PM,7,20,20,20,12,3,44,0.0,1010,18,10,95,7
2018-01-02 06:00:00,29,17,0.0,8.7,6,6,100,06:19 PM,06:45 AM,06:50 AM,05:53 PM,8,22,24,22,7,3,40,0.0,1013,20,10,108,6
2018-01-02 12:00:00,29,17,0.0,8.7,6,7,100,06:19 PM,06:45 AM,06:50 AM,05:53 PM,7,29,29,31,6,3,22,0.0,1010,29,10,341,5
2018-01-02 18:00:00,29,17,0.0,8.7,6,6,100,06:19 PM,06:45 AM,06:50 AM,05:53 PM,6,23,24,23,16,2,33,0.0,1011,22,10,17,8
2018-01-03 00:00:00,29,17,0.0,8.7,6,1,89,07:25 PM,07:47 AM,06:51 AM,05:53 PM,8,20,20,20,15,3,46,0.0,1012,18,10,87,8
2018-01-03 06:00:00,29,17,0.0,8.7,6,5,89,07:25 PM,07:47 AM,06:51 AM,05:53 PM,9,22,24,22,6,4,45,0.0,1014,20,10,92,5
2018-01-03 12:00:00,29,17,0.0,8.7,6,7,89,07:25 PM,07:47 AM,06:51 AM,05:53 PM,8,29,29,31,5,4,24,0.0,1011,29,10,342,4
2018-01-03 18:00:00,29,17,0.0,8.7,6,6,89,07:25 PM,07:47 AM,06:51 AM,05:53 PM,6,23,24,23,15,3,33,0.0,1013,22,10,31,8
2018-01-04 00:00:00,28,16,0.0,8.7,6,1,81,08:28 PM,08:44 AM,06:51 AM,05:54 PM,8,20,20,20,13,3,47,0.0,1013,18,10,94,7
2018-01-04 06:00:00,28,16,0.0,8.7,6,5,81,08:28 PM,08:44 AM,06:51 AM,05:54 PM,9,22,24,22,6,5,43,0.0,1016,20,10,99,5
2018-01-04 12:00:00,28,16,0.0,8.7,6,7,81,08:28 PM,08:44 AM,06:51 AM,05:54 PM,7,28,28,30,8,4,24,0.0,1012,28,10,3,7
2018-01-04 18:00:00,28,16,0.0,8.7,6,6,81,08:28 PM,08:44 AM,06:51 AM,05:54 PM,6,22,24,22,16,4,36,0.0,1013,21,10,50,8
2018-01-05 00:00:00,29,17,0.0,8.7,6,1,74,09:30 PM,09:37 AM,06:51 AM,05:55 PM,6,19,19,19,19,4,43,0.0,1013,18,10,119,9
2018-01-05 06:00:00,29,17,0.0,8.7,6,5,74,09:30 PM,09:37 AM,06:51 AM,05:55 PM,8,22,24,22,7,3,39,0.0,1014,20,10,131,6
