date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,21,0.0,11.1,7,1,97,05:39 PM,05:53 AM,07:01 AM,06:15 PM,13,23,25,23,15,5,55,0.0,1011,22,10,48,8
2018-01-01 06:00:00,31,21,0.0,11.1,7,1,97,05:39 PM,05:53 AM,07:01 AM,06:15 PM,14,26,26,25,12,2,50,0.0,1012,24,10,97,8
2018-01-01 12:00:00,31,21,0.0,11.1,7,8,97,05:39 PM,05:53 AM,07:01 AM,06:15 PM,15,30,30,30,15,0,41,0.0,1008,30,10,256,13
2018-01-01 18:00:00,31,21,0.0,11.1,7,6,97,05:39 PM,05:53 AM,07:01 AM,06:15 PM,18,26,26,24,15,4,70,0.0,1010,24,10,359,9
2018-01-02 00:00:00,30,21,0.0,11.1,6,1,100,06:43 PM,06:57 AM,07:02 AM,06:16 PM,16,23,25,23,12,4,65,0.0,1009,22,10,36,7
2018-01-02 06:00:00,30,21,0.0,11.1,6,1,100,06:43 PM,06:57 AM,07:02 AM,06:16 PM,16,26,26,25,7,3,57,0.0,1011,23,10,66,6
2018-01-02 12:00:00,30,21,0.0,11.1,6,7,100,06:43 PM,06:57 AM,07:02 AM,06:16 PM,16,30,30,29,16,2,44,0.0,1009,29,10,259,14
2018-01-02 18:00:00,30,21,0.0,11.1,6,6,100,06:43 PM,06:57 AM,07:02 AM,06:16 PM,18,26,26,24,15,3,69,0.0,1010,23,10,3,9
2018-01-03 00:00:00,30,21,0.0,11.1,6,1,89,07:48 PM,08:00 AM,07:02 AM,06:16 PM,18,23,25,23,13,2,70,0.0,1010,22,10,27,8
2018-01-03 06:00:00,30,21,0.0,11.1,6,1,89,07:48 PM,08:00 AM,07:02 AM,06:16 PM,15,26,26,25,7,5,56,0.0,1012,23,10,58,5
2018-01-03 12:00:00,30,21,0.0,11.1,6,7,89,07:48 PM,08:00 AM,07:02 AM,06:16 PM,17,31,31,30,17,6,46,0.0,1010,30,10,273,15
2018-01-03 18:00:00,30,21,0.0,11.1,6,6,89,07:48 PM,08:00 AM,07:02 AM,06:16 PM,20,26,26,24,17,8,75,0.0,1012,24,10,347,9
2018-01-04 00:00:00,30,22,0.0,11.2,7,1,81,08:51 PM,08:58 AM,07:02 AM,06:17 PM,17,25,25,23,16,8,70,0.0,1012,22,10,16,9
2018-01-04 06:00:00,30,22,0.0,11.2,7,1,81,08:51 PM,08:58 AM,07:02 AM,06:17 PM,17,26,26,25,8,9,61,0.0,1013,24,10,27,6
2018-01-04 12:00:00,30,22,0.0,11.2,7,7,81,08:51 PM,08:58 AM,07:02 AM,06:17 PM,19,31,31,30,17,10,52,0.0,1011,30,10,281,15
2018-01-04 18:00:00,30,22,0.0,11.2,7,6,81,08:51 PM,08:58 AM,07:02 AM,06:17 PM,20,26,26,24,22,8,79,0.0,1012,24,10,348,12
2018-01-05 00:00:00,31,22,0.0,11.1,7,1,74,09:51 PM,09:52 AM,07:03 AM,06:17 PM,17,25,25,23,19,9,70,0.0,1011,23,10,16,10
2018-01-05 06:00:00,31,22,0.0,11.1,7,1,74,09:51 PM,09:52 AM,07:03 AM,06:17 PM,16,26,26,25,11,11,57,0.0,1012,24,10,78,8
2018-01-05 12:00:00,31,22,0.0,11.1,7,8,74,09:51 PM,09:52 AM,07:03 AM,06:17 PM,17,32,32,31,15,11,44,0.0,1010,31,10,262,13
2018-01-05 18:00:00,31,22,0.0,11.1,7,6,74,09:51 PM,09:52 AM,07:03 AM,06:17 PM,19,26,26,24,20,12,72,0.0,1011,24,10,350,11
2018-01-06 00:00:00,31,22,0.0,11.2,7,1,67,10:48 PM,10:40 AM,07:03 AM,06:18 PM,15,25,25,23,15,6,60,0.0,1010,23,10,35,8
2018-01-06 06:00:00,31,22,0.0,11.2,7,1,67,10:48 PM,10:40 AM,07:03 AM,06:18 PM,13,25,25,24,15,3,49,0.0,1012,24,10,69,10
2018-01-06 12:00:00,31,22,0.0,11.2,7,8,67,10:48 PM,10:40 AM,07:03 AM,06:18 PM,15,30,30,30,15,5,39,0.0,1010,30,10,264,13
2018-01-06 18:00:00,31,22,0.0,11.2,7,6,67,10:48 PM,10:40 AM,07:03 AM,06:18 PM,18,26,26,24,22,6,68,0.0,1011,24,10,357,12
2018-01-07 00:00:00,31,21,0.0,11.2,7,1,59,11:42 PM,11:25 AM,07:03 AM,06:19 PM,15,25,25,23,18,5,63,0.0,1011,22,10,23,10
2018-01-07 06:00:00,31,21,0.0,11.2,7,1,59,11:42 PM,11:25 AM,07:03 AM,06:19 PM,15,25,25,24,14,2,56,0.0,1013,23,10,43,9
2018-01-07 12:00:00,31,21,0.0,11.2,7,8,59,11:42 PM,11:25 AM,07:03 AM,06:19 PM,16,30,30,30,18,5,42,0.0,1011,30,10,285,15
2018-01-07 18:00:00,31,21,0.0,11.2,7,6,59,11:42 PM,11:25 AM,07:03 AM,06:19 PM,17,25,25,24,27,6,67,0.0,1011,24,10,347,14
2018-01-08 00:00:00,30,21,0.0,11.2,6,1,52,No moonrise,12:07 PM,07:04 AM,06:19 PM,14,22,24,22,24,5,64,0.0,1011,21,10,12,12
2018-01-08 06:00:00,30,21,0.0,11.2,6,1,52,No moonrise,12:07 PM,07:04 AM,06:19 PM,15,25,25,24,11,5,57,0.0,1013,23,10,28,8
2018-01-08 12:00:00,30,21,0.0,11.2,6,7,52,No moonrise,12:07 PM,07:04 AM,06:19 PM,16,30,30,30,16,6,43,0.0,1011,30,10,286,14
2018-01-08 18:00:00,30,21,0.0,11.2,6,6,52,No moonrise,12:07 PM,07:04 AM,06:19 PM,19,25,25,23,26,5,75,0.0,1012,23,10,346,14
2018-01-09 00:00:00,32,21,0.0,11.2,7,1,45,12:34 AM,12:47 PM,07:04 AM,06:20 PM,13,22,25,22,21,5,59,0.0,1013,22,10,26,11
2018-01-09 06:00:00,32,21,0.0,11.2,7,1,45,12:34 AM,12:47 PM,07:04 AM,06:20 PM,12,25,25,24,19,3,46,0.0,1015,24,10,87,13
2018-01-09 12:00:00,32,21,0.0,11.2,7,8,45,12:34 AM,12:47 PM,07:04 AM,06:20 PM,16,33,33,33,6,6,37,0.0,1012,32,10,235,5
2018-01-09 18:00:00,32,21,0.0,11.2,7,6,45,12:34 AM,12:47 PM,07:04 AM,06:20 PM,18,26,26,25,15,8,65,0.0,1014,25,10,334,8
2018-01-10 00:00:00,32,22,0.0,11.2,7,1,38,01:24 AM,01:28 PM,07:04 AM,06:20 PM,15,25,25,24,16,9,60,0.0,1014,23,10,45,9
2018-01-10 06:00:00,32,22,0.0,11.2,7,1,38,01:24 AM,01:28 PM,07:04 AM,06:20 PM,15,26,26,25,17,4,56,0.0,1015,25,10,88,12
2018-01-10 12:00:00,32,22,0.0,11.2,7,8,38,01:24 AM,01:28 PM,07:04 AM,06:20 PM,19,34,34,32,13,10,44,0.0,1012,32,10,275,11
2018-01-10 18:00:00,32,22,0.0,11.2,7,7,38,01:24 AM,01:28 PM,07:04 AM,06:20 PM,19,27,27,26,21,14,69,0.0,1013,25,10,336,12
2018-01-11 00:00:00,32,24,0.0,11.2,7,1,30,02:13 AM,02:08 PM,07:04 AM,06:21 PM,17,26,26,25,15,20,62,0.0,1014,24,10,30,8
