date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,20,0.0,11.6,6,1,97,05:34 PM,05:18 AM,05:58 AM,05:47 PM,18,21,21,21,10,48,83,0.0,1013,21,10,323,5
2018-01-01 06:00:00,29,20,0.0,11.6,6,6,97,05:34 PM,05:18 AM,05:58 AM,05:47 PM,16,22,25,22,4,30,70,0.0,1015,22,10,11,3
2018-01-01 12:00:00,29,20,0.0,11.6,6,7,97,05:34 PM,05:18 AM,05:58 AM,05:47 PM,16,30,30,29,12,29,46,0.0,1013,29,10,70,11
2018-01-01 18:00:00,29,20,0.0,11.6,6,1,97,05:34 PM,05:18 AM,05:58 AM,05:47 PM,18,22,24,22,3,35,81,0.0,1013,21,10,265,2
2018-01-02 00:00:00,23,19,0.0,8.8,6,1,100,06:38 PM,06:22 AM,05:59 AM,05:47 PM,16,20,20,20,7,26,78,0.0,1013,20,10,312,4
2018-01-02 06:00:00,23,19,0.0,8.8,6,6,100,06:38 PM,06:22 AM,05:59 AM,05:47 PM,15,21,21,21,4,48,71,0.0,1014,21,10,335,3
2018-01-02 12:00:00,23,19,0.0,8.8,6,5,100,06:38 PM,06:22 AM,05:59 AM,05:47 PM,18,25,25,23,8,76,73,0.0,1013,23,10,25,6
2018-01-02 18:00:00,23,19,0.0,8.8,6,1,100,06:38 PM,06:22 AM,05:59 AM,05:47 PM,18,20,20,20,8,33,85,0.0,1013,20,10,348,4
2018-01-03 00:00:00,27,19,0.0,11.6,6,1,89,07:41 PM,07:24 AM,05:59 AM,05:48 PM,16,20,20,20,8,47,79,0.0,1013,20,10,292,4
2018-01-03 06:00:00,27,19,0.0,11.6,6,6,89,07:41 PM,07:24 AM,05:59 AM,05:48 PM,15,21,24,21,6,47,69,0.0,1014,21,10,345,4
2018-01-03 12:00:00,27,19,0.0,11.6,6,7,89,07:41 PM,07:24 AM,05:59 AM,05:48 PM,18,28,28,27,14,30,57,0.0,1012,27,10,79,12
2018-01-03 18:00:00,27,19,0.0,11.6,6,1,89,07:41 PM,07:24 AM,05:59 AM,05:48 PM,18,22,24,22,9,19,82,0.0,1012,22,10,356,4
2018-01-04 00:00:00,30,20,0.0,11.5,6,1,81,08:40 PM,08:22 AM,06:00 AM,05:48 PM,16,20,20,20,11,13,75,0.0,1013,20,10,305,5
2018-01-04 06:00:00,30,20,0.0,11.5,6,6,81,08:40 PM,08:22 AM,06:00 AM,05:48 PM,14,25,25,22,8,14,60,0.0,1014,22,10,300,5
2018-01-04 12:00:00,30,20,0.0,11.5,6,8,81,08:40 PM,08:22 AM,06:00 AM,05:48 PM,17,31,31,30,12,18,44,0.0,1012,30,10,79,11
2018-01-04 18:00:00,30,20,0.0,11.5,6,1,81,08:40 PM,08:22 AM,06:00 AM,05:48 PM,18,25,25,22,10,23,75,0.0,1013,22,10,20,5
2018-01-05 00:00:00,30,20,0.0,11.5,6,1,74,09:36 PM,09:17 AM,06:00 AM,05:49 PM,15,21,21,21,12,13,73,0.0,1014,20,10,314,6
2018-01-05 06:00:00,30,20,0.0,11.5,6,6,74,09:36 PM,09:17 AM,06:00 AM,05:49 PM,14,25,25,22,8,20,61,0.0,1015,22,10,313,5
2018-01-05 12:00:00,30,20,0.0,11.5,6,7,74,09:36 PM,09:17 AM,06:00 AM,05:49 PM,17,31,31,30,13,24,45,0.0,1012,30,10,80,12
2018-01-05 18:00:00,30,20,0.0,11.5,6,1,74,09:36 PM,09:17 AM,06:00 AM,05:49 PM,17,25,25,23,11,25,72,0.0,1013,23,10,11,5
2018-01-06 00:00:00,29,21,0.0,11.5,6,1,67,10:28 PM,10:07 AM,06:00 AM,05:49 PM,16,21,24,21,11,15,72,0.0,1014,21,10,324,5
2018-01-06 06:00:00,29,21,0.0,11.5,6,6,67,10:28 PM,10:07 AM,06:00 AM,05:49 PM,15,25,25,23,7,23,61,0.0,1015,23,10,340,5
2018-01-06 12:00:00,29,21,0.0,11.5,6,7,67,10:28 PM,10:07 AM,06:00 AM,05:49 PM,16,30,30,29,15,22,47,0.0,1012,29,10,63,13
2018-01-06 18:00:00,29,21,0.0,11.5,6,1,67,10:28 PM,10:07 AM,06:00 AM,05:49 PM,17,25,25,22,10,16,73,0.0,1013,22,10,12,5
2018-01-07 00:00:00,30,20,0.0,8.7,6,1,59,11:18 PM,10:54 AM,06:01 AM,05:50 PM,15,20,20,20,11,9,71,0.0,1012,20,10,321,5
2018-01-07 06:00:00,30,20,0.0,8.7,6,6,59,11:18 PM,10:54 AM,06:01 AM,05:50 PM,14,22,25,22,7,15,61,0.0,1014,22,10,335,5
2018-01-07 12:00:00,30,20,0.0,8.7,6,8,59,11:18 PM,10:54 AM,06:01 AM,05:50 PM,15,30,30,30,14,19,40,0.0,1011,30,10,73,12
2018-01-07 18:00:00,30,20,0.0,8.7,6,1,59,11:18 PM,10:54 AM,06:01 AM,05:50 PM,16,25,25,23,10,23,66,0.0,1012,23,10,20,5
2018-01-08 00:00:00,29,20,0.0,8.7,6,1,52,No moonrise,11:39 AM,06:01 AM,05:50 PM,15,20,20,20,12,16,73,0.0,1013,20,10,317,6
2018-01-08 06:00:00,29,20,0.0,8.7,6,6,52,No moonrise,11:39 AM,06:01 AM,05:50 PM,14,22,25,22,11,16,62,0.0,1014,22,10,326,6
2018-01-08 12:00:00,29,20,0.0,8.7,6,7,52,No moonrise,11:39 AM,06:01 AM,05:50 PM,16,29,29,29,11,29,48,0.0,1011,29,10,61,9
2018-01-08 18:00:00,29,20,0.0,8.7,6,1,52,No moonrise,11:39 AM,06:01 AM,05:50 PM,17,25,25,23,9,46,70,0.0,1011,23,10,17,5
2018-01-09 00:00:00,28,20,0.0,8.7,6,1,45,12:05 AM,12:22 PM,06:01 AM,05:51 PM,15,20,20,20,11,35,74,0.0,1013,20,10,327,5
2018-01-09 06:00:00,28,20,0.0,8.7,6,6,45,12:05 AM,12:22 PM,06:01 AM,05:51 PM,15,22,25,22,5,32,66,0.0,1014,22,10,339,3
2018-01-09 12:00:00,28,20,0.0,8.7,6,7,45,12:05 AM,12:22 PM,06:01 AM,05:51 PM,17,28,28,28,10,45,51,0.0,1011,28,10,75,9
2018-01-09 18:00:00,28,20,0.0,8.7,6,1,45,12:05 AM,12:22 PM,06:01 AM,05:51 PM,18,22,25,22,11,46,77,0.0,1011,22,10,356,6
2018-01-10 00:00:00,28,20,0.0,8.7,6,1,38,12:52 AM,01:06 PM,06:02 AM,05:51 PM,16,20,20,20,12,27,78,0.0,1013,20,10,319,6
2018-01-10 06:00:00,28,20,0.0,8.7,6,6,38,12:52 AM,01:06 PM,06:02 AM,05:51 PM,15,21,21,21,8,28,68,0.0,1015,21,10,300,5
2018-01-10 12:00:00,28,20,0.0,8.7,6,7,38,12:52 AM,01:06 PM,06:02 AM,05:51 PM,16,29,29,28,10,29,48,0.0,1011,28,10,91,9
2018-01-10 18:00:00,28,20,0.0,8.7,6,1,38,12:52 AM,01:06 PM,06:02 AM,05:51 PM,17,25,25,22,12,47,73,0.0,1012,22,10,359,6
2018-01-11 00:00:00,30,19,0.0,8.7,6,1,30,01:39 AM,01:49 PM,06:02 AM,05:52 PM,16,20,20,20,13,22,76,0.0,1014,20,10,328,6
2018-01-11 06:00:00,30,19,0.0,8.7,6,6,30,01:39 AM,01:49 PM,06:02 AM,05:52 PM,15,21,24,21,4,23,67,0.0,1015,21,10,308,3
2018-01-11 12:00:00,30,19,0.0,8.7,6,8,30,01:39 AM,01:49 PM,06:02 AM,05:52 PM,14,30,30,30,11,43,38,0.0,1012,30,10,86,10
2018-01-11 18:00:00,30,19,0.0,8.7,6,1,30,01:39 AM,01:49 PM,06:02 AM,05:52 PM,16,25,25,23,9,25,67,0.0,1013,23,10,358,5
2018-01-12 00:00:00,30,20,0.0,8.7,6,1,23,02:25 AM,02:33 PM,06:02 AM,05:52 PM,14,20,20,20,12,16,68,0.0,1014,20,10,304,6
2018-01-12 06:00:00,30,20,0.0,8.7,6,6,23,02:25 AM,02:33 PM,06:02 AM,05:52 PM,12,22,24,22,7,21,55,0.0,1015,22,10,305,4
2018-01-12 12:00:00,30,20,0.0,8.7,6,7,23,02:25 AM,02:33 PM,06:02 AM,05:52 PM,17,31,31,30,13,25,45,0.0,1012,30,10,74,11
2018-01-12 18:00:00,30,20,0.0,8.7,6,1,23,02:25 AM,02:33 PM,06:02 AM,05:52 PM,17,25,25,23,10,20,67,0.0,1012,23,10,357,5
2018-01-13 00:00:00,29,20,0.0,8.7,6,1,16,03:12 AM,03:19 PM,06:03 AM,05:53 PM,15,21,21,21,13,13,70,0.0,1013,20,10,313,6
2018-01-13 06:00:00,29,20,0.0,8.7,6,6,16,03:12 AM,03:19 PM,06:03 AM,05:53 PM,14,22,25,22,8,22,61,0.0,1014,22,10,321,5
2018-01-13 12:00:00,29,20,0.0,8.7,6,7,16,03:12 AM,03:19 PM,06:03 AM,05:53 PM,16,30,30,29,13,20,45,0.0,1012,29,10,65,12
2018-01-13 18:00:00,29,20,0.0,8.7,6,1,16,03:12 AM,03:19 PM,06:03 AM,05:53 PM,17,25,25,22,10,18,70,0.0,1011,22,10,14,5
2018-01-14 00:00:00,30,20,0.0,8.7,6,1,9,04:00 AM,04:06 PM,06:03 AM,05:53 PM,15,21,21,21,9,15,71,0.0,1013,21,10,317,5
2018-01-14 06:00:00,30,20,0.0,8.7,6,6,9,04:00 AM,04:06 PM,06:03 AM,05:53 PM,14,22,25,22,7,19,60,0.0,1014,22,10,333,5
2018-01-14 12:00:00,30,20,0.0,8.7,6,8,9,04:00 AM,04:06 PM,06:03 AM,05:53 PM,16,31,31,30,13,23,41,0.0,1010,30,10,73,12
2018-01-14 18:00:00,30,20,0.0,8.7,6,1,9,04:00 AM,04:06 PM,06:03 AM,05:53 PM,16,25,25,23,8,22,62,0.0,1010,23,10,25,4
2018-01-15 00:00:00,31,20,0.0,8.7,6,1,1,04:48 AM,04:54 PM,06:03 AM,05:53 PM,14,21,21,21,11,12,65,0.0,1012,21,10,326,5
2018-01-15 06:00:00,31,20,0.0,8.7,6,6,1,04:48 AM,04:54 PM,06:03 AM,05:53 PM,14,22,25,22,7,16,61,0.0,1014,22,10,323,5
2018-01-15 12:00:00,31,20,0.0,8.7,6,8,1,04:48 AM,04:54 PM,06:03 AM,05:53 PM,13,31,31,31,13,8,33,0.0,1010,31,10,77,12
2018-01-15 18:00:00,31,20,0.0,8.7,6,1,1,04:48 AM,04:54 PM,06:03 AM,05:53 PM,15,25,25,23,12,10,59,0.0,1011,23,10,349,6
2018-01-16 00:00:00,32,20,0.0,8.7,6,1,0,05:36 AM,05:42 PM,06:04 AM,05:54 PM,13,21,24,21,14,10,60,0.0,1013,21,10,316,7
2018-01-16 06:00:00,32,20,0.0,8.7,6,6,0,05:36 AM,05:42 PM,06:04 AM,05:54 PM,12,22,24,22,9,13,53,0.0,1015,22,10,317,5
2018-01-16 12:00:00,32,20,0.0,8.7,6,8,0,05:36 AM,05:42 PM,06:04 AM,05:54 PM,13,31,31,32,12,17,32,0.0,1011,32,10,79,11
2018-01-16 18:00:00,32,20,0.0,8.7,6,1,0,05:36 AM,05:42 PM,06:04 AM,05:54 PM,15,25,25,24,9,14,58,0.0,1012,24,10,11,5
2018-01-17 00:00:00,31,20,0.0,8.7,6,1,0,06:23 AM,06:30 PM,06:04 AM,05:54 PM,14,21,21,21,12,20,65,0.0,1013,21,10,290,6
2018-01-17 06:00:00,31,20,0.0,8.7,6,6,0,06:23 AM,06:30 PM,06:04 AM,05:54 PM,13,22,24,22,3,28,60,0.0,1015,22,10,348,2
2018-01-17 12:00:00,31,20,0.0,8.7,6,8,0,06:23 AM,06:30 PM,06:04 AM,05:54 PM,15,31,31,31,14,19,38,0.0,1012,31,10,79,12
2018-01-17 18:00:00,31,20,0.0,8.7,6,1,0,06:23 AM,06:30 PM,06:04 AM,05:54 PM,17,25,25,23,8,23,69,0.0,1013,22,10,25,4
2018-01-18 00:00:00,29,19,0.0,8.7,6,1,6,07:10 AM,07:18 PM,06:04 AM,05:55 PM,15,20,20,20,9,24,75,0.0,1014,20,10,300,5
2018-01-18 06:00:00,29,19,0.0,8.7,6,6,6,07:10 AM,07:18 PM,06:04 AM,05:55 PM,15,21,24,21,3,31,69,0.0,1015,21,10,334,2
2018-01-18 12:00:00,29,19,0.0,8.7,6,7,6,07:10 AM,07:18 PM,06:04 AM,05:55 PM,17,30,30,29,14,24,47,0.0,1012,29,10,78,12
2018-01-18 18:00:00,29,19,0.0,8.7,6,1,6,07:10 AM,07:18 PM,06:04 AM,05:55 PM,17,22,24,22,11,21,74,0.0,1012,22,10,26,6
2018-01-19 00:00:00,31,19,0.0,8.7,6,1,13,07:55 AM,08:05 PM,06:04 AM,05:55 PM,15,20,20,20,9,24,72,0.0,1014,20,10,331,5
