date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,21,0.0,8.7,7,1,97,05:13 PM,05:27 AM,06:36 AM,05:50 PM,18,25,25,22,17,43,76,0.0,1010,22,10,348,9
2018-01-01 06:00:00,31,21,0.0,8.7,7,6,97,05:13 PM,05:27 AM,06:36 AM,05:50 PM,15,25,25,24,16,39,58,0.0,1012,24,10,352,12
2018-01-01 12:00:00,31,21,0.0,8.7,7,8,97,05:13 PM,05:27 AM,06:36 AM,05:50 PM,15,31,31,31,11,26,38,0.0,1008,31,10,70,9
2018-01-01 18:00:00,31,21,0.0,8.7,7,6,97,05:13 PM,05:27 AM,06:36 AM,05:50 PM,19,26,26,24,22,11,73,0.0,1010,24,10,110,13
2018-01-02 00:00:00,30,21,0.0,8.7,6,1,100,06:16 PM,06:31 AM,06:37 AM,05:51 PM,20,25,25,23,7,17,85,0.1,1010,22,10,5,4
2018-01-02 06:00:00,30,21,0.0,8.7,6,6,100,06:16 PM,06:31 AM,06:37 AM,05:51 PM,20,26,26,24,15,22,79,0.0,1012,24,10,1,12
2018-01-02 12:00:00,30,21,0.0,8.7,6,7,100,06:16 PM,06:31 AM,06:37 AM,05:51 PM,18,31,31,30,17,14,50,0.0,1009,30,10,103,14
2018-01-02 18:00:00,30,21,0.0,8.7,6,6,100,06:16 PM,06:31 AM,06:37 AM,05:51 PM,20,26,26,24,25,10,79,0.0,1011,24,10,124,15
2018-01-03 00:00:00,30,22,0.0,8.7,5,1,89,07:21 PM,07:34 AM,06:37 AM,05:51 PM,21,25,25,23,11,14,88,0.3,1011,23,9,68,6
2018-01-03 06:00:00,30,22,0.0,8.7,5,6,89,07:21 PM,07:34 AM,06:37 AM,05:51 PM,20,26,26,24,15,11,78,0.0,1014,24,10,27,12
2018-01-03 12:00:00,30,22,0.0,8.7,5,7,89,07:21 PM,07:34 AM,06:37 AM,05:51 PM,16,30,30,30,14,4,45,0.0,1010,30,10,82,12
2018-01-03 18:00:00,30,22,0.0,8.7,5,6,89,07:21 PM,07:34 AM,06:37 AM,05:51 PM,21,25,25,23,18,11,88,0.0,1012,23,10,121,10
2018-01-04 00:00:00,29,21,0.0,8.7,6,1,81,08:24 PM,08:32 AM,06:37 AM,05:52 PM,20,25,25,23,7,13,85,0.0,1013,22,10,135,4
2018-01-04 06:00:00,29,21,0.0,8.7,6,6,81,08:24 PM,08:32 AM,06:37 AM,05:52 PM,19,25,25,24,12,6,77,0.1,1015,24,10,6,9
2018-01-04 12:00:00,29,21,0.0,8.7,6,7,81,08:24 PM,08:32 AM,06:37 AM,05:52 PM,12,29,29,29,14,3,35,0.0,1012,29,10,72,12
2018-01-04 18:00:00,29,21,0.0,8.7,6,6,81,08:24 PM,08:32 AM,06:37 AM,05:52 PM,18,25,25,23,18,0,74,0.0,1013,23,10,121,10
2018-01-05 00:00:00,28,20,0.0,8.7,6,1,74,09:25 PM,09:26 AM,06:38 AM,05:53 PM,19,23,25,23,6,0,77,0.0,1013,21,10,193,4
2018-01-05 06:00:00,28,20,0.0,8.7,6,6,74,09:25 PM,09:26 AM,06:38 AM,05:53 PM,17,25,25,22,13,0,74,0.0,1014,22,10,7,10
2018-01-05 12:00:00,28,20,0.0,8.7,6,7,74,09:25 PM,09:26 AM,06:38 AM,05:53 PM,13,28,28,28,14,0,39,0.0,1011,28,10,101,12
2018-01-05 18:00:00,28,20,0.0,8.7,6,6,74,09:25 PM,09:26 AM,06:38 AM,05:53 PM,15,25,25,22,20,0,63,0.0,1012,22,10,135,10
2018-01-06 00:00:00,28,20,0.0,8.7,6,1,67,10:22 PM,10:14 AM,06:38 AM,05:53 PM,17,23,25,23,4,0,67,0.0,1011,21,10,234,3
2018-01-06 06:00:00,28,20,0.0,8.7,6,6,67,10:22 PM,10:14 AM,06:38 AM,05:53 PM,14,25,25,22,11,0,61,0.0,1013,22,10,326,8
2018-01-06 12:00:00,28,20,0.0,8.7,6,7,67,10:22 PM,10:14 AM,06:38 AM,05:53 PM,12,28,28,29,13,0,35,0.0,1010,28,10,94,12
2018-01-06 18:00:00,28,20,0.0,8.7,6,6,67,10:22 PM,10:14 AM,06:38 AM,05:53 PM,15,25,25,22,18,0,64,0.0,1012,22,10,135,9
2018-01-07 00:00:00,28,19,0.0,8.7,6,1,59,11:16 PM,10:59 AM,06:38 AM,05:54 PM,16,22,25,22,9,0,68,0.0,1012,21,10,244,5
2018-01-07 06:00:00,28,19,0.0,8.7,6,6,59,11:16 PM,10:59 AM,06:38 AM,05:54 PM,16,25,25,23,8,0,63,0.0,1014,22,10,345,7
2018-01-07 12:00:00,28,19,0.0,8.7,6,7,59,11:16 PM,10:59 AM,06:38 AM,05:54 PM,13,28,28,28,16,0,39,0.0,1011,28,10,116,14
2018-01-07 18:00:00,28,19,0.0,8.7,6,6,59,11:16 PM,10:59 AM,06:38 AM,05:54 PM,16,25,25,23,22,2,66,0.0,1012,23,10,129,12
2018-01-08 00:00:00,28,20,0.0,8.7,6,1,52,No moonrise,11:42 AM,06:38 AM,05:54 PM,18,23,25,23,2,0,75,0.0,1012,21,10,313,1
2018-01-08 06:00:00,28,20,0.0,8.7,6,6,52,No moonrise,11:42 AM,06:38 AM,05:54 PM,17,25,25,23,10,0,68,0.0,1015,23,10,25,8
2018-01-08 12:00:00,28,20,0.0,8.7,6,7,52,No moonrise,11:42 AM,06:38 AM,05:54 PM,15,29,29,28,18,0,45,0.0,1013,28,10,90,15
2018-01-08 18:00:00,28,20,0.0,8.7,6,6,52,No moonrise,11:42 AM,06:38 AM,05:54 PM,18,25,25,23,25,0,74,0.0,1014,23,10,104,15
