date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,18,0.0,11.4,6,1,97,05:25 PM,05:48 AM,06:57 AM,06:01 PM,4,20,20,20,20,0,35,0.0,1012,19,10,94,10
2018-01-01 06:00:00,28,18,0.0,11.4,6,1,97,05:25 PM,05:48 AM,06:57 AM,06:01 PM,6,21,24,21,15,2,36,0.0,1013,21,10,124,10
2018-01-01 12:00:00,28,18,0.0,11.4,6,7,97,05:25 PM,05:48 AM,06:57 AM,06:01 PM,6,28,28,30,7,2,22,0.0,1009,28,10,245,6
2018-01-01 18:00:00,28,18,0.0,11.4,6,6,97,05:25 PM,05:48 AM,06:57 AM,06:01 PM,6,25,25,25,7,0,31,0.0,1010,22,10,325,4
2018-01-02 00:00:00,28,18,0.0,11.4,6,1,100,06:28 PM,06:53 AM,06:58 AM,06:02 PM,4,20,20,20,26,2,36,0.0,1010,19,10,70,13
2018-01-02 06:00:00,28,18,0.0,11.4,6,1,100,06:28 PM,06:53 AM,06:58 AM,06:02 PM,5,20,20,20,22,2,37,0.0,1013,20,10,80,13
2018-01-02 12:00:00,28,18,0.0,11.4,6,7,100,06:28 PM,06:53 AM,06:58 AM,06:02 PM,6,29,29,32,2,0,20,0.0,1010,28,10,135,2
2018-01-02 18:00:00,28,18,0.0,11.4,6,6,100,06:28 PM,06:53 AM,06:58 AM,06:02 PM,4,24,24,24,15,0,27,0.0,1011,23,10,3,8
2018-01-03 00:00:00,28,18,0.0,11.4,6,1,89,07:34 PM,07:55 AM,06:58 AM,06:02 PM,4,19,19,19,32,2,37,0.0,1012,19,10,62,15
2018-01-03 06:00:00,28,18,0.0,11.4,6,1,89,07:34 PM,07:55 AM,06:58 AM,06:02 PM,6,20,20,20,30,3,39,0.0,1014,20,10,81,20
2018-01-03 12:00:00,28,18,0.0,11.4,6,7,89,07:34 PM,07:55 AM,06:58 AM,06:02 PM,7,28,28,30,6,3,24,0.0,1011,28,10,164,5
2018-01-03 18:00:00,28,18,0.0,11.4,6,6,89,07:34 PM,07:55 AM,06:58 AM,06:02 PM,7,25,25,25,8,0,30,0.0,1012,23,10,358,5
2018-01-04 00:00:00,28,18,0.0,11.5,6,1,81,08:38 PM,08:52 AM,06:58 AM,06:03 PM,5,20,20,20,31,2,38,0.0,1013,19,10,64,15
2018-01-04 06:00:00,28,18,0.0,11.5,6,1,81,08:38 PM,08:52 AM,06:58 AM,06:03 PM,6,21,21,21,29,4,39,0.0,1015,20,10,87,19
2018-01-04 12:00:00,28,18,0.0,11.5,6,7,81,08:38 PM,08:52 AM,06:58 AM,06:03 PM,8,28,28,29,5,4,26,0.0,1012,28,10,166,4
2018-01-04 18:00:00,28,18,0.0,11.5,6,6,81,08:38 PM,08:52 AM,06:58 AM,06:03 PM,8,25,25,24,4,4,35,0.0,1013,23,10,177,3
2018-01-05 00:00:00,28,19,0.0,11.5,6,1,74,09:39 PM,09:45 AM,06:59 AM,06:04 PM,6,20,20,20,27,4,39,0.0,1013,20,10,83,13
2018-01-05 06:00:00,28,19,0.0,11.5,6,1,74,09:39 PM,09:45 AM,06:59 AM,06:04 PM,7,21,21,21,26,4,40,0.0,1014,21,10,129,17
2018-01-05 12:00:00,28,19,0.0,11.5,6,7,74,09:39 PM,09:45 AM,06:59 AM,06:04 PM,8,28,28,30,3,3,25,0.0,1011,28,10,210,3
2018-01-05 18:00:00,28,19,0.0,11.5,6,6,74,09:39 PM,09:45 AM,06:59 AM,06:04 PM,7,25,25,25,6,3,32,0.0,1011,23,10,239,4
2018-01-06 00:00:00,27,18,0.0,11.5,6,1,67,10:37 PM,10:33 AM,06:59 AM,06:04 PM,8,21,21,21,10,4,42,0.0,1011,19,10,92,5
2018-01-06 06:00:00,27,18,0.0,11.5,6,1,67,10:37 PM,10:33 AM,06:59 AM,06:04 PM,8,23,24,23,8,3,38,0.0,1013,21,10,78,7
2018-01-06 12:00:00,27,18,0.0,11.5,6,7,67,10:37 PM,10:33 AM,06:59 AM,06:04 PM,6,27,27,29,6,2,23,0.0,1010,27,10,210,5
2018-01-06 18:00:00,27,18,0.0,11.5,6,6,67,10:37 PM,10:33 AM,06:59 AM,06:04 PM,6,24,24,24,10,2,32,0.0,1012,23,10,280,6
2018-01-07 00:00:00,27,18,0.0,11.5,6,1,59,11:33 PM,11:17 AM,06:59 AM,06:05 PM,5,20,20,20,25,3,36,0.0,1012,20,10,49,12
2018-01-07 06:00:00,27,18,0.0,11.5,6,1,59,11:33 PM,11:17 AM,06:59 AM,06:05 PM,6,21,21,21,13,5,37,0.0,1014,20,10,17,10
2018-01-07 12:00:00,27,18,0.0,11.5,6,7,59,11:33 PM,11:17 AM,06:59 AM,06:05 PM,6,28,28,30,1,2,22,0.0,1011,27,10,33,1
2018-01-07 18:00:00,27,18,0.0,11.5,6,6,59,11:33 PM,11:17 AM,06:59 AM,06:05 PM,7,25,25,25,9,2,31,0.0,1012,22,10,5,6
2018-01-08 00:00:00,28,18,0.0,11.5,6,1,52,No moonrise,11:58 AM,06:59 AM,06:05 PM,4,20,20,20,24,3,36,0.0,1012,20,10,64,12
2018-01-08 06:00:00,28,18,0.0,11.5,6,1,52,No moonrise,11:58 AM,06:59 AM,06:05 PM,6,20,20,20,22,4,38,0.0,1015,20,10,103,15
2018-01-08 12:00:00,28,18,0.0,11.5,6,7,52,No moonrise,11:58 AM,06:59 AM,06:05 PM,7,27,27,28,13,4,26,0.0,1012,28,10,153,11
2018-01-08 18:00:00,28,18,0.0,11.5,6,6,52,No moonrise,11:58 AM,06:59 AM,06:05 PM,8,24,24,24,14,5,36,0.0,1014,23,10,137,8
2018-01-09 00:00:00,28,17,0.0,11.1,6,1,45,12:25 AM,12:37 PM,07:00 AM,06:06 PM,5,19,19,19,24,5,41,0.0,1015,19,10,104,12
2018-01-09 06:00:00,28,17,0.0,11.1,6,1,45,12:25 AM,12:37 PM,07:00 AM,06:06 PM,5,19,19,19,26,0,40,0.0,1018,19,10,96,17
2018-01-09 12:00:00,28,17,0.0,11.1,6,7,45,12:25 AM,12:37 PM,07:00 AM,06:06 PM,6,26,26,28,15,3,24,0.0,1015,28,10,106,13
2018-01-09 18:00:00,28,17,0.0,11.1,6,6,45,12:25 AM,12:37 PM,07:00 AM,06:06 PM,7,24,24,23,19,4,34,0.0,1016,23,10,86,10
2018-01-10 00:00:00,28,18,0.0,11.1,6,1,38,01:16 AM,01:17 PM,07:00 AM,06:07 PM,6,20,20,20,24,8,42,0.0,1017,20,10,78,13
2018-01-10 06:00:00,28,18,0.0,11.1,6,1,38,01:16 AM,01:17 PM,07:00 AM,06:07 PM,7,20,20,20,20,6,43,0.0,1018,20,10,88,14
2018-01-10 12:00:00,28,18,0.0,11.1,6,7,38,01:16 AM,01:17 PM,07:00 AM,06:07 PM,9,27,27,29,13,7,30,0.0,1015,28,10,108,11
2018-01-10 18:00:00,28,18,0.0,11.1,6,6,38,01:16 AM,01:17 PM,07:00 AM,06:07 PM,8,25,25,24,27,8,35,0.0,1016,24,10,47,15
2018-01-11 00:00:00,29,19,0.0,11.1,6,1,30,02:06 AM,01:56 PM,07:00 AM,06:07 PM,5,21,21,21,30,11,36,0.0,1017,21,10,60,16
2018-01-11 06:00:00,29,19,0.0,11.1,6,1,30,02:06 AM,01:56 PM,07:00 AM,06:07 PM,5,22,24,22,22,8,34,0.0,1018,22,10,92,15
2018-01-11 12:00:00,29,19,0.0,11.1,6,7,30,02:06 AM,01:56 PM,07:00 AM,06:07 PM,12,29,29,30,5,8,31,0.0,1014,29,10,123,4
2018-01-11 18:00:00,29,19,0.0,11.1,6,7,30,02:06 AM,01:56 PM,07:00 AM,06:07 PM,13,26,26,26,10,7,43,0.0,1014,26,10,34,6
2018-01-12 00:00:00,30,21,0.0,11.1,7,1,23,02:56 AM,02:37 PM,07:00 AM,06:08 PM,9,24,24,23,22,9,41,0.0,1015,23,10,73,12
2018-01-12 06:00:00,30,21,0.0,11.1,7,1,23,02:56 AM,02:37 PM,07:00 AM,06:08 PM,9,24,24,23,26,12,40,0.0,1016,23,10,84,18
