date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,19,0.0,11.6,6,1,97,05:35 PM,05:34 AM,06:41 AM,06:12 PM,17,20,20,20,5,22,81,0.0,1011,19,10,69,3
2018-01-01 06:00:00,30,19,0.0,11.6,6,1,97,05:35 PM,05:34 AM,06:41 AM,06:12 PM,19,27,27,25,3,7,72,0.0,1012,23,10,56,3
2018-01-01 12:00:00,30,19,0.0,11.6,6,8,97,05:35 PM,05:34 AM,06:41 AM,06:12 PM,16,32,32,31,3,20,41,0.0,1008,30,10,251,3
2018-01-01 18:00:00,30,19,0.0,11.6,6,6,97,05:35 PM,05:34 AM,06:41 AM,06:12 PM,19,23,25,23,5,9,79,0.0,1010,21,10,279,3
2018-01-02 00:00:00,30,19,0.0,11.6,6,1,100,06:38 PM,06:38 AM,06:42 AM,06:13 PM,20,23,25,23,1,3,87,0.0,1010,19,10,299,1
2018-01-02 06:00:00,30,19,0.0,11.6,6,1,100,06:38 PM,06:38 AM,06:42 AM,06:13 PM,20,27,27,25,1,7,73,0.0,1011,23,10,64,1
2018-01-02 12:00:00,30,19,0.0,11.6,6,7,100,06:38 PM,06:38 AM,06:42 AM,06:13 PM,17,31,31,30,5,32,46,0.0,1008,29,10,247,4
2018-01-02 18:00:00,30,19,0.0,11.6,6,6,100,06:38 PM,06:38 AM,06:42 AM,06:13 PM,19,23,25,23,3,14,78,0.0,1010,22,10,326,1
2018-01-03 00:00:00,31,20,0.0,11.6,6,1,89,07:42 PM,07:41 AM,06:42 AM,06:13 PM,18,21,24,21,4,27,84,0.0,1010,20,10,66,2
2018-01-03 06:00:00,31,20,0.0,11.6,6,1,89,07:42 PM,07:41 AM,06:42 AM,06:13 PM,20,27,27,25,6,8,73,0.1,1013,24,10,66,5
2018-01-03 12:00:00,31,20,0.0,11.6,6,8,89,07:42 PM,07:41 AM,06:42 AM,06:13 PM,17,33,33,32,2,29,41,0.0,1009,31,10,87,2
2018-01-03 18:00:00,31,20,0.0,11.6,6,6,89,07:42 PM,07:41 AM,06:42 AM,06:13 PM,19,25,25,23,3,27,78,0.0,1011,22,10,280,1
2018-01-04 00:00:00,29,20,0.0,11.6,6,1,81,08:44 PM,08:40 AM,06:43 AM,06:14 PM,18,21,24,21,10,37,82,0.0,1012,20,10,82,6
2018-01-04 06:00:00,29,20,0.0,11.6,6,1,81,08:44 PM,08:40 AM,06:43 AM,06:14 PM,18,25,25,23,10,13,71,0.0,1014,23,10,76,9
2018-01-04 12:00:00,29,20,0.0,11.6,6,7,81,08:44 PM,08:40 AM,06:43 AM,06:14 PM,17,31,31,30,11,15,46,0.0,1010,29,10,73,10
2018-01-04 18:00:00,29,20,0.0,11.6,6,6,81,08:44 PM,08:40 AM,06:43 AM,06:14 PM,17,25,25,23,7,22,69,0.0,1011,22,10,74,4
2018-01-05 00:00:00,28,19,0.0,11.6,6,1,74,09:44 PM,09:35 AM,06:43 AM,06:14 PM,16,20,20,20,11,17,75,0.0,1011,19,10,74,6
2018-01-05 06:00:00,28,19,0.0,11.6,6,1,74,09:44 PM,09:35 AM,06:43 AM,06:14 PM,16,25,25,23,11,17,67,0.0,1013,22,10,81,10
2018-01-05 12:00:00,28,19,0.0,11.6,6,7,74,09:44 PM,09:35 AM,06:43 AM,06:14 PM,16,29,29,29,12,20,46,0.0,1009,28,10,71,10
2018-01-05 18:00:00,28,19,0.0,11.6,6,6,74,09:44 PM,09:35 AM,06:43 AM,06:14 PM,16,22,25,22,6,23,67,0.0,1011,21,10,71,3
2018-01-06 00:00:00,28,18,0.0,11.6,6,1,67,10:39 PM,10:25 AM,06:43 AM,06:15 PM,14,20,20,20,11,6,69,0.0,1010,18,10,68,6
