date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,12,0.0,8.7,5,1,97,05:23 PM,06:12 AM,07:24 AM,05:57 PM,-4,14,14,14,18,0,28,0.0,1014,14,10,64,9
2018-01-01 06:00:00,24,12,0.0,8.7,5,1,97,05:23 PM,06:12 AM,07:24 AM,05:57 PM,-1,15,15,15,14,0,32,0.0,1015,14,10,51,8
2018-01-01 12:00:00,24,12,0.0,8.7,5,6,97,05:23 PM,06:12 AM,07:24 AM,05:57 PM,-3,23,23,24,12,0,16,0.0,1013,24,10,16,10
2018-01-01 18:00:00,24,12,0.0,8.7,5,5,97,05:23 PM,06:12 AM,07:24 AM,05:57 PM,-8,17,17,17,26,0,17,0.0,1014,17,10,36,12
2018-01-02 00:00:00,25,12,0.0,8.7,5,1,100,06:26 PM,07:18 AM,07:24 AM,05:58 PM,-9,12,13,12,20,0,21,0.0,1014,13,10,77,10
2018-01-02 06:00:00,25,12,0.0,8.7,5,1,100,06:26 PM,07:18 AM,07:24 AM,05:58 PM,-6,13,14,13,23,0,24,0.0,1015,14,10,93,11
2018-01-02 12:00:00,25,12,0.0,8.7,5,6,100,06:26 PM,07:18 AM,07:24 AM,05:58 PM,-8,23,23,25,13,0,11,0.0,1014,25,10,63,11
2018-01-02 18:00:00,25,12,0.0,8.7,5,5,100,06:26 PM,07:18 AM,07:24 AM,05:58 PM,-8,17,17,17,22,0,17,0.0,1015,17,10,60,10
2018-01-03 00:00:00,25,12,0.0,8.7,5,1,89,07:33 PM,08:19 AM,07:24 AM,05:59 PM,-5,13,14,13,23,0,26,0.0,1015,14,10,111,11
2018-01-03 06:00:00,25,12,0.0,8.7,5,1,89,07:33 PM,08:19 AM,07:24 AM,05:59 PM,-2,13,14,13,23,0,33,0.0,1017,14,10,117,11
2018-01-03 12:00:00,25,12,0.0,8.7,5,6,89,07:33 PM,08:19 AM,07:24 AM,05:59 PM,-6,24,24,25,10,0,12,0.0,1014,25,10,112,8
2018-01-03 18:00:00,25,12,0.0,8.7,5,5,89,07:33 PM,08:19 AM,07:24 AM,05:59 PM,-4,19,19,19,12,0,21,0.0,1015,18,10,105,6
2018-01-04 00:00:00,25,13,0.0,8.7,5,1,81,08:39 PM,09:15 AM,07:24 AM,05:59 PM,-5,15,15,15,17,0,25,0.0,1015,14,10,153,8
