date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,05:01 PM,06:00 AM,07:13 AM,05:36 PM,3,18,18,18,4,0,39,0.0,1014,12,10,266,4
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,05:01 PM,06:00 AM,07:13 AM,05:36 PM,6,18,18,18,2,0,47,0.0,1015,12,10,274,1
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,05:01 PM,06:00 AM,07:13 AM,05:36 PM,5,23,24,23,1,5,31,0.0,1013,21,10,278,1
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,05:01 PM,06:00 AM,07:13 AM,05:36 PM,5,18,18,18,7,0,42,0.0,1013,14,10,359,5
2018-01-02 00:00:00,19,9,0.0,8.7,4,1,100,06:05 PM,07:06 AM,07:13 AM,05:37 PM,2,16,16,16,5,0,40,0.0,1014,10,10,340,4
2018-01-02 06:00:00,19,9,0.0,8.7,4,4,100,06:05 PM,07:06 AM,07:13 AM,05:37 PM,4,15,15,15,7,0,48,0.0,1016,10,10,304,6
2018-01-02 12:00:00,19,9,0.0,8.7,4,5,100,06:05 PM,07:06 AM,07:13 AM,05:37 PM,2,23,23,23,9,0,27,0.0,1014,19,10,21,8
2018-01-02 18:00:00,19,9,0.0,8.7,4,4,100,06:05 PM,07:06 AM,07:13 AM,05:37 PM,4,17,17,17,2,0,42,0.0,1015,13,10,257,1
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:12 PM,08:07 AM,07:13 AM,05:38 PM,5,16,16,16,6,0,50,0.0,1015,10,10,302,5
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:12 PM,08:07 AM,07:13 AM,05:38 PM,7,15,15,15,7,0,57,0.0,1017,11,10,267,6
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:12 PM,08:07 AM,07:13 AM,05:38 PM,5,24,24,24,9,0,29,0.0,1014,21,10,329,8
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:12 PM,08:07 AM,07:13 AM,05:38 PM,4,16,16,16,11,0,45,0.0,1014,13,10,299,6
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,08:19 PM,09:02 AM,07:13 AM,05:38 PM,5,15,15,15,7,0,50,0.0,1015,10,10,316,6
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,08:19 PM,09:02 AM,07:13 AM,05:38 PM,7,16,16,16,6,0,54,0.0,1016,11,10,248,5
