date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,18,0.0,8.7,6,1,97,04:44 PM,05:30 AM,06:43 AM,05:21 PM,16,23,25,23,3,0,64,0.0,1011,19,10,331,3
2018-01-01 06:00:00,27,18,0.0,8.7,6,5,97,04:44 PM,05:30 AM,06:43 AM,05:21 PM,17,22,25,22,5,0,72,0.0,1011,18,10,44,4
2018-01-01 12:00:00,27,18,0.0,8.7,6,7,97,04:44 PM,05:30 AM,06:43 AM,05:21 PM,15,30,30,30,6,0,41,0.0,1012,26,10,157,5
2018-01-01 18:00:00,27,18,0.0,8.7,6,6,97,04:44 PM,05:30 AM,06:43 AM,05:21 PM,11,25,25,23,5,32,46,0.0,1009,22,10,284,3
2018-01-02 00:00:00,27,17,0.0,8.7,6,1,100,05:48 PM,06:34 AM,06:43 AM,05:22 PM,12,20,20,20,14,48,58,0.0,1010,20,10,338,8
2018-01-02 06:00:00,27,17,0.0,8.7,6,5,100,05:48 PM,06:34 AM,06:43 AM,05:22 PM,14,19,19,19,6,9,73,0.0,1010,17,10,336,4
2018-01-02 12:00:00,27,17,0.0,8.7,6,7,100,05:48 PM,06:34 AM,06:43 AM,05:22 PM,16,31,31,30,5,0,44,0.0,1011,26,10,275,4
2018-01-02 18:00:00,27,17,0.0,8.7,6,6,100,05:48 PM,06:34 AM,06:43 AM,05:22 PM,15,26,26,25,10,0,53,0.0,1008,22,10,262,8
2018-01-03 00:00:00,25,16,0.0,8.7,5,1,89,06:54 PM,07:37 AM,06:43 AM,05:23 PM,13,20,20,20,17,4,64,0.0,1012,19,10,287,10
2018-01-03 06:00:00,25,16,0.0,8.7,5,5,89,06:54 PM,07:37 AM,06:43 AM,05:23 PM,7,16,16,16,20,44,54,0.0,1010,16,10,298,11
2018-01-03 12:00:00,25,16,0.0,8.7,5,6,89,06:54 PM,07:37 AM,06:43 AM,05:23 PM,7,25,25,25,19,0,32,0.0,1012,25,10,296,17
2018-01-03 18:00:00,25,16,0.0,8.7,5,5,89,06:54 PM,07:37 AM,06:43 AM,05:23 PM,8,22,24,22,15,0,41,0.0,1010,19,10,290,9
2018-01-04 00:00:00,24,13,0.0,8.7,5,1,81,08:00 PM,08:33 AM,06:44 AM,05:24 PM,6,19,19,19,9,0,45,0.0,1014,16,10,340,6
2018-01-04 06:00:00,24,13,0.0,8.7,5,4,81,08:00 PM,08:33 AM,06:44 AM,05:24 PM,10,18,18,18,4,0,58,0.0,1015,13,10,314,3
2018-01-04 12:00:00,24,13,0.0,8.7,5,6,81,08:00 PM,08:33 AM,06:44 AM,05:24 PM,11,26,26,26,7,0,38,0.0,1016,22,10,323,6
2018-01-04 18:00:00,24,13,0.0,8.7,5,5,81,08:00 PM,08:33 AM,06:44 AM,05:24 PM,8,20,20,20,12,0,46,0.0,1012,18,10,269,9
2018-01-05 00:00:00,24,13,0.0,8.7,5,1,74,09:03 PM,09:24 AM,06:44 AM,05:24 PM,11,19,19,19,9,0,61,0.0,1014,16,10,301,7
2018-01-05 06:00:00,24,13,0.0,8.7,5,4,74,09:03 PM,09:24 AM,06:44 AM,05:24 PM,14,18,18,18,4,0,75,0.0,1013,13,10,334,4
2018-01-05 12:00:00,24,13,0.0,8.7,5,6,74,09:03 PM,09:24 AM,06:44 AM,05:24 PM,13,27,27,27,6,0,42,0.0,1014,23,10,238,5
2018-01-05 18:00:00,24,13,0.0,8.7,5,5,74,09:03 PM,09:24 AM,06:44 AM,05:24 PM,12,23,25,23,7,0,49,0.0,1009,20,10,259,6
2018-01-06 00:00:00,23,14,0.0,8.7,5,1,67,10:04 PM,10:09 AM,06:44 AM,05:25 PM,14,20,20,20,5,0,69,0.0,1012,16,10,314,5
2018-01-06 06:00:00,23,14,0.0,8.7,5,4,67,10:04 PM,10:09 AM,06:44 AM,05:25 PM,12,18,18,18,7,0,70,0.0,1011,14,10,334,6
2018-01-06 12:00:00,23,14,0.0,8.7,5,6,67,10:04 PM,10:09 AM,06:44 AM,05:25 PM,11,25,25,25,8,0,41,0.0,1013,22,10,271,7
2018-01-06 18:00:00,23,14,0.0,8.7,5,5,67,10:04 PM,10:09 AM,06:44 AM,05:25 PM,8,21,21,21,9,0,44,0.0,1010,18,10,282,7
2018-01-07 00:00:00,22,11,0.0,8.7,5,1,59,11:02 PM,10:50 AM,06:44 AM,05:26 PM,8,17,17,17,11,0,55,0.0,1013,14,10,327,8
2018-01-07 06:00:00,22,11,0.0,8.7,5,4,59,11:02 PM,10:50 AM,06:44 AM,05:26 PM,9,16,16,16,5,0,64,0.0,1013,11,10,308,5
2018-01-07 12:00:00,22,11,0.0,8.7,5,6,59,11:02 PM,10:50 AM,06:44 AM,05:26 PM,6,23,24,23,10,0,33,0.0,1015,20,10,310,8
2018-01-07 18:00:00,22,11,0.0,8.7,5,5,59,11:02 PM,10:50 AM,06:44 AM,05:26 PM,6,20,20,20,10,0,41,0.0,1012,17,10,297,8
2018-01-08 00:00:00,21,11,0.0,8.7,5,1,52,11:57 PM,11:29 AM,06:44 AM,05:26 PM,6,17,17,17,12,0,48,0.0,1015,14,10,328,8
2018-01-08 06:00:00,21,11,0.0,8.7,5,4,52,11:57 PM,11:29 AM,06:44 AM,05:26 PM,8,16,16,16,3,0,59,0.0,1015,11,10,333,3
2018-01-08 12:00:00,21,11,0.0,8.7,5,6,52,11:57 PM,11:29 AM,06:44 AM,05:26 PM,6,24,24,24,8,0,33,0.0,1017,20,10,280,7
2018-01-08 18:00:00,21,11,0.0,8.7,5,5,52,11:57 PM,11:29 AM,06:44 AM,05:26 PM,6,20,20,20,10,0,40,0.0,1014,17,10,273,8
2018-01-09 00:00:00,23,12,0.0,8.7,5,1,45,No moonrise,12:06 PM,06:45 AM,05:27 PM,7,17,17,17,6,0,50,0.0,1017,14,10,311,5
2018-01-09 06:00:00,23,12,0.0,8.7,5,4,45,No moonrise,12:06 PM,06:45 AM,05:27 PM,9,16,16,16,7,0,64,0.0,1016,12,10,314,6
2018-01-09 12:00:00,23,12,0.0,8.7,5,6,45,No moonrise,12:06 PM,06:45 AM,05:27 PM,12,25,25,25,10,0,44,0.0,1018,22,10,305,9
2018-01-09 18:00:00,23,12,0.0,8.7,5,5,45,No moonrise,12:06 PM,06:45 AM,05:27 PM,11,22,24,22,9,0,51,0.0,1014,19,10,281,7
2018-01-10 00:00:00,23,13,0.0,8.7,5,1,38,12:51 AM,12:43 PM,06:45 AM,05:28 PM,12,19,19,19,7,0,64,0.0,1017,15,10,303,6
2018-01-10 06:00:00,23,13,0.0,8.7,5,4,38,12:51 AM,12:43 PM,06:45 AM,05:28 PM,12,17,17,17,6,0,71,0.0,1017,13,10,316,5
2018-01-10 12:00:00,23,13,0.0,8.7,5,6,38,12:51 AM,12:43 PM,06:45 AM,05:28 PM,10,26,26,26,5,0,35,0.0,1018,22,10,252,4
2018-01-10 18:00:00,23,13,0.0,8.7,5,5,38,12:51 AM,12:43 PM,06:45 AM,05:28 PM,7,21,24,21,9,0,39,0.0,1015,18,10,260,7
2018-01-11 00:00:00,22,13,0.0,8.7,5,1,30,01:43 AM,01:21 PM,06:45 AM,05:28 PM,8,18,18,18,11,0,50,0.0,1017,16,10,316,7
2018-01-11 06:00:00,22,13,0.0,8.7,5,4,30,01:43 AM,01:21 PM,06:45 AM,05:28 PM,11,18,18,18,5,0,66,0.0,1016,13,10,288,5
2018-01-11 12:00:00,22,13,0.0,8.7,5,6,30,01:43 AM,01:21 PM,06:45 AM,05:28 PM,12,25,25,25,2,0,45,0.0,1016,20,10,185,2
2018-01-11 18:00:00,22,13,0.0,8.7,5,5,30,01:43 AM,01:21 PM,06:45 AM,05:28 PM,11,21,24,21,7,2,52,0.0,1014,18,10,320,6
2018-01-12 00:00:00,23,13,0.0,8.7,5,1,23,02:35 AM,02:00 PM,06:45 AM,05:29 PM,12,19,19,19,4,0,62,0.0,1015,16,10,346,4
2018-01-12 06:00:00,23,13,0.0,8.7,5,4,23,02:35 AM,02:00 PM,06:45 AM,05:29 PM,12,17,17,17,5,3,75,0.0,1015,13,10,5,4
2018-01-12 12:00:00,23,13,0.0,8.7,5,6,23,02:35 AM,02:00 PM,06:45 AM,05:29 PM,11,25,25,23,9,5,44,0.0,1015,22,10,285,8
2018-01-12 18:00:00,23,13,0.0,8.7,5,5,23,02:35 AM,02:00 PM,06:45 AM,05:29 PM,12,21,21,21,11,5,55,0.0,1012,20,10,281,7
2018-01-13 00:00:00,23,15,0.0,8.7,5,1,16,03:27 AM,02:41 PM,06:45 AM,05:30 PM,10,18,18,18,9,2,60,0.0,1015,16,10,309,6
2018-01-13 06:00:00,23,15,0.0,8.7,5,4,16,03:27 AM,02:41 PM,06:45 AM,05:30 PM,8,16,16,16,7,30,60,0.0,1015,15,10,345,4
