date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,05:00 PM,06:04 AM,07:17 AM,05:35 PM,6,16,16,16,3,0,50,0.0,1014,11,10,254,3
2018-01-01 06:00:00,20,9,0.0,8.7,4,4,97,05:00 PM,06:04 AM,07:17 AM,05:35 PM,6,16,16,16,2,0,54,0.0,1015,11,10,277,2
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,05:00 PM,06:04 AM,07:17 AM,05:35 PM,3,25,24,25,4,0,25,0.0,1013,20,10,269,3
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,05:00 PM,06:04 AM,07:17 AM,05:35 PM,5,17,17,17,6,0,45,0.0,1014,13,10,344,4
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:04 PM,07:10 AM,07:17 AM,05:36 PM,6,15,15,15,5,0,56,0.0,1015,10,10,14,5
2018-01-02 06:00:00,20,8,0.0,8.7,4,4,100,06:04 PM,07:10 AM,07:17 AM,05:36 PM,7,16,15,16,5,0,59,0.0,1015,10,10,301,4
2018-01-02 12:00:00,20,8,0.0,8.7,4,5,100,06:04 PM,07:10 AM,07:17 AM,05:36 PM,4,23,24,23,8,0,28,0.0,1014,20,10,311,7
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:04 PM,07:10 AM,07:17 AM,05:36 PM,6,16,16,16,5,1,49,0.0,1016,12,10,289,3
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:11 PM,08:11 AM,07:17 AM,05:36 PM,6,15,15,15,6,0,57,0.0,1015,10,10,303,5
2018-01-03 06:00:00,21,8,0.0,8.7,4,3,89,07:11 PM,08:11 AM,07:17 AM,05:36 PM,7,14,14,14,8,0,62,0.0,1016,10,10,288,7
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:11 PM,08:11 AM,07:17 AM,05:36 PM,4,23,24,23,13,0,31,0.0,1015,21,10,316,11
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:11 PM,08:11 AM,07:17 AM,05:36 PM,5,15,15,15,14,0,51,0.0,1015,12,10,291,8
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:18 PM,09:06 AM,07:17 AM,05:37 PM,5,13,13,13,11,0,56,0.0,1015,9,10,314,8
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:18 PM,09:06 AM,07:17 AM,05:37 PM,6,15,14,15,6,0,59,0.0,1016,10,10,293,5
2018-01-04 12:00:00,20,8,0.0,8.7,4,6,81,08:18 PM,09:06 AM,07:17 AM,05:37 PM,3,24,24,24,8,0,25,0.0,1014,20,10,286,7
