date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,8.7,6,1,97,05:20 PM,05:47 AM,06:57 AM,05:56 PM,4,19,19,19,15,1,39,0.0,1012,18,10,101,7
2018-01-01 06:00:00,29,17,0.0,8.7,6,1,97,05:20 PM,05:47 AM,06:57 AM,05:56 PM,7,20,20,20,13,1,43,0.0,1013,20,10,135,8
2018-01-01 12:00:00,29,17,0.0,8.7,6,7,97,05:20 PM,05:47 AM,06:57 AM,05:56 PM,6,28,28,30,5,3,22,0.0,1009,29,10,312,4
2018-01-01 18:00:00,29,17,0.0,8.7,6,6,97,05:20 PM,05:47 AM,06:57 AM,05:56 PM,5,24,24,24,12,2,31,0.0,1010,23,10,15,6
2018-01-02 00:00:00,28,17,0.0,8.7,6,1,100,06:24 PM,06:51 AM,06:57 AM,05:57 PM,5,19,19,19,19,2,39,0.0,1010,19,10,88,9
2018-01-02 06:00:00,28,17,0.0,8.7,6,1,100,06:24 PM,06:51 AM,06:57 AM,05:57 PM,6,20,20,20,9,3,40,0.0,1013,20,10,79,6
2018-01-02 12:00:00,28,17,0.0,8.7,6,7,100,06:24 PM,06:51 AM,06:57 AM,05:57 PM,6,28,28,30,3,3,22,0.0,1010,28,10,16,3
2018-01-02 18:00:00,28,17,0.0,8.7,6,6,100,06:24 PM,06:51 AM,06:57 AM,05:57 PM,4,24,24,23,15,1,29,0.0,1011,23,10,7,7
2018-01-03 00:00:00,28,17,0.0,8.7,6,1,89,07:29 PM,07:54 AM,06:57 AM,05:58 PM,4,18,18,18,21,2,40,0.0,1012,18,10,57,10
2018-01-03 06:00:00,28,17,0.0,8.7,6,1,89,07:29 PM,07:54 AM,06:57 AM,05:58 PM,6,19,19,19,12,4,41,0.0,1015,19,10,88,8
