date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,21,0.0,11.6,7,1,97,05:36 PM,05:31 AM,06:38 AM,06:14 PM,19,22,25,22,8,5,84,0.0,1010,21,10,81,5
2018-01-01 06:00:00,31,21,0.0,11.6,7,1,97,05:36 PM,05:31 AM,06:38 AM,06:14 PM,20,28,28,26,5,5,72,0.0,1011,25,10,46,4
2018-01-01 12:00:00,31,21,0.0,11.6,7,8,97,05:36 PM,05:31 AM,06:38 AM,06:14 PM,17,32,32,31,12,6,44,0.0,1008,31,10,266,10
2018-01-01 18:00:00,31,21,0.0,11.6,7,6,97,05:36 PM,05:31 AM,06:38 AM,06:14 PM,21,26,26,24,5,8,86,0.0,1009,23,10,310,3
2018-01-02 00:00:00,31,21,0.0,11.6,7,1,100,06:40 PM,06:35 AM,06:39 AM,06:15 PM,21,22,25,22,6,11,93,0.0,1009,21,10,60,4
2018-01-02 06:00:00,31,21,0.0,11.6,7,1,100,06:40 PM,06:35 AM,06:39 AM,06:15 PM,20,28,28,26,3,19,70,0.0,1010,25,10,55,3
2018-01-02 12:00:00,31,21,0.0,11.6,7,8,100,06:40 PM,06:35 AM,06:39 AM,06:15 PM,19,33,33,31,12,25,49,0.0,1008,31,10,267,11
2018-01-02 18:00:00,31,21,0.0,11.6,7,6,100,06:40 PM,06:35 AM,06:39 AM,06:15 PM,21,26,26,24,2,19,85,0.0,1009,23,10,308,1
2018-01-03 00:00:00,32,21,0.0,11.6,7,1,89,07:44 PM,07:38 AM,06:39 AM,06:15 PM,21,25,25,23,6,15,91,0.0,1009,22,10,97,4
2018-01-03 06:00:00,32,21,0.0,11.6,7,1,89,07:44 PM,07:38 AM,06:39 AM,06:15 PM,21,28,28,26,4,12,73,0.0,1012,25,10,46,4
2018-01-03 12:00:00,32,21,0.0,11.6,7,8,89,07:44 PM,07:38 AM,06:39 AM,06:15 PM,19,34,34,32,11,14,46,0.0,1009,32,10,269,9
2018-01-03 18:00:00,32,21,0.0,11.6,7,5,89,07:44 PM,07:38 AM,06:39 AM,06:15 PM,22,26,26,24,6,15,87,0.3,1011,23,9,323,3
2018-01-04 00:00:00,32,21,0.0,11.6,7,1,81,08:45 PM,08:37 AM,06:39 AM,06:16 PM,21,23,25,23,8,10,91,0.1,1011,22,10,64,5
