date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,05:01 PM,06:08 AM,07:21 AM,05:35 PM,6,16,16,16,1,0,54,0.0,1015,10,10,351,1
2018-01-01 06:00:00,20,9,0.0,8.7,4,4,97,05:01 PM,06:08 AM,07:21 AM,05:35 PM,7,16,16,16,1,0,58,0.0,1016,11,10,167,1
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,05:01 PM,06:08 AM,07:21 AM,05:35 PM,7,25,25,25,2,0,32,0.0,1014,20,10,246,1
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,05:01 PM,06:08 AM,07:21 AM,05:35 PM,6,16,16,16,6,0,52,0.0,1015,12,10,1,4
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:05 PM,07:14 AM,07:21 AM,05:36 PM,7,15,15,15,3,0,60,0.0,1016,9,10,25,3
2018-01-02 06:00:00,20,8,0.0,8.7,4,3,100,06:05 PM,07:14 AM,07:21 AM,05:36 PM,8,16,15,16,4,0,63,0.0,1016,10,10,312,4
2018-01-02 12:00:00,20,8,0.0,8.7,4,5,100,06:05 PM,07:14 AM,07:21 AM,05:36 PM,5,23,24,23,9,0,32,0.0,1014,20,10,293,8
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:05 PM,07:14 AM,07:21 AM,05:36 PM,4,14,14,14,11,5,51,0.0,1016,12,10,355,5
2018-01-03 00:00:00,20,9,0.0,8.7,4,1,89,07:12 PM,08:15 AM,07:22 AM,05:37 PM,6,15,14,15,5,0,57,0.0,1016,9,10,337,4
2018-01-03 06:00:00,20,9,0.0,8.7,4,3,89,07:12 PM,08:15 AM,07:22 AM,05:37 PM,6,13,13,13,10,0,63,0.0,1016,10,10,302,8
2018-01-03 12:00:00,20,9,0.0,8.7,4,6,89,07:12 PM,08:15 AM,07:22 AM,05:37 PM,5,22,24,22,14,0,32,0.0,1015,20,10,314,12
2018-01-03 18:00:00,20,9,0.0,8.7,4,4,89,07:12 PM,08:15 AM,07:22 AM,05:37 PM,5,14,14,14,17,0,55,0.0,1016,12,10,318,9
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:19 PM,09:10 AM,07:22 AM,05:37 PM,5,12,12,12,13,0,59,0.0,1017,9,10,323,8
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:19 PM,09:10 AM,07:22 AM,05:37 PM,5,14,14,14,6,0,57,0.0,1017,9,10,318,5
2018-01-04 12:00:00,20,8,0.0,8.7,4,5,81,08:19 PM,09:10 AM,07:22 AM,05:37 PM,4,23,24,23,7,0,28,0.0,1015,20,10,285,6
2018-01-04 18:00:00,20,8,0.0,8.7,4,4,81,08:19 PM,09:10 AM,07:22 AM,05:37 PM,1,12,13,12,13,13,45,0.0,1016,12,10,341,6
2018-01-05 00:00:00,19,8,0.0,8.7,4,1,74,09:26 PM,09:58 AM,07:22 AM,05:38 PM,4,15,15,15,5,0,45,0.0,1017,10,10,115,4
2018-01-05 06:00:00,19,8,0.0,8.7,4,3,74,09:26 PM,09:58 AM,07:22 AM,05:38 PM,3,11,11,11,2,5,55,0.0,1017,9,10,97,1
2018-01-05 12:00:00,19,8,0.0,8.7,4,5,74,09:26 PM,09:58 AM,07:22 AM,05:38 PM,4,23,23,23,6,1,29,0.0,1014,19,10,308,5
2018-01-05 18:00:00,19,8,0.0,8.7,4,4,74,09:26 PM,09:58 AM,07:22 AM,05:38 PM,4,14,14,14,13,0,49,0.0,1016,11,10,341,7
2018-01-06 00:00:00,19,7,0.0,8.7,4,1,67,10:28 PM,10:41 AM,07:22 AM,05:39 PM,3,11,12,11,15,0,55,0.0,1015,9,10,319,9
2018-01-06 06:00:00,19,7,0.0,8.7,4,3,67,10:28 PM,10:41 AM,07:22 AM,05:39 PM,3,12,12,12,7,0,54,0.0,1015,9,10,316,6
2018-01-06 12:00:00,19,7,0.0,8.7,4,5,67,10:28 PM,10:41 AM,07:22 AM,05:39 PM,4,21,21,21,15,0,32,0.0,1013,19,10,307,13
2018-01-06 18:00:00,19,7,0.0,8.7,4,4,67,10:28 PM,10:41 AM,07:22 AM,05:39 PM,5,13,14,13,15,0,55,0.0,1016,11,10,321,8
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,11:29 PM,11:20 AM,07:22 AM,05:40 PM,4,10,11,10,15,0,62,0.0,1016,8,10,315,9
2018-01-07 06:00:00,20,7,0.0,8.7,4,3,59,11:29 PM,11:20 AM,07:22 AM,05:40 PM,2,8,10,8,24,0,56,0.0,1016,8,10,306,13
2018-01-07 12:00:00,20,7,0.0,8.7,4,6,59,11:29 PM,11:20 AM,07:22 AM,05:40 PM,2,20,20,20,20,0,30,0.0,1014,20,10,302,18
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,11:29 PM,11:20 AM,07:22 AM,05:40 PM,3,12,13,12,24,0,50,0.0,1016,11,10,318,12
2018-01-08 00:00:00,20,6,0.0,8.7,4,1,52,No moonrise,11:56 AM,07:22 AM,05:40 PM,3,10,11,10,16,0,57,0.0,1015,8,10,293,9
2018-01-08 06:00:00,20,6,0.0,8.7,4,3,52,No moonrise,11:56 AM,07:22 AM,05:40 PM,2,9,10,9,14,0,55,0.0,1017,7,10,311,10
2018-01-08 12:00:00,20,6,0.0,8.7,4,5,52,No moonrise,11:56 AM,07:22 AM,05:40 PM,3,22,23,22,13,0,29,0.0,1016,20,10,304,12
2018-01-08 18:00:00,20,6,0.0,8.7,4,4,52,No moonrise,11:56 AM,07:22 AM,05:40 PM,3,14,14,14,14,0,47,0.0,1019,11,10,326,7
2018-01-09 00:00:00,20,7,0.0,8.7,4,1,45,12:26 AM,12:31 PM,07:22 AM,05:41 PM,2,11,12,11,14,0,52,0.0,1019,8,10,307,8
2018-01-09 06:00:00,20,7,0.0,8.7,4,3,45,12:26 AM,12:31 PM,07:22 AM,05:41 PM,0,9,10,9,18,0,50,0.0,1020,8,10,307,10
2018-01-09 12:00:00,20,7,0.0,8.7,4,6,45,12:26 AM,12:31 PM,07:22 AM,05:41 PM,2,22,23,22,15,0,28,0.0,1018,20,10,311,13
2018-01-09 18:00:00,20,7,0.0,8.7,4,4,45,12:26 AM,12:31 PM,07:22 AM,05:41 PM,3,14,14,14,19,0,47,0.0,1019,12,10,312,9
2018-01-10 00:00:00,22,7,0.0,8.7,4,1,38,01:22 AM,01:06 PM,07:22 AM,05:42 PM,-0,9,10,9,24,0,48,0.0,1019,8,10,310,12
