date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,5,0,0.0,1.7,1,1,97,04:28 PM,08:36 AM,09:53 AM,04:42 PM,-2,-4,0,-4,23,100,85,0.0,1004,0,10,171,16
2018-01-01 06:00:00,5,0,0.0,1.7,1,1,97,04:28 PM,08:36 AM,09:53 AM,04:42 PM,-0,-3,2,-3,26,100,89,0.0,1000,2,10,174,17
2018-01-01 12:00:00,5,0,0.0,1.7,1,1,97,04:28 PM,08:36 AM,09:53 AM,04:42 PM,2,-1,3,-1,24,100,93,0.0,997,3,10,190,16
2018-01-01 18:00:00,5,0,0.0,1.7,1,1,97,04:28 PM,08:36 AM,09:53 AM,04:42 PM,4,1,5,1,29,100,93,0.0,998,5,10,220,18
2018-01-02 00:00:00,3,-0,0.0,3.8,1,1,100,05:34 PM,09:43 AM,09:52 AM,04:44 PM,2,-0,3,-0,20,100,94,0.0,1000,3,10,212,12
2018-01-02 06:00:00,3,-0,0.0,3.8,1,1,100,05:34 PM,09:43 AM,09:52 AM,04:44 PM,-0,-3,1,-3,24,71,92,0.0,1003,1,10,220,14
2018-01-02 12:00:00,3,-0,0.0,3.8,1,2,100,05:34 PM,09:43 AM,09:52 AM,04:44 PM,0,-1,2,-1,21,44,87,0.0,1007,2,10,212,13
2018-01-02 18:00:00,3,-0,0.0,3.8,1,1,100,05:34 PM,09:43 AM,09:52 AM,04:44 PM,-1,-4,0,-4,20,73,95,0.0,1009,-0,2,191,12
2018-01-03 00:00:00,2,0,0.2,1.7,1,1,89,06:51 PM,10:36 AM,09:52 AM,04:45 PM,-0,-3,0,-3,15,95,96,0.0,1009,0,2,173,10
2018-01-03 06:00:00,2,0,0.2,1.7,1,1,89,06:51 PM,10:36 AM,09:52 AM,04:45 PM,-0,-2,1,-2,14,100,94,0.0,1006,1,2,163,9
2018-01-03 12:00:00,2,0,0.2,1.7,1,1,89,06:51 PM,10:36 AM,09:52 AM,04:45 PM,0,-1,2,-1,14,100,92,0.0,1002,2,10,143,9
2018-01-03 18:00:00,2,0,0.2,1.7,1,1,89,06:51 PM,10:36 AM,09:52 AM,04:45 PM,0,-2,1,-2,14,100,94,0.0,1000,1,2,156,9
2018-01-04 00:00:00,3,2,0.3,1.7,1,1,81,08:14 PM,11:16 AM,09:52 AM,04:46 PM,1,-2,2,-2,20,100,92,0.0,999,2,10,147,13
2018-01-04 06:00:00,3,2,0.3,1.7,1,1,81,08:14 PM,11:16 AM,09:52 AM,04:46 PM,-0,-2,2,-2,21,100,86,0.0,998,2,10,144,14
2018-01-04 12:00:00,3,2,0.3,1.7,1,1,81,08:14 PM,11:16 AM,09:52 AM,04:46 PM,0,-1,3,-1,22,100,84,0.0,998,3,10,152,15
2018-01-04 18:00:00,3,2,0.3,1.7,1,1,81,08:14 PM,11:16 AM,09:52 AM,04:46 PM,1,-1,3,-1,29,100,86,0.0,997,3,10,167,19
2018-01-05 00:00:00,4,3,0.6,1.7,1,1,74,09:39 PM,11:46 AM,09:51 AM,04:48 PM,2,-0,4,-0,30,100,85,0.0,998,4,10,181,20
2018-01-05 06:00:00,4,3,0.6,1.7,1,1,74,09:39 PM,11:46 AM,09:51 AM,04:48 PM,1,-1,3,-1,23,100,87,0.0,999,3,10,175,16
2018-01-05 12:00:00,4,3,0.6,1.7,1,1,74,09:39 PM,11:46 AM,09:51 AM,04:48 PM,0,-1,3,-1,28,100,82,0.0,998,3,10,162,20
2018-01-05 18:00:00,4,3,0.6,1.7,1,1,74,09:39 PM,11:46 AM,09:51 AM,04:48 PM,0,-2,3,-2,29,100,82,0.0,995,3,10,173,20
2018-01-06 00:00:00,4,1,0.4,1.7,1,1,67,11:01 PM,12:10 PM,09:50 AM,04:49 PM,2,0,4,0,26,100,87,0.0,995,4,10,204,18
2018-01-06 06:00:00,4,1,0.4,1.7,1,1,67,11:01 PM,12:10 PM,09:50 AM,04:49 PM,2,-0,3,-0,17,100,93,0.0,998,3,10,234,11
2018-01-06 12:00:00,4,1,0.4,1.7,1,1,67,11:01 PM,12:10 PM,09:50 AM,04:49 PM,0,-0,3,-0,21,100,80,0.0,1003,3,10,244,15
2018-01-06 18:00:00,4,1,0.4,1.7,1,2,67,11:01 PM,12:10 PM,09:50 AM,04:49 PM,0,-2,1,-2,19,61,92,0.0,1006,1,10,240,12
2018-01-07 00:00:00,1,-2,0.1,5.8,1,1,59,No moonrise,12:29 PM,09:50 AM,04:51 PM,-1,-2,1,-2,19,100,86,0.0,1009,1,10,269,12
2018-01-07 06:00:00,1,-2,0.1,5.8,1,2,59,No moonrise,12:29 PM,09:50 AM,04:51 PM,-8,-7,-2,-7,26,4,66,0.0,1016,-2,10,310,17
2018-01-07 12:00:00,1,-2,0.1,5.8,1,2,59,No moonrise,12:29 PM,09:50 AM,04:51 PM,-10,-5,-0,-5,24,0,49,0.0,1022,-0,10,289,15
2018-01-07 18:00:00,1,-2,0.1,5.8,1,2,59,No moonrise,12:29 PM,09:50 AM,04:51 PM,-8,-7,-2,-7,34,45,60,0.0,1022,-1,10,254,22
2018-01-08 00:00:00,1,-2,0.3,3.8,1,1,52,12:20 AM,12:48 PM,09:49 AM,04:53 PM,-7,-6,1,-6,44,100,58,0.0,1020,1,10,268,30
2018-01-08 06:00:00,1,-2,0.3,3.8,1,2,52,12:20 AM,12:48 PM,09:49 AM,04:53 PM,-7,-6,-1,-6,32,29,60,0.0,1021,-1,10,289,21
2018-01-08 12:00:00,1,-2,0.3,3.8,1,1,52,12:20 AM,12:48 PM,09:49 AM,04:53 PM,-9,-5,0,-5,28,74,50,0.0,1026,0,10,312,19
2018-01-08 18:00:00,1,-2,0.3,3.8,1,2,52,12:20 AM,12:48 PM,09:49 AM,04:53 PM,-7,-6,-2,-6,19,18,67,0.0,1030,-2,10,296,12
2018-01-09 00:00:00,2,-1,0.0,3.8,1,1,45,01:36 AM,01:05 PM,09:48 AM,04:54 PM,-2,-4,0,-4,19,96,83,0.0,1029,0,10,274,12
2018-01-09 06:00:00,2,-1,0.0,3.8,1,2,45,01:36 AM,01:05 PM,09:48 AM,04:54 PM,-2,-5,-1,-5,19,51,94,0.0,1030,-1,10,285,11
2018-01-09 12:00:00,2,-1,0.0,3.8,1,2,45,01:36 AM,01:05 PM,09:48 AM,04:54 PM,-0,-2,2,-2,16,33,88,0.0,1030,2,10,267,10
2018-01-09 18:00:00,2,-1,0.0,3.8,1,1,45,01:36 AM,01:05 PM,09:48 AM,04:54 PM,-1,-3,1,-3,18,95,87,0.0,1030,1,10,285,11
2018-01-10 00:00:00,-1,-4,0.0,5.8,1,1,38,02:49 AM,01:23 PM,09:47 AM,04:56 PM,-2,-3,-2,-3,7,56,95,0.0,1029,-2,2,282,4
2018-01-10 06:00:00,-1,-4,0.0,5.8,1,2,38,02:49 AM,01:23 PM,09:47 AM,04:56 PM,-3,-3,-2,-3,7,35,88,0.0,1028,-2,10,273,5
2018-01-10 12:00:00,-1,-4,0.0,5.8,1,2,38,02:49 AM,01:23 PM,09:47 AM,04:56 PM,-4,-3,-1,-3,7,9,82,0.0,1027,-1,10,196,5
2018-01-10 18:00:00,-1,-4,0.0,5.8,1,2,38,02:49 AM,01:23 PM,09:47 AM,04:56 PM,-5,-4,-4,-4,5,12,90,0.0,1026,-4,10,220,3
2018-01-11 00:00:00,-1,-5,0.0,1.8,1,1,30,04:01 AM,01:43 PM,09:46 AM,04:58 PM,-6,-4,-4,-4,3,80,87,0.0,1025,-4,10,313,1
2018-01-11 06:00:00,-1,-5,0.0,1.8,1,2,30,04:01 AM,01:43 PM,09:46 AM,04:58 PM,-6,-7,-5,-7,8,15,89,0.0,1026,-5,10,21,5
2018-01-11 12:00:00,-1,-5,0.0,1.8,1,1,30,04:01 AM,01:43 PM,09:46 AM,04:58 PM,-3,-3,-1,-3,7,85,85,0.0,1027,-1,10,20,5
2018-01-11 18:00:00,-1,-5,0.0,1.8,1,1,30,04:01 AM,01:43 PM,09:46 AM,04:58 PM,-4,-5,-2,-5,13,94,82,0.0,1031,-2,10,60,8
2018-01-12 00:00:00,-4,-7,0.0,3.8,2,1,23,05:10 AM,02:06 PM,09:45 AM,05:00 PM,-6,-8,-4,-8,13,48,88,0.0,1035,-4,10,73,9
2018-01-12 06:00:00,-4,-7,0.0,3.8,2,1,23,05:10 AM,02:06 PM,09:45 AM,05:00 PM,-8,-8,-5,-8,14,85,79,0.0,1038,-5,10,91,9
2018-01-12 12:00:00,-4,-7,0.0,3.8,2,1,23,05:10 AM,02:06 PM,09:45 AM,05:00 PM,-8,-8,-4,-8,14,74,73,0.0,1041,-4,10,104,10
2018-01-12 18:00:00,-4,-7,0.0,3.8,2,2,23,05:10 AM,02:06 PM,09:45 AM,05:00 PM,-8,-9,-6,-9,10,8,88,0.0,1044,-6,10,98,6
2018-01-13 00:00:00,-6,-8,0.0,3.8,2,1,16,06:16 AM,02:34 PM,09:44 AM,05:02 PM,-8,-10,-7,-10,10,21,90,0.0,1046,-7,10,142,6
