date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,04:50 PM,05:51 AM,07:04 AM,05:25 PM,1,16,16,16,5,0,37,0.0,1015,12,10,334,4
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,04:50 PM,05:51 AM,07:04 AM,05:25 PM,2,17,17,17,4,0,38,0.0,1016,12,10,316,4
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,04:50 PM,05:51 AM,07:04 AM,05:25 PM,2,25,24,25,5,0,22,0.0,1013,21,10,257,5
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,04:50 PM,05:51 AM,07:04 AM,05:25 PM,-1,15,15,15,13,0,33,0.0,1015,13,10,9,7
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,05:54 PM,06:56 AM,07:04 AM,05:26 PM,-2,14,14,14,8,0,32,0.0,1015,10,10,17,6
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,05:54 PM,06:56 AM,07:04 AM,05:26 PM,0,15,15,15,4,0,35,0.0,1016,11,10,294,3
2018-01-02 12:00:00,20,9,0.0,8.7,4,5,100,05:54 PM,06:56 AM,07:04 AM,05:26 PM,-1,23,23,23,8,0,21,0.0,1014,20,10,263,7
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,05:54 PM,06:56 AM,07:04 AM,05:26 PM,1,15,15,15,13,0,38,0.0,1016,13,10,302,7
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:01 PM,07:57 AM,07:04 AM,05:27 PM,1,12,13,12,13,0,44,0.0,1016,10,10,306,8
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:01 PM,07:57 AM,07:04 AM,05:27 PM,3,15,15,15,7,0,44,0.0,1016,11,10,299,6
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:01 PM,07:57 AM,07:04 AM,05:27 PM,1,22,23,22,17,0,25,0.0,1014,21,10,275,14
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:01 PM,07:57 AM,07:04 AM,05:27 PM,3,14,14,14,19,0,46,0.0,1015,12,10,282,9
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:08 PM,08:53 AM,07:04 AM,05:27 PM,2,11,12,11,15,0,50,0.0,1015,9,10,305,9
2018-01-04 06:00:00,20,8,0.0,8.7,4,4,81,08:08 PM,08:53 AM,07:04 AM,05:27 PM,4,14,14,14,6,0,50,0.0,1016,10,10,289,5
2018-01-04 12:00:00,20,8,0.0,8.7,4,6,81,08:08 PM,08:53 AM,07:04 AM,05:27 PM,3,23,23,23,7,0,26,0.0,1014,20,10,257,6
