date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,16,0.0,11.0,6,1,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,11,22,24,22,4,2,51,0.0,1011,17,10,43,3
2018-01-01 06:00:00,28,16,0.0,11.0,6,1,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,9,23,24,23,5,3,43,0.0,1012,20,10,97,5
2018-01-01 12:00:00,28,16,0.0,11.0,6,7,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,7,28,28,29,8,3,25,0.0,1009,28,10,281,7
2018-01-01 18:00:00,28,16,0.0,11.0,6,6,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,9,21,24,21,16,3,46,0.0,1011,20,10,301,9
2018-01-02 00:00:00,28,16,0.0,11.0,6,1,100,06:37 PM,07:03 AM,07:08 AM,06:10 PM,11,22,24,22,4,2,52,0.0,1010,17,10,1,4
2018-01-02 06:00:00,28,16,0.0,11.0,6,1,100,06:37 PM,07:03 AM,07:08 AM,06:10 PM,9,21,21,21,9,3,45,0.0,1012,19,10,78,7
2018-01-02 12:00:00,28,16,0.0,11.0,6,7,100,06:37 PM,07:03 AM,07:08 AM,06:10 PM,7,28,28,30,5,2,24,0.0,1010,28,10,157,4
2018-01-02 18:00:00,28,16,0.0,11.0,6,5,100,06:37 PM,07:03 AM,07:08 AM,06:10 PM,9,22,24,22,6,3,45,0.0,1011,20,10,347,3
2018-01-03 00:00:00,28,17,0.0,11.0,6,1,89,07:43 PM,08:05 AM,07:08 AM,06:11 PM,10,20,20,20,9,2,51,0.0,1011,17,10,47,5
2018-01-03 06:00:00,28,17,0.0,11.0,6,1,89,07:43 PM,08:05 AM,07:08 AM,06:11 PM,8,21,21,21,12,2,43,0.0,1014,19,10,83,10
2018-01-03 12:00:00,28,17,0.0,11.0,6,7,89,07:43 PM,08:05 AM,07:08 AM,06:11 PM,7,28,28,30,8,3,25,0.0,1011,28,10,160,7
2018-01-03 18:00:00,28,17,0.0,11.0,6,5,89,07:43 PM,08:05 AM,07:08 AM,06:11 PM,10,22,24,22,6,3,48,0.0,1012,20,10,342,3
