date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,20,0.0,10.9,6,1,97,05:46 PM,06:20 AM,07:30 AM,06:20 PM,8,21,24,21,33,0,42,0.0,1012,21,10,30,19
2018-01-01 06:00:00,27,20,0.0,10.9,6,1,97,05:46 PM,06:20 AM,07:30 AM,06:20 PM,6,20,20,20,34,0,40,0.0,1014,20,10,35,20
2018-01-01 12:00:00,27,20,0.0,10.9,6,7,97,05:46 PM,06:20 AM,07:30 AM,06:20 PM,7,26,26,27,19,0,28,0.0,1012,27,10,12,15
2018-01-01 18:00:00,27,20,0.0,10.9,6,6,97,05:46 PM,06:20 AM,07:30 AM,06:20 PM,7,24,24,23,37,0,34,0.0,1012,23,10,4,21
2018-01-02 00:00:00,27,20,0.0,10.9,6,1,100,06:50 PM,07:26 AM,07:30 AM,06:21 PM,5,21,21,21,33,0,36,0.0,1012,21,10,29,18
2018-01-02 06:00:00,27,20,0.0,10.9,6,1,100,06:50 PM,07:26 AM,07:30 AM,06:21 PM,7,20,20,20,30,0,43,0.0,1013,20,10,42,18
2018-01-02 12:00:00,27,20,0.0,10.9,6,7,100,06:50 PM,07:26 AM,07:30 AM,06:21 PM,12,29,29,30,2,0,32,0.0,1012,27,10,128,1
2018-01-02 18:00:00,27,20,0.0,10.9,6,6,100,06:50 PM,07:26 AM,07:30 AM,06:21 PM,12,25,25,24,25,0,47,0.0,1012,24,10,304,14
2018-01-03 00:00:00,27,20,0.0,10.9,6,1,89,07:55 PM,08:27 AM,07:31 AM,06:21 PM,8,21,24,21,34,0,41,0.0,1012,21,10,68,19
2018-01-03 06:00:00,27,20,0.0,10.9,6,1,89,07:55 PM,08:27 AM,07:31 AM,06:21 PM,4,20,20,20,27,0,35,0.0,1014,20,10,64,16
2018-01-03 12:00:00,27,20,0.0,10.9,6,7,89,07:55 PM,08:27 AM,07:31 AM,06:21 PM,12,29,29,30,4,0,33,0.0,1013,27,10,342,4
2018-01-03 18:00:00,27,20,0.0,10.9,6,6,89,07:55 PM,08:27 AM,07:31 AM,06:21 PM,8,24,24,23,32,0,37,0.0,1013,23,10,342,18
2018-01-04 00:00:00,26,20,0.0,10.9,6,1,81,09:00 PM,09:24 AM,07:31 AM,06:22 PM,10,21,24,21,31,0,49,0.0,1014,21,10,359,18
2018-01-04 06:00:00,26,20,0.0,10.9,6,1,81,09:00 PM,09:24 AM,07:31 AM,06:22 PM,9,21,21,21,26,0,48,0.0,1015,21,10,6,16
2018-01-04 12:00:00,26,20,0.0,10.9,6,7,81,09:00 PM,09:24 AM,07:31 AM,06:22 PM,10,26,26,26,17,0,36,0.0,1014,26,10,311,14
2018-01-04 18:00:00,26,20,0.0,10.9,6,6,81,09:00 PM,09:24 AM,07:31 AM,06:22 PM,13,25,25,23,30,0,53,0.0,1014,23,10,324,19
2018-01-05 00:00:00,25,20,0.0,10.9,6,1,74,10:03 PM,10:15 AM,07:31 AM,06:23 PM,14,21,21,21,25,0,65,0.0,1013,20,10,347,15
2018-01-05 06:00:00,25,20,0.0,10.9,6,1,74,10:03 PM,10:15 AM,07:31 AM,06:23 PM,15,20,20,20,23,0,71,0.0,1015,20,10,14,15
2018-01-05 12:00:00,25,20,0.0,10.9,6,7,74,10:03 PM,10:15 AM,07:31 AM,06:23 PM,14,27,27,27,10,0,44,0.0,1013,25,10,290,9
2018-01-05 18:00:00,25,20,0.0,10.9,6,6,74,10:03 PM,10:15 AM,07:31 AM,06:23 PM,15,25,25,23,31,0,63,0.0,1013,22,10,321,21
2018-01-06 00:00:00,25,20,0.0,10.9,6,1,67,11:02 PM,11:02 AM,07:31 AM,06:23 PM,15,21,21,21,26,0,69,0.0,1013,20,10,343,17
2018-01-06 06:00:00,25,20,0.0,10.9,6,1,67,11:02 PM,11:02 AM,07:31 AM,06:23 PM,15,21,21,21,24,0,72,0.0,1014,21,10,4,16
2018-01-06 12:00:00,25,20,0.0,10.9,6,7,67,11:02 PM,11:02 AM,07:31 AM,06:23 PM,12,26,26,26,11,0,40,0.0,1013,25,10,304,9
2018-01-06 18:00:00,25,20,0.0,10.9,6,6,67,11:02 PM,11:02 AM,07:31 AM,06:23 PM,12,25,25,23,29,0,49,0.0,1013,23,10,326,18
2018-01-07 00:00:00,25,20,0.0,10.9,6,1,59,11:59 PM,11:45 AM,07:32 AM,06:24 PM,11,21,21,21,29,0,54,0.0,1014,21,10,7,17
2018-01-07 06:00:00,25,20,0.0,10.9,6,1,59,11:59 PM,11:45 AM,07:32 AM,06:24 PM,10,20,20,20,25,0,52,0.0,1015,20,10,35,16
2018-01-07 12:00:00,25,20,0.0,10.9,6,7,59,11:59 PM,11:45 AM,07:32 AM,06:24 PM,10,27,27,27,8,0,33,0.0,1014,25,10,7,7
2018-01-07 18:00:00,25,20,0.0,10.9,6,6,59,11:59 PM,11:45 AM,07:32 AM,06:24 PM,9,24,24,22,36,0,42,0.0,1015,22,10,358,22
2018-01-08 00:00:00,25,19,0.0,10.9,6,1,52,No moonrise,12:24 PM,07:32 AM,06:25 PM,8,20,20,20,30,0,44,0.0,1014,20,10,28,18
2018-01-08 06:00:00,25,19,0.0,10.9,6,1,52,No moonrise,12:24 PM,07:32 AM,06:25 PM,6,19,19,19,26,0,43,0.0,1016,19,10,29,16
2018-01-08 12:00:00,25,19,0.0,10.9,6,6,52,No moonrise,12:24 PM,07:32 AM,06:25 PM,8,25,25,26,11,0,31,0.0,1015,25,10,7,10
2018-01-08 18:00:00,25,19,0.0,10.9,6,6,52,No moonrise,12:24 PM,07:32 AM,06:25 PM,8,24,24,23,36,0,39,0.0,1015,22,10,355,21
2018-01-09 00:00:00,27,20,0.0,10.9,6,1,45,12:52 AM,01:03 PM,07:32 AM,06:25 PM,10,21,21,21,34,0,50,0.0,1015,21,10,19,19
2018-01-09 06:00:00,27,20,0.0,10.9,6,1,45,12:52 AM,01:03 PM,07:32 AM,06:25 PM,10,20,20,20,32,0,51,0.0,1017,20,10,36,19
2018-01-09 12:00:00,27,20,0.0,10.9,6,7,45,12:52 AM,01:03 PM,07:32 AM,06:25 PM,15,29,29,28,2,5,46,0.0,1015,27,10,151,2
2018-01-09 18:00:00,27,20,0.0,10.9,6,6,45,12:52 AM,01:03 PM,07:32 AM,06:25 PM,15,26,26,25,10,6,54,0.0,1016,24,10,273,6
2018-01-10 00:00:00,28,21,0.0,10.9,6,1,38,01:45 AM,01:41 PM,07:32 AM,06:26 PM,17,24,25,24,3,5,66,0.0,1016,22,10,330,2
2018-01-10 06:00:00,28,21,0.0,10.9,6,1,38,01:45 AM,01:41 PM,07:32 AM,06:26 PM,14,25,25,23,18,3,59,0.0,1016,22,10,71,11
