date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,16,0.0,11.0,6,1,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,11,21,24,21,4,2,52,0.0,1011,17,10,28,3
2018-01-01 06:00:00,28,16,0.0,11.0,6,1,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,9,23,24,23,6,3,42,0.0,1012,20,10,100,5
2018-01-01 12:00:00,28,16,0.0,11.0,6,7,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,7,28,28,30,7,3,25,0.0,1009,28,10,283,6
2018-01-01 18:00:00,28,16,0.0,11.0,6,6,97,05:34 PM,05:58 AM,07:07 AM,06:09 PM,9,21,24,21,18,4,46,0.0,1011,20,10,297,10
2018-01-02 00:00:00,28,16,0.0,11.0,6,1,100,06:37 PM,07:02 AM,07:07 AM,06:10 PM,10,20,20,20,6,2,52,0.0,1010,17,10,347,4
2018-01-02 06:00:00,28,16,0.0,11.0,6,1,100,06:37 PM,07:02 AM,07:07 AM,06:10 PM,9,21,24,21,8,3,45,0.0,1012,19,10,81,7
2018-01-02 12:00:00,28,16,0.0,11.0,6,7,100,06:37 PM,07:02 AM,07:07 AM,06:10 PM,7,28,28,30,5,2,24,0.0,1010,28,10,144,5
2018-01-02 18:00:00,28,16,0.0,11.0,6,5,100,06:37 PM,07:02 AM,07:07 AM,06:10 PM,9,22,24,22,6,3,45,0.0,1011,20,10,358,3
2018-01-03 00:00:00,28,16,0.0,11.0,6,1,89,07:43 PM,08:04 AM,07:08 AM,06:10 PM,10,20,20,20,8,2,53,0.0,1011,17,10,41,4
2018-01-03 06:00:00,28,16,0.0,11.0,6,1,89,07:43 PM,08:04 AM,07:08 AM,06:10 PM,8,21,21,21,12,2,43,0.0,1014,19,10,84,10
2018-01-03 12:00:00,28,16,0.0,11.0,6,7,89,07:43 PM,08:04 AM,07:08 AM,06:10 PM,7,28,28,29,9,3,25,0.0,1011,28,10,152,8
2018-01-03 18:00:00,28,16,0.0,11.0,6,5,89,07:43 PM,08:04 AM,07:08 AM,06:10 PM,10,22,24,22,7,3,48,0.0,1012,20,10,354,3
2018-01-04 00:00:00,28,16,0.0,11.0,6,1,81,08:46 PM,09:02 AM,07:08 AM,06:11 PM,9,20,20,20,8,3,51,0.0,1013,17,10,19,4
2018-01-04 06:00:00,28,16,0.0,11.0,6,1,81,08:46 PM,09:02 AM,07:08 AM,06:11 PM,8,21,24,21,10,5,43,0.0,1015,20,10,80,8
2018-01-04 12:00:00,28,16,0.0,11.0,6,7,81,08:46 PM,09:02 AM,07:08 AM,06:11 PM,9,28,28,30,6,4,27,0.0,1012,28,10,118,5
2018-01-04 18:00:00,28,16,0.0,11.0,6,6,81,08:46 PM,09:02 AM,07:08 AM,06:11 PM,10,23,24,23,7,4,44,0.0,1013,21,10,75,4
2018-01-05 00:00:00,28,16,0.0,11.0,6,1,74,09:48 PM,09:55 AM,07:08 AM,06:12 PM,11,20,20,20,10,3,54,0.0,1012,18,10,349,5
2018-01-05 06:00:00,28,16,0.0,11.0,6,1,74,09:48 PM,09:55 AM,07:08 AM,06:12 PM,9,22,24,22,6,3,45,0.0,1013,20,10,61,5
