date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,25,21,0.0,7.2,6,1,97,04:41 PM,05:10 AM,06:21 AM,05:19 PM,13,22,25,22,16,39,56,0.0,1011,21,10,29,10
2018-01-01 06:00:00,25,21,0.0,7.2,6,6,97,04:41 PM,05:10 AM,06:21 AM,05:19 PM,12,22,25,22,18,45,54,0.0,1013,22,10,24,13
2018-01-01 12:00:00,25,21,0.0,7.2,6,6,97,04:41 PM,05:10 AM,06:21 AM,05:19 PM,14,26,26,25,25,44,51,0.0,1010,25,10,56,20
2018-01-01 18:00:00,25,21,0.0,7.2,6,5,97,04:41 PM,05:10 AM,06:21 AM,05:19 PM,16,25,25,23,24,63,66,0.0,1012,22,10,56,17
2018-01-02 00:00:00,26,19,0.0,8.7,6,1,100,05:45 PM,06:14 AM,06:21 AM,05:20 PM,15,21,21,21,22,29,68,0.0,1011,21,10,16,13
2018-01-02 06:00:00,26,19,0.0,8.7,6,6,100,05:45 PM,06:14 AM,06:21 AM,05:20 PM,13,21,24,21,25,7,61,0.0,1013,21,10,19,19
2018-01-02 12:00:00,26,19,0.0,8.7,6,7,100,05:45 PM,06:14 AM,06:21 AM,05:20 PM,10,26,26,26,19,4,36,0.0,1010,26,10,47,17
2018-01-02 18:00:00,26,19,0.0,8.7,6,6,100,05:45 PM,06:14 AM,06:21 AM,05:20 PM,12,22,24,22,28,2,53,0.0,1012,22,10,74,15
2018-01-03 00:00:00,26,19,0.0,8.7,6,1,89,06:50 PM,07:17 AM,06:22 AM,05:20 PM,12,21,21,21,20,0,55,0.0,1012,20,10,17,12
2018-01-03 06:00:00,26,19,0.0,8.7,6,6,89,06:50 PM,07:17 AM,06:22 AM,05:20 PM,11,21,24,21,19,0,50,0.0,1014,21,10,14,14
2018-01-03 12:00:00,26,19,0.0,8.7,6,7,89,06:50 PM,07:17 AM,06:22 AM,05:20 PM,12,28,28,29,7,0,35,0.0,1011,26,10,49,6
2018-01-03 18:00:00,26,19,0.0,8.7,6,6,89,06:50 PM,07:17 AM,06:22 AM,05:20 PM,13,23,25,23,14,0,54,0.0,1013,22,10,78,10
2018-01-04 00:00:00,24,19,0.0,8.7,6,1,81,07:55 PM,08:14 AM,06:22 AM,05:21 PM,13,22,25,22,13,0,56,0.0,1014,20,10,11,10
2018-01-04 06:00:00,24,19,0.0,8.7,6,6,81,07:55 PM,08:14 AM,06:22 AM,05:21 PM,12,22,24,22,17,0,56,0.0,1016,21,10,19,14
2018-01-04 12:00:00,24,19,0.0,8.7,6,6,81,07:55 PM,08:14 AM,06:22 AM,05:21 PM,11,25,25,24,18,0,43,0.0,1013,24,10,61,15
2018-01-04 18:00:00,24,19,0.0,8.7,6,6,81,07:55 PM,08:14 AM,06:22 AM,05:21 PM,11,21,24,21,21,0,52,0.0,1014,20,10,74,13
2018-01-05 00:00:00,25,17,0.0,8.7,6,1,74,08:57 PM,09:06 AM,06:22 AM,05:22 PM,12,21,24,21,11,0,57,0.0,1013,19,10,7,9
2018-01-05 06:00:00,25,17,0.0,8.7,6,5,74,08:57 PM,09:06 AM,06:22 AM,05:22 PM,10,20,20,20,15,0,52,0.0,1015,20,10,21,13
2018-01-05 12:00:00,25,17,0.0,8.7,6,6,74,08:57 PM,09:06 AM,06:22 AM,05:22 PM,8,26,26,26,11,0,31,0.0,1012,25,10,43,10
2018-01-05 18:00:00,25,17,0.0,8.7,6,6,74,08:57 PM,09:06 AM,06:22 AM,05:22 PM,10,21,24,21,20,0,47,0.0,1013,21,10,91,12
2018-01-06 00:00:00,25,18,0.0,8.7,6,1,67,09:56 PM,09:54 AM,06:22 AM,05:22 PM,13,22,25,22,9,0,58,0.0,1012,19,10,8,8
2018-01-06 06:00:00,25,18,0.0,8.7,6,5,67,09:56 PM,09:54 AM,06:22 AM,05:22 PM,12,21,24,21,13,0,54,0.0,1014,20,10,354,11
2018-01-06 12:00:00,25,18,0.0,8.7,6,7,67,09:56 PM,09:54 AM,06:22 AM,05:22 PM,11,27,27,28,9,0,35,0.0,1011,25,10,86,8
2018-01-06 18:00:00,25,18,0.0,8.7,6,6,67,09:56 PM,09:54 AM,06:22 AM,05:22 PM,12,22,25,22,17,0,53,0.0,1012,21,10,104,11
2018-01-07 00:00:00,25,18,0.0,8.7,6,1,59,10:51 PM,10:37 AM,06:23 AM,05:23 PM,14,22,25,22,9,0,62,0.0,1012,19,10,0,8
2018-01-07 06:00:00,25,18,0.0,8.7,6,5,59,10:51 PM,10:37 AM,06:23 AM,05:23 PM,10,20,20,20,19,0,52,0.0,1015,20,10,1,14
2018-01-07 12:00:00,25,18,0.0,8.7,6,7,59,10:51 PM,10:37 AM,06:23 AM,05:23 PM,8,26,26,27,9,0,30,0.0,1012,25,10,49,8
2018-01-07 18:00:00,25,18,0.0,8.7,6,6,59,10:51 PM,10:37 AM,06:23 AM,05:23 PM,12,21,24,21,24,0,56,0.0,1014,21,10,88,14
2018-01-08 00:00:00,25,17,0.0,8.7,6,1,52,11:45 PM,11:18 AM,06:23 AM,05:24 PM,12,20,20,20,19,0,59,0.0,1014,19,10,14,12
2018-01-08 06:00:00,25,17,0.0,8.7,6,5,52,11:45 PM,11:18 AM,06:23 AM,05:24 PM,9,20,20,20,22,0,49,0.0,1017,20,10,25,16
2018-01-08 12:00:00,25,17,0.0,8.7,6,6,52,11:45 PM,11:18 AM,06:23 AM,05:24 PM,7,25,25,25,18,0,31,0.0,1015,25,10,63,15
2018-01-08 18:00:00,25,17,0.0,8.7,6,5,52,11:45 PM,11:18 AM,06:23 AM,05:24 PM,7,21,21,21,19,0,42,0.0,1016,20,10,56,12
2018-01-09 00:00:00,26,17,0.0,8.7,6,1,45,No moonrise,11:57 AM,06:23 AM,05:24 PM,7,18,18,18,22,0,47,0.0,1016,18,10,10,13
2018-01-09 06:00:00,26,17,0.0,8.7,6,5,45,No moonrise,11:57 AM,06:23 AM,05:24 PM,7,20,20,20,22,0,43,0.0,1018,20,10,22,16
2018-01-09 12:00:00,26,17,0.0,8.7,6,7,45,No moonrise,11:57 AM,06:23 AM,05:24 PM,8,27,27,28,10,0,29,0.0,1015,26,10,31,8
2018-01-09 18:00:00,26,17,0.0,8.7,6,6,45,No moonrise,11:57 AM,06:23 AM,05:24 PM,11,22,24,22,17,0,50,0.0,1016,21,10,94,11
2018-01-10 00:00:00,26,17,0.0,8.7,6,1,38,12:36 AM,12:35 PM,06:23 AM,05:25 PM,11,21,21,21,13,0,54,0.0,1016,19,10,7,10
2018-01-10 06:00:00,26,17,0.0,8.7,6,5,38,12:36 AM,12:35 PM,06:23 AM,05:25 PM,10,21,21,21,14,0,49,0.0,1018,20,10,9,12
2018-01-10 12:00:00,26,17,0.0,8.7,6,7,38,12:36 AM,12:35 PM,06:23 AM,05:25 PM,10,28,28,29,7,0,31,0.0,1015,26,10,73,6
2018-01-10 18:00:00,26,17,0.0,8.7,6,6,38,12:36 AM,12:35 PM,06:23 AM,05:25 PM,12,24,25,24,10,0,49,0.0,1016,22,10,126,8
2018-01-11 00:00:00,26,19,0.0,8.7,6,1,30,01:28 AM,01:14 PM,06:23 AM,05:26 PM,13,23,25,23,8,0,55,0.0,1016,20,10,353,7
2018-01-11 06:00:00,26,19,0.0,8.7,6,6,30,01:28 AM,01:14 PM,06:23 AM,05:26 PM,8,21,24,21,15,0,41,0.0,1018,21,10,359,13
2018-01-11 12:00:00,26,19,0.0,8.7,6,7,30,01:28 AM,01:14 PM,06:23 AM,05:26 PM,8,28,28,30,3,0,25,0.0,1014,26,10,60,3
