date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,04:49 PM,05:40 AM,06:53 AM,05:25 PM,6,15,15,15,9,0,55,0.0,1013,12,10,312,5
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,04:49 PM,05:40 AM,06:53 AM,05:25 PM,7,15,15,15,6,0,59,0.0,1015,13,10,349,5
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,04:49 PM,05:40 AM,06:53 AM,05:25 PM,5,22,23,22,10,0,33,0.0,1013,21,10,336,9
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,04:49 PM,05:40 AM,06:53 AM,05:25 PM,6,16,16,16,6,0,50,0.0,1013,14,10,270,3
2018-01-02 00:00:00,21,10,0.0,8.7,4,1,100,05:53 PM,06:45 AM,06:53 AM,05:25 PM,6,15,15,15,9,0,57,0.0,1013,12,10,319,5
2018-01-02 06:00:00,21,10,0.0,8.7,4,4,100,05:53 PM,06:45 AM,06:53 AM,05:25 PM,6,14,14,14,7,3,60,0.0,1015,13,10,323,5
2018-01-02 12:00:00,21,10,0.0,8.7,4,6,100,05:53 PM,06:45 AM,06:53 AM,05:25 PM,3,21,21,21,12,3,31,0.0,1013,21,10,321,11
2018-01-02 18:00:00,21,10,0.0,8.7,4,4,100,05:53 PM,06:45 AM,06:53 AM,05:25 PM,4,15,15,15,20,0,47,0.0,1014,15,10,341,10
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,06:59 PM,07:47 AM,06:53 AM,05:26 PM,5,14,14,14,10,0,53,0.0,1014,12,10,332,6
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,06:59 PM,07:47 AM,06:53 AM,05:26 PM,4,12,13,12,13,0,56,0.0,1016,12,10,274,9
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,06:59 PM,07:47 AM,06:53 AM,05:26 PM,3,21,23,21,12,0,30,0.0,1014,21,10,292,10
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,06:59 PM,07:47 AM,06:53 AM,05:26 PM,3,14,15,14,17,0,46,0.0,1014,14,10,291,8
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,08:05 PM,08:43 AM,06:53 AM,05:27 PM,3,12,12,12,17,0,53,0.0,1014,11,10,293,8
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,08:05 PM,08:43 AM,06:53 AM,05:27 PM,5,13,14,13,10,0,57,0.0,1016,12,10,238,8
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,08:05 PM,08:43 AM,06:53 AM,05:27 PM,4,24,24,24,6,0,28,0.0,1014,21,10,284,5
2018-01-04 18:00:00,21,10,0.0,8.7,4,4,81,08:05 PM,08:43 AM,06:53 AM,05:27 PM,4,16,16,16,9,0,45,0.0,1014,14,10,9,4
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:10 PM,09:33 AM,06:54 AM,05:28 PM,4,14,13,14,10,0,53,0.0,1015,11,10,356,5
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:10 PM,09:33 AM,06:54 AM,05:28 PM,5,12,13,12,7,0,58,0.0,1017,11,10,256,6
2018-01-05 12:00:00,20,8,0.0,8.7,4,6,74,09:10 PM,09:33 AM,06:54 AM,05:28 PM,1,21,21,21,10,0,27,0.0,1013,20,10,302,9
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:10 PM,09:33 AM,06:54 AM,05:28 PM,2,14,14,14,13,0,43,0.0,1014,12,10,330,6
2018-01-06 00:00:00,21,8,0.0,8.7,4,1,67,10:11 PM,10:17 AM,06:54 AM,05:28 PM,2,12,12,12,14,0,51,0.0,1013,10,10,308,7
