date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,13,0.0,8.7,5,1,97,04:48 PM,05:24 AM,06:35 AM,05:25 PM,6,19,19,19,8,0,42,0.0,1013,15,10,31,5
2018-01-01 06:00:00,28,13,0.0,8.7,5,5,97,04:48 PM,05:24 AM,06:35 AM,05:25 PM,6,21,21,21,7,0,38,0.0,1014,18,10,34,6
2018-01-01 12:00:00,28,13,0.0,8.7,5,7,97,04:48 PM,05:24 AM,06:35 AM,05:25 PM,6,29,29,31,5,2,22,0.0,1010,28,10,31,4
2018-01-01 18:00:00,28,13,0.0,8.7,5,5,97,04:48 PM,05:24 AM,06:35 AM,05:25 PM,7,20,20,20,7,2,41,0.0,1012,18,10,34,3
2018-01-02 00:00:00,27,12,0.0,8.7,5,1,100,05:52 PM,06:28 AM,06:35 AM,05:26 PM,6,16,16,16,12,2,51,0.0,1012,14,10,45,6
2018-01-02 06:00:00,27,12,0.0,8.7,5,5,100,05:52 PM,06:28 AM,06:35 AM,05:26 PM,7,20,20,20,8,1,45,0.0,1014,17,10,31,7
2018-01-02 12:00:00,27,12,0.0,8.7,5,7,100,05:52 PM,06:28 AM,06:35 AM,05:26 PM,7,27,27,29,1,4,25,0.0,1010,27,10,306,1
2018-01-02 18:00:00,27,12,0.0,8.7,5,5,100,05:52 PM,06:28 AM,06:35 AM,05:26 PM,6,20,20,20,7,5,42,0.0,1013,18,10,308,3
2018-01-03 00:00:00,26,13,0.0,8.7,5,1,89,06:57 PM,07:31 AM,06:36 AM,05:26 PM,6,15,15,15,14,5,52,0.0,1013,14,10,32,7
2018-01-03 06:00:00,26,13,0.0,8.7,5,5,89,06:57 PM,07:31 AM,06:36 AM,05:26 PM,7,18,18,18,9,4,47,0.0,1015,17,10,41,8
2018-01-03 12:00:00,26,13,0.0,8.7,5,7,89,06:57 PM,07:31 AM,06:36 AM,05:26 PM,6,26,26,27,11,5,27,0.0,1012,26,10,276,10
2018-01-03 18:00:00,26,13,0.0,8.7,5,5,89,06:57 PM,07:31 AM,06:36 AM,05:26 PM,8,20,20,20,7,0,45,0.0,1014,17,10,274,4
