date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,13,0.0,8.7,5,1,97,04:56 PM,05:30 AM,06:41 AM,05:33 PM,7,18,18,18,10,0,47,0.0,1013,15,10,4,7
2018-01-01 06:00:00,26,13,0.0,8.7,5,5,97,04:56 PM,05:30 AM,06:41 AM,05:33 PM,6,19,19,19,8,2,43,0.0,1014,17,10,55,7
2018-01-01 12:00:00,26,13,0.0,8.7,5,7,97,04:56 PM,05:30 AM,06:41 AM,05:33 PM,6,26,26,27,11,2,25,0.0,1010,26,10,33,9
2018-01-01 18:00:00,26,13,0.0,8.7,5,5,97,04:56 PM,05:30 AM,06:41 AM,05:33 PM,6,21,24,21,15,2,37,0.0,1012,19,10,46,8
2018-01-02 00:00:00,26,13,0.0,8.7,5,1,100,06:00 PM,06:34 AM,06:41 AM,05:34 PM,7,18,18,18,10,2,48,0.0,1012,14,10,17,7
2018-01-02 06:00:00,26,13,0.0,8.7,5,5,100,06:00 PM,06:34 AM,06:41 AM,05:34 PM,6,18,18,18,11,2,46,0.0,1014,16,10,40,9
2018-01-02 12:00:00,26,13,0.0,8.7,5,7,100,06:00 PM,06:34 AM,06:41 AM,05:34 PM,7,26,26,28,7,3,26,0.0,1010,26,10,33,6
2018-01-02 18:00:00,26,13,0.0,8.7,5,5,100,06:00 PM,06:34 AM,06:41 AM,05:34 PM,7,21,21,21,9,4,40,0.0,1013,19,10,347,4
2018-01-03 00:00:00,26,13,0.0,8.7,5,1,89,07:06 PM,07:37 AM,06:41 AM,05:35 PM,6,16,16,16,11,6,52,0.0,1014,15,10,34,6
2018-01-03 06:00:00,26,13,0.0,8.7,5,5,89,07:06 PM,07:37 AM,06:41 AM,05:35 PM,7,18,18,18,8,3,49,0.0,1015,17,10,26,7
2018-01-03 12:00:00,26,13,0.0,8.7,5,7,89,07:06 PM,07:37 AM,06:41 AM,05:35 PM,8,27,27,28,9,0,28,0.0,1012,26,10,310,8
2018-01-03 18:00:00,26,13,0.0,8.7,5,5,89,07:06 PM,07:37 AM,06:41 AM,05:35 PM,8,21,21,21,10,0,42,0.0,1014,18,10,119,6
2018-01-04 00:00:00,25,12,0.0,8.7,5,1,81,08:10 PM,08:33 AM,06:42 AM,05:35 PM,8,18,18,18,6,0,52,0.0,1015,13,10,3,5
2018-01-04 06:00:00,25,12,0.0,8.7,5,5,81,08:10 PM,08:33 AM,06:42 AM,05:35 PM,7,19,19,19,5,0,45,0.0,1017,15,10,49,4
2018-01-04 12:00:00,25,12,0.0,8.7,5,6,81,08:10 PM,08:33 AM,06:42 AM,05:35 PM,5,27,27,28,5,0,22,0.0,1013,25,10,351,4
2018-01-04 18:00:00,25,12,0.0,8.7,5,5,81,08:10 PM,08:33 AM,06:42 AM,05:35 PM,2,20,20,20,6,0,31,0.0,1015,17,10,17,4
2018-01-05 00:00:00,24,11,0.0,8.7,5,1,74,09:13 PM,09:26 AM,06:42 AM,05:36 PM,4,18,18,18,4,0,41,0.0,1014,13,10,46,3
2018-01-05 06:00:00,24,11,0.0,8.7,5,4,74,09:13 PM,09:26 AM,06:42 AM,05:36 PM,5,18,18,18,7,0,42,0.0,1016,15,10,39,6
2018-01-05 12:00:00,24,11,0.0,8.7,5,6,74,09:13 PM,09:26 AM,06:42 AM,05:36 PM,4,26,26,27,8,0,23,0.0,1012,24,10,3,7
2018-01-05 18:00:00,24,11,0.0,8.7,5,5,74,09:13 PM,09:26 AM,06:42 AM,05:36 PM,5,21,21,21,7,0,35,0.0,1013,17,10,66,4
2018-01-06 00:00:00,26,12,0.0,8.7,5,1,67,10:12 PM,10:12 AM,06:42 AM,05:37 PM,5,17,17,17,8,0,44,0.0,1013,13,10,16,6
2018-01-06 06:00:00,26,12,0.0,8.7,5,5,67,10:12 PM,10:12 AM,06:42 AM,05:37 PM,3,17,17,17,7,3,38,0.0,1015,15,10,56,6
2018-01-06 12:00:00,26,12,0.0,8.7,5,7,67,10:12 PM,10:12 AM,06:42 AM,05:37 PM,6,27,27,28,3,3,25,0.0,1011,26,10,320,3
2018-01-06 18:00:00,26,12,0.0,8.7,5,5,67,10:12 PM,10:12 AM,06:42 AM,05:37 PM,5,21,21,21,4,3,36,0.0,1014,19,10,66,2
2018-01-07 00:00:00,26,12,0.0,8.7,5,1,59,11:09 PM,10:55 AM,06:42 AM,05:37 PM,6,17,17,17,6,3,49,0.0,1014,14,10,20,4
2018-01-07 06:00:00,26,12,0.0,8.7,5,5,59,11:09 PM,10:55 AM,06:42 AM,05:37 PM,2,17,17,17,9,6,37,0.0,1016,16,10,45,8
2018-01-07 12:00:00,26,12,0.0,8.7,5,7,59,11:09 PM,10:55 AM,06:42 AM,05:37 PM,5,26,26,27,5,5,25,0.0,1012,26,10,4,5
2018-01-07 18:00:00,26,12,0.0,8.7,5,5,59,11:09 PM,10:55 AM,06:42 AM,05:37 PM,5,20,20,20,10,4,38,0.0,1014,18,10,55,5
2018-01-08 00:00:00,26,12,0.0,8.7,5,1,52,No moonrise,11:35 AM,06:43 AM,05:38 PM,4,16,16,16,14,3,45,0.0,1015,14,10,25,8
2018-01-08 06:00:00,26,12,0.0,8.7,5,5,52,No moonrise,11:35 AM,06:43 AM,05:38 PM,4,18,18,18,10,0,39,0.0,1017,16,10,58,9
2018-01-08 12:00:00,26,12,0.0,8.7,5,7,52,No moonrise,11:35 AM,06:43 AM,05:38 PM,5,26,26,28,8,0,23,0.0,1014,26,10,47,7
2018-01-08 18:00:00,26,12,0.0,8.7,5,5,52,No moonrise,11:35 AM,06:43 AM,05:38 PM,4,20,20,20,13,0,35,0.0,1017,17,10,45,7
2018-01-09 00:00:00,25,12,0.0,8.7,5,1,45,12:02 AM,12:13 PM,06:43 AM,05:39 PM,5,17,17,17,8,0,47,0.0,1018,13,10,16,6
2018-01-09 06:00:00,25,12,0.0,8.7,5,5,45,12:02 AM,12:13 PM,06:43 AM,05:39 PM,5,18,18,18,9,0,44,0.0,1019,15,10,51,8
2018-01-09 12:00:00,25,12,0.0,8.7,5,7,45,12:02 AM,12:13 PM,06:43 AM,05:39 PM,4,26,26,28,9,0,22,0.0,1016,25,10,348,8
2018-01-09 18:00:00,25,12,0.0,8.7,5,5,45,12:02 AM,12:13 PM,06:43 AM,05:39 PM,4,21,21,21,2,0,33,0.0,1018,18,10,79,1
2018-01-10 00:00:00,26,12,0.0,8.7,5,1,38,12:55 AM,12:51 PM,06:43 AM,05:39 PM,5,17,17,17,7,0,44,0.0,1018,13,10,11,5
2018-01-10 06:00:00,26,12,0.0,8.7,5,5,38,12:55 AM,12:51 PM,06:43 AM,05:39 PM,5,19,19,19,7,0,40,0.0,1020,16,10,45,6
2018-01-10 12:00:00,26,12,0.0,8.7,5,7,38,12:55 AM,12:51 PM,06:43 AM,05:39 PM,6,28,28,30,4,0,22,0.0,1016,26,10,320,4
2018-01-10 18:00:00,26,12,0.0,8.7,5,5,38,12:55 AM,12:51 PM,06:43 AM,05:39 PM,6,22,24,22,3,0,34,0.0,1017,19,10,53,2
2018-01-11 00:00:00,27,13,0.0,8.7,5,1,30,01:46 AM,01:30 PM,06:43 AM,05:40 PM,6,18,18,18,7,0,45,0.0,1017,14,10,22,5
2018-01-11 06:00:00,27,13,0.0,8.7,5,5,30,01:46 AM,01:30 PM,06:43 AM,05:40 PM,4,20,20,20,5,0,33,0.0,1019,17,10,48,5
2018-01-11 12:00:00,27,13,0.0,8.7,5,7,30,01:46 AM,01:30 PM,06:43 AM,05:40 PM,4,28,28,30,5,0,20,0.0,1014,27,10,317,5
2018-01-11 18:00:00,27,13,0.0,8.7,5,5,30,01:46 AM,01:30 PM,06:43 AM,05:40 PM,6,23,24,23,7,0,32,0.0,1015,20,10,132,4
2018-01-12 00:00:00,28,14,0.0,8.7,5,1,23,02:37 AM,02:10 PM,06:43 AM,05:41 PM,6,20,20,20,5,0,39,0.0,1015,15,10,350,4
2018-01-12 06:00:00,28,14,0.0,8.7,5,5,23,02:37 AM,02:10 PM,06:43 AM,05:41 PM,7,22,24,22,4,0,38,0.0,1017,18,10,74,4
2018-01-12 12:00:00,28,14,0.0,8.7,5,7,23,02:37 AM,02:10 PM,06:43 AM,05:41 PM,5,28,28,31,7,0,20,0.0,1013,28,10,318,6
2018-01-12 18:00:00,28,14,0.0,8.7,5,6,23,02:37 AM,02:10 PM,06:43 AM,05:41 PM,5,24,24,24,5,2,31,0.0,1015,20,10,0,3
2018-01-13 00:00:00,28,14,0.0,8.7,6,1,16,03:28 AM,02:52 PM,06:43 AM,05:41 PM,4,18,18,18,8,3,39,0.0,1015,16,10,8,5
2018-01-13 06:00:00,28,14,0.0,8.7,6,5,16,03:28 AM,02:52 PM,06:43 AM,05:41 PM,3,20,20,20,7,3,34,0.0,1017,18,10,36,6
2018-01-13 12:00:00,28,14,0.0,8.7,6,7,16,03:28 AM,02:52 PM,06:43 AM,05:41 PM,2,27,27,29,8,8,17,0.0,1014,28,10,36,7
2018-01-13 18:00:00,28,14,0.0,8.7,6,6,16,03:28 AM,02:52 PM,06:43 AM,05:41 PM,2,22,23,22,3,5,26,0.0,1015,21,10,205,1
2018-01-14 00:00:00,29,16,0.0,8.7,6,1,9,04:17 AM,03:36 PM,06:43 AM,05:42 PM,3,19,19,19,11,7,33,0.0,1015,18,10,8,5
2018-01-14 06:00:00,29,16,0.0,8.7,6,5,9,04:17 AM,03:36 PM,06:43 AM,05:42 PM,5,20,20,20,7,14,36,0.0,1017,19,10,88,5
