date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,17,0.0,10.9,6,1,97,05:40 PM,06:17 AM,07:27 AM,06:14 PM,4,19,19,19,27,0,37,0.0,1012,18,10,27,13
2018-01-01 06:00:00,27,17,0.0,10.9,6,1,97,05:40 PM,06:17 AM,07:27 AM,06:14 PM,2,17,17,17,25,0,36,0.0,1013,17,10,24,14
2018-01-01 12:00:00,27,17,0.0,10.9,6,7,97,05:40 PM,06:17 AM,07:27 AM,06:14 PM,-2,25,25,27,18,0,15,0.0,1011,27,10,18,16
2018-01-01 18:00:00,27,17,0.0,10.9,6,6,97,05:40 PM,06:17 AM,07:27 AM,06:14 PM,-2,21,22,21,29,0,21,0.0,1011,21,10,13,15
2018-01-02 00:00:00,28,16,0.0,10.9,6,1,100,06:43 PM,07:22 AM,07:27 AM,06:15 PM,1,18,18,18,28,0,31,0.0,1011,18,10,23,13
2018-01-02 06:00:00,28,16,0.0,10.9,6,1,100,06:43 PM,07:22 AM,07:27 AM,06:15 PM,0,17,17,17,28,0,31,0.0,1013,17,10,69,14
2018-01-02 12:00:00,28,16,0.0,10.9,6,7,100,06:43 PM,07:22 AM,07:27 AM,06:15 PM,2,26,26,28,17,0,19,0.0,1011,28,10,84,14
2018-01-02 18:00:00,28,16,0.0,10.9,6,6,100,06:43 PM,07:22 AM,07:27 AM,06:15 PM,2,23,23,23,30,0,26,0.0,1012,23,10,52,15
2018-01-03 00:00:00,27,17,0.0,10.9,6,1,89,07:50 PM,08:23 AM,07:27 AM,06:15 PM,-1,19,19,19,30,0,26,0.0,1012,19,10,66,15
2018-01-03 06:00:00,27,17,0.0,10.9,6,1,89,07:50 PM,08:23 AM,07:27 AM,06:15 PM,-4,17,17,17,29,0,24,0.0,1014,17,10,71,15
2018-01-03 12:00:00,27,17,0.0,10.9,6,7,89,07:50 PM,08:23 AM,07:27 AM,06:15 PM,3,27,27,29,8,0,19,0.0,1012,27,10,62,7
2018-01-03 18:00:00,27,17,0.0,10.9,6,6,89,07:50 PM,08:23 AM,07:27 AM,06:15 PM,3,23,23,22,26,0,28,0.0,1013,22,10,27,13
2018-01-04 00:00:00,28,18,0.0,10.9,6,1,81,08:54 PM,09:20 AM,07:28 AM,06:16 PM,3,20,20,20,21,0,33,0.0,1013,19,10,38,11
2018-01-04 06:00:00,28,18,0.0,10.9,6,1,81,08:54 PM,09:20 AM,07:28 AM,06:16 PM,3,20,20,20,13,0,32,0.0,1015,19,10,45,8
2018-01-04 12:00:00,28,18,0.0,10.9,6,7,81,08:54 PM,09:20 AM,07:28 AM,06:16 PM,2,27,27,29,10,0,17,0.0,1013,28,10,316,8
2018-01-04 18:00:00,28,18,0.0,10.9,6,6,81,08:54 PM,09:20 AM,07:28 AM,06:16 PM,1,22,23,22,24,0,25,0.0,1013,22,10,329,13
2018-01-05 00:00:00,27,17,0.0,10.9,6,1,74,09:57 PM,10:11 AM,07:28 AM,06:17 PM,10,20,20,20,9,0,50,0.0,1013,18,10,1,6
2018-01-05 06:00:00,27,17,0.0,10.9,6,1,74,09:57 PM,10:11 AM,07:28 AM,06:17 PM,8,20,20,20,14,0,47,0.0,1015,19,10,10,9
2018-01-05 12:00:00,27,17,0.0,10.9,6,7,74,09:57 PM,10:11 AM,07:28 AM,06:17 PM,8,28,28,30,3,0,26,0.0,1012,27,10,3,3
2018-01-05 18:00:00,27,17,0.0,10.9,6,6,74,09:57 PM,10:11 AM,07:28 AM,06:17 PM,9,24,24,23,22,0,43,0.0,1012,23,10,341,13
2018-01-06 00:00:00,26,18,0.0,10.9,6,1,67,10:57 PM,10:58 AM,07:28 AM,06:17 PM,13,21,21,21,12,0,63,0.0,1012,19,10,344,8
2018-01-06 06:00:00,26,18,0.0,10.9,6,1,67,10:57 PM,10:58 AM,07:28 AM,06:17 PM,9,19,19,19,20,0,53,0.0,1014,19,10,21,12
2018-01-06 12:00:00,26,18,0.0,10.9,6,7,67,10:57 PM,10:58 AM,07:28 AM,06:17 PM,4,25,25,27,10,4,24,0.0,1012,26,10,7,9
2018-01-06 18:00:00,26,18,0.0,10.9,6,6,67,10:57 PM,10:58 AM,07:28 AM,06:17 PM,2,22,23,22,29,2,26,0.0,1013,22,10,29,16
2018-01-07 00:00:00,26,17,0.0,10.9,6,1,59,11:54 PM,11:40 AM,07:28 AM,06:18 PM,3,19,19,19,25,0,34,0.0,1013,19,10,19,13
2018-01-07 06:00:00,26,17,0.0,10.9,6,1,59,11:54 PM,11:40 AM,07:28 AM,06:18 PM,6,18,18,18,22,0,45,0.0,1015,18,10,34,12
2018-01-07 12:00:00,26,17,0.0,10.9,6,7,59,11:54 PM,11:40 AM,07:28 AM,06:18 PM,2,24,24,26,16,0,21,0.0,1014,26,10,28,14
2018-01-07 18:00:00,26,17,0.0,10.9,6,6,59,11:54 PM,11:40 AM,07:28 AM,06:18 PM,1,21,21,21,27,0,28,0.0,1014,21,10,28,15
2018-01-08 00:00:00,26,16,0.0,10.9,6,1,52,No moonrise,12:19 PM,07:28 AM,06:19 PM,2,17,17,17,25,0,35,0.0,1014,17,10,18,12
2018-01-08 06:00:00,26,16,0.0,10.9,6,1,52,No moonrise,12:19 PM,07:28 AM,06:19 PM,2,17,17,17,23,0,37,0.0,1016,17,10,32,12
2018-01-08 12:00:00,26,16,0.0,10.9,6,7,52,No moonrise,12:19 PM,07:28 AM,06:19 PM,-0,24,24,26,12,0,18,0.0,1014,26,10,42,10
2018-01-08 18:00:00,26,16,0.0,10.9,6,6,52,No moonrise,12:19 PM,07:28 AM,06:19 PM,3,21,23,21,27,0,31,0.0,1014,21,10,29,14
2018-01-09 00:00:00,29,18,0.0,10.9,6,1,45,12:48 AM,12:57 PM,07:29 AM,06:19 PM,6,19,19,19,27,0,43,0.0,1015,19,10,30,14
2018-01-09 06:00:00,29,18,0.0,10.9,6,1,45,12:48 AM,12:57 PM,07:29 AM,06:19 PM,6,18,18,18,21,2,44,0.0,1016,18,10,58,12
2018-01-09 12:00:00,29,18,0.0,10.9,6,7,45,12:48 AM,12:57 PM,07:29 AM,06:19 PM,7,28,28,29,8,6,25,0.0,1015,29,10,102,7
