date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,4,1,97,05:03 PM,06:23 AM,07:37 AM,05:36 PM,-6,15,15,15,9,0,22,0.0,1014,11,10,346,5
2018-01-01 06:00:00,21,11,0.0,8.7,4,4,97,05:03 PM,06:23 AM,07:37 AM,05:36 PM,-6,16,15,16,5,0,24,0.0,1014,11,10,357,4
2018-01-01 12:00:00,21,11,0.0,8.7,4,6,97,05:03 PM,06:23 AM,07:37 AM,05:36 PM,-5,24,23,24,6,0,14,0.0,1013,21,10,228,5
2018-01-01 18:00:00,21,11,0.0,8.7,4,4,97,05:03 PM,06:23 AM,07:37 AM,05:36 PM,-4,16,16,16,6,0,24,0.0,1013,13,10,28,3
2018-01-02 00:00:00,20,10,0.0,8.7,4,1,100,06:07 PM,07:30 AM,07:37 AM,05:37 PM,-3,15,15,15,7,0,29,0.0,1014,10,10,30,4
2018-01-02 06:00:00,20,10,0.0,8.7,4,4,100,06:07 PM,07:30 AM,07:37 AM,05:37 PM,-4,15,14,15,5,0,28,0.0,1015,10,10,43,3
2018-01-02 12:00:00,20,10,0.0,8.7,4,5,100,06:07 PM,07:30 AM,07:37 AM,05:37 PM,-4,21,21,21,5,19,18,0.0,1014,20,10,218,4
2018-01-02 18:00:00,20,10,0.0,8.7,4,4,100,06:07 PM,07:30 AM,07:37 AM,05:37 PM,-5,15,14,15,7,8,27,0.0,1014,13,10,11,3
2018-01-03 00:00:00,20,9,0.0,8.7,4,1,89,07:15 PM,08:30 AM,07:37 AM,05:38 PM,-2,15,14,15,7,0,32,0.0,1014,10,10,31,4
2018-01-03 06:00:00,20,9,0.0,8.7,4,4,89,07:15 PM,08:30 AM,07:37 AM,05:38 PM,-2,15,14,15,5,2,32,0.0,1015,10,10,13,3
2018-01-03 12:00:00,20,9,0.0,8.7,4,5,89,07:15 PM,08:30 AM,07:37 AM,05:38 PM,-3,22,22,22,6,3,19,0.0,1014,20,10,223,5
2018-01-03 18:00:00,20,9,0.0,8.7,4,4,89,07:15 PM,08:30 AM,07:37 AM,05:38 PM,-2,15,15,15,10,2,31,0.0,1013,13,10,31,5
2018-01-04 00:00:00,18,9,0.0,7.1,4,1,81,08:23 PM,09:24 AM,07:37 AM,05:39 PM,-2,14,14,14,8,2,34,0.0,1014,10,10,3,5
2018-01-04 06:00:00,18,9,0.0,7.1,4,3,81,08:23 PM,09:24 AM,07:37 AM,05:39 PM,-4,12,12,12,5,4,33,0.0,1014,10,10,29,3
2018-01-04 12:00:00,18,9,0.0,7.1,4,5,81,08:23 PM,09:24 AM,07:37 AM,05:39 PM,-4,19,19,19,7,54,21,0.0,1014,18,10,204,6
2018-01-04 18:00:00,18,9,0.0,7.1,4,4,81,08:23 PM,09:24 AM,07:37 AM,05:39 PM,-4,14,14,14,15,16,28,0.0,1015,13,10,70,7
2018-01-05 00:00:00,18,9,0.0,8.7,4,1,74,09:31 PM,10:11 AM,07:38 AM,05:39 PM,-4,10,11,10,13,8,35,0.0,1016,10,10,19,6
2018-01-05 06:00:00,18,9,0.0,8.7,4,3,74,09:31 PM,10:11 AM,07:38 AM,05:39 PM,-3,10,11,10,13,9,38,0.0,1017,10,10,5,6
2018-01-05 12:00:00,18,9,0.0,8.7,4,5,74,09:31 PM,10:11 AM,07:38 AM,05:39 PM,-1,20,20,20,7,5,25,0.0,1015,18,10,304,6
2018-01-05 18:00:00,18,9,0.0,8.7,4,4,74,09:31 PM,10:11 AM,07:38 AM,05:39 PM,-1,12,13,12,21,3,37,0.0,1015,12,10,338,10
2018-01-06 00:00:00,19,8,0.0,8.7,4,1,67,10:35 PM,10:52 AM,07:38 AM,05:40 PM,-3,11,12,11,15,0,34,0.0,1015,10,10,333,8
2018-01-06 06:00:00,19,8,0.0,8.7,4,3,67,10:35 PM,10:52 AM,07:38 AM,05:40 PM,-5,10,11,10,12,0,33,0.0,1015,9,10,330,8
2018-01-06 12:00:00,19,8,0.0,8.7,4,5,67,10:35 PM,10:52 AM,07:38 AM,05:40 PM,-4,20,20,20,13,0,20,0.0,1013,19,10,284,12
2018-01-06 18:00:00,19,8,0.0,8.7,4,4,67,10:35 PM,10:52 AM,07:38 AM,05:40 PM,-3,12,13,12,18,0,34,0.0,1014,11,10,320,9
2018-01-07 00:00:00,20,8,0.0,8.7,4,1,59,11:37 PM,11:30 AM,07:38 AM,05:41 PM,-4,11,12,11,13,0,33,0.0,1015,9,10,328,7
2018-01-07 06:00:00,20,8,0.0,8.7,4,3,59,11:37 PM,11:30 AM,07:38 AM,05:41 PM,-6,11,11,11,11,0,30,0.0,1015,9,10,327,7
2018-01-07 12:00:00,20,8,0.0,8.7,4,6,59,11:37 PM,11:30 AM,07:38 AM,05:41 PM,-6,21,21,21,14,0,16,0.0,1014,20,10,282,12
2018-01-07 18:00:00,20,8,0.0,8.7,4,4,59,11:37 PM,11:30 AM,07:38 AM,05:41 PM,-3,14,14,14,14,0,31,0.0,1014,12,10,326,7
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,No moonrise,12:05 PM,07:38 AM,05:42 PM,-4,13,13,13,10,0,31,0.0,1014,10,10,327,6
2018-01-08 06:00:00,21,9,0.0,8.7,4,3,52,No moonrise,12:05 PM,07:38 AM,05:42 PM,-6,13,13,13,8,0,27,0.0,1016,9,10,336,5
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,No moonrise,12:05 PM,07:38 AM,05:42 PM,-7,22,22,22,12,0,14,0.0,1016,21,10,286,11
2018-01-08 18:00:00,21,9,0.0,8.7,4,4,52,No moonrise,12:05 PM,07:38 AM,05:42 PM,-5,14,14,14,14,0,27,0.0,1016,12,10,323,7
2018-01-09 00:00:00,22,9,0.0,8.7,4,1,45,12:35 AM,12:38 PM,07:38 AM,05:43 PM,-6,13,13,13,11,0,25,0.0,1017,10,10,334,6
2018-01-09 06:00:00,22,9,0.0,8.7,4,3,45,12:35 AM,12:38 PM,07:38 AM,05:43 PM,-9,13,13,13,10,0,21,0.0,1018,10,10,329,6
2018-01-09 12:00:00,22,9,0.0,8.7,4,6,45,12:35 AM,12:38 PM,07:38 AM,05:43 PM,-8,23,22,23,12,0,12,0.0,1018,22,10,282,11
2018-01-09 18:00:00,22,9,0.0,8.7,4,4,45,12:35 AM,12:38 PM,07:38 AM,05:43 PM,-4,14,15,14,17,0,28,0.0,1017,13,10,321,8
2018-01-10 00:00:00,23,10,0.0,8.7,4,1,38,01:33 AM,01:12 PM,07:38 AM,05:44 PM,-7,13,13,13,15,0,25,0.0,1018,11,10,322,8
2018-01-10 06:00:00,23,10,0.0,8.7,4,4,38,01:33 AM,01:12 PM,07:38 AM,05:44 PM,-10,12,13,12,19,0,20,0.0,1018,11,10,324,9
2018-01-10 12:00:00,23,10,0.0,8.7,4,6,38,01:33 AM,01:12 PM,07:38 AM,05:44 PM,-6,23,23,23,20,1,13,0.0,1017,23,10,292,18
2018-01-10 18:00:00,23,10,0.0,8.7,4,4,38,01:33 AM,01:12 PM,07:38 AM,05:44 PM,-4,13,14,13,20,10,28,0.0,1016,13,10,317,10
2018-01-11 00:00:00,23,11,0.0,7.1,4,1,30,02:28 AM,01:46 PM,07:38 AM,05:44 PM,-7,11,12,11,20,75,26,0.0,1015,11,10,312,9
