date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,7,1,0.0,8.7,2,1,97,04:57 PM,06:59 AM,08:04 AM,05:19 PM,-5,-0,2,-0,14,4,60,0.0,1022,2,10,213,6
2018-01-01 06:00:00,7,1,0.0,8.7,2,2,97,04:57 PM,06:59 AM,08:04 AM,05:19 PM,-4,-1,1,-1,14,4,66,0.0,1020,1,10,210,6
2018-01-01 12:00:00,7,1,0.0,8.7,2,3,97,04:57 PM,06:59 AM,08:04 AM,05:19 PM,2,4,7,4,17,8,69,0.0,1017,7,10,242,13
2018-01-01 18:00:00,7,1,0.0,8.7,2,2,97,04:57 PM,06:59 AM,08:04 AM,05:19 PM,1,1,3,1,17,45,89,0.0,1014,3,10,195,8
2018-01-02 00:00:00,3,1,0.0,5.2,1,1,100,06:02 PM,08:04 AM,08:04 AM,05:20 PM,3,-0,3,-0,26,100,97,0.0,1010,3,10,202,15
2018-01-02 06:00:00,3,1,0.0,5.2,1,1,100,06:02 PM,08:04 AM,08:04 AM,05:20 PM,1,-1,2,-1,18,70,95,0.0,1010,2,2,226,12
2018-01-02 12:00:00,3,1,0.0,5.2,1,1,100,06:02 PM,08:04 AM,08:04 AM,05:20 PM,2,1,3,1,13,68,92,0.0,1009,3,10,238,10
2018-01-02 18:00:00,3,1,0.0,5.2,1,1,100,06:02 PM,08:04 AM,08:04 AM,05:20 PM,1,1,2,1,7,100,90,0.0,1009,2,10,13,4
2018-01-03 00:00:00,4,-1,0.0,8.7,2,1,89,07:13 PM,09:02 AM,08:05 AM,05:21 PM,-1,-3,1,-3,18,60,87,0.0,1012,0,10,44,11
2018-01-03 06:00:00,4,-1,0.0,8.7,2,2,89,07:13 PM,09:02 AM,08:05 AM,05:21 PM,-4,-5,-1,-5,18,10,86,0.0,1015,-1,10,53,10
2018-01-03 12:00:00,4,-1,0.0,8.7,2,2,89,07:13 PM,09:02 AM,08:05 AM,05:21 PM,-2,2,4,2,8,15,64,0.0,1013,4,10,237,7
