date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,20,0.0,8.7,6,1,97,05:20 PM,05:26 AM,06:34 AM,05:58 PM,18,21,24,21,12,13,81,0.0,1010,20,10,305,7
2018-01-01 06:00:00,31,20,0.0,8.7,6,6,97,05:20 PM,05:26 AM,06:34 AM,05:58 PM,18,26,26,25,10,5,64,0.0,1011,24,10,316,9
2018-01-01 12:00:00,31,20,0.0,8.7,6,8,97,05:20 PM,05:26 AM,06:34 AM,05:58 PM,16,32,32,31,12,29,39,0.0,1008,31,10,29,11
2018-01-01 18:00:00,31,20,0.0,8.7,6,6,97,05:20 PM,05:26 AM,06:34 AM,05:58 PM,18,25,25,24,25,11,70,0.0,1010,23,10,62,14
2018-01-02 00:00:00,30,20,0.0,8.7,6,1,100,06:23 PM,06:30 AM,06:35 AM,05:58 PM,18,22,24,22,8,15,77,0.0,1010,21,10,306,5
2018-01-02 06:00:00,30,20,0.0,8.7,6,6,100,06:23 PM,06:30 AM,06:35 AM,05:58 PM,17,26,26,25,7,21,62,0.0,1011,24,10,318,6
2018-01-02 12:00:00,30,20,0.0,8.7,6,7,100,06:23 PM,06:30 AM,06:35 AM,05:58 PM,16,31,31,30,8,44,42,0.0,1009,30,10,35,7
2018-01-02 18:00:00,30,20,0.0,8.7,6,6,100,06:23 PM,06:30 AM,06:35 AM,05:58 PM,19,25,25,24,27,14,75,0.0,1011,24,10,63,16
2018-01-03 00:00:00,30,20,0.0,8.7,6,1,89,07:28 PM,07:33 AM,06:35 AM,05:59 PM,21,22,24,22,6,32,93,0.1,1011,21,10,349,4
2018-01-03 06:00:00,30,20,0.0,8.7,6,6,89,07:28 PM,07:33 AM,06:35 AM,05:59 PM,20,26,26,24,9,12,77,0.0,1013,23,10,356,8
2018-01-03 12:00:00,30,20,0.0,8.7,6,8,89,07:28 PM,07:33 AM,06:35 AM,05:59 PM,15,30,30,31,16,24,38,0.0,1010,30,10,42,14
2018-01-03 18:00:00,30,20,0.0,8.7,6,6,89,07:28 PM,07:33 AM,06:35 AM,05:59 PM,17,25,25,23,25,18,69,0.0,1012,23,10,69,14
