date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,25,15,0.0,8.7,5,1,97,05:20 PM,06:01 AM,07:11 AM,05:55 PM,4,16,16,16,29,5,47,0.0,1012,16,10,58,14
2018-01-01 06:00:00,25,15,0.0,8.7,5,1,97,05:20 PM,06:01 AM,07:11 AM,05:55 PM,6,16,16,16,21,3,50,0.0,1013,16,10,87,12
2018-01-01 12:00:00,25,15,0.0,8.7,5,7,97,05:20 PM,06:01 AM,07:11 AM,05:55 PM,6,26,26,27,6,4,27,0.0,1011,25,10,274,5
2018-01-01 18:00:00,25,15,0.0,8.7,5,5,97,05:20 PM,06:01 AM,07:11 AM,05:55 PM,3,19,19,19,24,3,36,0.0,1012,19,10,27,12
2018-01-02 00:00:00,24,14,0.0,8.7,5,1,100,06:24 PM,07:06 AM,07:12 AM,05:56 PM,4,14,15,14,29,3,48,0.0,1012,15,10,59,14
2018-01-02 06:00:00,24,14,0.0,8.7,5,1,100,06:24 PM,07:06 AM,07:12 AM,05:56 PM,5,16,16,16,32,0,48,0.0,1015,16,10,70,19
2018-01-02 12:00:00,24,14,0.0,8.7,5,6,100,06:24 PM,07:06 AM,07:12 AM,05:56 PM,1,24,24,25,11,0,21,0.0,1012,24,10,50,10
2018-01-02 18:00:00,24,14,0.0,8.7,5,5,100,06:24 PM,07:06 AM,07:12 AM,05:56 PM,-3,17,17,17,29,0,25,0.0,1014,17,10,43,14
2018-01-03 00:00:00,24,12,0.0,8.7,5,1,89,07:30 PM,08:07 AM,07:12 AM,05:57 PM,-2,12,13,12,30,0,34,0.0,1014,13,10,72,14
2018-01-03 06:00:00,24,12,0.0,8.7,5,1,89,07:30 PM,08:07 AM,07:12 AM,05:57 PM,-2,12,13,12,33,0,35,0.0,1016,13,10,85,18
2018-01-03 12:00:00,24,12,0.0,8.7,5,6,89,07:30 PM,08:07 AM,07:12 AM,05:57 PM,4,26,26,28,5,0,21,0.0,1013,24,10,186,4
2018-01-03 18:00:00,24,12,0.0,8.7,5,5,89,07:30 PM,08:07 AM,07:12 AM,05:57 PM,2,20,20,20,8,0,29,0.0,1014,18,10,73,4
2018-01-04 00:00:00,26,13,0.0,8.7,5,1,81,08:35 PM,09:04 AM,07:12 AM,05:57 PM,-4,14,15,14,23,0,27,0.0,1014,14,10,90,11
2018-01-04 06:00:00,26,13,0.0,8.7,5,1,81,08:35 PM,09:04 AM,07:12 AM,05:57 PM,0,16,16,16,16,0,33,0.0,1016,15,10,115,9
2018-01-04 12:00:00,26,13,0.0,8.7,5,7,81,08:35 PM,09:04 AM,07:12 AM,05:57 PM,3,25,25,26,13,2,23,0.0,1013,26,10,253,11
2018-01-04 18:00:00,26,13,0.0,8.7,5,5,81,08:35 PM,09:04 AM,07:12 AM,05:57 PM,3,20,20,20,18,0,33,0.0,1013,18,10,336,9
2018-01-05 00:00:00,25,14,0.0,8.7,5,1,74,09:39 PM,09:55 AM,07:13 AM,05:58 PM,3,19,19,19,6,0,35,0.0,1013,15,10,42,4
2018-01-05 06:00:00,25,14,0.0,8.7,5,1,74,09:39 PM,09:55 AM,07:13 AM,05:58 PM,3,19,19,19,6,0,35,0.0,1015,16,10,56,5
2018-01-05 12:00:00,25,14,0.0,8.7,5,6,74,09:39 PM,09:55 AM,07:13 AM,05:58 PM,-2,25,25,26,10,0,16,0.0,1012,25,10,282,9
2018-01-05 18:00:00,25,14,0.0,8.7,5,5,74,09:39 PM,09:55 AM,07:13 AM,05:58 PM,-2,19,19,19,15,0,24,0.0,1013,18,10,319,8
2018-01-06 00:00:00,24,13,0.0,8.7,5,1,67,10:38 PM,10:41 AM,07:13 AM,05:59 PM,0,16,16,16,16,0,34,0.0,1013,14,10,62,8
2018-01-06 06:00:00,24,13,0.0,8.7,5,1,67,10:38 PM,10:41 AM,07:13 AM,05:59 PM,3,17,17,17,11,0,40,0.0,1014,15,10,66,8
2018-01-06 12:00:00,24,13,0.0,8.7,5,6,67,10:38 PM,10:41 AM,07:13 AM,05:59 PM,-1,24,24,26,10,0,18,0.0,1012,24,10,277,9
2018-01-06 18:00:00,24,13,0.0,8.7,5,5,67,10:38 PM,10:41 AM,07:13 AM,05:59 PM,0,19,19,19,11,0,27,0.0,1013,17,10,321,6
2018-01-07 00:00:00,24,13,0.0,8.7,5,1,59,11:36 PM,11:23 AM,07:13 AM,05:59 PM,2,14,15,14,22,0,41,0.0,1014,14,10,57,10
2018-01-07 06:00:00,24,13,0.0,8.7,5,1,59,11:36 PM,11:23 AM,07:13 AM,05:59 PM,3,13,14,13,24,0,45,0.0,1016,14,10,60,13
2018-01-07 12:00:00,24,13,0.0,8.7,5,6,59,11:36 PM,11:23 AM,07:13 AM,05:59 PM,1,24,24,25,11,0,21,0.0,1013,24,10,42,10
2018-01-07 18:00:00,24,13,0.0,8.7,5,5,59,11:36 PM,11:23 AM,07:13 AM,05:59 PM,0,17,17,17,24,0,32,0.0,1014,17,10,52,12
2018-01-08 00:00:00,24,12,0.0,10.9,5,1,52,No moonrise,12:02 PM,07:13 AM,06:00 PM,0,12,13,12,29,0,40,0.0,1015,13,10,66,14
2018-01-08 06:00:00,24,12,0.0,10.9,5,1,52,No moonrise,12:02 PM,07:13 AM,06:00 PM,3,13,14,13,32,0,46,0.0,1017,14,10,78,18
2018-01-08 12:00:00,24,12,0.0,10.9,5,6,52,No moonrise,12:02 PM,07:13 AM,06:00 PM,5,25,25,26,5,3,26,0.0,1015,24,10,140,4
2018-01-08 18:00:00,24,12,0.0,10.9,5,5,52,No moonrise,12:02 PM,07:13 AM,06:00 PM,3,18,18,18,23,4,35,0.0,1016,18,10,58,11
2018-01-09 00:00:00,25,13,0.0,10.9,5,1,45,12:30 AM,12:39 PM,07:13 AM,06:01 PM,0,13,14,13,29,0,38,0.0,1017,14,10,80,14
2018-01-09 06:00:00,25,13,0.0,10.9,5,1,45,12:30 AM,12:39 PM,07:13 AM,06:01 PM,1,14,15,14,31,0,40,0.0,1019,15,10,77,17
2018-01-09 12:00:00,25,13,0.0,10.9,5,7,45,12:30 AM,12:39 PM,07:13 AM,06:01 PM,5,25,25,26,11,4,26,0.0,1017,25,10,75,10
2018-01-09 18:00:00,25,13,0.0,10.9,5,5,45,12:30 AM,12:39 PM,07:13 AM,06:01 PM,2,18,18,18,26,2,35,0.0,1018,18,10,61,13
2018-01-10 00:00:00,25,13,0.0,10.9,5,1,38,01:23 AM,01:17 PM,07:13 AM,06:01 PM,-0,15,15,15,23,0,34,0.0,1019,14,10,83,11
2018-01-10 06:00:00,25,13,0.0,10.9,5,1,38,01:23 AM,01:17 PM,07:13 AM,06:01 PM,2,14,15,14,29,0,40,0.0,1020,15,10,75,15
2018-01-10 12:00:00,25,13,0.0,10.9,5,7,38,01:23 AM,01:17 PM,07:13 AM,06:01 PM,2,25,25,26,12,0,21,0.0,1017,25,10,48,10
2018-01-10 18:00:00,25,13,0.0,10.9,5,5,38,01:23 AM,01:17 PM,07:13 AM,06:01 PM,1,19,19,19,23,0,31,0.0,1018,18,10,57,11
2018-01-11 00:00:00,26,14,0.0,10.9,5,1,30,02:15 AM,01:55 PM,07:13 AM,06:02 PM,0,17,17,17,22,0,33,0.0,1018,16,10,77,10
2018-01-11 06:00:00,26,14,0.0,10.9,5,1,30,02:15 AM,01:55 PM,07:13 AM,06:02 PM,0,17,17,17,18,3,33,0.0,1019,16,10,80,10
2018-01-11 12:00:00,26,14,0.0,10.9,5,7,30,02:15 AM,01:55 PM,07:13 AM,06:02 PM,4,25,25,27,9,3,22,0.0,1016,26,10,18,8
2018-01-11 18:00:00,26,14,0.0,10.9,5,5,30,02:15 AM,01:55 PM,07:13 AM,06:02 PM,2,21,21,21,20,2,28,0.0,1016,20,10,58,10
2018-01-12 00:00:00,27,16,0.0,10.9,6,1,23,03:07 AM,02:34 PM,07:14 AM,06:03 PM,-0,18,18,18,17,3,28,0.0,1016,17,10,78,8
2018-01-12 06:00:00,27,16,0.0,10.9,6,1,23,03:07 AM,02:34 PM,07:14 AM,06:03 PM,2,18,18,18,18,7,33,0.0,1017,18,10,65,10
2018-01-12 12:00:00,27,16,0.0,10.9,6,7,23,03:07 AM,02:34 PM,07:14 AM,06:03 PM,3,26,26,28,8,19,20,0.0,1014,27,10,44,7
2018-01-12 18:00:00,27,16,0.0,10.9,6,6,23,03:07 AM,02:34 PM,07:14 AM,06:03 PM,-1,21,21,21,25,11,24,0.0,1016,20,10,62,12
2018-01-13 00:00:00,26,18,0.0,10.9,6,1,16,03:58 AM,03:16 PM,07:14 AM,06:03 PM,-2,18,18,18,25,22,26,0.0,1016,18,10,84,12
2018-01-13 06:00:00,26,18,0.0,10.9,6,1,16,03:58 AM,03:16 PM,07:14 AM,06:03 PM,2,19,19,19,23,46,31,0.0,1017,19,10,89,13
2018-01-13 12:00:00,26,18,0.0,10.9,6,7,16,03:58 AM,03:16 PM,07:14 AM,06:03 PM,6,26,26,27,10,56,26,0.0,1015,26,10,77,9
2018-01-13 18:00:00,26,18,0.0,10.9,6,6,16,03:58 AM,03:16 PM,07:14 AM,06:03 PM,7,22,24,22,15,44,38,0.0,1015,22,10,61,8
2018-01-14 00:00:00,29,19,0.0,10.9,6,1,9,04:48 AM,04:00 PM,07:14 AM,06:04 PM,7,21,21,21,20,24,41,0.0,1015,20,10,100,10
2018-01-14 06:00:00,29,19,0.0,10.9,6,1,9,04:48 AM,04:00 PM,07:14 AM,06:04 PM,6,20,20,20,18,18,40,0.0,1016,20,10,106,10
2018-01-14 12:00:00,29,19,0.0,10.9,6,7,9,04:48 AM,04:00 PM,07:14 AM,06:04 PM,12,29,29,29,10,13,34,0.0,1014,29,10,270,9
2018-01-14 18:00:00,29,19,0.0,10.9,6,6,9,04:48 AM,04:00 PM,07:14 AM,06:04 PM,11,25,25,23,18,9,45,0.0,1015,23,10,339,9
2018-01-15 00:00:00,29,18,0.0,10.9,6,1,1,05:38 AM,04:46 PM,07:14 AM,06:05 PM,8,20,20,20,25,12,46,0.0,1016,19,10,75,12
2018-01-15 06:00:00,29,18,0.0,10.9,6,1,1,05:38 AM,04:46 PM,07:14 AM,06:05 PM,9,20,20,20,26,5,50,0.0,1018,20,10,82,14
2018-01-15 12:00:00,29,18,0.0,10.9,6,7,1,05:38 AM,04:46 PM,07:14 AM,06:05 PM,8,29,29,30,5,3,24,0.0,1014,29,10,308,5
2018-01-15 18:00:00,29,18,0.0,10.9,6,6,1,05:38 AM,04:46 PM,07:14 AM,06:05 PM,5,22,24,22,18,2,33,0.0,1014,22,10,37,9
2018-01-16 00:00:00,28,16,0.0,10.9,6,1,0,06:26 AM,05:35 PM,07:14 AM,06:05 PM,4,18,18,18,24,0,39,0.0,1014,17,10,87,12
2018-01-16 06:00:00,28,16,0.0,10.9,6,1,0,06:26 AM,05:35 PM,07:14 AM,06:05 PM,6,19,19,19,17,0,44,0.0,1016,18,10,123,10
2018-01-16 12:00:00,28,16,0.0,10.9,6,7,0,06:26 AM,05:35 PM,07:14 AM,06:05 PM,4,26,26,28,14,0,20,0.0,1013,28,10,263,12
2018-01-16 18:00:00,28,16,0.0,10.9,6,6,0,06:26 AM,05:35 PM,07:14 AM,06:05 PM,3,22,23,22,13,2,29,0.0,1013,21,10,336,6
2018-01-17 00:00:00,28,18,0.0,10.9,6,1,0,07:13 AM,06:25 PM,07:14 AM,06:06 PM,2,21,21,21,8,4,30,0.0,1012,19,10,166,4
2018-01-17 06:00:00,28,18,0.0,10.9,6,1,0,07:13 AM,06:25 PM,07:14 AM,06:06 PM,7,22,24,22,3,8,38,0.0,1015,21,10,79,2
2018-01-17 12:00:00,28,18,0.0,10.9,6,7,0,07:13 AM,06:25 PM,07:14 AM,06:06 PM,7,27,27,28,18,4,26,0.0,1012,28,10,273,15
2018-01-17 18:00:00,28,18,0.0,10.9,6,6,0,07:13 AM,06:25 PM,07:14 AM,06:06 PM,8,23,24,23,10,4,38,0.0,1014,21,10,9,5
2018-01-18 00:00:00,28,17,0.0,10.9,6,1,6,07:57 AM,07:16 PM,07:14 AM,06:07 PM,9,20,20,20,8,2,47,0.0,1014,18,10,76,4
2018-01-18 06:00:00,28,17,0.0,10.9,6,1,6,07:57 AM,07:16 PM,07:14 AM,06:07 PM,8,20,20,20,13,2,45,0.0,1016,19,10,144,9
2018-01-18 12:00:00,28,17,0.0,10.9,6,7,6,07:57 AM,07:16 PM,07:14 AM,06:07 PM,5,27,27,28,12,2,23,0.0,1013,28,10,253,10
2018-01-18 18:00:00,28,17,0.0,10.9,6,6,6,07:57 AM,07:16 PM,07:14 AM,06:07 PM,4,22,23,22,16,2,32,0.0,1014,21,10,328,8
2018-01-19 00:00:00,27,17,0.0,11.0,6,1,13,08:38 AM,08:08 PM,07:13 AM,06:08 PM,7,22,24,22,6,0,37,0.0,1015,18,10,63,4
2018-01-19 06:00:00,27,17,0.0,11.0,6,1,13,08:38 AM,08:08 PM,07:13 AM,06:08 PM,6,21,21,21,7,2,38,0.0,1016,19,10,76,5
2018-01-19 12:00:00,27,17,0.0,11.0,6,7,13,08:38 AM,08:08 PM,07:13 AM,06:08 PM,6,27,27,29,7,3,24,0.0,1014,27,10,230,6
2018-01-19 18:00:00,27,17,0.0,11.0,6,6,13,08:38 AM,08:08 PM,07:13 AM,06:08 PM,5,22,23,22,17,4,33,0.0,1015,21,10,6,8
2018-01-20 00:00:00,27,16,0.0,11.0,6,1,20,09:18 AM,09:00 PM,07:13 AM,06:08 PM,4,19,19,19,14,3,38,0.0,1015,18,10,60,7
2018-01-20 06:00:00,27,16,0.0,11.0,6,1,20,09:18 AM,09:00 PM,07:13 AM,06:08 PM,7,18,18,18,23,0,48,0.0,1016,18,10,72,12
2018-01-20 12:00:00,27,16,0.0,11.0,6,7,20,09:18 AM,09:00 PM,07:13 AM,06:08 PM,6,27,27,29,7,3,24,0.0,1013,27,10,226,6
2018-01-20 18:00:00,27,16,0.0,11.0,6,6,20,09:18 AM,09:00 PM,07:13 AM,06:08 PM,5,22,23,22,11,3,33,0.0,1014,21,10,357,5
2018-01-21 00:00:00,28,16,0.0,11.0,6,1,28,09:56 AM,09:53 PM,07:13 AM,06:09 PM,4,18,18,18,20,2,38,0.0,1014,17,10,87,10
2018-01-21 06:00:00,28,16,0.0,11.0,6,1,28,09:56 AM,09:53 PM,07:13 AM,06:09 PM,5,18,18,18,22,2,42,0.0,1015,18,10,105,12
2018-01-21 12:00:00,28,16,0.0,11.0,6,7,28,09:56 AM,09:53 PM,07:13 AM,06:09 PM,7,28,28,30,6,4,25,0.0,1012,28,10,199,5
2018-01-21 18:00:00,28,16,0.0,11.0,6,6,28,09:56 AM,09:53 PM,07:13 AM,06:09 PM,7,23,24,23,6,4,35,0.0,1012,21,10,36,3
2018-01-22 00:00:00,28,16,0.0,11.0,6,1,35,10:34 AM,10:46 PM,07:13 AM,06:10 PM,6,18,18,18,22,2,44,0.0,1012,17,10,114,10
2018-01-22 06:00:00,28,16,0.0,11.0,6,1,35,10:34 AM,10:46 PM,07:13 AM,06:10 PM,5,19,19,19,22,2,40,0.0,1013,18,10,133,12
2018-01-22 12:00:00,28,16,0.0,11.0,6,7,35,10:34 AM,10:46 PM,07:13 AM,06:10 PM,7,27,27,29,13,4,25,0.0,1010,28,10,199,11
2018-01-22 18:00:00,28,16,0.0,11.0,6,6,35,10:34 AM,10:46 PM,07:13 AM,06:10 PM,6,23,24,23,14,3,33,0.0,1010,22,10,183,7
2018-01-23 00:00:00,25,16,0.0,11.0,5,1,42,11:12 AM,11:41 PM,07:13 AM,06:10 PM,5,19,19,19,22,14,40,0.0,1010,18,10,205,10
2018-01-23 06:00:00,25,16,0.0,11.0,5,1,42,11:12 AM,11:41 PM,07:13 AM,06:10 PM,7,18,18,18,19,7,47,0.0,1012,18,10,254,12
2018-01-23 12:00:00,25,16,0.0,11.0,5,6,42,11:12 AM,11:41 PM,07:13 AM,06:10 PM,6,25,25,25,31,5,31,0.0,1010,25,10,262,27
2018-01-23 18:00:00,25,16,0.0,11.0,5,5,42,11:12 AM,11:41 PM,07:13 AM,06:10 PM,3,19,19,19,24,0,35,0.0,1012,18,10,258,12
2018-01-24 00:00:00,24,13,0.0,11.0,5,1,49,11:50 AM,No moonset,07:13 AM,06:11 PM,3,17,17,17,15,0,38,0.0,1013,15,10,348,8
2018-01-24 06:00:00,24,13,0.0,11.0,5,1,49,11:50 AM,No moonset,07:13 AM,06:11 PM,-2,14,15,14,25,0,31,0.0,1015,15,10,30,13
2018-01-24 12:00:00,24,13,0.0,11.0,5,6,49,11:50 AM,No moonset,07:13 AM,06:11 PM,-4,24,24,25,11,0,14,0.0,1013,24,10,347,9
2018-01-24 18:00:00,24,13,0.0,11.0,5,5,49,11:50 AM,No moonset,07:13 AM,06:11 PM,-4,17,17,17,21,0,22,0.0,1014,16,10,32,10
2018-01-25 00:00:00,24,11,0.0,11.0,5,1,57,12:31 PM,12:36 AM,07:12 AM,06:12 PM,-5,13,14,13,21,0,26,0.0,1013,13,10,59,10
2018-01-25 06:00:00,24,11,0.0,11.0,5,1,57,12:31 PM,12:36 AM,07:12 AM,06:12 PM,-2,15,15,15,14,0,31,0.0,1015,13,10,74,9
2018-01-25 12:00:00,24,11,0.0,11.0,5,6,57,12:31 PM,12:36 AM,07:12 AM,06:12 PM,-3,25,25,27,6,0,14,0.0,1012,24,10,342,5
2018-01-25 18:00:00,24,11,0.0,11.0,5,5,57,12:31 PM,12:36 AM,07:12 AM,06:12 PM,-4,19,19,19,12,0,20,0.0,1013,17,10,14,6
2018-01-26 00:00:00,25,12,0.0,11.0,5,1,64,01:16 PM,01:35 AM,07:12 AM,06:13 PM,-4,14,15,14,22,0,28,0.0,1013,14,10,89,10
2018-01-26 06:00:00,25,12,0.0,11.0,5,1,64,01:16 PM,01:35 AM,07:12 AM,06:13 PM,-3,15,15,15,20,0,28,0.0,1015,14,10,96,11
