date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,22,0.0,11.1,6,1,97,05:39 PM,05:58 AM,07:06 AM,06:14 PM,11,22,24,22,18,1,50,0.0,1011,22,10,60,9
2018-01-01 06:00:00,30,22,0.0,11.1,6,1,97,05:39 PM,05:58 AM,07:06 AM,06:14 PM,9,24,24,23,14,2,41,0.0,1012,23,10,82,8
2018-01-01 12:00:00,30,22,0.0,11.1,6,7,97,05:39 PM,05:58 AM,07:06 AM,06:14 PM,13,29,29,29,16,0,39,0.0,1009,29,10,297,14
2018-01-01 18:00:00,30,22,0.0,11.1,6,6,97,05:39 PM,05:58 AM,07:06 AM,06:14 PM,16,25,25,23,25,1,64,0.0,1011,23,10,359,13
2018-01-02 00:00:00,30,21,0.0,11.1,6,1,100,06:42 PM,07:02 AM,07:07 AM,06:15 PM,13,22,25,22,22,3,59,0.0,1010,22,10,27,11
2018-01-02 06:00:00,30,21,0.0,11.1,6,1,100,06:42 PM,07:02 AM,07:07 AM,06:15 PM,12,25,25,23,15,3,52,0.0,1011,23,10,51,9
2018-01-02 12:00:00,30,21,0.0,11.1,6,7,100,06:42 PM,07:02 AM,07:07 AM,06:15 PM,15,29,29,29,15,0,41,0.0,1009,29,10,289,13
2018-01-02 18:00:00,30,21,0.0,11.1,6,6,100,06:42 PM,07:02 AM,07:07 AM,06:15 PM,16,25,25,23,21,0,64,0.0,1011,23,10,355,12
2018-01-03 00:00:00,29,21,0.0,11.1,6,1,89,07:47 PM,08:04 AM,07:07 AM,06:15 PM,15,22,25,22,17,3,65,0.0,1011,22,10,34,9
2018-01-03 06:00:00,29,21,0.0,11.1,6,1,89,07:47 PM,08:04 AM,07:07 AM,06:15 PM,12,25,25,23,14,3,51,0.0,1013,23,10,63,8
2018-01-03 12:00:00,29,21,0.0,11.1,6,7,89,07:47 PM,08:04 AM,07:07 AM,06:15 PM,17,30,30,29,17,4,48,0.0,1011,29,10,296,15
2018-01-03 18:00:00,29,21,0.0,11.1,6,6,89,07:47 PM,08:04 AM,07:07 AM,06:15 PM,19,25,25,23,21,6,76,0.0,1012,23,10,352,12
2018-01-04 00:00:00,30,22,0.0,11.1,6,1,81,08:51 PM,09:02 AM,07:07 AM,06:16 PM,16,22,25,22,16,7,70,0.0,1012,22,10,16,9
2018-01-04 06:00:00,30,22,0.0,11.1,6,1,81,08:51 PM,09:02 AM,07:07 AM,06:16 PM,16,25,25,23,19,7,62,0.0,1014,23,10,20,12
2018-01-04 12:00:00,30,22,0.0,11.1,6,7,81,08:51 PM,09:02 AM,07:07 AM,06:16 PM,18,30,30,29,19,5,50,0.0,1012,29,10,306,16
2018-01-04 18:00:00,30,22,0.0,11.1,6,6,81,08:51 PM,09:02 AM,07:07 AM,06:16 PM,19,26,26,24,21,7,75,0.0,1012,24,10,346,12
2018-01-05 00:00:00,29,22,0.0,11.1,6,1,74,09:52 PM,09:55 AM,07:08 AM,06:17 PM,16,25,25,22,22,6,69,0.0,1012,22,10,16,12
2018-01-05 06:00:00,29,22,0.0,11.1,6,1,74,09:52 PM,09:55 AM,07:08 AM,06:17 PM,14,25,25,23,13,5,56,0.0,1013,23,10,53,8
2018-01-05 12:00:00,29,22,0.0,11.1,6,7,74,09:52 PM,09:55 AM,07:08 AM,06:17 PM,17,30,30,29,16,7,48,0.0,1010,29,10,295,14
2018-01-05 18:00:00,29,22,0.0,11.1,6,6,74,09:52 PM,09:55 AM,07:08 AM,06:17 PM,18,25,25,24,18,10,68,0.0,1012,24,10,359,10
2018-01-06 00:00:00,29,22,0.0,11.1,6,1,67,10:49 PM,10:43 AM,07:08 AM,06:17 PM,15,25,25,22,16,7,63,0.0,1011,22,10,32,8
2018-01-06 06:00:00,29,22,0.0,11.1,6,1,67,10:49 PM,10:43 AM,07:08 AM,06:17 PM,14,25,25,23,14,5,55,0.0,1012,23,10,59,8
2018-01-06 12:00:00,29,22,0.0,11.1,6,7,67,10:49 PM,10:43 AM,07:08 AM,06:17 PM,15,29,29,29,16,4,43,0.0,1010,29,10,300,14
2018-01-06 18:00:00,29,22,0.0,11.1,6,6,67,10:49 PM,10:43 AM,07:08 AM,06:17 PM,16,25,25,24,29,3,63,0.0,1012,24,10,355,15
