date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,17,7,0.0,8.7,4,1,97,04:59 PM,06:09 AM,07:22 AM,05:33 PM,-5,10,11,10,10,0,33,0.0,1019,8,10,78,5
2018-01-01 06:00:00,17,7,0.0,8.7,4,3,97,04:59 PM,06:09 AM,07:22 AM,05:33 PM,-5,11,11,11,8,0,33,0.0,1018,8,10,80,5
2018-01-01 12:00:00,17,7,0.0,8.7,4,5,97,04:59 PM,06:09 AM,07:22 AM,05:33 PM,-1,18,18,18,8,4,28,0.0,1015,17,10,255,7
2018-01-01 18:00:00,17,7,0.0,8.7,4,3,97,04:59 PM,06:09 AM,07:22 AM,05:33 PM,-0,11,11,11,11,2,46,0.0,1018,9,10,57,5
2018-01-02 00:00:00,17,7,0.0,8.7,3,1,100,06:03 PM,07:15 AM,07:22 AM,05:34 PM,-6,9,9,9,11,0,34,0.0,1019,7,10,75,6
2018-01-02 06:00:00,17,7,0.0,8.7,3,3,100,06:03 PM,07:15 AM,07:22 AM,05:34 PM,-7,10,11,10,9,0,29,0.0,1019,8,10,69,6
2018-01-02 12:00:00,17,7,0.0,8.7,3,5,100,06:03 PM,07:15 AM,07:22 AM,05:34 PM,-2,18,18,18,10,0,25,0.0,1016,17,10,263,8
2018-01-02 18:00:00,17,7,0.0,8.7,3,3,100,06:03 PM,07:15 AM,07:22 AM,05:34 PM,-2,9,9,9,11,11,45,0.0,1020,9,10,61,5
2018-01-03 00:00:00,17,7,0.0,8.7,4,1,89,07:10 PM,08:15 AM,07:23 AM,05:35 PM,-6,7,8,7,13,5,37,0.0,1019,7,10,65,6
2018-01-03 06:00:00,17,7,0.0,8.7,4,3,89,07:10 PM,08:15 AM,07:23 AM,05:35 PM,-4,12,12,12,6,0,33,0.0,1018,8,10,55,4
2018-01-03 12:00:00,17,7,0.0,8.7,4,5,89,07:10 PM,08:15 AM,07:23 AM,05:35 PM,-2,18,18,18,11,3,26,0.0,1015,17,10,296,10
2018-01-03 18:00:00,17,7,0.0,8.7,4,3,89,07:10 PM,08:15 AM,07:23 AM,05:35 PM,-1,10,10,10,11,0,44,0.0,1019,8,10,44,5
2018-01-04 00:00:00,17,6,0.0,8.7,4,1,81,08:18 PM,09:10 AM,07:23 AM,05:35 PM,-7,9,10,9,10,0,31,0.0,1020,7,10,61,5
2018-01-04 06:00:00,17,6,0.0,8.7,4,3,81,08:18 PM,09:10 AM,07:23 AM,05:35 PM,-6,11,11,11,7,0,30,0.0,1019,8,10,74,5
2018-01-04 12:00:00,17,6,0.0,8.7,4,5,81,08:18 PM,09:10 AM,07:23 AM,05:35 PM,-3,18,18,18,9,3,24,0.0,1015,17,10,242,8
2018-01-04 18:00:00,17,6,0.0,8.7,4,2,81,08:18 PM,09:10 AM,07:23 AM,05:35 PM,-3,10,10,10,6,70,39,0.0,1019,10,10,42,3
2018-01-05 00:00:00,16,7,0.0,8.7,4,1,74,09:24 PM,09:58 AM,07:23 AM,05:36 PM,-5,10,11,10,11,6,32,0.0,1019,10,10,80,6
2018-01-05 06:00:00,16,7,0.0,8.7,4,3,74,09:24 PM,09:58 AM,07:23 AM,05:36 PM,-2,11,11,11,6,0,39,0.0,1020,8,10,77,4
2018-01-05 12:00:00,16,7,0.0,8.7,4,5,74,09:24 PM,09:58 AM,07:23 AM,05:36 PM,-2,18,18,18,8,1,25,0.0,1016,16,10,274,7
2018-01-05 18:00:00,16,7,0.0,8.7,4,3,74,09:24 PM,09:58 AM,07:23 AM,05:36 PM,-2,10,10,10,11,0,43,0.0,1021,8,10,48,6
2018-01-06 00:00:00,16,5,0.0,8.7,3,1,67,10:27 PM,10:41 AM,07:23 AM,05:37 PM,-7,9,9,9,10,0,30,0.0,1020,6,10,56,6
2018-01-06 06:00:00,16,5,0.0,8.7,3,3,67,10:27 PM,10:41 AM,07:23 AM,05:37 PM,-7,10,10,10,8,0,29,0.0,1018,7,10,61,5
2018-01-06 12:00:00,16,5,0.0,8.7,3,5,67,10:27 PM,10:41 AM,07:23 AM,05:37 PM,-4,17,17,17,13,0,24,0.0,1014,16,10,291,11
2018-01-06 18:00:00,16,5,0.0,8.7,3,3,67,10:27 PM,10:41 AM,07:23 AM,05:37 PM,-1,10,10,10,9,0,46,0.0,1021,8,10,51,5
2018-01-07 00:00:00,18,5,0.0,8.7,3,1,59,11:28 PM,11:20 AM,07:23 AM,05:38 PM,-7,7,8,7,11,0,33,0.0,1020,5,10,56,6
2018-01-07 06:00:00,18,5,0.0,8.7,3,3,59,11:28 PM,11:20 AM,07:23 AM,05:38 PM,-11,9,9,9,10,0,23,0.0,1019,7,10,40,6
2018-01-07 12:00:00,18,5,0.0,8.7,3,5,59,11:28 PM,11:20 AM,07:23 AM,05:38 PM,-4,18,18,18,17,0,23,0.0,1015,18,10,297,14
2018-01-07 18:00:00,18,5,0.0,8.7,3,3,59,11:28 PM,11:20 AM,07:23 AM,05:38 PM,-2,9,10,9,14,0,42,0.0,1021,8,10,27,6
2018-01-08 00:00:00,18,5,0.0,8.7,3,1,52,No moonrise,11:56 AM,07:23 AM,05:38 PM,-11,9,9,9,11,0,23,0.0,1020,6,10,57,5
2018-01-08 06:00:00,18,5,0.0,8.7,3,3,52,No moonrise,11:56 AM,07:23 AM,05:38 PM,-10,10,10,10,9,0,24,0.0,1020,7,10,47,5
2018-01-08 12:00:00,18,5,0.0,8.7,3,5,52,No moonrise,11:56 AM,07:23 AM,05:38 PM,-3,19,19,19,11,0,22,0.0,1018,18,10,277,9
2018-01-08 18:00:00,18,5,0.0,8.7,3,3,52,No moonrise,11:56 AM,07:23 AM,05:38 PM,-1,11,11,11,9,0,43,0.0,1023,8,10,55,4
2018-01-09 00:00:00,19,7,0.0,8.7,4,1,45,12:26 AM,12:30 PM,07:23 AM,05:39 PM,-8,10,10,10,11,0,27,0.0,1024,7,10,56,5
2018-01-09 06:00:00,19,7,0.0,8.7,4,3,45,12:26 AM,12:30 PM,07:23 AM,05:39 PM,-9,11,11,11,10,0,23,0.0,1024,8,10,49,5
2018-01-09 12:00:00,19,7,0.0,8.7,4,5,45,12:26 AM,12:30 PM,07:23 AM,05:39 PM,-3,20,20,20,12,0,21,0.0,1020,19,10,284,10
2018-01-09 18:00:00,19,7,0.0,8.7,4,3,45,12:26 AM,12:30 PM,07:23 AM,05:39 PM,-1,12,12,12,11,0,40,0.0,1023,10,10,45,5
2018-01-10 00:00:00,20,7,0.0,8.7,4,1,38,01:22 AM,01:05 PM,07:23 AM,05:40 PM,-11,10,11,10,12,0,21,0.0,1023,8,10,49,6
2018-01-10 06:00:00,20,7,0.0,8.7,4,3,38,01:22 AM,01:05 PM,07:23 AM,05:40 PM,-9,12,12,12,11,0,22,0.0,1022,9,10,52,5
2018-01-10 12:00:00,20,7,0.0,8.7,4,6,38,01:22 AM,01:05 PM,07:23 AM,05:40 PM,-2,21,21,21,11,4,21,0.0,1018,20,10,273,10
2018-01-10 18:00:00,20,7,0.0,8.7,4,4,38,01:22 AM,01:05 PM,07:23 AM,05:40 PM,-1,11,11,11,9,11,42,0.0,1022,10,10,37,4
2018-01-11 00:00:00,19,9,0.0,3.8,3,1,30,02:16 AM,01:40 PM,07:23 AM,05:41 PM,-7,10,10,10,8,80,30,0.0,1020,9,10,51,4
2018-01-11 06:00:00,19,9,0.0,3.8,3,3,30,02:16 AM,01:40 PM,07:23 AM,05:41 PM,-7,11,11,11,5,39,29,0.0,1020,10,10,44,2
2018-01-11 12:00:00,19,9,0.0,3.8,3,4,30,02:16 AM,01:40 PM,07:23 AM,05:41 PM,-1,19,19,19,11,97,26,0.0,1017,19,10,273,9
2018-01-11 18:00:00,19,9,0.0,3.8,3,3,30,02:16 AM,01:40 PM,07:23 AM,05:41 PM,-1,13,13,13,6,87,39,0.0,1019,13,10,16,3
2018-01-12 00:00:00,18,9,0.0,5.4,3,1,23,03:11 AM,02:17 PM,07:23 AM,05:42 PM,-3,12,12,12,4,100,34,0.0,1017,11,10,355,2
2018-01-12 06:00:00,18,9,0.0,5.4,3,3,23,03:11 AM,02:17 PM,07:23 AM,05:42 PM,-3,12,12,12,3,100,37,0.0,1017,11,10,38,1
2018-01-12 12:00:00,18,9,0.0,5.4,3,4,23,03:11 AM,02:17 PM,07:23 AM,05:42 PM,-2,18,18,18,11,95,25,0.0,1016,18,10,271,10
2018-01-12 18:00:00,18,9,0.0,5.4,3,4,23,03:11 AM,02:17 PM,07:23 AM,05:42 PM,0,13,13,13,7,0,42,0.0,1020,10,10,66,4
2018-01-13 00:00:00,19,7,0.0,8.7,4,1,16,04:04 AM,02:57 PM,07:23 AM,05:43 PM,-4,12,12,12,8,0,34,0.0,1019,8,10,73,4
2018-01-13 06:00:00,19,7,0.0,8.7,4,3,16,04:04 AM,02:57 PM,07:23 AM,05:43 PM,-3,11,11,11,8,0,35,0.0,1019,9,10,52,5
2018-01-13 12:00:00,19,7,0.0,8.7,4,5,16,04:04 AM,02:57 PM,07:23 AM,05:43 PM,-1,19,19,19,13,0,26,0.0,1016,19,10,292,12
2018-01-13 18:00:00,19,7,0.0,8.7,4,3,16,04:04 AM,02:57 PM,07:23 AM,05:43 PM,-0,12,12,12,11,0,44,0.0,1020,10,10,38,5
2018-01-14 00:00:00,20,8,0.0,8.7,4,1,9,04:56 AM,03:40 PM,07:23 AM,05:43 PM,-5,12,12,12,8,0,30,0.0,1019,8,10,72,4
2018-01-14 06:00:00,20,8,0.0,8.7,4,3,9,04:56 AM,03:40 PM,07:23 AM,05:43 PM,-5,13,13,13,6,0,28,0.0,1019,9,10,51,4
2018-01-14 12:00:00,20,8,0.0,8.7,4,5,9,04:56 AM,03:40 PM,07:23 AM,05:43 PM,-1,20,20,20,13,0,24,0.0,1017,20,10,299,12
2018-01-14 18:00:00,20,8,0.0,8.7,4,4,9,04:56 AM,03:40 PM,07:23 AM,05:43 PM,-2,12,12,12,15,0,37,0.0,1022,10,10,27,7
2018-01-15 00:00:00,20,8,0.0,8.7,4,1,1,05:47 AM,04:25 PM,07:23 AM,05:44 PM,-11,11,11,11,12,0,19,0.0,1022,8,10,55,6
2018-01-15 06:00:00,20,8,0.0,8.7,4,3,1,05:47 AM,04:25 PM,07:23 AM,05:44 PM,-8,13,12,13,7,0,24,0.0,1020,9,10,54,4
2018-01-15 12:00:00,20,8,0.0,8.7,4,5,1,05:47 AM,04:25 PM,07:23 AM,05:44 PM,-2,20,20,20,12,0,22,0.0,1016,20,10,282,11
2018-01-15 18:00:00,20,8,0.0,8.7,4,3,1,05:47 AM,04:25 PM,07:23 AM,05:44 PM,-0,12,12,12,12,0,42,0.0,1019,10,10,30,6
2018-01-16 00:00:00,21,8,0.0,8.7,4,1,0,06:35 AM,05:14 PM,07:23 AM,05:45 PM,-8,11,12,11,13,0,25,0.0,1018,9,10,33,6
2018-01-16 06:00:00,21,8,0.0,8.7,4,3,0,06:35 AM,05:14 PM,07:23 AM,05:45 PM,-8,12,12,12,10,0,24,0.0,1017,9,10,46,5
2018-01-16 12:00:00,21,8,0.0,8.7,4,6,0,06:35 AM,05:14 PM,07:23 AM,05:45 PM,-1,22,22,22,11,0,22,0.0,1014,21,10,260,9
2018-01-16 18:00:00,21,8,0.0,8.7,4,4,0,06:35 AM,05:14 PM,07:23 AM,05:45 PM,1,12,13,12,15,0,46,0.0,1018,11,10,103,7
2018-01-17 00:00:00,20,9,0.0,8.7,4,1,0,07:21 AM,06:05 PM,07:22 AM,05:46 PM,-2,11,12,11,14,0,38,0.0,1018,9,10,98,7
2018-01-17 06:00:00,20,9,0.0,8.7,4,3,0,07:21 AM,06:05 PM,07:22 AM,05:46 PM,-5,10,10,10,16,7,33,0.0,1019,10,10,107,8
