date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,19,0.0,8.7,6,1,97,04:49 PM,05:26 AM,06:39 AM,05:27 PM,14,22,25,22,9,9,63,0.0,1012,20,10,246,5
2018-01-01 06:00:00,27,19,0.0,8.7,6,5,97,04:49 PM,05:26 AM,06:39 AM,05:27 PM,11,20,20,20,11,9,55,0.0,1013,19,10,353,6
2018-01-01 12:00:00,27,19,0.0,8.7,6,7,97,04:49 PM,05:26 AM,06:39 AM,05:27 PM,15,30,30,30,9,2,40,0.0,1013,26,10,22,8
2018-01-01 18:00:00,27,19,0.0,8.7,6,5,97,04:49 PM,05:26 AM,06:39 AM,05:27 PM,13,25,25,23,12,100,53,0.0,1011,23,10,127,7
2018-01-02 00:00:00,26,19,0.0,5.6,6,1,100,05:53 PM,06:31 AM,06:39 AM,05:28 PM,18,23,25,23,7,12,75,0.0,1012,22,10,199,5
2018-01-02 06:00:00,26,19,0.0,5.6,6,5,100,05:53 PM,06:31 AM,06:39 AM,05:28 PM,15,20,20,20,14,47,74,0.0,1011,19,10,334,9
2018-01-02 12:00:00,26,19,0.0,5.6,6,5,100,05:53 PM,06:31 AM,06:39 AM,05:28 PM,14,26,26,25,11,100,52,0.0,1012,24,10,347,9
2018-01-02 18:00:00,26,19,0.0,5.6,6,6,100,05:53 PM,06:31 AM,06:39 AM,05:28 PM,13,25,25,24,7,51,53,0.0,1010,23,10,128,5
2018-01-03 00:00:00,26,17,0.0,8.7,6,1,89,06:59 PM,07:33 AM,06:39 AM,05:29 PM,15,22,25,22,7,2,61,0.0,1012,20,10,315,5
2018-01-03 06:00:00,26,17,0.0,8.7,6,5,89,06:59 PM,07:33 AM,06:39 AM,05:29 PM,11,19,19,19,14,0,60,0.0,1012,17,10,332,12
2018-01-03 12:00:00,26,17,0.0,8.7,6,7,89,06:59 PM,07:33 AM,06:39 AM,05:29 PM,7,26,26,27,18,0,29,0.0,1013,26,10,355,16
2018-01-03 18:00:00,26,17,0.0,8.7,6,6,89,06:59 PM,07:33 AM,06:39 AM,05:29 PM,10,24,25,24,9,0,41,0.0,1011,21,10,332,7
2018-01-04 00:00:00,25,16,0.0,8.7,5,1,81,08:04 PM,08:30 AM,06:40 AM,05:29 PM,9,21,21,21,9,0,45,0.0,1013,18,10,353,7
2018-01-04 06:00:00,25,16,0.0,8.7,5,5,81,08:04 PM,08:30 AM,06:40 AM,05:29 PM,9,19,19,19,10,0,54,0.0,1014,16,10,356,9
2018-01-04 12:00:00,25,16,0.0,8.7,5,6,81,08:04 PM,08:30 AM,06:40 AM,05:29 PM,8,26,26,27,11,0,31,0.0,1015,24,10,352,10
2018-01-04 18:00:00,25,16,0.0,8.7,5,5,81,08:04 PM,08:30 AM,06:40 AM,05:29 PM,8,22,24,22,16,0,41,0.0,1012,20,10,340,12
2018-01-05 00:00:00,25,13,0.0,8.7,5,1,74,09:07 PM,09:22 AM,06:40 AM,05:30 PM,8,19,19,19,15,0,50,0.0,1014,17,10,351,10
2018-01-05 06:00:00,25,13,0.0,8.7,5,4,74,09:07 PM,09:22 AM,06:40 AM,05:30 PM,8,17,17,17,11,0,58,0.0,1013,13,10,349,10
2018-01-05 12:00:00,25,13,0.0,8.7,5,6,74,09:07 PM,09:22 AM,06:40 AM,05:30 PM,8,26,26,27,11,0,32,0.0,1013,24,10,345,10
2018-01-05 18:00:00,25,13,0.0,8.7,5,6,74,09:07 PM,09:22 AM,06:40 AM,05:30 PM,11,23,25,23,11,0,47,0.0,1011,20,10,358,9
2018-01-06 00:00:00,25,15,0.0,8.7,5,1,67,10:06 PM,10:08 AM,06:40 AM,05:31 PM,10,20,20,20,8,0,53,0.0,1012,17,10,324,7
2018-01-06 06:00:00,25,15,0.0,8.7,5,4,67,10:06 PM,10:08 AM,06:40 AM,05:31 PM,10,18,18,18,10,0,60,0.0,1012,15,10,346,9
2018-01-06 12:00:00,25,15,0.0,8.7,5,6,67,10:06 PM,10:08 AM,06:40 AM,05:31 PM,9,26,26,26,12,0,35,0.0,1013,23,10,0,10
2018-01-06 18:00:00,25,15,0.0,8.7,5,6,67,10:06 PM,10:08 AM,06:40 AM,05:31 PM,10,23,24,23,14,0,43,0.0,1011,20,10,339,10
2018-01-07 00:00:00,24,14,0.0,8.7,5,1,59,11:03 PM,10:50 AM,06:40 AM,05:31 PM,9,19,19,19,12,0,51,0.0,1013,17,10,354,9
2018-01-07 06:00:00,24,14,0.0,8.7,5,4,59,11:03 PM,10:50 AM,06:40 AM,05:31 PM,8,17,17,17,11,0,55,0.0,1014,14,10,346,10
2018-01-07 12:00:00,24,14,0.0,8.7,5,6,59,11:03 PM,10:50 AM,06:40 AM,05:31 PM,5,24,24,24,16,0,28,0.0,1015,23,10,346,14
2018-01-07 18:00:00,24,14,0.0,8.7,5,5,59,11:03 PM,10:50 AM,06:40 AM,05:31 PM,5,21,21,21,22,0,35,0.0,1013,19,10,352,14
2018-01-08 00:00:00,24,13,0.0,8.7,5,1,52,11:58 PM,11:30 AM,06:40 AM,05:32 PM,5,18,18,18,20,0,43,0.0,1014,16,10,347,13
2018-01-08 06:00:00,24,13,0.0,8.7,5,4,52,11:58 PM,11:30 AM,06:40 AM,05:32 PM,7,16,16,16,13,0,53,0.0,1015,13,10,4,10
2018-01-08 12:00:00,24,13,0.0,8.7,5,6,52,11:58 PM,11:30 AM,06:40 AM,05:32 PM,4,24,24,24,19,0,28,0.0,1016,23,10,353,17
2018-01-08 18:00:00,24,13,0.0,8.7,5,5,52,11:58 PM,11:30 AM,06:40 AM,05:32 PM,5,21,21,21,23,0,37,0.0,1015,19,10,344,14
2018-01-09 00:00:00,24,13,0.0,8.7,5,1,45,No moonrise,12:08 PM,06:41 AM,05:33 PM,5,17,17,17,18,0,44,0.0,1016,15,10,345,12
2018-01-09 06:00:00,24,13,0.0,8.7,5,4,45,No moonrise,12:08 PM,06:41 AM,05:33 PM,6,15,15,15,18,0,54,0.0,1016,13,10,348,13
2018-01-09 12:00:00,24,13,0.0,8.7,5,6,45,No moonrise,12:08 PM,06:41 AM,05:33 PM,5,24,24,23,20,0,31,0.0,1018,22,10,342,18
2018-01-09 18:00:00,24,13,0.0,8.7,5,6,45,No moonrise,12:08 PM,06:41 AM,05:33 PM,7,22,24,22,16,0,36,0.0,1015,20,10,346,11
2018-01-10 00:00:00,25,14,0.0,8.7,5,1,38,12:50 AM,12:46 PM,06:41 AM,05:33 PM,6,19,19,19,14,0,45,0.0,1016,16,10,341,10
2018-01-10 06:00:00,25,14,0.0,8.7,5,4,38,12:50 AM,12:46 PM,06:41 AM,05:33 PM,7,17,17,17,12,0,53,0.0,1016,14,10,329,10
2018-01-10 12:00:00,25,14,0.0,8.7,5,6,38,12:50 AM,12:46 PM,06:41 AM,05:33 PM,6,25,25,25,15,0,29,0.0,1017,23,10,341,13
2018-01-10 18:00:00,25,14,0.0,8.7,5,6,38,12:50 AM,12:46 PM,06:41 AM,05:33 PM,8,24,24,24,8,0,36,0.0,1015,21,10,334,7
2018-01-11 00:00:00,24,14,0.0,8.7,5,1,30,01:42 AM,01:24 PM,06:41 AM,05:34 PM,8,19,19,19,13,0,46,0.0,1016,17,10,340,9
2018-01-11 06:00:00,24,14,0.0,8.7,5,4,30,01:42 AM,01:24 PM,06:41 AM,05:34 PM,8,18,18,18,10,0,54,0.0,1016,14,10,319,9
