date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,12,0.0,8.7,5,1,97,05:04 PM,05:47 AM,06:58 AM,05:40 PM,2,14,14,14,18,3,45,0.0,1014,13,10,56,9
2018-01-01 06:00:00,24,12,0.0,8.7,5,5,97,05:04 PM,05:47 AM,06:58 AM,05:40 PM,4,16,16,16,14,4,44,0.0,1015,15,10,81,9
2018-01-01 12:00:00,24,12,0.0,8.7,5,6,97,05:04 PM,05:47 AM,06:58 AM,05:40 PM,5,24,24,24,10,6,29,0.0,1011,24,10,99,8
2018-01-01 18:00:00,24,12,0.0,8.7,5,5,97,05:04 PM,05:47 AM,06:58 AM,05:40 PM,3,16,16,16,23,5,43,0.0,1013,16,10,49,11
2018-01-02 00:00:00,23,11,0.0,8.7,5,1,100,06:08 PM,06:51 AM,06:58 AM,05:40 PM,2,12,13,12,20,5,45,0.0,1013,13,10,83,9
2018-01-02 06:00:00,23,11,0.0,8.7,5,4,100,06:08 PM,06:51 AM,06:58 AM,05:40 PM,2,15,15,15,9,4,42,0.0,1015,14,10,76,6
2018-01-02 12:00:00,23,11,0.0,8.7,5,6,100,06:08 PM,06:51 AM,06:58 AM,05:40 PM,2,23,23,23,11,3,25,0.0,1012,23,10,276,9
2018-01-02 18:00:00,23,11,0.0,8.7,5,5,100,06:08 PM,06:51 AM,06:58 AM,05:40 PM,1,16,16,16,16,3,36,0.0,1014,16,10,342,8
2018-01-03 00:00:00,23,10,0.0,8.7,5,1,89,07:14 PM,07:53 AM,06:58 AM,05:41 PM,1,12,13,12,19,0,45,0.0,1015,12,10,31,9
2018-01-03 06:00:00,23,10,0.0,8.7,5,4,89,07:14 PM,07:53 AM,06:58 AM,05:41 PM,4,15,15,15,7,0,48,0.0,1016,13,10,45,6
2018-01-03 12:00:00,23,10,0.0,8.7,5,6,89,07:14 PM,07:53 AM,06:58 AM,05:41 PM,-1,23,23,24,9,0,18,0.0,1013,23,10,313,8
2018-01-03 18:00:00,23,10,0.0,8.7,5,4,89,07:14 PM,07:53 AM,06:58 AM,05:41 PM,-2,16,16,16,12,0,30,0.0,1015,14,10,9,6
2018-01-04 00:00:00,23,10,0.0,8.7,5,1,81,08:19 PM,08:50 AM,06:59 AM,05:42 PM,1,15,15,15,7,0,39,0.0,1015,11,10,39,4
2018-01-04 06:00:00,23,10,0.0,8.7,5,4,81,08:19 PM,08:50 AM,06:59 AM,05:42 PM,3,16,16,16,6,0,41,0.0,1017,13,10,96,5
2018-01-04 12:00:00,23,10,0.0,8.7,5,6,81,08:19 PM,08:50 AM,06:59 AM,05:42 PM,1,25,25,26,2,0,20,0.0,1014,23,10,119,2
2018-01-04 18:00:00,23,10,0.0,8.7,5,4,81,08:19 PM,08:50 AM,06:59 AM,05:42 PM,1,17,17,17,5,0,33,0.0,1015,15,10,141,3
2018-01-05 00:00:00,24,11,0.0,8.7,5,1,74,09:23 PM,09:41 AM,06:59 AM,05:42 PM,3,16,16,16,4,0,41,0.0,1015,12,10,142,2
2018-01-05 06:00:00,24,11,0.0,8.7,5,4,74,09:23 PM,09:41 AM,06:59 AM,05:42 PM,3,16,16,16,8,0,41,0.0,1016,14,10,71,6
2018-01-05 12:00:00,24,11,0.0,8.7,5,6,74,09:23 PM,09:41 AM,06:59 AM,05:42 PM,4,25,25,26,1,3,25,0.0,1013,24,10,275,1
2018-01-05 18:00:00,24,11,0.0,8.7,5,5,74,09:23 PM,09:41 AM,06:59 AM,05:42 PM,1,17,17,17,13,1,35,0.0,1014,15,10,47,6
2018-01-06 00:00:00,24,11,0.0,8.7,5,1,67,10:23 PM,10:26 AM,06:59 AM,05:43 PM,-1,14,14,14,14,0,35,0.0,1014,12,10,87,7
2018-01-06 06:00:00,24,11,0.0,8.7,5,4,67,10:23 PM,10:26 AM,06:59 AM,05:43 PM,0,16,16,16,6,0,34,0.0,1015,14,10,96,5
2018-01-06 12:00:00,24,11,0.0,8.7,5,6,67,10:23 PM,10:26 AM,06:59 AM,05:43 PM,3,24,24,24,10,3,25,0.0,1012,24,10,241,8
2018-01-06 18:00:00,24,11,0.0,8.7,5,5,67,10:23 PM,10:26 AM,06:59 AM,05:43 PM,4,17,17,17,9,5,42,0.0,1014,16,10,67,4
2018-01-07 00:00:00,24,12,0.0,8.7,5,1,59,11:20 PM,11:08 AM,06:59 AM,05:44 PM,1,13,14,13,14,13,42,0.0,1014,13,10,84,7
