date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,10,0.0,8.7,4,1,97,04:57 PM,06:03 AM,07:16 AM,05:31 PM,3,15,15,15,2,0,42,0.0,1016,11,10,355,2
2018-01-01 06:00:00,20,10,0.0,8.7,4,4,97,04:57 PM,06:03 AM,07:16 AM,05:31 PM,3,15,15,15,1,0,44,0.0,1017,11,10,117,1
2018-01-01 12:00:00,20,10,0.0,8.7,4,5,97,04:57 PM,06:03 AM,07:16 AM,05:31 PM,5,24,24,24,3,0,30,0.0,1014,20,10,246,3
2018-01-01 18:00:00,20,10,0.0,8.7,4,4,97,04:57 PM,06:03 AM,07:16 AM,05:31 PM,3,15,15,15,7,0,44,0.0,1016,12,10,45,4
2018-01-02 00:00:00,19,8,0.0,8.7,4,1,100,06:01 PM,07:08 AM,07:16 AM,05:32 PM,2,15,14,15,4,0,43,0.0,1017,9,10,48,3
2018-01-02 06:00:00,19,8,0.0,8.7,4,4,100,06:01 PM,07:08 AM,07:16 AM,05:32 PM,2,14,14,14,3,0,43,0.0,1017,10,10,299,3
2018-01-02 12:00:00,19,8,0.0,8.7,4,5,100,06:01 PM,07:08 AM,07:16 AM,05:32 PM,1,22,23,22,10,0,26,0.0,1015,19,10,291,9
2018-01-02 18:00:00,19,8,0.0,8.7,4,4,100,06:01 PM,07:08 AM,07:16 AM,05:32 PM,4,14,14,14,3,3,53,0.0,1018,12,10,326,1
2018-01-03 00:00:00,20,9,0.0,8.7,4,1,89,07:08 PM,08:09 AM,07:16 AM,05:33 PM,6,14,14,14,4,1,57,0.0,1017,9,10,314,4
2018-01-03 06:00:00,20,9,0.0,8.7,4,3,89,07:08 PM,08:09 AM,07:16 AM,05:33 PM,3,13,13,13,8,0,50,0.0,1017,10,10,286,6
2018-01-03 12:00:00,20,9,0.0,8.7,4,5,89,07:08 PM,08:09 AM,07:16 AM,05:33 PM,3,21,21,21,15,0,31,0.0,1015,20,10,295,13
2018-01-03 18:00:00,20,9,0.0,8.7,4,4,89,07:08 PM,08:09 AM,07:16 AM,05:33 PM,5,13,14,13,13,0,55,0.0,1017,11,10,288,7
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:15 PM,09:04 AM,07:16 AM,05:34 PM,4,12,13,12,7,0,56,0.0,1017,9,10,304,5
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:15 PM,09:04 AM,07:16 AM,05:34 PM,4,14,13,14,5,0,52,0.0,1017,9,10,284,4
2018-01-04 12:00:00,20,8,0.0,8.7,4,5,81,08:15 PM,09:04 AM,07:16 AM,05:34 PM,2,22,23,22,10,0,27,0.0,1015,20,10,284,8
2018-01-04 18:00:00,20,8,0.0,8.7,4,4,81,08:15 PM,09:04 AM,07:16 AM,05:34 PM,1,13,13,13,7,5,45,0.0,1017,11,10,327,3
2018-01-05 00:00:00,19,8,0.0,8.7,4,1,74,09:21 PM,09:53 AM,07:17 AM,05:34 PM,0,12,12,12,9,3,45,0.0,1018,9,10,100,5
2018-01-05 06:00:00,19,8,0.0,8.7,4,3,74,09:21 PM,09:53 AM,07:17 AM,05:34 PM,3,14,14,14,1,0,49,0.0,1018,10,10,85,1
2018-01-05 12:00:00,19,8,0.0,8.7,4,5,74,09:21 PM,09:53 AM,07:17 AM,05:34 PM,1,20,20,20,10,3,28,0.0,1015,19,10,283,8
2018-01-05 18:00:00,19,8,0.0,8.7,4,4,74,09:21 PM,09:53 AM,07:17 AM,05:34 PM,3,15,14,15,9,0,46,0.0,1017,11,10,304,5
2018-01-06 00:00:00,19,7,0.0,8.7,4,1,67,10:24 PM,10:36 AM,07:17 AM,05:35 PM,3,13,13,13,6,0,51,0.0,1016,9,10,305,5
2018-01-06 06:00:00,19,7,0.0,8.7,4,3,67,10:24 PM,10:36 AM,07:17 AM,05:35 PM,4,14,13,14,4,0,52,0.0,1016,9,10,285,4
2018-01-06 12:00:00,19,7,0.0,8.7,4,5,67,10:24 PM,10:36 AM,07:17 AM,05:35 PM,2,19,19,19,16,0,31,0.0,1013,19,10,290,14
2018-01-06 18:00:00,19,7,0.0,8.7,4,4,67,10:24 PM,10:36 AM,07:17 AM,05:35 PM,5,13,13,13,12,0,55,0.0,1017,11,10,303,6
2018-01-07 00:00:00,19,7,0.0,8.7,4,1,59,11:24 PM,11:15 AM,07:17 AM,05:36 PM,5,12,12,12,7,0,61,0.0,1017,8,10,304,5
