date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,9,-0,0.0,8.7,2,1,97,04:20 PM,05:57 AM,07:20 AM,04:59 PM,-17,-1,1,-1,13,4,23,0.0,1027,1,10,149,6
2018-01-01 06:00:00,9,-0,0.0,8.7,2,2,97,04:20 PM,05:57 AM,07:20 AM,04:59 PM,-16,-2,0,-2,16,2,28,0.0,1027,0,10,125,8
2018-01-01 12:00:00,9,-0,0.0,8.7,2,3,97,04:20 PM,05:57 AM,07:20 AM,04:59 PM,-16,7,9,7,12,0,16,0.0,1026,9,10,108,9
2018-01-01 18:00:00,9,-0,0.0,8.7,2,2,97,04:20 PM,05:57 AM,07:20 AM,04:59 PM,-8,1,4,1,20,0,40,0.0,1027,4,10,77,10
2018-01-02 00:00:00,4,1,0.0,7.0,2,1,100,05:23 PM,07:04 AM,07:20 AM,05:00 PM,-3,-1,2,-1,21,6,68,0.0,1029,2,10,53,11
2018-01-02 06:00:00,4,1,0.0,7.0,2,2,100,05:23 PM,07:04 AM,07:20 AM,05:00 PM,-3,-3,2,-3,32,12,68,0.0,1031,2,10,51,21
2018-01-02 12:00:00,4,1,0.0,7.0,2,2,100,05:23 PM,07:04 AM,07:20 AM,05:00 PM,-7,-1,3,-1,25,47,45,0.0,1033,3,10,48,21
2018-01-02 18:00:00,4,1,0.0,7.0,2,1,100,05:23 PM,07:04 AM,07:20 AM,05:00 PM,-8,-1,1,-1,11,81,51,0.0,1036,1,10,29,8
2018-01-03 00:00:00,1,-2,0.0,7.0,2,1,89,06:31 PM,08:04 AM,07:20 AM,05:01 PM,-13,-3,-0,-3,10,19,39,0.0,1038,-1,10,23,6
2018-01-03 06:00:00,1,-2,0.0,7.0,2,2,89,06:31 PM,08:04 AM,07:20 AM,05:01 PM,-15,-5,-2,-5,13,9,36,0.0,1039,-2,10,353,8
2018-01-03 12:00:00,1,-2,0.0,7.0,2,2,89,06:31 PM,08:04 AM,07:20 AM,05:01 PM,-16,-2,1,-2,14,49,27,0.0,1038,1,10,352,12
2018-01-03 18:00:00,1,-2,0.0,7.0,2,2,89,06:31 PM,08:04 AM,07:20 AM,05:01 PM,-13,-4,-1,-4,14,52,40,0.0,1038,-1,10,334,10
2018-01-04 00:00:00,1,-2,0.0,3.7,2,1,81,07:41 PM,08:58 AM,07:20 AM,05:01 PM,-15,-4,-2,-4,9,47,36,0.0,1037,-2,10,296,6
2018-01-04 06:00:00,1,-2,0.0,3.7,2,1,81,07:41 PM,08:58 AM,07:20 AM,05:01 PM,-17,-6,-2,-6,13,86,31,0.0,1035,-2,10,286,9
2018-01-04 12:00:00,1,-2,0.0,3.7,2,1,81,07:41 PM,08:58 AM,07:20 AM,05:01 PM,-15,-1,1,-1,7,76,30,0.0,1031,1,10,2,5
2018-01-04 18:00:00,1,-2,0.0,3.7,2,1,81,07:41 PM,08:58 AM,07:20 AM,05:01 PM,-9,-2,-1,-2,6,100,53,0.0,1030,-1,10,54,5
2018-01-05 00:00:00,2,-4,0.0,8.7,2,1,74,08:50 PM,09:44 AM,07:20 AM,05:02 PM,-10,-3,-2,-3,6,59,53,0.0,1029,-2,10,305,4
2018-01-05 06:00:00,2,-4,0.0,8.7,2,2,74,08:50 PM,09:44 AM,07:20 AM,05:02 PM,-16,-8,-4,-8,13,15,38,0.0,1029,-4,10,274,9
2018-01-05 12:00:00,2,-4,0.0,8.7,2,2,74,08:50 PM,09:44 AM,07:20 AM,05:02 PM,-20,-2,2,-2,15,5,18,0.0,1026,2,10,305,13
2018-01-05 18:00:00,2,-4,0.0,8.7,2,2,74,08:50 PM,09:44 AM,07:20 AM,05:02 PM,-20,-3,-1,-3,9,33,21,0.0,1027,-1,10,289,5
2018-01-06 00:00:00,4,-3,0.0,8.7,2,1,67,09:57 PM,10:24 AM,07:20 AM,05:03 PM,-14,-6,-3,-6,14,4,40,0.0,1028,-3,10,294,8
2018-01-06 06:00:00,4,-3,0.0,8.7,2,2,67,09:57 PM,10:24 AM,07:20 AM,05:03 PM,-15,-6,-3,-6,15,7,40,0.0,1029,-3,10,282,8
2018-01-06 12:00:00,4,-3,0.0,8.7,2,2,67,09:57 PM,10:24 AM,07:20 AM,05:03 PM,-14,4,4,4,5,10,25,0.0,1026,4,10,80,4
2018-01-06 18:00:00,4,-3,0.0,8.7,2,1,67,09:57 PM,10:24 AM,07:20 AM,05:03 PM,-11,1,1,1,7,90,40,0.0,1027,1,10,95,4
2018-01-07 00:00:00,2,1,0.0,3.7,1,1,59,11:01 PM,11:01 AM,07:20 AM,05:04 PM,-8,2,2,2,5,100,49,0.0,1025,1,10,258,3
2018-01-07 06:00:00,2,1,0.0,3.7,1,1,59,11:01 PM,11:01 AM,07:20 AM,05:04 PM,-8,-2,1,-2,12,93,53,0.0,1024,1,10,234,9
2018-01-07 12:00:00,2,1,0.0,3.7,1,1,59,11:01 PM,11:01 AM,07:20 AM,05:04 PM,-4,1,3,1,6,100,60,0.0,1021,2,10,249,5
2018-01-07 18:00:00,2,1,0.0,3.7,1,1,59,11:01 PM,11:01 AM,07:20 AM,05:04 PM,-3,-0,1,-0,7,100,70,0.0,1021,1,10,290,5
2018-01-08 00:00:00,1,-2,0.0,8.7,2,1,52,No moonrise,11:34 AM,07:20 AM,05:05 PM,-8,-4,0,-4,19,59,56,0.0,1021,0,10,280,12
2018-01-08 06:00:00,1,-2,0.0,8.7,2,1,52,No moonrise,11:34 AM,07:20 AM,05:05 PM,-10,-7,-2,-7,20,90,56,0.0,1019,-2,10,266,14
2018-01-08 12:00:00,1,-2,0.0,8.7,2,2,52,No moonrise,11:34 AM,07:20 AM,05:05 PM,-24,-5,1,-5,29,3,13,0.0,1017,1,10,287,25
2018-01-08 18:00:00,1,-2,0.0,8.7,2,2,52,No moonrise,11:34 AM,07:20 AM,05:05 PM,-23,-7,-2,-7,29,4,17,0.0,1020,-2,10,298,18
2018-01-09 00:00:00,3,-5,0.0,8.7,2,1,45,12:02 AM,12:05 PM,07:20 AM,05:06 PM,-18,-9,-3,-9,28,0,31,0.0,1022,-3,10,313,17
