date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,9,0.0,8.7,4,1,97,05:04 PM,06:10 AM,07:23 AM,05:38 PM,5,14,14,14,1,0,55,0.0,1014,10,10,189,1
2018-01-01 06:00:00,21,9,0.0,8.7,4,4,97,05:04 PM,06:10 AM,07:23 AM,05:38 PM,7,14,14,14,1,0,61,0.0,1015,10,10,107,1
2018-01-01 12:00:00,21,9,0.0,8.7,4,6,97,05:04 PM,06:10 AM,07:23 AM,05:38 PM,6,24,24,24,1,0,32,0.0,1013,21,10,304,1
2018-01-01 18:00:00,21,9,0.0,8.7,4,4,97,05:04 PM,06:10 AM,07:23 AM,05:38 PM,5,15,15,15,5,0,50,0.0,1014,12,10,24,3
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:07 PM,07:16 AM,07:24 AM,05:38 PM,5,13,13,13,2,0,57,0.0,1015,9,10,62,1
2018-01-02 06:00:00,20,8,0.0,8.7,4,3,100,06:07 PM,07:16 AM,07:24 AM,05:38 PM,6,14,14,14,1,0,59,0.0,1015,10,10,31,1
2018-01-02 12:00:00,20,8,0.0,8.7,4,6,100,06:07 PM,07:16 AM,07:24 AM,05:38 PM,4,23,24,23,7,0,29,0.0,1014,20,10,291,6
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:07 PM,07:16 AM,07:24 AM,05:38 PM,3,14,14,14,8,4,47,0.0,1015,12,10,28,4
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:15 PM,08:17 AM,07:24 AM,05:39 PM,5,13,13,13,2,0,58,0.0,1015,9,10,5,1
2018-01-03 06:00:00,21,8,0.0,8.7,4,3,89,07:15 PM,08:17 AM,07:24 AM,05:39 PM,7,14,14,14,6,0,63,0.0,1016,10,10,289,4
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:15 PM,08:17 AM,07:24 AM,05:39 PM,3,23,23,23,10,0,27,0.0,1015,21,10,319,9
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:15 PM,08:17 AM,07:24 AM,05:39 PM,4,15,14,15,9,0,49,0.0,1015,12,10,345,4
2018-01-04 00:00:00,21,7,0.0,8.7,4,1,81,08:22 PM,09:12 AM,07:24 AM,05:40 PM,4,12,12,12,8,0,57,0.0,1016,8,10,346,5
2018-01-04 06:00:00,21,7,0.0,8.7,4,3,81,08:22 PM,09:12 AM,07:24 AM,05:40 PM,5,13,13,13,3,0,57,0.0,1016,9,10,349,3
2018-01-04 12:00:00,21,7,0.0,8.7,4,6,81,08:22 PM,09:12 AM,07:24 AM,05:40 PM,3,24,24,24,2,0,24,0.0,1014,21,10,243,2
2018-01-04 18:00:00,21,7,0.0,8.7,4,4,81,08:22 PM,09:12 AM,07:24 AM,05:40 PM,0,13,13,13,14,7,41,0.0,1015,12,10,32,7
2018-01-05 00:00:00,19,8,0.0,8.7,4,1,74,09:28 PM,10:00 AM,07:24 AM,05:41 PM,1,11,11,11,11,4,50,0.0,1016,9,10,106,5
2018-01-05 06:00:00,19,8,0.0,8.7,4,3,74,09:28 PM,10:00 AM,07:24 AM,05:41 PM,2,11,11,11,4,5,55,0.0,1016,9,10,90,3
2018-01-05 12:00:00,19,8,0.0,8.7,4,5,74,09:28 PM,10:00 AM,07:24 AM,05:41 PM,3,22,23,22,7,0,29,0.0,1014,19,10,349,6
2018-01-05 18:00:00,19,8,0.0,8.7,4,4,74,09:28 PM,10:00 AM,07:24 AM,05:41 PM,3,14,14,14,13,0,48,0.0,1015,11,10,13,6
