date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,13,6,0.0,8.7,3,1,97,04:58 PM,06:32 AM,07:40 AM,05:24 PM,5,5,7,5,20,20,88,0.0,1013,7,10,3,11
2018-01-01 06:00:00,13,6,0.0,8.7,3,3,97,04:58 PM,06:32 AM,07:40 AM,05:24 PM,4,7,8,7,11,31,76,0.0,1012,8,10,310,7
2018-01-01 12:00:00,13,6,0.0,8.7,3,4,97,04:58 PM,06:32 AM,07:40 AM,05:24 PM,2,12,13,12,15,47,48,0.0,1009,13,10,304,12
2018-01-01 18:00:00,13,6,0.0,8.7,3,3,97,04:58 PM,06:32 AM,07:40 AM,05:24 PM,2,7,9,7,25,14,63,0.0,1011,9,10,304,14
2018-01-02 00:00:00,13,6,0.0,8.7,3,1,100,06:02 PM,07:38 AM,07:40 AM,05:24 PM,1,4,7,4,36,3,66,0.0,1011,7,10,286,18
2018-01-02 06:00:00,13,6,0.0,8.7,3,3,100,06:02 PM,07:38 AM,07:40 AM,05:24 PM,-2,4,7,4,27,0,51,0.0,1013,7,10,318,16
2018-01-02 12:00:00,13,6,0.0,8.7,3,4,100,06:02 PM,07:38 AM,07:40 AM,05:24 PM,-5,11,13,11,24,0,28,0.0,1013,13,10,323,20
2018-01-02 18:00:00,13,6,0.0,8.7,3,3,100,06:02 PM,07:38 AM,07:40 AM,05:24 PM,-5,7,7,7,5,14,44,0.0,1017,7,10,105,2
2018-01-03 00:00:00,11,5,0.0,7.0,3,1,89,07:11 PM,08:37 AM,07:41 AM,05:25 PM,-5,5,5,5,0,5,49,0.0,1017,5,10,195,0
2018-01-03 06:00:00,11,5,0.0,7.0,3,3,89,07:11 PM,08:37 AM,07:41 AM,05:25 PM,-3,7,7,7,8,50,46,0.0,1019,7,10,70,5
2018-01-03 12:00:00,11,5,0.0,7.0,3,4,89,07:11 PM,08:37 AM,07:41 AM,05:25 PM,1,10,11,10,11,57,49,0.0,1017,11,10,98,9
2018-01-03 18:00:00,11,5,0.0,7.0,3,2,89,07:11 PM,08:37 AM,07:41 AM,05:25 PM,4,4,7,4,19,100,83,0.0,1018,7,10,35,15
2018-01-04 00:00:00,11,6,0.0,3.7,2,1,81,08:20 PM,09:30 AM,07:41 AM,05:26 PM,5,3,6,3,20,100,88,0.0,1016,6,10,40,15
