date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,-3,-5,0.0,2.7,1,1,97,03:27 PM,07:02 AM,08:19 AM,03:47 PM,-5,-8,-4,-8,15,98,88,0.0,1017,-4,10,192,11
2018-01-01 06:00:00,-3,-5,0.0,2.7,1,1,97,03:27 PM,07:02 AM,08:19 AM,03:47 PM,-6,-8,-4,-8,14,69,88,0.0,1018,-4,10,178,9
2018-01-01 12:00:00,-3,-5,0.0,2.7,1,1,97,03:27 PM,07:02 AM,08:19 AM,03:47 PM,-6,-7,-3,-7,11,76,84,0.0,1019,-3,10,178,8
2018-01-01 18:00:00,-3,-5,0.0,2.7,1,1,97,03:27 PM,07:02 AM,08:19 AM,03:47 PM,-5,-5,-3,-5,9,100,83,0.0,1020,-3,10,158,6
2018-01-02 00:00:00,-0,-3,0.0,2.7,2,1,100,04:31 PM,08:09 AM,08:19 AM,03:48 PM,-5,-6,-3,-6,11,58,83,0.0,1021,-3,10,174,8
2018-01-02 06:00:00,-0,-3,0.0,2.7,2,1,100,04:31 PM,08:09 AM,08:19 AM,03:48 PM,-4,-6,-3,-6,16,64,90,0.0,1021,-3,10,184,10
2018-01-02 12:00:00,-0,-3,0.0,2.7,2,1,100,04:31 PM,08:09 AM,08:19 AM,03:48 PM,-2,-5,-1,-5,18,82,92,0.0,1021,-1,10,193,13
2018-01-02 18:00:00,-0,-3,0.0,2.7,2,1,100,04:31 PM,08:09 AM,08:19 AM,03:48 PM,-1,-4,-1,-4,19,93,96,0.0,1022,-0,2,204,12
2018-01-03 00:00:00,1,-0,0.0,2.7,1,1,89,05:46 PM,09:04 AM,08:19 AM,03:49 PM,-1,-4,-0,-4,16,97,97,0.0,1023,-0,0,200,10
2018-01-03 06:00:00,1,-0,0.0,2.7,1,1,89,05:46 PM,09:04 AM,08:19 AM,03:49 PM,-0,-3,0,-3,16,100,97,0.0,1024,0,0,192,10
2018-01-03 12:00:00,1,-0,0.0,2.7,1,1,89,05:46 PM,09:04 AM,08:19 AM,03:49 PM,0,-3,1,-3,19,100,98,0.0,1024,1,10,187,13
2018-01-03 18:00:00,1,-0,0.0,2.7,1,1,89,05:46 PM,09:04 AM,08:19 AM,03:49 PM,0,-3,1,-3,19,100,97,0.0,1024,1,2,179,12
2018-01-04 00:00:00,0,-6,0.0,7.3,1,1,81,07:06 PM,09:47 AM,08:18 AM,03:50 PM,-1,-4,0,-4,21,100,94,0.1,1025,0,10,174,13
2018-01-04 06:00:00,0,-6,0.0,7.3,1,1,81,07:06 PM,09:47 AM,08:18 AM,03:50 PM,-1,-5,-1,-5,24,93,96,0.0,1023,-1,10,159,15
2018-01-04 12:00:00,0,-6,0.0,7.3,1,2,81,07:06 PM,09:47 AM,08:18 AM,03:50 PM,-3,-5,-0,-5,22,10,85,0.0,1023,-0,10,130,15
2018-01-04 18:00:00,0,-6,0.0,7.3,1,2,81,07:06 PM,09:47 AM,08:18 AM,03:50 PM,-7,-10,-5,-10,26,11,83,0.0,1022,-5,10,138,17
2018-01-05 00:00:00,-6,-8,0.0,2.8,2,1,74,08:27 PM,10:21 AM,08:18 AM,03:52 PM,-9,-13,-6,-13,27,6,80,0.0,1021,-6,10,163,18
2018-01-05 06:00:00,-6,-8,0.0,2.8,2,2,74,08:27 PM,10:21 AM,08:18 AM,03:52 PM,-11,-15,-8,-15,28,57,76,0.0,1022,-8,10,159,19
2018-01-05 12:00:00,-6,-8,0.0,2.8,2,1,74,08:27 PM,10:21 AM,08:18 AM,03:52 PM,-11,-13,-6,-13,27,100,68,0.0,1022,-6,10,168,20
2018-01-05 18:00:00,-6,-8,0.0,2.8,2,1,74,08:27 PM,10:21 AM,08:18 AM,03:52 PM,-11,-14,-7,-14,30,87,72,0.0,1022,-7,10,163,20
2018-01-06 00:00:00,-8,-10,0.5,2.8,1,1,67,09:47 PM,10:48 AM,08:17 AM,03:53 PM,-13,-16,-9,-16,27,98,70,0.0,1023,-9,10,169,18
2018-01-06 06:00:00,-8,-10,0.5,2.8,1,1,67,09:47 PM,10:48 AM,08:17 AM,03:53 PM,-13,-17,-10,-17,27,97,76,0.0,1022,-10,10,178,18
2018-01-06 12:00:00,-8,-10,0.5,2.8,1,1,67,09:47 PM,10:48 AM,08:17 AM,03:53 PM,-12,-16,-9,-16,25,100,74,0.0,1022,-8,10,183,19
2018-01-06 18:00:00,-8,-10,0.5,2.8,1,1,67,09:47 PM,10:48 AM,08:17 AM,03:53 PM,-10,-17,-9,-17,31,100,90,0.6,1021,-9,2,186,22
2018-01-07 00:00:00,1,-7,0.0,2.8,1,1,59,11:02 PM,11:12 AM,08:17 AM,03:54 PM,-9,-15,-7,-15,33,100,89,0.0,1020,-7,10,191,23
2018-01-07 06:00:00,1,-7,0.0,2.8,1,1,59,11:02 PM,11:12 AM,08:17 AM,03:54 PM,-6,-12,-5,-12,32,100,92,0.0,1017,-5,10,205,22
2018-01-07 12:00:00,1,-7,0.0,2.8,1,1,59,11:02 PM,11:12 AM,08:17 AM,03:54 PM,-1,-5,-0,-5,28,100,93,0.0,1016,-0,10,227,19
2018-01-07 18:00:00,1,-7,0.0,2.8,1,1,59,11:02 PM,11:12 AM,08:17 AM,03:54 PM,-1,-6,-0,-6,31,100,95,0.0,1013,-0,10,211,20
2018-01-08 00:00:00,1,-6,0.3,2.8,1,1,52,No moonrise,11:33 AM,08:16 AM,03:56 PM,-0,-5,1,-5,35,100,91,0.4,1011,1,2,270,26
2018-01-08 06:00:00,1,-6,0.3,2.8,1,2,52,No moonrise,11:33 AM,08:16 AM,03:56 PM,-9,-13,-6,-13,42,9,80,0.0,1016,-6,10,278,26
2018-01-08 12:00:00,1,-6,0.3,2.8,1,1,52,No moonrise,11:33 AM,08:16 AM,03:56 PM,-8,-11,-4,-11,40,83,73,0.0,1015,-4,10,265,28
2018-01-08 18:00:00,1,-6,0.3,2.8,1,1,52,No moonrise,11:33 AM,08:16 AM,03:56 PM,-7,-11,-5,-11,38,63,80,0.0,1015,-5,10,260,23
2018-01-09 00:00:00,-4,-6,0.2,2.8,1,1,45,12:15 AM,11:53 AM,08:16 AM,03:57 PM,-7,-12,-5,-12,34,71,87,0.0,1014,-5,10,266,20
2018-01-09 06:00:00,-4,-6,0.2,2.8,1,1,45,12:15 AM,11:53 AM,08:16 AM,03:57 PM,-6,-11,-5,-11,27,100,92,0.0,1013,-5,10,282,18
2018-01-09 12:00:00,-4,-6,0.2,2.8,1,1,45,12:15 AM,11:53 AM,08:16 AM,03:57 PM,-6,-11,-4,-11,29,100,86,0.2,1014,-4,5,303,22
2018-01-09 18:00:00,-4,-6,0.2,2.8,1,1,45,12:15 AM,11:53 AM,08:16 AM,03:57 PM,-7,-12,-6,-12,30,100,87,0.0,1017,-6,10,309,20
2018-01-10 00:00:00,-5,-7,0.0,2.8,1,1,38,01:26 AM,12:13 PM,08:15 AM,03:59 PM,-8,-13,-6,-13,30,97,86,0.0,1018,-6,10,304,21
2018-01-10 06:00:00,-5,-7,0.0,2.8,1,1,38,01:26 AM,12:13 PM,08:15 AM,03:59 PM,-9,-14,-7,-14,30,100,90,0.0,1019,-7,10,303,20
2018-01-10 12:00:00,-5,-7,0.0,2.8,1,1,38,01:26 AM,12:13 PM,08:15 AM,03:59 PM,-8,-13,-6,-13,29,100,89,0.0,1021,-6,10,306,21
2018-01-10 18:00:00,-5,-7,0.0,2.8,1,1,38,01:26 AM,12:13 PM,08:15 AM,03:59 PM,-7,-11,-6,-11,24,100,91,0.0,1021,-6,10,315,16
2018-01-11 00:00:00,-6,-8,0.2,2.9,1,1,30,02:34 AM,12:36 PM,08:14 AM,04:00 PM,-7,-12,-7,-12,20,81,95,0.0,1022,-7,10,302,12
2018-01-11 06:00:00,-6,-8,0.2,2.9,1,1,30,02:34 AM,12:36 PM,08:14 AM,04:00 PM,-8,-13,-8,-13,17,100,96,0.0,1022,-8,10,290,10
2018-01-11 12:00:00,-6,-8,0.2,2.9,1,1,30,02:34 AM,12:36 PM,08:14 AM,04:00 PM,-7,-10,-6,-10,16,100,90,0.1,1022,-6,10,283,12
2018-01-11 18:00:00,-6,-8,0.2,2.9,1,1,30,02:34 AM,12:36 PM,08:14 AM,04:00 PM,-8,-11,-7,-11,13,100,91,0.1,1024,-7,5,327,9
2018-01-12 00:00:00,-8,-13,0.1,3.0,1,1,23,03:41 AM,01:02 PM,08:14 AM,04:02 PM,-9,-12,-8,-12,11,100,94,0.1,1026,-8,10,357,7
2018-01-12 06:00:00,-8,-13,0.1,3.0,1,1,23,03:41 AM,01:02 PM,08:14 AM,04:02 PM,-9,-13,-9,-13,14,100,97,0.0,1030,-9,0,0,9
2018-01-12 12:00:00,-8,-13,0.1,3.0,1,1,23,03:41 AM,01:02 PM,08:14 AM,04:02 PM,-9,-14,-8,-14,21,100,92,0.0,1034,-8,10,11,15
2018-01-12 18:00:00,-8,-13,0.1,3.0,1,1,23,03:41 AM,01:02 PM,08:14 AM,04:02 PM,-11,-17,-10,-17,25,79,90,0.0,1038,-10,10,32,17
2018-01-13 00:00:00,-13,-16,0.0,6.8,1,1,16,04:45 AM,01:32 PM,08:13 AM,04:03 PM,-15,-21,-15,-21,16,77,96,0.0,1042,-15,2,25,10
2018-01-13 06:00:00,-13,-16,0.0,6.8,1,1,16,04:45 AM,01:32 PM,08:13 AM,04:03 PM,-16,-20,-16,-20,11,55,95,0.0,1043,-16,2,356,7
2018-01-13 12:00:00,-13,-16,0.0,6.8,1,2,16,04:45 AM,01:32 PM,08:13 AM,04:03 PM,-15,-18,-13,-18,10,51,88,0.0,1043,-13,10,308,7
2018-01-13 18:00:00,-13,-16,0.0,6.8,1,1,16,04:45 AM,01:32 PM,08:13 AM,04:03 PM,-14,-19,-13,-19,17,76,96,0.0,1041,-13,2,278,9
2018-01-14 00:00:00,-7,-12,0.4,3.0,1,1,9,05:45 AM,02:08 PM,08:12 AM,04:05 PM,-13,-18,-12,-18,17,84,96,0.0,1040,-12,2,268,10
2018-01-14 06:00:00,-7,-12,0.4,3.0,1,1,9,05:45 AM,02:08 PM,08:12 AM,04:05 PM,-12,-18,-11,-18,21,100,94,0.0,1039,-11,10,280,13
2018-01-14 12:00:00,-7,-12,0.4,3.0,1,1,9,05:45 AM,02:08 PM,08:12 AM,04:05 PM,-9,-14,-8,-14,19,100,93,0.1,1038,-8,5,300,14
2018-01-14 18:00:00,-7,-12,0.4,3.0,1,1,9,05:45 AM,02:08 PM,08:12 AM,04:05 PM,-8,-12,-7,-12,16,100,96,0.4,1037,-7,2,314,10
