date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,16,0.0,11.1,6,1,97,05:34 PM,05:56 AM,07:05 AM,06:10 PM,7,20,20,20,2,0,44,0.0,1011,17,10,98,1
2018-01-01 06:00:00,27,16,0.0,11.1,6,1,97,05:34 PM,05:56 AM,07:05 AM,06:10 PM,8,21,24,21,6,2,42,0.0,1013,19,10,133,5
2018-01-01 12:00:00,27,16,0.0,11.1,6,7,97,05:34 PM,05:56 AM,07:05 AM,06:10 PM,7,28,28,29,3,2,26,0.0,1009,27,10,278,3
2018-01-01 18:00:00,27,16,0.0,11.1,6,5,97,05:34 PM,05:56 AM,07:05 AM,06:10 PM,9,20,20,20,17,3,49,0.0,1011,19,10,293,8
2018-01-02 00:00:00,27,16,0.0,11.1,6,1,100,06:38 PM,07:01 AM,07:05 AM,06:11 PM,10,19,19,19,8,3,56,0.0,1011,17,10,4,4
2018-01-02 06:00:00,27,16,0.0,11.1,6,1,100,06:38 PM,07:01 AM,07:05 AM,06:11 PM,9,20,20,20,9,2,49,0.0,1012,19,10,42,6
2018-01-02 12:00:00,27,16,0.0,11.1,6,7,100,06:38 PM,07:01 AM,07:05 AM,06:11 PM,6,26,26,27,10,2,26,0.0,1009,27,10,119,8
2018-01-02 18:00:00,27,16,0.0,11.1,6,5,100,06:38 PM,07:01 AM,07:05 AM,06:11 PM,8,22,24,22,7,2,43,0.0,1011,20,10,329,4
2018-01-03 00:00:00,27,16,0.0,11.1,6,1,89,07:43 PM,08:03 AM,07:05 AM,06:11 PM,8,19,19,19,10,2,49,0.0,1011,17,10,35,5
2018-01-03 06:00:00,27,16,0.0,11.1,6,1,89,07:43 PM,08:03 AM,07:05 AM,06:11 PM,7,20,20,20,11,2,44,0.0,1014,19,10,68,8
2018-01-03 12:00:00,27,16,0.0,11.1,6,7,89,07:43 PM,08:03 AM,07:05 AM,06:11 PM,7,26,26,27,12,3,28,0.0,1011,27,10,132,10
2018-01-03 18:00:00,27,16,0.0,11.1,6,6,89,07:43 PM,08:03 AM,07:05 AM,06:11 PM,10,21,24,21,11,3,48,0.0,1013,20,10,309,5
2018-01-04 00:00:00,27,17,0.0,11.1,6,1,81,08:47 PM,09:00 AM,07:06 AM,06:12 PM,8,20,20,20,8,3,48,0.0,1013,18,10,6,4
2018-01-04 06:00:00,27,17,0.0,11.1,6,1,81,08:47 PM,09:00 AM,07:06 AM,06:12 PM,8,20,20,20,11,5,46,0.0,1015,20,10,57,7
2018-01-04 12:00:00,27,17,0.0,11.1,6,7,81,08:47 PM,09:00 AM,07:06 AM,06:12 PM,8,26,26,27,12,4,30,0.0,1012,27,10,105,10
2018-01-04 18:00:00,27,17,0.0,11.1,6,6,81,08:47 PM,09:00 AM,07:06 AM,06:12 PM,10,22,24,22,7,4,46,0.0,1013,21,10,16,4
2018-01-05 00:00:00,27,17,0.0,11.1,6,1,74,09:48 PM,09:53 AM,07:06 AM,06:13 PM,10,20,20,20,8,5,54,0.0,1012,18,10,12,4
2018-01-05 06:00:00,27,17,0.0,11.1,6,1,74,09:48 PM,09:53 AM,07:06 AM,06:13 PM,10,21,24,21,6,5,50,0.0,1014,20,10,81,4
2018-01-05 12:00:00,27,17,0.0,11.1,6,7,74,09:48 PM,09:53 AM,07:06 AM,06:13 PM,10,27,27,28,6,5,32,0.0,1011,27,10,134,5
2018-01-05 18:00:00,27,17,0.0,11.1,6,6,74,09:48 PM,09:53 AM,07:06 AM,06:13 PM,11,21,21,21,13,6,52,0.0,1012,20,10,278,6
2018-01-06 00:00:00,26,17,0.0,11.1,6,1,67,10:46 PM,10:41 AM,07:06 AM,06:13 PM,11,19,19,19,6,5,58,0.0,1011,18,10,326,3
2018-01-06 06:00:00,26,17,0.0,11.1,6,1,67,10:46 PM,10:41 AM,07:06 AM,06:13 PM,10,21,21,21,5,5,50,0.0,1013,19,10,83,4
2018-01-06 12:00:00,26,17,0.0,11.1,6,7,67,10:46 PM,10:41 AM,07:06 AM,06:13 PM,7,26,26,27,9,4,29,0.0,1010,26,10,165,8
2018-01-06 18:00:00,26,17,0.0,11.1,6,5,67,10:46 PM,10:41 AM,07:06 AM,06:13 PM,9,20,20,20,16,5,50,0.0,1012,20,10,291,8
2018-01-07 00:00:00,26,16,0.0,11.1,6,1,59,11:41 PM,11:25 AM,07:07 AM,06:14 PM,10,18,18,18,8,5,57,0.0,1012,17,10,338,4
2018-01-07 06:00:00,26,16,0.0,11.1,6,1,59,11:41 PM,11:25 AM,07:07 AM,06:14 PM,9,20,20,20,7,6,50,0.0,1014,19,10,52,5
2018-01-07 12:00:00,26,16,0.0,11.1,6,7,59,11:41 PM,11:25 AM,07:07 AM,06:14 PM,8,26,26,27,7,4,30,0.0,1011,26,10,131,6
2018-01-07 18:00:00,26,16,0.0,11.1,6,5,59,11:41 PM,11:25 AM,07:07 AM,06:14 PM,9,20,20,20,14,4,51,0.0,1013,19,10,286,7
2018-01-08 00:00:00,27,16,0.0,11.1,6,1,52,No moonrise,12:06 PM,07:07 AM,06:14 PM,9,18,18,18,8,3,55,0.0,1013,17,10,348,4
2018-01-08 06:00:00,27,16,0.0,11.1,6,1,52,No moonrise,12:06 PM,07:07 AM,06:14 PM,9,20,20,20,7,4,50,0.0,1014,19,10,62,5
2018-01-08 12:00:00,27,16,0.0,11.1,6,7,52,No moonrise,12:06 PM,07:07 AM,06:14 PM,7,26,26,27,14,3,28,0.0,1012,27,10,147,12
2018-01-08 18:00:00,27,16,0.0,11.1,6,5,52,No moonrise,12:06 PM,07:07 AM,06:14 PM,10,21,21,21,8,3,51,0.0,1014,19,10,288,4
2018-01-09 00:00:00,27,16,0.0,11.1,6,1,45,12:33 AM,12:46 PM,07:07 AM,06:15 PM,7,18,18,18,17,5,48,0.0,1014,17,10,125,8
2018-01-09 06:00:00,27,16,0.0,11.1,6,1,45,12:33 AM,12:46 PM,07:07 AM,06:15 PM,7,18,18,18,17,3,47,0.0,1017,18,10,94,11
2018-01-09 12:00:00,27,16,0.0,11.1,6,7,45,12:33 AM,12:46 PM,07:07 AM,06:15 PM,7,26,26,27,18,4,28,0.0,1014,27,10,110,15
2018-01-09 18:00:00,27,16,0.0,11.1,6,6,45,12:33 AM,12:46 PM,07:07 AM,06:15 PM,7,21,24,21,13,4,40,0.0,1015,20,10,88,6
2018-01-10 00:00:00,27,16,0.0,11.1,6,1,38,01:25 AM,01:26 PM,07:07 AM,06:16 PM,8,18,18,18,14,4,50,0.0,1016,17,10,96,7
2018-01-10 06:00:00,27,16,0.0,11.1,6,1,38,01:25 AM,01:26 PM,07:07 AM,06:16 PM,10,19,19,19,12,2,56,0.0,1017,19,10,92,9
2018-01-10 12:00:00,27,16,0.0,11.1,6,7,38,01:25 AM,01:26 PM,07:07 AM,06:16 PM,11,27,27,27,17,9,36,0.0,1014,27,10,114,15
2018-01-10 18:00:00,27,16,0.0,11.1,6,6,38,01:25 AM,01:26 PM,07:07 AM,06:16 PM,11,22,24,22,15,8,49,0.0,1015,22,10,54,7
2018-01-11 00:00:00,28,18,0.0,11.1,6,1,30,02:14 AM,02:05 PM,07:07 AM,06:16 PM,10,19,19,19,20,12,56,0.0,1015,19,10,55,10
