date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,11,0.0,8.7,5,1,97,04:54 PM,05:39 AM,06:51 AM,05:30 PM,7,17,17,17,2,0,53,0.0,1015,12,10,20,1
2018-01-01 06:00:00,23,11,0.0,8.7,5,4,97,04:54 PM,05:39 AM,06:51 AM,05:30 PM,5,17,17,17,5,2,44,0.0,1016,15,10,25,5
2018-01-01 12:00:00,23,11,0.0,8.7,5,6,97,04:54 PM,05:39 AM,06:51 AM,05:30 PM,2,23,23,23,13,5,25,0.0,1013,23,10,28,11
2018-01-01 18:00:00,23,11,0.0,8.7,5,4,97,04:54 PM,05:39 AM,06:51 AM,05:30 PM,4,15,15,15,16,4,48,0.0,1015,14,10,62,8
2018-01-02 00:00:00,23,11,0.0,8.7,5,1,100,05:58 PM,06:44 AM,06:51 AM,05:30 PM,4,14,14,14,4,4,51,0.0,1015,12,10,94,2
2018-01-02 06:00:00,23,11,0.0,8.7,5,4,100,05:58 PM,06:44 AM,06:51 AM,05:30 PM,2,16,16,16,3,6,37,0.0,1016,15,10,112,3
2018-01-02 12:00:00,23,11,0.0,8.7,5,6,100,05:58 PM,06:44 AM,06:51 AM,05:30 PM,2,24,24,24,6,5,24,0.0,1013,23,10,336,5
2018-01-02 18:00:00,23,11,0.0,8.7,5,4,100,05:58 PM,06:44 AM,06:51 AM,05:30 PM,4,15,15,15,17,2,46,0.0,1015,14,10,54,8
2018-01-03 00:00:00,23,10,0.0,8.7,5,1,89,07:04 PM,07:46 AM,06:51 AM,05:31 PM,7,15,15,15,7,2,58,0.0,1016,11,10,132,5
2018-01-03 06:00:00,23,10,0.0,8.7,5,4,89,07:04 PM,07:46 AM,06:51 AM,05:31 PM,7,18,18,18,3,0,51,0.0,1017,14,10,201,3
2018-01-03 12:00:00,23,10,0.0,8.7,5,6,89,07:04 PM,07:46 AM,06:51 AM,05:31 PM,2,24,24,25,9,0,22,0.0,1014,23,10,313,8
2018-01-03 18:00:00,23,10,0.0,8.7,5,4,89,07:04 PM,07:46 AM,06:51 AM,05:31 PM,3,16,16,16,11,0,42,0.0,1016,14,10,34,6
2018-01-04 00:00:00,23,9,0.0,8.7,5,1,81,08:09 PM,08:42 AM,06:52 AM,05:32 PM,6,15,15,15,1,0,55,0.0,1016,11,10,254,0
2018-01-04 06:00:00,23,9,0.0,8.7,5,4,81,08:09 PM,08:42 AM,06:52 AM,05:32 PM,6,17,17,17,5,0,47,0.0,1018,14,10,190,4
2018-01-04 12:00:00,23,9,0.0,8.7,5,6,81,08:09 PM,08:42 AM,06:52 AM,05:32 PM,-1,24,24,26,7,0,17,0.0,1015,23,10,55,6
2018-01-04 18:00:00,23,9,0.0,8.7,5,4,81,08:09 PM,08:42 AM,06:52 AM,05:32 PM,-1,16,16,16,11,0,32,0.0,1016,14,10,79,5
2018-01-05 00:00:00,23,8,0.0,8.7,4,1,74,09:13 PM,09:33 AM,06:52 AM,05:33 PM,3,15,14,15,5,0,47,0.0,1016,10,10,95,4
2018-01-05 06:00:00,23,8,0.0,8.7,4,4,74,09:13 PM,09:33 AM,06:52 AM,05:33 PM,3,16,16,16,3,0,40,0.0,1018,12,10,103,3
2018-01-05 12:00:00,23,8,0.0,8.7,4,6,74,09:13 PM,09:33 AM,06:52 AM,05:33 PM,-1,24,24,25,7,0,17,0.0,1013,23,10,329,6
2018-01-05 18:00:00,23,8,0.0,8.7,4,4,74,09:13 PM,09:33 AM,06:52 AM,05:33 PM,-2,15,15,15,14,0,31,0.0,1015,13,10,25,7
2018-01-06 00:00:00,24,9,0.0,8.7,5,1,67,10:13 PM,10:18 AM,06:52 AM,05:33 PM,2,14,14,14,1,0,43,0.0,1015,10,10,39,0
2018-01-06 06:00:00,24,9,0.0,8.7,5,4,67,10:13 PM,10:18 AM,06:52 AM,05:33 PM,-0,17,17,17,6,0,32,0.0,1016,13,10,236,5
