date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,11,0.0,8.7,5,1,97,05:10 PM,06:00 AM,07:12 AM,05:45 PM,3,13,14,13,17,4,50,0.0,1015,13,10,92,8
2018-01-01 06:00:00,23,11,0.0,8.7,5,4,97,05:10 PM,06:00 AM,07:12 AM,05:45 PM,7,17,17,17,3,2,53,0.0,1015,14,10,119,3
2018-01-01 12:00:00,23,11,0.0,8.7,5,6,97,05:10 PM,06:00 AM,07:12 AM,05:45 PM,5,24,24,24,6,3,29,0.0,1013,23,10,287,5
2018-01-01 18:00:00,23,11,0.0,8.7,5,4,97,05:10 PM,06:00 AM,07:12 AM,05:45 PM,5,17,17,17,9,0,46,0.0,1014,15,10,30,4
2018-01-02 00:00:00,21,11,0.0,8.7,4,1,100,06:13 PM,07:05 AM,07:12 AM,05:45 PM,5,13,14,13,19,0,54,0.0,1015,12,10,27,9
2018-01-02 06:00:00,21,11,0.0,8.7,4,4,100,06:13 PM,07:05 AM,07:12 AM,05:45 PM,7,14,14,14,11,0,63,0.0,1016,13,10,44,8
2018-01-02 12:00:00,21,11,0.0,8.7,4,6,100,06:13 PM,07:05 AM,07:12 AM,05:45 PM,-1,22,22,22,12,0,22,0.0,1014,21,10,343,11
2018-01-02 18:00:00,21,11,0.0,8.7,4,4,100,06:13 PM,07:05 AM,07:12 AM,05:45 PM,1,16,16,16,8,0,37,0.0,1016,13,10,49,4
2018-01-03 00:00:00,22,8,0.0,8.7,4,1,89,07:20 PM,08:07 AM,07:12 AM,05:46 PM,1,12,13,12,14,0,44,0.0,1016,10,10,72,7
2018-01-03 06:00:00,22,8,0.0,8.7,4,4,89,07:20 PM,08:07 AM,07:12 AM,05:46 PM,3,16,16,16,3,0,44,0.0,1018,12,10,122,3
2018-01-03 12:00:00,22,8,0.0,8.7,4,6,89,07:20 PM,08:07 AM,07:12 AM,05:46 PM,1,24,23,24,6,0,22,0.0,1015,22,10,339,5
2018-01-03 18:00:00,22,8,0.0,8.7,4,4,89,07:20 PM,08:07 AM,07:12 AM,05:46 PM,2,16,16,16,8,0,41,0.0,1016,13,10,35,4
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,08:26 PM,09:03 AM,07:13 AM,05:47 PM,2,14,13,14,10,0,47,0.0,1016,10,10,120,5
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,08:26 PM,09:03 AM,07:13 AM,05:47 PM,4,16,16,16,5,0,46,0.0,1017,13,10,124,5
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,08:26 PM,09:03 AM,07:13 AM,05:47 PM,1,23,23,24,9,0,22,0.0,1014,22,10,186,8
2018-01-04 18:00:00,22,9,0.0,8.7,4,4,81,08:26 PM,09:03 AM,07:13 AM,05:47 PM,3,16,16,16,6,0,40,0.0,1015,14,10,88,3
2018-01-05 00:00:00,23,9,0.0,8.7,5,1,74,09:30 PM,09:53 AM,07:13 AM,05:47 PM,-2,12,13,12,21,0,35,0.0,1016,12,10,66,10
2018-01-05 06:00:00,23,9,0.0,8.7,5,4,74,09:30 PM,09:53 AM,07:13 AM,05:47 PM,2,16,16,16,5,0,40,0.0,1017,13,10,83,5
2018-01-05 12:00:00,23,9,0.0,8.7,5,6,74,09:30 PM,09:53 AM,07:13 AM,05:47 PM,3,24,24,26,4,0,23,0.0,1013,23,10,29,3
2018-01-05 18:00:00,23,9,0.0,8.7,5,4,74,09:30 PM,09:53 AM,07:13 AM,05:47 PM,2,16,16,16,14,0,38,0.0,1015,15,10,32,7
2018-01-06 00:00:00,23,9,0.0,8.7,5,1,67,10:31 PM,10:37 AM,07:13 AM,05:48 PM,2,14,14,14,15,0,44,0.0,1015,12,10,87,7
2018-01-06 06:00:00,23,9,0.0,8.7,5,4,67,10:31 PM,10:37 AM,07:13 AM,05:48 PM,5,17,17,17,2,0,46,0.0,1015,14,10,101,2
2018-01-06 12:00:00,23,9,0.0,8.7,5,6,67,10:31 PM,10:37 AM,07:13 AM,05:48 PM,3,24,24,25,5,0,24,0.0,1012,23,10,334,4
2018-01-06 18:00:00,23,9,0.0,8.7,5,4,67,10:31 PM,10:37 AM,07:13 AM,05:48 PM,5,17,17,17,7,0,43,0.0,1015,15,10,33,3
2018-01-07 00:00:00,22,11,0.0,8.7,5,1,59,11:30 PM,11:18 AM,07:13 AM,05:49 PM,3,14,14,14,21,2,46,0.0,1015,13,10,8,10
2018-01-07 06:00:00,22,11,0.0,8.7,5,4,59,11:30 PM,11:18 AM,07:13 AM,05:49 PM,6,15,15,15,8,0,54,0.0,1017,13,10,48,6
2018-01-07 12:00:00,22,11,0.0,8.7,5,6,59,11:30 PM,11:18 AM,07:13 AM,05:49 PM,5,24,24,23,11,0,30,0.0,1014,22,10,309,9
2018-01-07 18:00:00,22,11,0.0,8.7,5,4,59,11:30 PM,11:18 AM,07:13 AM,05:49 PM,5,16,16,16,8,0,47,0.0,1016,14,10,318,4
