date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,15,4,0.0,8.7,3,1,97,04:53 PM,06:01 AM,07:12 AM,05:25 PM,-15,8,8,8,5,0,17,0.0,1018,6,10,295,3
2018-01-01 06:00:00,15,4,0.0,8.7,3,2,97,04:53 PM,06:01 AM,07:12 AM,05:25 PM,-15,6,6,6,5,0,19,0.0,1018,4,10,197,3
2018-01-01 12:00:00,15,4,0.0,8.7,3,5,97,04:53 PM,06:01 AM,07:12 AM,05:25 PM,-17,17,17,17,7,0,8,0.0,1016,15,10,254,6
2018-01-01 18:00:00,15,4,0.0,8.7,3,3,97,04:53 PM,06:01 AM,07:12 AM,05:25 PM,-17,11,11,11,8,0,13,0.0,1015,9,10,217,4
2018-01-02 00:00:00,18,7,0.0,8.7,4,1,100,05:57 PM,07:07 AM,07:12 AM,05:26 PM,-18,7,8,7,14,0,14,0.0,1015,7,10,109,7
2018-01-02 06:00:00,18,7,0.0,8.7,4,3,100,05:57 PM,07:07 AM,07:12 AM,05:26 PM,-18,4,7,4,27,0,15,0.0,1015,7,10,112,13
2018-01-02 12:00:00,18,7,0.0,8.7,4,5,100,05:57 PM,07:07 AM,07:12 AM,05:26 PM,-18,18,18,18,15,0,7,0.0,1012,18,10,113,13
2018-01-02 18:00:00,18,7,0.0,8.7,4,4,100,05:57 PM,07:07 AM,07:12 AM,05:26 PM,-17,12,13,12,38,0,11,0.0,1011,13,10,91,18
2018-01-03 00:00:00,19,9,0.0,8.7,4,1,89,07:04 PM,08:07 AM,07:12 AM,05:26 PM,-17,8,11,8,39,0,12,0.0,1010,11,10,93,19
2018-01-03 06:00:00,19,9,0.0,8.7,4,3,89,07:04 PM,08:07 AM,07:12 AM,05:26 PM,-15,6,9,6,36,0,18,0.0,1011,9,10,103,17
2018-01-03 12:00:00,19,9,0.0,8.7,4,5,89,07:04 PM,08:07 AM,07:12 AM,05:26 PM,-11,19,19,19,11,0,12,0.0,1008,19,10,165,10
2018-01-03 18:00:00,19,9,0.0,8.7,4,4,89,07:04 PM,08:07 AM,07:12 AM,05:26 PM,-8,15,15,15,4,0,19,0.0,1008,13,10,27,2
2018-01-04 00:00:00,16,7,0.0,8.7,4,1,81,08:12 PM,09:02 AM,07:12 AM,05:27 PM,-8,11,12,11,25,8,24,0.0,1011,12,10,243,12
2018-01-04 06:00:00,16,7,0.0,8.7,4,3,81,08:12 PM,09:02 AM,07:12 AM,05:27 PM,-10,4,7,4,33,0,29,0.0,1015,7,10,247,15
2018-01-04 12:00:00,16,7,0.0,8.7,4,5,81,08:12 PM,09:02 AM,07:12 AM,05:27 PM,-10,16,16,16,29,0,15,0.0,1015,16,10,262,25
2018-01-04 18:00:00,16,7,0.0,8.7,4,4,81,08:12 PM,09:02 AM,07:12 AM,05:27 PM,-10,9,11,9,33,0,23,0.0,1016,11,10,247,16
2018-01-05 00:00:00,14,5,0.0,8.7,3,1,74,09:18 PM,09:50 AM,07:13 AM,05:28 PM,-7,7,8,7,15,0,33,0.0,1017,7,10,220,7
2018-01-05 06:00:00,14,5,0.0,8.7,3,2,74,09:18 PM,09:50 AM,07:13 AM,05:28 PM,-6,6,7,6,11,0,40,0.0,1017,5,10,147,5
2018-01-05 12:00:00,14,5,0.0,8.7,3,4,74,09:18 PM,09:50 AM,07:13 AM,05:28 PM,-7,16,16,16,7,0,20,0.0,1015,14,10,118,6
2018-01-05 18:00:00,14,5,0.0,8.7,3,4,74,09:18 PM,09:50 AM,07:13 AM,05:28 PM,-8,10,11,10,24,0,25,0.0,1014,11,10,78,12
2018-01-06 00:00:00,16,7,0.0,8.7,4,1,67,10:21 PM,10:33 AM,07:13 AM,05:29 PM,-9,6,9,6,27,0,27,0.0,1014,9,10,90,13
2018-01-06 06:00:00,16,7,0.0,8.7,4,3,67,10:21 PM,10:33 AM,07:13 AM,05:29 PM,-10,4,7,4,26,0,30,0.0,1015,7,10,109,12
2018-01-06 12:00:00,16,7,0.0,8.7,4,5,67,10:21 PM,10:33 AM,07:13 AM,05:29 PM,-11,18,18,18,7,0,13,0.0,1013,16,10,114,6
2018-01-06 18:00:00,16,7,0.0,8.7,4,4,67,10:21 PM,10:33 AM,07:13 AM,05:29 PM,-11,11,12,11,16,0,19,0.0,1014,12,10,71,8
2018-01-07 00:00:00,17,8,0.0,8.7,4,1,59,11:21 PM,11:12 AM,07:13 AM,05:30 PM,-12,8,10,8,27,0,20,0.0,1015,10,10,96,13
2018-01-07 06:00:00,17,8,0.0,8.7,4,3,59,11:21 PM,11:12 AM,07:13 AM,05:30 PM,-10,6,8,6,26,0,26,0.0,1016,8,10,98,12
2018-01-07 12:00:00,17,8,0.0,8.7,4,5,59,11:21 PM,11:12 AM,07:13 AM,05:30 PM,-6,18,18,18,7,0,19,0.0,1015,17,10,97,6
2018-01-07 18:00:00,17,8,0.0,8.7,4,4,59,11:21 PM,11:12 AM,07:13 AM,05:30 PM,-6,13,14,13,14,0,25,0.0,1014,13,10,29,6
2018-01-08 00:00:00,16,7,0.0,8.7,4,1,52,No moonrise,11:48 AM,07:13 AM,05:30 PM,-7,10,10,10,9,6,30,0.0,1015,9,10,91,4
2018-01-08 06:00:00,16,7,0.0,8.7,4,3,52,No moonrise,11:48 AM,07:13 AM,05:30 PM,-8,8,8,8,4,11,33,0.0,1017,7,10,212,2
